AAA028A23.genome.CDS.1185,group00380
AAA028A23.genome.CDS.1149,group03532
AAA028A23.genome.CDS.277,group04116
AAA028A23.genome.CDS.270,group00237
AAA028A23.genome.CDS.1148,group00451
AAA028A23.genome.CDS.1579,group00734
AAA028A23.genome.CDS.1255,group13787
AAA028A23.genome.CDS.1254,group08563
AAA028A23.genome.CDS.1558,group00751
AAA028A23.genome.CDS.1559,group01827
AAA028A23.genome.CDS.1251,group00040
AAA028A23.genome.CDS.1250,group12722
AAA028A23.genome.CDS.1253,group00772
AAA028A23.genome.CDS.1252,group00601
AAA028A23.genome.CDS.1552,group00384
AAA028A23.genome.CDS.1553,group00449
AAA028A23.genome.CDS.1550,group00137
AAA028A23.genome.CDS.1551,group00348
AAA028A23.genome.CDS.1556,group00315
AAA028A23.genome.CDS.1557,group00359
AAA028A23.genome.CDS.1554,group13085
AAA028A23.genome.CDS.1555,group00355
AAA028A23.genome.CDS.1338,group00256
AAA028A23.genome.CDS.1339,group00081
AAA028A23.genome.CDS.1336,group00508
AAA028A23.genome.CDS.1277,group00793
AAA028A23.genome.CDS.1334,group00383
AAA028A23.genome.CDS.1335,group11516
AAA028A23.genome.CDS.1332,group00512
AAA028A23.genome.CDS.1333,group00725
AAA028A23.genome.CDS.1330,group08121
AAA028A23.genome.CDS.1331,group00176
AAA028A23.genome.CDS.863,group10360
AAA028A23.genome.CDS.1679,group00199
AAA028A23.genome.CDS.1678,group00577
AAA028A23.genome.CDS.1698,group00759
AAA028A23.genome.CDS.1469,group01705
AAA028A23.genome.CDS.1677,group13878
AAA028A23.genome.CDS.1676,group00693
AAA028A23.genome.CDS.1675,group03988
AAA028A23.genome.CDS.1674,group00339
AAA028A23.genome.CDS.1673,group00747
AAA028A23.genome.CDS.1672,group00467
AAA028A23.genome.CDS.1671,group00584
AAA028A23.genome.CDS.1670,group00519
AAA028A23.genome.CDS.1145,group00586
AAA028A23.genome.CDS.1144,group07583
AAA028A23.genome.CDS.1147,group00975
AAA028A23.genome.CDS.1146,group00835
AAA028A23.genome.CDS.1141,group00034
AAA028A23.genome.CDS.1140,group00803
AAA028A23.genome.CDS.1143,group04475
AAA028A23.genome.CDS.1142,group00421
AAA028A23.genome.CDS.1281,group00613
AAA028A23.genome.CDS.1170,group01638
AAA028A23.genome.CDS.1078,group01993
AAA028A23.genome.CDS.1549,group00058
AAA028A23.genome.CDS.1221,group00193
AAA028A23.genome.CDS.1022,group00458
AAA028A23.genome.CDS.858,group08240
AAA028A23.genome.CDS.1020,group00114
AAA028A23.genome.CDS.1388,group00080
AAA028A23.genome.CDS.1026,group03750
AAA028A23.genome.CDS.1027,group00152
AAA028A23.genome.CDS.1025,group00226
AAA028A23.genome.CDS.851,group00105
AAA028A23.genome.CDS.850,group00106
AAA028A23.genome.CDS.1028,group01337
AAA028A23.genome.CDS.1029,group00057
AAA028A23.genome.CDS.1387,group00291
AAA028A23.genome.CDS.854,group08176
AAA028A23.genome.CDS.1385,group00379
AAA028A23.genome.CDS.856,group02401
AAA028A23.genome.CDS.1520,group00303
AAA028A23.genome.CDS.1071,group00776
AAA028A23.genome.CDS.859,group00273
AAA028A23.genome.CDS.1179,group01042
AAA028A23.genome.CDS.1228,group00544
AAA028A23.genome.CDS.1589,group00474
AAA028A23.genome.CDS.1588,group01236
AAA028A23.genome.CDS.105,group00707
AAA028A23.genome.CDS.1540,group00521
AAA028A23.genome.CDS.1585,group09553
AAA028A23.genome.CDS.1584,group00890
AAA028A23.genome.CDS.1587,group01234
AAA028A23.genome.CDS.1586,group00744
AAA028A23.genome.CDS.1581,group00620
AAA028A23.genome.CDS.1580,group00343
AAA028A23.genome.CDS.1583,group00736
AAA028A23.genome.CDS.1582,group00799
AAA028A23.genome.CDS.1099,group00649
AAA028A23.genome.CDS.1098,group00856
AAA028A23.genome.CDS.1096,group00531
AAA028A23.genome.CDS.1095,group12822
AAA028A23.genome.CDS.1094,group00180
AAA028A23.genome.CDS.613,group00203
AAA028A23.genome.CDS.1092,group00914
AAA028A23.genome.CDS.1091,group00579
AAA028A23.genome.CDS.1090,group07589
AAA028A23.genome.CDS.13,group02172
AAA028A23.genome.CDS.1291,group00061
AAA028A23.genome.CDS.1290,group00265
AAA028A23.genome.CDS.1293,group00656
AAA028A23.genome.CDS.1292,group00983
AAA028A23.genome.CDS.1295,group00350
AAA028A23.genome.CDS.1294,group00207
AAA028A23.genome.CDS.1297,group12805
AAA028A23.genome.CDS.1296,group00283
AAA028A23.genome.CDS.1299,group01000
AAA028A23.genome.CDS.1298,group00596
AAA028A23.genome.CDS.906,group00162
AAA028A23.genome.CDS.409,group00336
AAA028A23.genome.CDS.1329,group00051
AAA028A23.genome.CDS.1041,group01013
AAA028A23.genome.CDS.921,group00447
AAA028A23.genome.CDS.920,group00466
AAA028A23.genome.CDS.923,group00008
AAA028A23.genome.CDS.922,group12069
AAA028A23.genome.CDS.925,group00446
AAA028A23.genome.CDS.924,group12985
AAA028A23.genome.CDS.927,group08976
AAA028A23.genome.CDS.1023,group00750
AAA028A23.genome.CDS.929,group07127
AAA028A23.genome.CDS.928,group08976
AAA028A23.genome.CDS.1508,group08124
AAA028A23.genome.CDS.1389,group00365
AAA028A23.genome.CDS.1516,group00440
AAA028A23.genome.CDS.1517,group00460
AAA028A23.genome.CDS.1514,group00368
AAA028A23.genome.CDS.1021,group07708
AAA028A23.genome.CDS.1512,group00960
AAA028A23.genome.CDS.1513,group12774
AAA028A23.genome.CDS.1459,group00026
AAA028A23.genome.CDS.1458,group00140
AAA028A23.genome.CDS.1457,group06522
AAA028A23.genome.CDS.1456,group00221
AAA028A23.genome.CDS.1455,group00153
AAA028A23.genome.CDS.1454,group00713
AAA028A23.genome.CDS.1453,group00663
AAA028A23.genome.CDS.1452,group00112
AAA028A23.genome.CDS.1451,group00524
AAA028A23.genome.CDS.1450,group08977
AAA028A23.genome.CDS.1321,group01039
AAA028A23.genome.CDS.1049,group00523
AAA028A23.genome.CDS.1471,group00327
AAA028A23.genome.CDS.1382,group12412
AAA028A23.genome.CDS.1381,group00386
AAA028A23.genome.CDS.1380,group00135
AAA028A23.genome.CDS.855,group07304
AAA028A23.genome.CDS.1386,group00491
AAA028A23.genome.CDS.1208,group00133
AAA028A23.genome.CDS.1209,group00782
AAA028A23.genome.CDS.857,group00274
AAA028A23.genome.CDS.1202,group00198
AAA028A23.genome.CDS.1203,group00091
AAA028A23.genome.CDS.1200,group00148
AAA028A23.genome.CDS.1384,group00141
AAA028A23.genome.CDS.1206,group00605
AAA028A23.genome.CDS.1207,group00100
AAA028A23.genome.CDS.1204,group01056
AAA028A23.genome.CDS.1068,group00587
AAA028A23.genome.CDS.1069,group00113
AAA028A23.genome.CDS.1066,group00234
AAA028A23.genome.CDS.1067,group00878
AAA028A23.genome.CDS.1064,group00821
AAA028A23.genome.CDS.1065,group00844
AAA028A23.genome.CDS.1062,group00764
AAA028A23.genome.CDS.1063,group00825
AAA028A23.genome.CDS.1060,group00611
AAA028A23.genome.CDS.1061,group00715
AAA028A23.genome.CDS.1632,group07826
AAA028A23.genome.CDS.1631,group00161
AAA028A23.genome.CDS.1630,group12777
AAA028A23.genome.CDS.1240,group00013
AAA028A23.genome.CDS.1636,group00195
AAA028A23.genome.CDS.1635,group00164
AAA028A23.genome.CDS.1634,group00075
AAA028A23.genome.CDS.1639,group03759
AAA028A23.genome.CDS.1638,group14024
AAA028A23.genome.CDS.229,group06547
AAA028A23.genome.CDS.1347,group12706
AAA028A23.genome.CDS.1346,group00253
AAA028A23.genome.CDS.1345,group01099
AAA028A23.genome.CDS.1344,group12547
AAA028A23.genome.CDS.1343,group10155
AAA028A23.genome.CDS.1342,group00885
AAA028A23.genome.CDS.1341,group01129
AAA028A23.genome.CDS.1340,group00191
AAA028A23.genome.CDS.1349,group12313
AAA028A23.genome.CDS.1348,group01729
AAA028A23.genome.CDS.1707,group00571
AAA028A23.genome.CDS.1706,group00363
AAA028A23.genome.CDS.1705,group00018
AAA028A23.genome.CDS.1704,group00382
AAA028A23.genome.CDS.1703,group05282
AAA028A23.genome.CDS.1702,group00924
AAA028A23.genome.CDS.1701,group01718
AAA028A23.genome.CDS.1700,group00216
AAA028A23.genome.CDS.1709,group05283
AAA028A23.genome.CDS.1708,group00456
AAA028A23.genome.CDS.1059,group08077
AAA028A23.genome.CDS.860,group00208
AAA028A23.genome.CDS.861,group00151
AAA028A23.genome.CDS.862,group09064
AAA028A23.genome.CDS.711,group00027
AAA028A23.genome.CDS.864,group00129
AAA028A23.genome.CDS.865,group05289
AAA028A23.genome.CDS.866,group00082
AAA028A23.genome.CDS.867,group00062
AAA028A23.genome.CDS.868,group11758
AAA028A23.genome.CDS.869,group00883
AAA028A23.genome.CDS.1112,group04827
AAA028A23.genome.CDS.1113,group00223
AAA028A23.genome.CDS.1110,group10443
AAA028A23.genome.CDS.1116,group00172
AAA028A23.genome.CDS.1117,group02126
AAA028A23.genome.CDS.1114,group01112
AAA028A23.genome.CDS.1115,group11641
AAA028A23.genome.CDS.1118,group12798
AAA028A23.genome.CDS.1119,group05281
AAA028A23.genome.CDS.1419,group00633
AAA028A23.genome.CDS.1418,group00278
AAA028A23.genome.CDS.1413,group00391
AAA028A23.genome.CDS.1412,group07168
AAA028A23.genome.CDS.1411,group04578
AAA028A23.genome.CDS.1410,group00710
AAA028A23.genome.CDS.1417,group00210
AAA028A23.genome.CDS.1416,group00785
AAA028A23.genome.CDS.1415,group00651
AAA028A23.genome.CDS.1414,group00589
AAA028A23.genome.CDS.1570,group00292
AAA028A23.genome.CDS.968,group01080
AAA028A23.genome.CDS.965,group00346
AAA028A23.genome.CDS.964,group00347
AAA028A23.genome.CDS.967,group01496
AAA028A23.genome.CDS.966,group00345
AAA028A23.genome.CDS.961,group03556
AAA028A23.genome.CDS.960,group04438
AAA028A23.genome.CDS.963,group00658
AAA028A23.genome.CDS.962,group08749
AAA028A23.genome.CDS.365,group03113
AAA028A23.genome.CDS.362,group00175
AAA028A23.genome.CDS.918,group00588
AAA028A23.genome.CDS.919,group00741
AAA028A23.genome.CDS.910,group00107
AAA028A23.genome.CDS.822,group00170
AAA028A23.genome.CDS.912,group00556
AAA028A23.genome.CDS.914,group00493
AAA028A23.genome.CDS.915,group04409
AAA028A23.genome.CDS.916,group00585
AAA028A23.genome.CDS.917,group07471
AAA028A23.genome.CDS.1246,group00765
AAA028A23.genome.CDS.1247,group00869
AAA028A23.genome.CDS.1244,group00246
AAA028A23.genome.CDS.1245,group00090
AAA028A23.genome.CDS.1242,group00548
AAA028A23.genome.CDS.1243,group00192
AAA028A23.genome.CDS.1569,group00124
AAA028A23.genome.CDS.1241,group00186
AAA028A23.genome.CDS.1567,group00373
AAA028A23.genome.CDS.1566,group11197
AAA028A23.genome.CDS.1565,group00450
AAA028A23.genome.CDS.1564,group05665
AAA028A23.genome.CDS.1248,group13710
AAA028A23.genome.CDS.1249,group00847
AAA028A23.genome.CDS.1303,group00787
AAA028A23.genome.CDS.1302,group00029
AAA028A23.genome.CDS.1301,group05008
AAA028A23.genome.CDS.1300,group00668
AAA028A23.genome.CDS.1307,group01706
AAA028A23.genome.CDS.1306,group00858
AAA028A23.genome.CDS.1305,group01480
AAA028A23.genome.CDS.1643,group00437
AAA028A23.genome.CDS.1093,group00918
AAA028A23.genome.CDS.1309,group00266
AAA028A23.genome.CDS.1308,group03462
AAA028A23.genome.CDS.214,group01895
AAA028A23.genome.CDS.1266,group00945
AAA028A23.genome.CDS.1478,group09831
AAA028A23.genome.CDS.1304,group00814
AAA028A23.genome.CDS.1018,group00010
AAA028A23.genome.CDS.1648,group00064
AAA028A23.genome.CDS.1133,group00401
AAA028A23.genome.CDS.1158,group00650
AAA028A23.genome.CDS.1159,group00634
AAA028A23.genome.CDS.1156,group00742
AAA028A23.genome.CDS.1157,group00997
AAA028A23.genome.CDS.1154,group00076
AAA028A23.genome.CDS.1155,group00185
AAA028A23.genome.CDS.1152,group00018
AAA028A23.genome.CDS.1153,group00483
AAA028A23.genome.CDS.1150,group07862
AAA028A23.genome.CDS.1151,group00553
AAA028A23.genome.CDS.1668,group00047
AAA028A23.genome.CDS.1669,group05272
AAA028A23.genome.CDS.1660,group00917
AAA028A23.genome.CDS.1661,group12591
AAA028A23.genome.CDS.1662,group00897
AAA028A23.genome.CDS.1663,group00896
AAA028A23.genome.CDS.1664,group00827
AAA028A23.genome.CDS.1665,group00307
AAA028A23.genome.CDS.1666,group08128
AAA028A23.genome.CDS.1058,group00328
AAA028A23.genome.CDS.911,group00527
AAA028A23.genome.CDS.1017,group00541
AAA028A23.genome.CDS.1016,group00540
AAA028A23.genome.CDS.1015,group00662
AAA028A23.genome.CDS.1014,group06574
AAA028A23.genome.CDS.1013,group00615
AAA028A23.genome.CDS.1012,group00822
AAA028A23.genome.CDS.1011,group00005
AAA028A23.genome.CDS.1010,group00644
AAA028A23.genome.CDS.1394,group00414
AAA028A23.genome.CDS.1395,group04034
AAA028A23.genome.CDS.1396,group00200
AAA028A23.genome.CDS.1397,group00719
AAA028A23.genome.CDS.1390,group13608
AAA028A23.genome.CDS.1391,group00857
AAA028A23.genome.CDS.1019,group00049
AAA028A23.genome.CDS.1393,group00413
AAA028A23.genome.CDS.1163,group12593
AAA028A23.genome.CDS.1009,group00724
AAA028A23.genome.CDS.1598,group00786
AAA028A23.genome.CDS.1599,group00898
AAA028A23.genome.CDS.1596,group00790
AAA028A23.genome.CDS.1597,group00887
AAA028A23.genome.CDS.1594,group01330
AAA028A23.genome.CDS.1595,group00720
AAA028A23.genome.CDS.1592,group01252
AAA028A23.genome.CDS.1593,group01375
AAA028A23.genome.CDS.1590,group00593
AAA028A23.genome.CDS.1591,group07007
AAA028A23.genome.CDS.1080,group01012
AAA028A23.genome.CDS.1081,group13668
AAA028A23.genome.CDS.1082,group00486
AAA028A23.genome.CDS.1083,group00395
AAA028A23.genome.CDS.1084,group01051
AAA028A23.genome.CDS.1085,group00263
AAA028A23.genome.CDS.1086,group11221
AAA028A23.genome.CDS.1087,group06511
AAA028A23.genome.CDS.1088,group13725
AAA028A23.genome.CDS.1089,group00831
AAA028A23.genome.CDS.628,group04112
AAA028A23.genome.CDS.1695,group00357
AAA028A23.genome.CDS.1694,group00353
AAA028A23.genome.CDS.1697,group00184
AAA028A23.genome.CDS.1696,group08257
AAA028A23.genome.CDS.1691,group00275
AAA028A23.genome.CDS.1690,group00621
AAA028A23.genome.CDS.1693,group00744
AAA028A23.genome.CDS.1692,group13878
AAA028A23.genome.CDS.1699,group00438
AAA028A23.genome.CDS.1169,group01495
AAA028A23.genome.CDS.1282,group05250
AAA028A23.genome.CDS.1283,group08226
AAA028A23.genome.CDS.1529,group00697
AAA028A23.genome.CDS.1003,group00045
AAA028A23.genome.CDS.1286,group03973
AAA028A23.genome.CDS.1287,group00349
AAA028A23.genome.CDS.1284,group01284
AAA028A23.genome.CDS.1285,group00300
AAA028A23.genome.CDS.1523,group00511
AAA028A23.genome.CDS.1522,group12981
AAA028A23.genome.CDS.1288,group00053
AAA028A23.genome.CDS.1289,group00083
AAA028A23.genome.CDS.1527,group00039
AAA028A23.genome.CDS.1526,group00087
AAA028A23.genome.CDS.1525,group00103
AAA028A23.genome.CDS.1524,group00209
AAA028A23.genome.CDS.954,group01897
AAA028A23.genome.CDS.955,group01340
AAA028A23.genome.CDS.956,group09996
AAA028A23.genome.CDS.957,group01992
AAA028A23.genome.CDS.950,group04327
AAA028A23.genome.CDS.951,group00434
AAA028A23.genome.CDS.952,group03850
AAA028A23.genome.CDS.953,group12706
AAA028A23.genome.CDS.958,group00024
AAA028A23.genome.CDS.959,group01021
AAA028A23.genome.CDS.1440,group05402
AAA028A23.genome.CDS.1441,group02184
AAA028A23.genome.CDS.1442,group12383
AAA028A23.genome.CDS.1443,group00017
AAA028A23.genome.CDS.1444,group00915
AAA028A23.genome.CDS.1445,group00959
AAA028A23.genome.CDS.1446,group01995
AAA028A23.genome.CDS.1447,group07148
AAA028A23.genome.CDS.1448,group00181
AAA028A23.genome.CDS.1449,group03551
AAA028A23.genome.CDS.1358,group03946
AAA028A23.genome.CDS.1359,group00624
AAA028A23.genome.CDS.1239,group00126
AAA028A23.genome.CDS.1238,group00146
AAA028A23.genome.CDS.1237,group00065
AAA028A23.genome.CDS.1236,group08483
AAA028A23.genome.CDS.1235,group07301
AAA028A23.genome.CDS.1234,group00066
AAA028A23.genome.CDS.1233,group00147
AAA028A23.genome.CDS.1232,group00111
AAA028A23.genome.CDS.1231,group00067
AAA028A23.genome.CDS.1230,group10108
AAA028A23.genome.CDS.1053,group00610
AAA028A23.genome.CDS.1052,group00618
AAA028A23.genome.CDS.1051,group07649
AAA028A23.genome.CDS.1050,group00580
AAA028A23.genome.CDS.1057,group12881
AAA028A23.genome.CDS.1056,group00595
AAA028A23.genome.CDS.1055,group00594
AAA028A23.genome.CDS.1054,group00522
AAA028A23.genome.CDS.1350,group09638
AAA028A23.genome.CDS.1351,group00108
AAA028A23.genome.CDS.1352,group01048
AAA028A23.genome.CDS.1353,group00167
AAA028A23.genome.CDS.1354,group01268
AAA028A23.genome.CDS.1355,group01196
AAA028A23.genome.CDS.1357,group06006
AAA028A23.genome.CDS.1624,group00894
AAA028A23.genome.CDS.1625,group00074
AAA028A23.genome.CDS.1626,group00802
AAA028A23.genome.CDS.1627,group01485
AAA028A23.genome.CDS.1621,group00568
AAA028A23.genome.CDS.1622,group00174
AAA028A23.genome.CDS.1623,group00285
AAA028A23.genome.CDS.1628,group00354
AAA028A23.genome.CDS.1629,group00134
AAA028A23.genome.CDS.1383,group00737
AAA028A23.genome.CDS.926,group00344
AAA028A23.genome.CDS.1561,group01262
AAA028A23.genome.CDS.1710,group00547
AAA028A23.genome.CDS.1560,group00236
AAA028A23.genome.CDS.1511,group00732
AAA028A23.genome.CDS.1650,group07954
AAA028A23.genome.CDS.1653,group00706
AAA028A23.genome.CDS.1652,group00025
AAA028A23.genome.CDS.1655,group01829
AAA028A23.genome.CDS.1654,group00202
AAA028A23.genome.CDS.1657,group00362
AAA028A23.genome.CDS.1656,group00394
AAA028A23.genome.CDS.1659,group02686
AAA028A23.genome.CDS.1658,group00257
AAA028A23.genome.CDS.1493,group12371
AAA028A23.genome.CDS.1492,group00002
AAA028A23.genome.CDS.1491,group00635
AAA028A23.genome.CDS.1490,group00426
AAA028A23.genome.CDS.1496,group00740
AAA028A23.genome.CDS.1495,group02173
AAA028A23.genome.CDS.1494,group01019
AAA028A23.genome.CDS.778,group00251
AAA028A23.genome.CDS.1711,group00284
AAA028A23.genome.CDS.1712,group01270
AAA028A23.genome.CDS.1713,group06192
AAA028A23.genome.CDS.1714,group00753
AAA028A23.genome.CDS.1715,group00445
AAA028A23.genome.CDS.1716,group00371
AAA028A23.genome.CDS.1717,group00214
AAA028A23.genome.CDS.873,group00297
AAA028A23.genome.CDS.872,group00227
AAA028A23.genome.CDS.871,group00893
AAA028A23.genome.CDS.870,group00444
AAA028A23.genome.CDS.877,group00252
AAA028A23.genome.CDS.876,group00366
AAA028A23.genome.CDS.875,group00296
AAA028A23.genome.CDS.874,group00412
AAA028A23.genome.CDS.879,group00800
AAA028A23.genome.CDS.878,group00376
AAA028A23.genome.CDS.1127,group02278
AAA028A23.genome.CDS.1126,group00731
AAA028A23.genome.CDS.1125,group01714
AAA028A23.genome.CDS.1124,group00052
AAA028A23.genome.CDS.1123,group00433
AAA028A23.genome.CDS.1122,group01513
AAA028A23.genome.CDS.1121,group02914
AAA028A23.genome.CDS.1129,group00952
AAA028A23.genome.CDS.1128,group00497
AAA028A23.genome.CDS.1408,group00682
AAA028A23.genome.CDS.1409,group00762
AAA028A23.genome.CDS.1404,group01238
AAA028A23.genome.CDS.1405,group00563
AAA028A23.genome.CDS.1406,group00324
AAA028A23.genome.CDS.1407,group00708
AAA028A23.genome.CDS.1400,group11765
AAA028A23.genome.CDS.1401,group00716
AAA028A23.genome.CDS.1402,group00768
AAA028A23.genome.CDS.1403,group00716
AAA028A23.genome.CDS.853,group11743
AAA028A23.genome.CDS.990,group04420
AAA028A23.genome.CDS.991,group00201
AAA028A23.genome.CDS.992,group01621
AAA028A23.genome.CDS.993,group00478
AAA028A23.genome.CDS.994,group08235
AAA028A23.genome.CDS.995,group08235
AAA028A23.genome.CDS.996,group01043
AAA028A23.genome.CDS.997,group00944
AAA028A23.genome.CDS.998,group00123
AAA028A23.genome.CDS.999,group00807
AAA028A23.genome.CDS.1519,group00436
AAA028A23.genome.CDS.852,group00853
AAA028A23.genome.CDS.1279,group00337
AAA028A23.genome.CDS.1278,group00030
AAA028A23.genome.CDS.1273,group11426
AAA028A23.genome.CDS.1272,group00771
AAA028A23.genome.CDS.1271,group00557
AAA028A23.genome.CDS.1270,group04032
AAA028A23.genome.CDS.194,group12857
AAA028A23.genome.CDS.1276,group00643
AAA028A23.genome.CDS.1275,group00669
AAA028A23.genome.CDS.1274,group00801
AAA028A23.genome.CDS.909,group00286
AAA028A23.genome.CDS.908,group08763
AAA028A23.genome.CDS.903,group00655
AAA028A23.genome.CDS.902,group00314
AAA028A23.genome.CDS.901,group11866
AAA028A23.genome.CDS.900,group00145
AAA028A23.genome.CDS.907,group02252
AAA028A23.genome.CDS.1424,group00330
AAA028A23.genome.CDS.905,group00859
AAA028A23.genome.CDS.904,group00313
AAA028A23.genome.CDS.1479,group00009
AAA028A23.genome.CDS.1571,group00513
AAA028A23.genome.CDS.1572,group00905
AAA028A23.genome.CDS.1573,group00971
AAA028A23.genome.CDS.1574,group07419
AAA028A23.genome.CDS.1575,group00700
AAA028A23.genome.CDS.1576,group00811
AAA028A23.genome.CDS.1577,group00704
AAA028A23.genome.CDS.1578,group00472
AAA028A23.genome.CDS.1470,group00964
AAA028A23.genome.CDS.1473,group00984
AAA028A23.genome.CDS.1472,group00224
AAA028A23.genome.CDS.1475,group00748
AAA028A23.genome.CDS.1474,group00510
AAA028A23.genome.CDS.1477,group00014
AAA028A23.genome.CDS.1476,group00955
AAA028A23.genome.CDS.1314,group00791
AAA028A23.genome.CDS.1315,group00850
AAA028A23.genome.CDS.1316,group00007
AAA028A23.genome.CDS.1317,group00948
AAA028A23.genome.CDS.1310,group00042
AAA028A23.genome.CDS.1311,group00505
AAA028A23.genome.CDS.1312,group00566
AAA028A23.genome.CDS.1313,group13756
AAA028A23.genome.CDS.1318,group00614
AAA028A23.genome.CDS.1319,group00690
AAA028A23.genome.CDS.1280,group01031
AAA028A23.genome.CDS.1428,group00115
AAA028A23.genome.CDS.1429,group00012
AAA028A23.genome.CDS.1008,group00849
AAA028A23.genome.CDS.1162,group00804
AAA028A23.genome.CDS.1161,group00834
AAA028A23.genome.CDS.1167,group04321
AAA028A23.genome.CDS.1166,group00951
AAA028A23.genome.CDS.1165,group00810
AAA028A23.genome.CDS.1164,group07309
AAA028A23.genome.CDS.1000,group00229
AAA028A23.genome.CDS.1001,group00575
AAA028A23.genome.CDS.1002,group00826
AAA028A23.genome.CDS.1168,group00679
AAA028A23.genome.CDS.1004,group00637
AAA028A23.genome.CDS.1005,group01032
AAA028A23.genome.CDS.1006,group00581
AAA028A23.genome.CDS.1007,group07755
AAA028A23.genome.CDS.1619,group00968
AAA028A23.genome.CDS.1618,group00011
AAA028A23.genome.CDS.1615,group00543
AAA028A23.genome.CDS.1614,group00570
AAA028A23.genome.CDS.1617,group00636
AAA028A23.genome.CDS.1616,group00056
AAA028A23.genome.CDS.1611,group00004
AAA028A23.genome.CDS.1610,group00016
AAA028A23.genome.CDS.1613,group01367
AAA028A23.genome.CDS.1612,group00515
AAA028A23.genome.CDS.1361,group00165
AAA028A23.genome.CDS.1360,group01626
AAA028A23.genome.CDS.1363,group00072
AAA028A23.genome.CDS.1362,group00054
