bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.2990,group08342
bin_7_acI-B2.genome.CDS.2993,group07818
bin_7_acI-B2.genome.CDS.2992,group00975
bin_7_acI-B2.genome.CDS.2999,group00563
bin_7_acI-B2.genome.CDS.2998,group00324
bin_7_acI-B2.genome.CDS.2977,group02243
bin_7_acI-B2.genome.CDS.2199,group02641
bin_7_acI-B2.genome.CDS.2198,group02241
bin_7_acI-B2.genome.CDS.2195,group00687
bin_7_acI-B2.genome.CDS.2194,group00796
bin_7_acI-B2.genome.CDS.2197,group02886
bin_7_acI-B2.genome.CDS.2196,group03121
bin_7_acI-B2.genome.CDS.2191,group02885
bin_7_acI-B2.genome.CDS.2190,group00541
bin_7_acI-B2.genome.CDS.2193,group03228
bin_7_acI-B2.genome.CDS.2192,group13889
bin_7_acI-B2.genome.CDS.2649,group00715
bin_7_acI-B2.genome.CDS.3733,group00881
bin_7_acI-B2.genome.CDS.3800,group08480
bin_7_acI-B2.genome.CDS.3801,group13056
bin_7_acI-B2.genome.CDS.3802,group14036
bin_7_acI-B2.genome.CDS.3803,group04515
bin_7_acI-B2.genome.CDS.3804,group03687
bin_7_acI-B2.genome.CDS.3805,group03686
bin_7_acI-B2.genome.CDS.3806,group08442
bin_7_acI-B2.genome.CDS.3807,group03684
bin_7_acI-B2.genome.CDS.3336,group00555
bin_7_acI-B2.genome.CDS.3809,group02647
bin_7_acI-B2.genome.CDS.2643,group00412
bin_7_acI-B2.genome.CDS.2642,group00296
bin_7_acI-B2.genome.CDS.3337,group00018
bin_7_acI-B2.genome.CDS.2049,group01997
bin_7_acI-B2.genome.CDS.2048,group00598
bin_7_acI-B2.genome.CDS.2047,group00760
bin_7_acI-B2.genome.CDS.2046,group00711
bin_7_acI-B2.genome.CDS.2045,group12621
bin_7_acI-B2.genome.CDS.2044,group02238
bin_7_acI-B2.genome.CDS.2043,group13872
bin_7_acI-B2.genome.CDS.2042,group00950
bin_7_acI-B2.genome.CDS.2041,group05283
bin_7_acI-B2.genome.CDS.2040,group05448
bin_7_acI-B2.genome.CDS.3248,group00760
bin_7_acI-B2.genome.CDS.3249,group00711
bin_7_acI-B2.genome.CDS.3246,group00263
bin_7_acI-B2.genome.CDS.3247,group00756
bin_7_acI-B2.genome.CDS.3244,group00390
bin_7_acI-B2.genome.CDS.3245,group01051
bin_7_acI-B2.genome.CDS.3242,group00397
bin_7_acI-B2.genome.CDS.3243,group00486
bin_7_acI-B2.genome.CDS.3240,group00752
bin_7_acI-B2.genome.CDS.3241,group01015
bin_7_acI-B2.genome.CDS.512,group13756
bin_7_acI-B2.genome.CDS.2458,group08342
bin_7_acI-B2.genome.CDS.2459,group02890
bin_7_acI-B2.genome.CDS.3103,group01180
bin_7_acI-B2.genome.CDS.3102,group01270
bin_7_acI-B2.genome.CDS.3105,group01079
bin_7_acI-B2.genome.CDS.3104,group00869
bin_7_acI-B2.genome.CDS.3107,group03955
bin_7_acI-B2.genome.CDS.3106,group01902
bin_7_acI-B2.genome.CDS.3109,group04060
bin_7_acI-B2.genome.CDS.2451,group04224
bin_7_acI-B2.genome.CDS.2452,group13906
bin_7_acI-B2.genome.CDS.2453,group01077
bin_7_acI-B2.genome.CDS.2454,group00952
bin_7_acI-B2.genome.CDS.2455,group00633
bin_7_acI-B2.genome.CDS.2456,group13905
bin_7_acI-B2.genome.CDS.2457,group13914
bin_7_acI-B2.genome.CDS.263,group02080
bin_7_acI-B2.genome.CDS.2298,group03681
bin_7_acI-B2.genome.CDS.2299,group07457
bin_7_acI-B2.genome.CDS.2296,group00732
bin_7_acI-B2.genome.CDS.2297,group00960
bin_7_acI-B2.genome.CDS.2294,group00846
bin_7_acI-B2.genome.CDS.2295,group00775
bin_7_acI-B2.genome.CDS.2292,group09900
bin_7_acI-B2.genome.CDS.2293,group04004
bin_7_acI-B2.genome.CDS.2290,group09759
bin_7_acI-B2.genome.CDS.2291,group00601
bin_7_acI-B2.genome.CDS.3079,group00086
bin_7_acI-B2.genome.CDS.3078,group00084
bin_7_acI-B2.genome.CDS.3075,group13973
bin_7_acI-B2.genome.CDS.3074,group13627
bin_7_acI-B2.genome.CDS.3077,group00627
bin_7_acI-B2.genome.CDS.3076,group00205
bin_7_acI-B2.genome.CDS.3071,group00879
bin_7_acI-B2.genome.CDS.3070,group13974
bin_7_acI-B2.genome.CDS.3073,group03524
bin_7_acI-B2.genome.CDS.3072,group00642
bin_7_acI-B2.genome.CDS.2670,group00216
bin_7_acI-B2.genome.CDS.2671,group00438
bin_7_acI-B2.genome.CDS.2672,group00864
bin_7_acI-B2.genome.CDS.2673,group00573
bin_7_acI-B2.genome.CDS.2674,group00667
bin_7_acI-B2.genome.CDS.2675,group00605
bin_7_acI-B2.genome.CDS.2676,group01589
bin_7_acI-B2.genome.CDS.2678,group01991
bin_7_acI-B2.genome.CDS.2679,group01575
bin_7_acI-B2.genome.CDS.3655,group00738
bin_7_acI-B2.genome.CDS.3654,group00364
bin_7_acI-B2.genome.CDS.3657,group12417
bin_7_acI-B2.genome.CDS.3656,group00854
bin_7_acI-B2.genome.CDS.2708,group00199
bin_7_acI-B2.genome.CDS.2709,group00576
bin_7_acI-B2.genome.CDS.3653,group00083
bin_7_acI-B2.genome.CDS.3652,group00291
bin_7_acI-B2.genome.CDS.2704,group11566
bin_7_acI-B2.genome.CDS.2705,group00829
bin_7_acI-B2.genome.CDS.2706,group01021
bin_7_acI-B2.genome.CDS.2707,group00023
bin_7_acI-B2.genome.CDS.3659,group00414
bin_7_acI-B2.genome.CDS.3658,group00413
bin_7_acI-B2.genome.CDS.2702,group00873
bin_7_acI-B2.genome.CDS.2703,group00350
bin_7_acI-B2.genome.CDS.3497,group00180
bin_7_acI-B2.genome.CDS.3496,group00179
bin_7_acI-B2.genome.CDS.3495,group00531
bin_7_acI-B2.genome.CDS.3494,group07221
bin_7_acI-B2.genome.CDS.3493,group02243
bin_7_acI-B2.genome.CDS.3492,group02087
bin_7_acI-B2.genome.CDS.3491,group12774
bin_7_acI-B2.genome.CDS.3490,group03695
bin_7_acI-B2.genome.CDS.3499,group00914
bin_7_acI-B2.genome.CDS.3498,group00238
bin_7_acI-B2.genome.CDS.1720,group14027
bin_7_acI-B2.genome.CDS.2854,group01659
bin_7_acI-B2.genome.CDS.2855,group12822
bin_7_acI-B2.genome.CDS.2856,group04015
bin_7_acI-B2.genome.CDS.2857,group09276
bin_7_acI-B2.genome.CDS.2850,group01007
bin_7_acI-B2.genome.CDS.2851,group00500
bin_7_acI-B2.genome.CDS.2852,group00507
bin_7_acI-B2.genome.CDS.2853,group01257
bin_7_acI-B2.genome.CDS.2858,group09041
bin_7_acI-B2.genome.CDS.2859,group11935
bin_7_acI-B2.genome.CDS.90,group00399
bin_7_acI-B2.genome.CDS.3228,group10223
bin_7_acI-B2.genome.CDS.3063,group00078
bin_7_acI-B2.genome.CDS.3226,group01346
bin_7_acI-B2.genome.CDS.3227,group04347
bin_7_acI-B2.genome.CDS.3813,group09715
bin_7_acI-B2.genome.CDS.3812,group13129
bin_7_acI-B2.genome.CDS.3811,group00943
bin_7_acI-B2.genome.CDS.3817,group07110
bin_7_acI-B2.genome.CDS.3816,group10963
bin_7_acI-B2.genome.CDS.3815,group00013
bin_7_acI-B2.genome.CDS.3814,group01405
bin_7_acI-B2.genome.CDS.3819,group01189
bin_7_acI-B2.genome.CDS.3818,group08410
bin_7_acI-B2.genome.CDS.2078,group03680
bin_7_acI-B2.genome.CDS.2079,group13935
bin_7_acI-B2.genome.CDS.2072,group02880
bin_7_acI-B2.genome.CDS.2073,group02396
bin_7_acI-B2.genome.CDS.2070,group02640
bin_7_acI-B2.genome.CDS.2071,group06511
bin_7_acI-B2.genome.CDS.2076,group03710
bin_7_acI-B2.genome.CDS.2077,group02424
bin_7_acI-B2.genome.CDS.2074,group01518
bin_7_acI-B2.genome.CDS.2075,group04516
bin_7_acI-B2.genome.CDS.3259,group00419
bin_7_acI-B2.genome.CDS.3258,group00148
bin_7_acI-B2.genome.CDS.3251,group00774
bin_7_acI-B2.genome.CDS.3250,group01628
bin_7_acI-B2.genome.CDS.3253,group02338
bin_7_acI-B2.genome.CDS.3252,group01129
bin_7_acI-B2.genome.CDS.3255,group08226
bin_7_acI-B2.genome.CDS.3254,group02334
bin_7_acI-B2.genome.CDS.3257,group00092
bin_7_acI-B2.genome.CDS.1784,group00680
bin_7_acI-B2.genome.CDS.3512,group01390
bin_7_acI-B2.genome.CDS.2449,group13907
bin_7_acI-B2.genome.CDS.2448,group13908
bin_7_acI-B2.genome.CDS.2443,group05236
bin_7_acI-B2.genome.CDS.2442,group13911
bin_7_acI-B2.genome.CDS.2441,group01016
bin_7_acI-B2.genome.CDS.2440,group00472
bin_7_acI-B2.genome.CDS.2447,group13909
bin_7_acI-B2.genome.CDS.2446,group05323
bin_7_acI-B2.genome.CDS.2445,group13910
bin_7_acI-B2.genome.CDS.2444,group04042
bin_7_acI-B2.genome.CDS.2256,group00274
bin_7_acI-B2.genome.CDS.704,group13660
bin_7_acI-B2.genome.CDS.2289,group01202
bin_7_acI-B2.genome.CDS.2288,group02420
bin_7_acI-B2.genome.CDS.2281,group00071
bin_7_acI-B2.genome.CDS.2280,group10917
bin_7_acI-B2.genome.CDS.2283,group01200
bin_7_acI-B2.genome.CDS.2282,group00982
bin_7_acI-B2.genome.CDS.2285,group00267
bin_7_acI-B2.genome.CDS.2284,group01201
bin_7_acI-B2.genome.CDS.2287,group00069
bin_7_acI-B2.genome.CDS.2286,group01056
bin_7_acI-B2.genome.CDS.3008,group13966
bin_7_acI-B2.genome.CDS.3001,group00714
bin_7_acI-B2.genome.CDS.3002,group00768
bin_7_acI-B2.genome.CDS.3003,group00963
bin_7_acI-B2.genome.CDS.3004,group10212
bin_7_acI-B2.genome.CDS.3005,group00931
bin_7_acI-B2.genome.CDS.3006,group08257
bin_7_acI-B2.genome.CDS.3007,group03198
bin_7_acI-B2.genome.CDS.1863,group01141
bin_7_acI-B2.genome.CDS.928,group03712
bin_7_acI-B2.genome.CDS.927,group00504
bin_7_acI-B2.genome.CDS.2663,group02824
bin_7_acI-B2.genome.CDS.2662,group12642
bin_7_acI-B2.genome.CDS.2661,group00355
bin_7_acI-B2.genome.CDS.2660,group07649
bin_7_acI-B2.genome.CDS.2667,group08980
bin_7_acI-B2.genome.CDS.2665,group01467
bin_7_acI-B2.genome.CDS.2664,group01313
bin_7_acI-B2.genome.CDS.2669,group13934
bin_7_acI-B2.genome.CDS.2668,group02821
bin_7_acI-B2.genome.CDS.3714,group00527
bin_7_acI-B2.genome.CDS.3715,group00107
bin_7_acI-B2.genome.CDS.3716,group00426
bin_7_acI-B2.genome.CDS.3717,group00286
bin_7_acI-B2.genome.CDS.3710,group02920
bin_7_acI-B2.genome.CDS.3711,group00490
bin_7_acI-B2.genome.CDS.3712,group00415
bin_7_acI-B2.genome.CDS.3713,group00556
bin_7_acI-B2.genome.CDS.3718,group07930
bin_7_acI-B2.genome.CDS.3719,group00162
bin_7_acI-B2.genome.CDS.1405,group00477
bin_7_acI-B2.genome.CDS.3620,group07708
bin_7_acI-B2.genome.CDS.3621,group04417
bin_7_acI-B2.genome.CDS.3622,group05294
bin_7_acI-B2.genome.CDS.3623,group08653
bin_7_acI-B2.genome.CDS.3624,group00470
bin_7_acI-B2.genome.CDS.3625,group00535
bin_7_acI-B2.genome.CDS.3626,group00533
bin_7_acI-B2.genome.CDS.2718,group00467
bin_7_acI-B2.genome.CDS.2717,group01123
bin_7_acI-B2.genome.CDS.3629,group00534
bin_7_acI-B2.genome.CDS.2715,group00007
bin_7_acI-B2.genome.CDS.2714,group00325
bin_7_acI-B2.genome.CDS.2713,group12857
bin_7_acI-B2.genome.CDS.2712,group00289
bin_7_acI-B2.genome.CDS.2711,group04410
bin_7_acI-B2.genome.CDS.2710,group08487
bin_7_acI-B2.genome.CDS.1082,group13981
bin_7_acI-B2.genome.CDS.2847,group01308
bin_7_acI-B2.genome.CDS.2846,group03680
bin_7_acI-B2.genome.CDS.2845,group13947
bin_7_acI-B2.genome.CDS.2844,group00674
bin_7_acI-B2.genome.CDS.2843,group01299
bin_7_acI-B2.genome.CDS.2842,group12900
bin_7_acI-B2.genome.CDS.2841,group13948
bin_7_acI-B2.genome.CDS.2840,group04324
bin_7_acI-B2.genome.CDS.2849,group01404
bin_7_acI-B2.genome.CDS.2848,group01058
bin_7_acI-B2.genome.CDS.3538,group00208
bin_7_acI-B2.genome.CDS.3539,group00103
bin_7_acI-B2.genome.CDS.3534,group02783
bin_7_acI-B2.genome.CDS.3535,group13063
bin_7_acI-B2.genome.CDS.3536,group03196
bin_7_acI-B2.genome.CDS.3537,group00511
bin_7_acI-B2.genome.CDS.3530,group13598
bin_7_acI-B2.genome.CDS.3531,group02428
bin_7_acI-B2.genome.CDS.3532,group12252
bin_7_acI-B2.genome.CDS.3533,group04223
bin_7_acI-B2.genome.CDS.88,group04517
bin_7_acI-B2.genome.CDS.2946,group11216
bin_7_acI-B2.genome.CDS.1396,group00170
bin_7_acI-B2.genome.CDS.2548,group04514
bin_7_acI-B2.genome.CDS.3398,group00705
bin_7_acI-B2.genome.CDS.3399,group00811
bin_7_acI-B2.genome.CDS.3090,group00487
bin_7_acI-B2.genome.CDS.3828,group02886
bin_7_acI-B2.genome.CDS.3829,group02885
bin_7_acI-B2.genome.CDS.3826,group00788
bin_7_acI-B2.genome.CDS.3391,group08921
bin_7_acI-B2.genome.CDS.3824,group01395
bin_7_acI-B2.genome.CDS.3393,group00638
bin_7_acI-B2.genome.CDS.3394,group02709
bin_7_acI-B2.genome.CDS.3395,group00985
bin_7_acI-B2.genome.CDS.3396,group00971
bin_7_acI-B2.genome.CDS.3821,group02641
bin_7_acI-B2.genome.CDS.2065,group02638
bin_7_acI-B2.genome.CDS.2064,group05325
bin_7_acI-B2.genome.CDS.2067,group00948
bin_7_acI-B2.genome.CDS.2066,group13922
bin_7_acI-B2.genome.CDS.2061,group00656
bin_7_acI-B2.genome.CDS.2060,group00980
bin_7_acI-B2.genome.CDS.2063,group00877
bin_7_acI-B2.genome.CDS.2062,group00207
bin_7_acI-B2.genome.CDS.2069,group00933
bin_7_acI-B2.genome.CDS.2540,group12857
bin_7_acI-B2.genome.CDS.2541,group00325
bin_7_acI-B2.genome.CDS.2476,group07221
bin_7_acI-B2.genome.CDS.2477,group00531
bin_7_acI-B2.genome.CDS.2474,group02087
bin_7_acI-B2.genome.CDS.2475,group02243
bin_7_acI-B2.genome.CDS.2472,group12774
bin_7_acI-B2.genome.CDS.2473,group03800
bin_7_acI-B2.genome.CDS.2470,group03968
bin_7_acI-B2.genome.CDS.2471,group01318
bin_7_acI-B2.genome.CDS.2783,group01483
bin_7_acI-B2.genome.CDS.2478,group00179
bin_7_acI-B2.genome.CDS.2479,group00180
bin_7_acI-B2.genome.CDS.2513,group01343
bin_7_acI-B2.genome.CDS.2274,group04321
bin_7_acI-B2.genome.CDS.2275,group03116
bin_7_acI-B2.genome.CDS.2276,group01331
bin_7_acI-B2.genome.CDS.2277,group02505
bin_7_acI-B2.genome.CDS.2270,group13659
bin_7_acI-B2.genome.CDS.2271,group00613
bin_7_acI-B2.genome.CDS.2272,group01301
bin_7_acI-B2.genome.CDS.2273,group05662
bin_7_acI-B2.genome.CDS.2278,group02903
bin_7_acI-B2.genome.CDS.2279,group01032
bin_7_acI-B2.genome.CDS.3019,group00609
bin_7_acI-B2.genome.CDS.3018,group03693
bin_7_acI-B2.genome.CDS.3013,group00841
bin_7_acI-B2.genome.CDS.3012,group00454
bin_7_acI-B2.genome.CDS.3011,group00384
bin_7_acI-B2.genome.CDS.3010,group13628
bin_7_acI-B2.genome.CDS.3017,group06006
bin_7_acI-B2.genome.CDS.3016,group01196
bin_7_acI-B2.genome.CDS.3015,group05437
bin_7_acI-B2.genome.CDS.3014,group01284
bin_7_acI-B2.genome.CDS.2380,group02652
bin_7_acI-B2.genome.CDS.2381,group02940
bin_7_acI-B2.genome.CDS.2382,group00353
bin_7_acI-B2.genome.CDS.2383,group00574
bin_7_acI-B2.genome.CDS.2384,group13751
bin_7_acI-B2.genome.CDS.2385,group00694
bin_7_acI-B2.genome.CDS.2386,group00840
bin_7_acI-B2.genome.CDS.2387,group00744
bin_7_acI-B2.genome.CDS.2388,group01317
bin_7_acI-B2.genome.CDS.2389,group06574
bin_7_acI-B2.genome.CDS.295,group04512
bin_7_acI-B2.genome.CDS.930,group03153
bin_7_acI-B2.genome.CDS.2498,group00791
bin_7_acI-B2.genome.CDS.2499,group12691
bin_7_acI-B2.genome.CDS.2494,group06644
bin_7_acI-B2.genome.CDS.2495,group00171
bin_7_acI-B2.genome.CDS.2496,group00776
bin_7_acI-B2.genome.CDS.2497,group13919
bin_7_acI-B2.genome.CDS.2490,group02085
bin_7_acI-B2.genome.CDS.2491,group08680
bin_7_acI-B2.genome.CDS.2492,group02823
bin_7_acI-B2.genome.CDS.2493,group00036
bin_7_acI-B2.genome.CDS.3707,group00588
bin_7_acI-B2.genome.CDS.3706,group00741
bin_7_acI-B2.genome.CDS.3705,group00466
bin_7_acI-B2.genome.CDS.3704,group00447
bin_7_acI-B2.genome.CDS.3703,group12069
bin_7_acI-B2.genome.CDS.3702,group00008
bin_7_acI-B2.genome.CDS.3701,group13604
bin_7_acI-B2.genome.CDS.2659,group00618
bin_7_acI-B2.genome.CDS.2656,group00594
bin_7_acI-B2.genome.CDS.2657,group00523
bin_7_acI-B2.genome.CDS.2654,group03037
bin_7_acI-B2.genome.CDS.2655,group00595
bin_7_acI-B2.genome.CDS.2652,group11640
bin_7_acI-B2.genome.CDS.2653,group00616
bin_7_acI-B2.genome.CDS.2650,group00612
bin_7_acI-B2.genome.CDS.3708,group07471
bin_7_acI-B2.genome.CDS.3112,group11259
bin_7_acI-B2.genome.CDS.2428,group01587
bin_7_acI-B2.genome.CDS.3633,group00206
bin_7_acI-B2.genome.CDS.3632,group12833
bin_7_acI-B2.genome.CDS.2728,group06642
bin_7_acI-B2.genome.CDS.2729,group00670
bin_7_acI-B2.genome.CDS.3637,group00333
bin_7_acI-B2.genome.CDS.3636,group00410
bin_7_acI-B2.genome.CDS.3635,group01446
bin_7_acI-B2.genome.CDS.3634,group00210
bin_7_acI-B2.genome.CDS.2722,group00298
bin_7_acI-B2.genome.CDS.2723,group10360
bin_7_acI-B2.genome.CDS.2720,group00017
bin_7_acI-B2.genome.CDS.2721,group00817
bin_7_acI-B2.genome.CDS.2726,group13937
bin_7_acI-B2.genome.CDS.2727,group01057
bin_7_acI-B2.genome.CDS.2724,group07488
bin_7_acI-B2.genome.CDS.2725,group01892
bin_7_acI-B2.genome.CDS.1090,group02080
