AAA044D11.genome.CDS.2166,group11291
AAA044D11.genome.CDS.2013,group00559
AAA044D11.genome.CDS.2010,group00646
AAA044D11.genome.CDS.2011,group01313
AAA044D11.genome.CDS.2016,group00539
AAA044D11.genome.CDS.2017,group05537
AAA044D11.genome.CDS.2014,group11946
AAA044D11.genome.CDS.1760,group00856
AAA044D11.genome.CDS.1839,group00418
AAA044D11.genome.CDS.1968,group00040
AAA044D11.genome.CDS.2168,group01198
AAA044D11.genome.CDS.1963,group00007
AAA044D11.genome.CDS.1962,group00948
AAA044D11.genome.CDS.1961,group00691
AAA044D11.genome.CDS.2169,group00044
AAA044D11.genome.CDS.1967,group00569
AAA044D11.genome.CDS.1966,group13755
AAA044D11.genome.CDS.1965,group00791
AAA044D11.genome.CDS.1964,group00850
AAA044D11.genome.CDS.2081,group01993
AAA044D11.genome.CDS.2080,group00117
AAA044D11.genome.CDS.1178,group00575
AAA044D11.genome.CDS.1838,group00776
AAA044D11.genome.CDS.329,group00477
AAA044D11.genome.CDS.2082,group00684
AAA044D11.genome.CDS.1571,group01991
AAA044D11.genome.CDS.1893,group00140
AAA044D11.genome.CDS.1582,group01454
AAA044D11.genome.CDS.324,group10917
AAA044D11.genome.CDS.1668,group00603
AAA044D11.genome.CDS.1742,group00390
AAA044D11.genome.CDS.1741,group00589
AAA044D11.genome.CDS.1740,group00652
AAA044D11.genome.CDS.1905,group00775
AAA044D11.genome.CDS.2087,group00241
AAA044D11.genome.CDS.1745,group00685
AAA044D11.genome.CDS.1908,group00602
AAA044D11.genome.CDS.1660,group00388
AAA044D11.genome.CDS.1661,group11648
AAA044D11.genome.CDS.1749,group01238
AAA044D11.genome.CDS.1890,group00795
AAA044D11.genome.CDS.1664,group00442
AAA044D11.genome.CDS.1665,group00212
AAA044D11.genome.CDS.1666,group08980
AAA044D11.genome.CDS.1667,group11516
AAA044D11.genome.CDS.1750,group00714
AAA044D11.genome.CDS.2179,group00092
AAA044D11.genome.CDS.1618,group04420
AAA044D11.genome.CDS.1430,group00306
AAA044D11.genome.CDS.2231,group08676
AAA044D11.genome.CDS.1901,group11853
AAA044D11.genome.CDS.1614,group00362
AAA044D11.genome.CDS.1329,group13830
AAA044D11.genome.CDS.2178,group00093
AAA044D11.genome.CDS.2159,group07852
AAA044D11.genome.CDS.1903,group00960
AAA044D11.genome.CDS.1737,group00279
AAA044D11.genome.CDS.1907,group00623
AAA044D11.genome.CDS.1246,group12056
AAA044D11.genome.CDS.1902,group00367
AAA044D11.genome.CDS.1485,group00590
AAA044D11.genome.CDS.1598,group00375
AAA044D11.genome.CDS.1599,group00803
AAA044D11.genome.CDS.1596,group00123
AAA044D11.genome.CDS.1758,group08257
AAA044D11.genome.CDS.1594,group05490
AAA044D11.genome.CDS.1595,group04205
AAA044D11.genome.CDS.1592,group03524
AAA044D11.genome.CDS.1593,group00926
AAA044D11.genome.CDS.1590,group02451
AAA044D11.genome.CDS.1759,group00941
AAA044D11.genome.CDS.2337,group05936
AAA044D11.genome.CDS.2335,group00363
AAA044D11.genome.CDS.2334,group00545
AAA044D11.genome.CDS.2333,group00621
AAA044D11.genome.CDS.2332,group01178
AAA044D11.genome.CDS.2331,group06029
AAA044D11.genome.CDS.2330,group00153
AAA044D11.genome.CDS.1612,group00331
AAA044D11.genome.CDS.1738,group00210
AAA044D11.genome.CDS.2339,group00584
AAA044D11.genome.CDS.2338,group00513
AAA044D11.genome.CDS.1347,group06264
AAA044D11.genome.CDS.1694,group03113
AAA044D11.genome.CDS.1697,group06565
AAA044D11.genome.CDS.1696,group02484
AAA044D11.genome.CDS.1691,group01918
AAA044D11.genome.CDS.1342,group05491
AAA044D11.genome.CDS.1693,group01489
AAA044D11.genome.CDS.1692,group01714
AAA044D11.genome.CDS.1568,group00195
AAA044D11.genome.CDS.1699,group13878
AAA044D11.genome.CDS.1698,group05756
AAA044D11.genome.CDS.1349,group00449
AAA044D11.genome.CDS.1348,group05436
AAA044D11.genome.CDS.1339,group00891
AAA044D11.genome.CDS.1924,group01208
AAA044D11.genome.CDS.1930,group13701
AAA044D11.genome.CDS.1564,group00481
AAA044D11.genome.CDS.1931,group04115
AAA044D11.genome.CDS.1932,group00832
AAA044D11.genome.CDS.2295,group00723
AAA044D11.genome.CDS.2209,group05916
AAA044D11.genome.CDS.2208,group01079
AAA044D11.genome.CDS.2203,group04454
AAA044D11.genome.CDS.1934,group04297
AAA044D11.genome.CDS.2201,group00392
AAA044D11.genome.CDS.2200,group00374
AAA044D11.genome.CDS.2207,group01396
AAA044D11.genome.CDS.2206,group00706
AAA044D11.genome.CDS.2205,group00713
AAA044D11.genome.CDS.1621,group08279
AAA044D11.genome.CDS.1440,group00715
AAA044D11.genome.CDS.1441,group00612
AAA044D11.genome.CDS.1442,group02011
AAA044D11.genome.CDS.1443,group00328
AAA044D11.genome.CDS.1444,group00616
AAA044D11.genome.CDS.1445,group00595
AAA044D11.genome.CDS.1446,group00594
AAA044D11.genome.CDS.1447,group00522
AAA044D11.genome.CDS.1448,group00610
AAA044D11.genome.CDS.1449,group00618
AAA044D11.genome.CDS.1623,group00869
AAA044D11.genome.CDS.1316,group00056
AAA044D11.genome.CDS.1282,group10513
AAA044D11.genome.CDS.1831,group00045
AAA044D11.genome.CDS.1280,group11566
AAA044D11.genome.CDS.1528,group00790
AAA044D11.genome.CDS.1286,group08165
AAA044D11.genome.CDS.1287,group01375
AAA044D11.genome.CDS.1284,group01292
AAA044D11.genome.CDS.1285,group03117
AAA044D11.genome.CDS.1433,group00897
AAA044D11.genome.CDS.1522,group00849
AAA044D11.genome.CDS.1521,group00975
AAA044D11.genome.CDS.1520,group00000
AAA044D11.genome.CDS.1527,group01270
AAA044D11.genome.CDS.1526,group00568
AAA044D11.genome.CDS.1525,group00073
AAA044D11.genome.CDS.1311,group00624
AAA044D11.genome.CDS.2056,group05439
AAA044D11.genome.CDS.2057,group00000
AAA044D11.genome.CDS.2054,group05531
AAA044D11.genome.CDS.2055,group04210
AAA044D11.genome.CDS.2052,group03608
AAA044D11.genome.CDS.1644,group00642
AAA044D11.genome.CDS.2119,group02334
AAA044D11.genome.CDS.2051,group05532
AAA044D11.genome.CDS.2117,group00843
AAA044D11.genome.CDS.1835,group00531
AAA044D11.genome.CDS.2115,group07826
AAA044D11.genome.CDS.2114,group11574
AAA044D11.genome.CDS.2113,group01282
AAA044D11.genome.CDS.2112,group01282
AAA044D11.genome.CDS.2058,group01520
AAA044D11.genome.CDS.2110,group03819
AAA044D11.genome.CDS.1848,group00427
AAA044D11.genome.CDS.1849,group00697
AAA044D11.genome.CDS.1844,group00490
AAA044D11.genome.CDS.1845,group00489
AAA044D11.genome.CDS.2007,group00680
AAA044D11.genome.CDS.1847,group00469
AAA044D11.genome.CDS.1840,group00528
AAA044D11.genome.CDS.1841,group00417
AAA044D11.genome.CDS.1842,group00739
AAA044D11.genome.CDS.1843,group01092
AAA044D11.genome.CDS.1830,group08124
AAA044D11.genome.CDS.1510,group10435
AAA044D11.genome.CDS.1239,group01483
AAA044D11.genome.CDS.1238,group03566
AAA044D11.genome.CDS.1237,group00500
AAA044D11.genome.CDS.1235,group00609
AAA044D11.genome.CDS.1511,group00353
AAA044D11.genome.CDS.1233,group07148
AAA044D11.genome.CDS.1232,group00383
AAA044D11.genome.CDS.1231,group00725
AAA044D11.genome.CDS.1230,group00512
AAA044D11.genome.CDS.367,group00884
AAA044D11.genome.CDS.973,group07712
AAA044D11.genome.CDS.2006,group00663
AAA044D11.genome.CDS.1948,group05915
AAA044D11.genome.CDS.1624,group00425
AAA044D11.genome.CDS.1625,group00382
AAA044D11.genome.CDS.1626,group00431
AAA044D11.genome.CDS.1933,group04771
AAA044D11.genome.CDS.1620,group11238
AAA044D11.genome.CDS.1935,group05497
AAA044D11.genome.CDS.1936,group04166
AAA044D11.genome.CDS.1937,group04118
AAA044D11.genome.CDS.1938,group01848
AAA044D11.genome.CDS.1939,group05909
AAA044D11.genome.CDS.1833,group05914
AAA044D11.genome.CDS.1832,group12383
AAA044D11.genome.CDS.1628,group00089
AAA044D11.genome.CDS.1834,group00009
AAA044D11.genome.CDS.1837,group01038
AAA044D11.genome.CDS.1836,group01257
AAA044D11.genome.CDS.2019,group13051
AAA044D11.genome.CDS.1451,group00580
AAA044D11.genome.CDS.1450,group07649
AAA044D11.genome.CDS.1769,group00097
AAA044D11.genome.CDS.70,group00505
AAA044D11.genome.CDS.2012,group01972
AAA044D11.genome.CDS.1809,group10353
AAA044D11.genome.CDS.1718,group00022
AAA044D11.genome.CDS.1492,group00181
AAA044D11.genome.CDS.1490,group00456
AAA044D11.genome.CDS.1497,group11426
AAA044D11.genome.CDS.1496,group00063
AAA044D11.genome.CDS.1495,group00830
AAA044D11.genome.CDS.1494,group00068
AAA044D11.genome.CDS.1710,group00822
AAA044D11.genome.CDS.1711,group10214
AAA044D11.genome.CDS.1712,group05901
AAA044D11.genome.CDS.1713,group00597
AAA044D11.genome.CDS.1714,group12069
AAA044D11.genome.CDS.2296,group00698
AAA044D11.genome.CDS.1716,group11765
AAA044D11.genome.CDS.1717,group00546
AAA044D11.genome.CDS.2297,group00722
AAA044D11.genome.CDS.741,group10262
AAA044D11.genome.CDS.2290,group00541
AAA044D11.genome.CDS.629,group01299
AAA044D11.genome.CDS.2291,group00540
AAA044D11.genome.CDS.828,group00230
AAA044D11.genome.CDS.1789,group05906
AAA044D11.genome.CDS.1470,group00335
AAA044D11.genome.CDS.1182,group01017
AAA044D11.genome.CDS.827,group01275
AAA044D11.genome.CDS.1351,group00348
AAA044D11.genome.CDS.2313,group00439
AAA044D11.genome.CDS.1651,group04115
AAA044D11.genome.CDS.1650,group00193
AAA044D11.genome.CDS.1301,group00227
AAA044D11.genome.CDS.1300,group00984
AAA044D11.genome.CDS.1307,group00161
AAA044D11.genome.CDS.1306,group00562
AAA044D11.genome.CDS.1657,group00269
AAA044D11.genome.CDS.1656,group00780
AAA044D11.genome.CDS.1659,group00507
AAA044D11.genome.CDS.1658,group00506
AAA044D11.genome.CDS.1309,group02618
AAA044D11.genome.CDS.1308,group01384
AAA044D11.genome.CDS.2314,group00386
AAA044D11.genome.CDS.1783,group00322
AAA044D11.genome.CDS.2128,group04959
AAA044D11.genome.CDS.2299,group06578
AAA044D11.genome.CDS.1761,group00384
AAA044D11.genome.CDS.956,group05927
AAA044D11.genome.CDS.2129,group05924
AAA044D11.genome.CDS.592,group08176
AAA044D11.genome.CDS.2318,group00410
AAA044D11.genome.CDS.593,group08132
AAA044D11.genome.CDS.2312,group01010
AAA044D11.genome.CDS.1960,group00641
AAA044D11.genome.CDS.1398,group01340
AAA044D11.genome.CDS.1399,group00614
AAA044D11.genome.CDS.1394,group01861
AAA044D11.genome.CDS.1395,group13668
AAA044D11.genome.CDS.1396,group01405
AAA044D11.genome.CDS.1397,group09927
AAA044D11.genome.CDS.1390,group06511
AAA044D11.genome.CDS.1391,group05250
AAA044D11.genome.CDS.1392,group00716
AAA044D11.genome.CDS.1393,group09996
AAA044D11.genome.CDS.1481,group00297
AAA044D11.genome.CDS.1408,group00801
AAA044D11.genome.CDS.1409,group11394
AAA044D11.genome.CDS.1404,group00037
AAA044D11.genome.CDS.1405,group00793
AAA044D11.genome.CDS.1406,group00643
AAA044D11.genome.CDS.1407,group00660
AAA044D11.genome.CDS.1400,group12009
AAA044D11.genome.CDS.1401,group01080
AAA044D11.genome.CDS.1402,group01036
AAA044D11.genome.CDS.1403,group00337
AAA044D11.genome.CDS.2250,group01268
AAA044D11.genome.CDS.2251,group00167
AAA044D11.genome.CDS.2252,group05933
AAA044D11.genome.CDS.2253,group00492
AAA044D11.genome.CDS.2254,group12706
AAA044D11.genome.CDS.2255,group00326
AAA044D11.genome.CDS.2256,group00444
AAA044D11.genome.CDS.2257,group05403
AAA044D11.genome.CDS.2258,group00564
AAA044D11.genome.CDS.2126,group05926
AAA044D11.genome.CDS.2127,group05925
AAA044D11.genome.CDS.2092,group01077
AAA044D11.genome.CDS.2093,group01014
AAA044D11.genome.CDS.2090,group00633
AAA044D11.genome.CDS.2158,group01673
AAA044D11.genome.CDS.2096,group00954
AAA044D11.genome.CDS.2097,group00257
AAA044D11.genome.CDS.2094,group00472
AAA044D11.genome.CDS.2095,group00956
AAA044D11.genome.CDS.2153,group01902
AAA044D11.genome.CDS.2152,group13629
AAA044D11.genome.CDS.2151,group00658
AAA044D11.genome.CDS.2150,group01888
AAA044D11.genome.CDS.2157,group10680
AAA044D11.genome.CDS.2156,group11197
AAA044D11.genome.CDS.2155,group08095
AAA044D11.genome.CDS.2154,group01706
AAA044D11.genome.CDS.1570,group00168
AAA044D11.genome.CDS.1478,group04587
AAA044D11.genome.CDS.1572,group01669
AAA044D11.genome.CDS.1573,group03589
AAA044D11.genome.CDS.1574,group04060
AAA044D11.genome.CDS.1575,group00607
AAA044D11.genome.CDS.1576,group13210
AAA044D11.genome.CDS.1577,group01099
AAA044D11.genome.CDS.1471,group00125
AAA044D11.genome.CDS.1579,group00063
AAA044D11.genome.CDS.1473,group00294
AAA044D11.genome.CDS.1472,group00166
AAA044D11.genome.CDS.1475,group00085
AAA044D11.genome.CDS.1474,group00041
AAA044D11.genome.CDS.1477,group11729
AAA044D11.genome.CDS.1476,group00012
AAA044D11.genome.CDS.1279,group08976
AAA044D11.genome.CDS.1858,group00517
AAA044D11.genome.CDS.1273,group00447
AAA044D11.genome.CDS.1272,group00466
AAA044D11.genome.CDS.1271,group00741
AAA044D11.genome.CDS.1270,group00588
AAA044D11.genome.CDS.1277,group00446
AAA044D11.genome.CDS.1276,group12985
AAA044D11.genome.CDS.1275,group00008
AAA044D11.genome.CDS.1274,group00465
AAA044D11.genome.CDS.1875,group00894
AAA044D11.genome.CDS.1493,group00047
AAA044D11.genome.CDS.1877,group00174
AAA044D11.genome.CDS.1876,group00284
AAA044D11.genome.CDS.1871,group00039
AAA044D11.genome.CDS.1870,group00087
AAA044D11.genome.CDS.1873,group00802
AAA044D11.genome.CDS.1719,group12410
AAA044D11.genome.CDS.2027,group08365
AAA044D11.genome.CDS.2026,group08235
AAA044D11.genome.CDS.2025,group00107
AAA044D11.genome.CDS.2024,group03169
AAA044D11.genome.CDS.2023,group04804
AAA044D11.genome.CDS.2022,group00918
AAA044D11.genome.CDS.2021,group00898
AAA044D11.genome.CDS.2020,group02083
AAA044D11.genome.CDS.2137,group05920
AAA044D11.genome.CDS.1978,group00548
AAA044D11.genome.CDS.1979,group00186
AAA044D11.genome.CDS.1974,group00767
AAA044D11.genome.CDS.1975,group00090
AAA044D11.genome.CDS.1976,group00246
AAA044D11.genome.CDS.1977,group00192
AAA044D11.genome.CDS.1970,group00601
AAA044D11.genome.CDS.1998,group00645
AAA044D11.genome.CDS.1972,group01319
AAA044D11.genome.CDS.1973,group00316
AAA044D11.genome.CDS.1888,group04956
AAA044D11.genome.CDS.1889,group00038
AAA044D11.genome.CDS.1999,group00401
AAA044D11.genome.CDS.1278,group00345
AAA044D11.genome.CDS.1880,group00215
AAA044D11.genome.CDS.1881,group00287
AAA044D11.genome.CDS.1882,group00409
AAA044D11.genome.CDS.1883,group00217
AAA044D11.genome.CDS.1884,group00438
AAA044D11.genome.CDS.1885,group00864
AAA044D11.genome.CDS.1886,group01004
AAA044D11.genome.CDS.1887,group00573
AAA044D11.genome.CDS.2272,group00836
AAA044D11.genome.CDS.2000,group00368
AAA044D11.genome.CDS.1990,group00111
AAA044D11.genome.CDS.1499,group00963
AAA044D11.genome.CDS.2183,group00091
AAA044D11.genome.CDS.1754,group00847
AAA044D11.genome.CDS.1755,group04350
AAA044D11.genome.CDS.1498,group00687
AAA044D11.genome.CDS.1619,group04159
AAA044D11.genome.CDS.1751,group00768
AAA044D11.genome.CDS.1752,group00962
AAA044D11.genome.CDS.1753,group00939
AAA044D11.genome.CDS.1615,group08262
AAA044D11.genome.CDS.1900,group00440
AAA044D11.genome.CDS.1617,group12709
AAA044D11.genome.CDS.1616,group00027
AAA044D11.genome.CDS.1611,group00441
AAA044D11.genome.CDS.1610,group00881
AAA044D11.genome.CDS.1613,group00332
AAA044D11.genome.CDS.1906,group00846
AAA044D11.genome.CDS.1234,group01011
AAA044D11.genome.CDS.2184,group00175
AAA044D11.genome.CDS.1762,group00454
AAA044D11.genome.CDS.1681,group01897
AAA044D11.genome.CDS.1240,group11221
AAA044D11.genome.CDS.1792,group00942
AAA044D11.genome.CDS.1669,group00604
AAA044D11.genome.CDS.1207,group04409
AAA044D11.genome.CDS.1204,group05289
AAA044D11.genome.CDS.1353,group11743
AAA044D11.genome.CDS.1468,group00110
AAA044D11.genome.CDS.1746,group00701
AAA044D11.genome.CDS.1686,group05700
AAA044D11.genome.CDS.1687,group00020
AAA044D11.genome.CDS.1684,group00021
AAA044D11.genome.CDS.1685,group11178
AAA044D11.genome.CDS.1682,group00707
AAA044D11.genome.CDS.1683,group00961
AAA044D11.genome.CDS.1359,group00082
AAA044D11.genome.CDS.1744,group04578
AAA044D11.genome.CDS.1688,group00508
AAA044D11.genome.CDS.1689,group00263
AAA044D11.genome.CDS.1721,group00933
AAA044D11.genome.CDS.1720,group00003
AAA044D11.genome.CDS.1723,group00496
AAA044D11.genome.CDS.1722,group00001
AAA044D11.genome.CDS.1725,group00247
AAA044D11.genome.CDS.1724,group00794
AAA044D11.genome.CDS.1727,group08330
AAA044D11.genome.CDS.1726,group07954
AAA044D11.genome.CDS.1729,group05180
AAA044D11.genome.CDS.1728,group00330
AAA044D11.genome.CDS.1352,group00136
AAA044D11.genome.CDS.1058,group00027
AAA044D11.genome.CDS.1354,group00194
AAA044D11.genome.CDS.1662,group00381
AAA044D11.genome.CDS.1356,group04275
AAA044D11.genome.CDS.1357,group00347
AAA044D11.genome.CDS.1255,group12900
AAA044D11.genome.CDS.1663,group00273
AAA044D11.genome.CDS.1314,group00570
AAA044D11.genome.CDS.1558,group00599
AAA044D11.genome.CDS.2197,group00689
AAA044D11.genome.CDS.1350,group00387
AAA044D11.genome.CDS.2195,group01042
AAA044D11.genome.CDS.2194,group00434
AAA044D11.genome.CDS.2218,group13099
AAA044D11.genome.CDS.2192,group00596
AAA044D11.genome.CDS.2191,group00579
AAA044D11.genome.CDS.2190,group01237
AAA044D11.genome.CDS.2214,group00201
AAA044D11.genome.CDS.2215,group01621
AAA044D11.genome.CDS.2216,group00478
AAA044D11.genome.CDS.2217,group01159
AAA044D11.genome.CDS.2210,group03627
AAA044D11.genome.CDS.2211,group01002
AAA044D11.genome.CDS.2212,group01376
AAA044D11.genome.CDS.2213,group00096
AAA044D11.genome.CDS.2328,group08653
AAA044D11.genome.CDS.2282,group00721
AAA044D11.genome.CDS.1437,group00821
AAA044D11.genome.CDS.2280,group00887
AAA044D11.genome.CDS.1431,group00820
AAA044D11.genome.CDS.2286,group00805
AAA044D11.genome.CDS.2285,group01809
AAA044D11.genome.CDS.1432,group00896
AAA044D11.genome.CDS.2320,group01015
AAA044D11.genome.CDS.2321,group01465
AAA044D11.genome.CDS.2322,group00535
AAA044D11.genome.CDS.2288,group11758
AAA044D11.genome.CDS.1439,group00764
AAA044D11.genome.CDS.1438,group00825
AAA044D11.genome.CDS.2326,group00532
AAA044D11.genome.CDS.2327,group00471
AAA044D11.genome.CDS.1225,group08121
AAA044D11.genome.CDS.2180,group00148
AAA044D11.genome.CDS.1538,group00634
AAA044D11.genome.CDS.1539,group00515
AAA044D11.genome.CDS.1553,group00413
AAA044D11.genome.CDS.1534,group00742
AAA044D11.genome.CDS.1535,group00185
AAA044D11.genome.CDS.1536,group00076
AAA044D11.genome.CDS.1537,group00483
AAA044D11.genome.CDS.1530,group00912
AAA044D11.genome.CDS.1531,group00270
AAA044D11.genome.CDS.1532,group00726
AAA044D11.genome.CDS.1533,group00650
AAA044D11.genome.CDS.2269,group05934
AAA044D11.genome.CDS.2268,group01064
AAA044D11.genome.CDS.2102,group00923
AAA044D11.genome.CDS.2103,group01251
AAA044D11.genome.CDS.2104,group05929
AAA044D11.genome.CDS.2105,group04945
AAA044D11.genome.CDS.2106,group13627
AAA044D11.genome.CDS.2107,group03750
AAA044D11.genome.CDS.2108,group03471
AAA044D11.genome.CDS.1556,group00200
AAA044D11.genome.CDS.2263,group00584
AAA044D11.genome.CDS.2262,group00513
AAA044D11.genome.CDS.2265,group00555
AAA044D11.genome.CDS.2264,group00018
AAA044D11.genome.CDS.2267,group01054
AAA044D11.genome.CDS.1258,group00313
AAA044D11.genome.CDS.1184,group00581
AAA044D11.genome.CDS.2069,group06192
AAA044D11.genome.CDS.2068,group00252
AAA044D11.genome.CDS.2186,group04914
AAA044D11.genome.CDS.2219,group00944
AAA044D11.genome.CDS.2145,group01386
AAA044D11.genome.CDS.2063,group01284
AAA044D11.genome.CDS.2062,group13629
AAA044D11.genome.CDS.2061,group08410
AAA044D11.genome.CDS.2187,group00787
AAA044D11.genome.CDS.2067,group03225
AAA044D11.genome.CDS.2146,group00036
AAA044D11.genome.CDS.2065,group13756
AAA044D11.genome.CDS.2064,group14047
AAA044D11.genome.CDS.1220,group00582
AAA044D11.genome.CDS.1548,group00080
AAA044D11.genome.CDS.1222,group00552
AAA044D11.genome.CDS.1223,group01172
AAA044D11.genome.CDS.1224,group00051
AAA044D11.genome.CDS.1635,group02820
AAA044D11.genome.CDS.1226,group00179
AAA044D11.genome.CDS.1227,group01461
AAA044D11.genome.CDS.1228,group06998
AAA044D11.genome.CDS.1229,group07419
AAA044D11.genome.CDS.1543,group00141
AAA044D11.genome.CDS.1928,group00728
AAA044D11.genome.CDS.1545,group00379
AAA044D11.genome.CDS.1544,group04450
AAA044D11.genome.CDS.1547,group00292
AAA044D11.genome.CDS.1546,group00498
AAA044D11.genome.CDS.1652,group11480
AAA044D11.genome.CDS.1655,group00994
AAA044D11.genome.CDS.1186,group00032
AAA044D11.genome.CDS.1639,group00567
AAA044D11.genome.CDS.1945,group00953
AAA044D11.genome.CDS.1944,group01057
AAA044D11.genome.CDS.1947,group04156
AAA044D11.genome.CDS.1829,group00913
AAA044D11.genome.CDS.1941,group05010
AAA044D11.genome.CDS.1305,group00232
AAA044D11.genome.CDS.1622,group01149
AAA044D11.genome.CDS.1942,group05908
AAA044D11.genome.CDS.1822,group02785
AAA044D11.genome.CDS.1823,group05534
AAA044D11.genome.CDS.1820,group00043
AAA044D11.genome.CDS.1304,group01855
AAA044D11.genome.CDS.1826,group05524
AAA044D11.genome.CDS.1827,group05530
AAA044D11.genome.CDS.1824,group00827
AAA044D11.genome.CDS.1825,group02742
AAA044D11.genome.CDS.1506,group00275
AAA044D11.genome.CDS.1557,group00719
AAA044D11.genome.CDS.1920,group00969
AAA044D11.genome.CDS.2266,group01000
AAA044D11.genome.CDS.2259,group00565
AAA044D11.genome.CDS.2196,group06963
AAA044D11.genome.CDS.490,group00780
AAA044D11.genome.CDS.2193,group00734
AAA044D11.genome.CDS.49,group08053
AAA044D11.genome.CDS.2329,group00030
AAA044D11.genome.CDS.1484,group00964
AAA044D11.genome.CDS.2009,group01829
AAA044D11.genome.CDS.1487,group00485
AAA044D11.genome.CDS.1480,group00196
AAA044D11.genome.CDS.1768,group00062
AAA044D11.genome.CDS.1482,group04507
AAA044D11.genome.CDS.1957,group00184
AAA044D11.genome.CDS.1765,group04438
AAA044D11.genome.CDS.1764,group06006
AAA044D11.genome.CDS.1767,group00072
AAA044D11.genome.CDS.1766,group00987
AAA044D11.genome.CDS.1488,group10155
AAA044D11.genome.CDS.1489,group00571
AAA044D11.genome.CDS.1763,group00840
AAA044D11.genome.CDS.1467,group00040
AAA044D11.genome.CDS.1464,group00289
AAA044D11.genome.CDS.1313,group01367
AAA044D11.genome.CDS.1953,group00831
AAA044D11.genome.CDS.2199,group12962
AAA044D11.genome.CDS.1950,group10443
AAA044D11.genome.CDS.839,group05539
AAA044D11.genome.CDS.1818,group04955
AAA044D11.genome.CDS.1866,group00171
AAA044D11.genome.CDS.1642,group00124
AAA044D11.genome.CDS.1643,group00879
AAA044D11.genome.CDS.1640,group02776
AAA044D11.genome.CDS.1317,group00636
AAA044D11.genome.CDS.1310,group00625
AAA044D11.genome.CDS.1647,group00084
AAA044D11.genome.CDS.1312,group00231
AAA044D11.genome.CDS.1645,group00205
AAA044D11.genome.CDS.1648,group00086
AAA044D11.genome.CDS.1649,group00188
AAA044D11.genome.CDS.1318,group00011
AAA044D11.genome.CDS.1319,group00340
AAA044D11.genome.CDS.2283,group00695
AAA044D11.genome.CDS.2198,group00521
AAA044D11.genome.CDS.1355,group00300
AAA044D11.genome.CDS.1434,group12591
AAA044D11.genome.CDS.2005,group00681
AAA044D11.genome.CDS.1867,group00511
AAA044D11.genome.CDS.2060,group01323
AAA044D11.genome.CDS.2281,group00416
AAA044D11.genome.CDS.1812,group05903
AAA044D11.genome.CDS.2311,group05935
AAA044D11.genome.CDS.2310,group00357
AAA044D11.genome.CDS.945,group01404
AAA044D11.genome.CDS.1436,group00844
AAA044D11.genome.CDS.2315,group00139
AAA044D11.genome.CDS.1958,group00605
AAA044D11.genome.CDS.2317,group00333
AAA044D11.genome.CDS.2316,group00050
AAA044D11.genome.CDS.2319,group07820
AAA044D11.genome.CDS.2287,group01467
AAA044D11.genome.CDS.1810,group02762
AAA044D11.genome.CDS.948,group02423
AAA044D11.genome.CDS.1361,group00061
AAA044D11.genome.CDS.1360,group00265
AAA044D11.genome.CDS.1363,group00657
AAA044D11.genome.CDS.1362,group00980
AAA044D11.genome.CDS.1365,group00350
