AAA027L17.genome.CDS.360,group03873
AAA027L17.genome.CDS.1590,group01643
AAA027L17.genome.CDS.1597,group00740
AAA027L17.genome.CDS.1596,group00740
AAA027L17.genome.CDS.1595,group01687
AAA027L17.genome.CDS.1610,group03002
AAA027L17.genome.CDS.1926,group02006
AAA027L17.genome.CDS.1599,group02071
AAA027L17.genome.CDS.1613,group01669
AAA027L17.genome.CDS.1614,group01715
AAA027L17.genome.CDS.1615,group03828
AAA027L17.genome.CDS.1616,group02265
AAA027L17.genome.CDS.1927,group03365
AAA027L17.genome.CDS.2019,group02325
AAA027L17.genome.CDS.2018,group00622
AAA027L17.genome.CDS.2017,group00517
AAA027L17.genome.CDS.2016,group12086
AAA027L17.genome.CDS.2015,group00463
AAA027L17.genome.CDS.1925,group00198
AAA027L17.genome.CDS.2013,group00549
AAA027L17.genome.CDS.2012,group00003
AAA027L17.genome.CDS.2011,group00001
AAA027L17.genome.CDS.2010,group03668
AAA027L17.genome.CDS.1721,group00483
AAA027L17.genome.CDS.1698,group00323
AAA027L17.genome.CDS.1751,group12063
AAA027L17.genome.CDS.1202,group03346
AAA027L17.genome.CDS.1201,group00017
AAA027L17.genome.CDS.1752,group02521
AAA027L17.genome.CDS.1755,group00043
AAA027L17.genome.CDS.1754,group00032
AAA027L17.genome.CDS.1757,group00455
AAA027L17.genome.CDS.1756,group00433
AAA027L17.genome.CDS.1759,group01295
AAA027L17.genome.CDS.1758,group01272
AAA027L17.genome.CDS.1209,group00848
AAA027L17.genome.CDS.1208,group00862
AAA027L17.genome.CDS.1420,group12042
AAA027L17.genome.CDS.1357,group01573
AAA027L17.genome.CDS.1180,group03251
AAA027L17.genome.CDS.1181,group00510
AAA027L17.genome.CDS.1182,group00069
AAA027L17.genome.CDS.1183,group02742
AAA027L17.genome.CDS.1918,group02227
AAA027L17.genome.CDS.1187,group00613
AAA027L17.genome.CDS.1188,group00793
AAA027L17.genome.CDS.1189,group00643
AAA027L17.genome.CDS.738,group01622
AAA027L17.genome.CDS.320,group03872
AAA027L17.genome.CDS.1109,group00953
AAA027L17.genome.CDS.1117,group00283
AAA027L17.genome.CDS.1116,group01776
AAA027L17.genome.CDS.1115,group00693
AAA027L17.genome.CDS.1114,group00834
AAA027L17.genome.CDS.1298,group02066
AAA027L17.genome.CDS.1112,group02052
AAA027L17.genome.CDS.1111,group00813
AAA027L17.genome.CDS.1110,group01392
AAA027L17.genome.CDS.1294,group03851
AAA027L17.genome.CDS.1295,group04765
AAA027L17.genome.CDS.1296,group00805
AAA027L17.genome.CDS.1290,group00587
AAA027L17.genome.CDS.1291,group00009
AAA027L17.genome.CDS.1119,group00645
AAA027L17.genome.CDS.1118,group01883
AAA027L17.genome.CDS.1958,group01278
AAA027L17.genome.CDS.1381,group01619
AAA027L17.genome.CDS.1508,group00716
AAA027L17.genome.CDS.1509,group02317
AAA027L17.genome.CDS.1058,group00966
AAA027L17.genome.CDS.1059,group00338
AAA027L17.genome.CDS.1056,group00534
AAA027L17.genome.CDS.1057,group00535
AAA027L17.genome.CDS.1506,group00022
AAA027L17.genome.CDS.1507,group02748
AAA027L17.genome.CDS.1500,group02316
AAA027L17.genome.CDS.1501,group03855
AAA027L17.genome.CDS.1050,group00791
AAA027L17.genome.CDS.1503,group04774
AAA027L17.genome.CDS.1690,group00779
AAA027L17.genome.CDS.1691,group01540
AAA027L17.genome.CDS.1979,group12088
AAA027L17.genome.CDS.1692,group01419
AAA027L17.genome.CDS.1288,group12024
AAA027L17.genome.CDS.130,group01720
AAA027L17.genome.CDS.1482,group01632
AAA027L17.genome.CDS.1421,group01356
AAA027L17.genome.CDS.1695,group03005
AAA027L17.genome.CDS.1470,group00056
AAA027L17.genome.CDS.1471,group02419
AAA027L17.genome.CDS.1472,group01493
AAA027L17.genome.CDS.1473,group00255
AAA027L17.genome.CDS.1474,group00502
AAA027L17.genome.CDS.1475,group00045
AAA027L17.genome.CDS.1476,group01496
AAA027L17.genome.CDS.1477,group00023
AAA027L17.genome.CDS.1478,group01784
AAA027L17.genome.CDS.1479,group01785
AAA027L17.genome.CDS.1573,group12045
AAA027L17.genome.CDS.1125,group02221
AAA027L17.genome.CDS.1575,group03356
AAA027L17.genome.CDS.1574,group04778
AAA027L17.genome.CDS.1577,group01423
AAA027L17.genome.CDS.1576,group04779
AAA027L17.genome.CDS.1283,group03849
AAA027L17.genome.CDS.1379,group02745
AAA027L17.genome.CDS.1378,group00236
AAA027L17.genome.CDS.1282,group00033
AAA027L17.genome.CDS.1373,group02042
AAA027L17.genome.CDS.1372,group00697
AAA027L17.genome.CDS.1371,group03349
AAA027L17.genome.CDS.1370,group01362
AAA027L17.genome.CDS.1377,group00761
AAA027L17.genome.CDS.1376,group01164
AAA027L17.genome.CDS.1375,group02203
AAA027L17.genome.CDS.1374,group02041
AAA027L17.genome.CDS.1975,group00843
AAA027L17.genome.CDS.1974,group02881
AAA027L17.genome.CDS.1977,group03869
AAA027L17.genome.CDS.1976,group01435
AAA027L17.genome.CDS.1971,group00201
AAA027L17.genome.CDS.1970,group00742
AAA027L17.genome.CDS.1972,group03607
AAA027L17.genome.CDS.258,group02169
AAA027L17.genome.CDS.1978,group03870
AAA027L17.genome.CDS.1878,group02460
AAA027L17.genome.CDS.1559,group12054
AAA027L17.genome.CDS.1874,group01288
AAA027L17.genome.CDS.1875,group02874
AAA027L17.genome.CDS.1876,group00373
AAA027L17.genome.CDS.1877,group01520
AAA027L17.genome.CDS.1870,group00289
AAA027L17.genome.CDS.1871,group00342
AAA027L17.genome.CDS.1872,group02977
AAA027L17.genome.CDS.1873,group01373
AAA027L17.genome.CDS.1989,group01350
AAA027L17.genome.CDS.1980,group01072
AAA027L17.genome.CDS.1981,group03128
AAA027L17.genome.CDS.1982,group00869
AAA027L17.genome.CDS.1983,group12087
AAA027L17.genome.CDS.1985,group01239
AAA027L17.genome.CDS.1986,group01406
AAA027L17.genome.CDS.1987,group00140
AAA027L17.genome.CDS.1153,group00348
AAA027L17.genome.CDS.1654,group00163
AAA027L17.genome.CDS.1808,group01442
AAA027L17.genome.CDS.1656,group12060
AAA027L17.genome.CDS.1657,group00569
AAA027L17.genome.CDS.1719,group00185
AAA027L17.genome.CDS.1651,group00310
AAA027L17.genome.CDS.1652,group00067
AAA027L17.genome.CDS.1653,group00190
AAA027L17.genome.CDS.1715,group01048
AAA027L17.genome.CDS.1800,group00553
AAA027L17.genome.CDS.1717,group01070
AAA027L17.genome.CDS.1716,group01865
AAA027L17.genome.CDS.1805,group00200
AAA027L17.genome.CDS.1710,group00242
AAA027L17.genome.CDS.1807,group02045
AAA027L17.genome.CDS.1712,group01478
AAA027L17.genome.CDS.1271,group12020
AAA027L17.genome.CDS.1512,group02318
AAA027L17.genome.CDS.1511,group02116
AAA027L17.genome.CDS.1277,group00683
AAA027L17.genome.CDS.1046,group00929
AAA027L17.genome.CDS.1517,group00305
AAA027L17.genome.CDS.924,group12083
AAA027L17.genome.CDS.1526,group03352
AAA027L17.genome.CDS.1516,group00529
AAA027L17.genome.CDS.2086,group01695
AAA027L17.genome.CDS.1515,group00038
AAA027L17.genome.CDS.1612,group03175
AAA027L17.genome.CDS.1514,group02389
AAA027L17.genome.CDS.1768,group00111
AAA027L17.genome.CDS.2030,group01446
AAA027L17.genome.CDS.1580,group00433
AAA027L17.genome.CDS.1769,group00703
AAA027L17.genome.CDS.1787,group01319
AAA027L17.genome.CDS.1784,group03009
AAA027L17.genome.CDS.2058,group00469
AAA027L17.genome.CDS.1783,group01316
AAA027L17.genome.CDS.1781,group00007
AAA027L17.genome.CDS.2053,group00037
AAA027L17.genome.CDS.2052,group00573
AAA027L17.genome.CDS.2051,group00029
AAA027L17.genome.CDS.2050,group12085
AAA027L17.genome.CDS.2057,group00427
AAA027L17.genome.CDS.2056,group00512
AAA027L17.genome.CDS.2055,group01789
AAA027L17.genome.CDS.1789,group01480
AAA027L17.genome.CDS.1258,group02743
AAA027L17.genome.CDS.1152,group00387
AAA027L17.genome.CDS.1151,group00449
AAA027L17.genome.CDS.1622,group02141
AAA027L17.genome.CDS.1625,group01641
AAA027L17.genome.CDS.1624,group00510
AAA027L17.genome.CDS.1627,group00860
AAA027L17.genome.CDS.1626,group03358
AAA027L17.genome.CDS.1629,group04782
AAA027L17.genome.CDS.1251,group00633
AAA027L17.genome.CDS.1252,group01684
AAA027L17.genome.CDS.1158,group00378
AAA027L17.genome.CDS.1254,group12017
AAA027L17.genome.CDS.1255,group00933
AAA027L17.genome.CDS.1256,group12016
AAA027L17.genome.CDS.1257,group02993
AAA027L17.genome.CDS.1588,group01418
AAA027L17.genome.CDS.1103,group00586
AAA027L17.genome.CDS.1589,group01591
AAA027L17.genome.CDS.1259,group03844
AAA027L17.genome.CDS.1174,group00053
AAA027L17.genome.CDS.1662,group01938
AAA027L17.genome.CDS.1535,group02161
AAA027L17.genome.CDS.1534,group01427
AAA027L17.genome.CDS.1537,group01786
AAA027L17.genome.CDS.1536,group01467
AAA027L17.genome.CDS.1531,group00135
AAA027L17.genome.CDS.1530,group02516
AAA027L17.genome.CDS.1532,group01757
AAA027L17.genome.CDS.1171,group01490
AAA027L17.genome.CDS.1539,group00187
AAA027L17.genome.CDS.1538,group03353
AAA027L17.genome.CDS.1079,group00773
AAA027L17.genome.CDS.1438,group00240
AAA027L17.genome.CDS.1439,group00225
AAA027L17.genome.CDS.1419,group12043
AAA027L17.genome.CDS.1434,group00570
AAA027L17.genome.CDS.1435,group01286
AAA027L17.genome.CDS.1436,group02047
AAA027L17.genome.CDS.1437,group00238
AAA027L17.genome.CDS.1430,group00548
AAA027L17.genome.CDS.1431,group02515
AAA027L17.genome.CDS.1432,group00835
AAA027L17.genome.CDS.1281,group03848
AAA027L17.genome.CDS.101,group01206
AAA027L17.genome.CDS.1655,group00544
AAA027L17.genome.CDS.454,group12044
AAA027L17.genome.CDS.453,group04794
AAA027L17.genome.CDS.519,group02533
AAA027L17.genome.CDS.291,group12028
AAA027L17.genome.CDS.2009,group01915
AAA027L17.genome.CDS.1650,group00266
AAA027L17.genome.CDS.1718,group00749
AAA027L17.genome.CDS.1449,group03854
AAA027L17.genome.CDS.1144,group01781
AAA027L17.genome.CDS.1322,group02744
AAA027L17.genome.CDS.1323,group01083
AAA027L17.genome.CDS.1324,group02150
AAA027L17.genome.CDS.1325,group02893
AAA027L17.genome.CDS.1326,group01990
AAA027L17.genome.CDS.1327,group03835
AAA027L17.genome.CDS.1328,group12027
AAA027L17.genome.CDS.1329,group00117
AAA027L17.genome.CDS.1443,group00437
AAA027L17.genome.CDS.1442,group02231
AAA027L17.genome.CDS.1445,group01007
AAA027L17.genome.CDS.1146,group01782
AAA027L17.genome.CDS.1447,group00186
AAA027L17.genome.CDS.1446,group01843
AAA027L17.genome.CDS.1801,group00212
AAA027L17.genome.CDS.894,group02078
AAA027L17.genome.CDS.1631,group03359
AAA027L17.genome.CDS.1714,group03865
AAA027L17.genome.CDS.1140,group00073
AAA027L17.genome.CDS.1803,group12069
AAA027L17.genome.CDS.1637,group01367
AAA027L17.genome.CDS.1845,group02524
AAA027L17.genome.CDS.1844,group01788
AAA027L17.genome.CDS.1847,group01348
AAA027L17.genome.CDS.1802,group12070
AAA027L17.genome.CDS.1841,group01247
AAA027L17.genome.CDS.1840,group01047
AAA027L17.genome.CDS.1843,group01861
AAA027L17.genome.CDS.1842,group01891
AAA027L17.genome.CDS.1922,group00175
AAA027L17.genome.CDS.1711,group01358
AAA027L17.genome.CDS.1920,group02733
AAA027L17.genome.CDS.1921,group01546
AAA027L17.genome.CDS.1849,group02165
AAA027L17.genome.CDS.1848,group00276
AAA027L17.genome.CDS.1924,group03364
AAA027L17.genome.CDS.1659,group01064
AAA027L17.genome.CDS.1713,group01474
AAA027L17.genome.CDS.1806,group00508
AAA027L17.genome.CDS.1638,group01470
AAA027L17.genome.CDS.1639,group00401
AAA027L17.genome.CDS.1469,group00575
AAA027L17.genome.CDS.1148,group01581
AAA027L17.genome.CDS.1468,group01660
AAA027L17.genome.CDS.1930,group00093
AAA027L17.genome.CDS.1220,group00821
AAA027L17.genome.CDS.1813,group01977
AAA027L17.genome.CDS.1846,group02264
AAA027L17.genome.CDS.1584,group01102
AAA027L17.genome.CDS.1585,group01823
AAA027L17.genome.CDS.1586,group00876
AAA027L17.genome.CDS.1587,group01143
AAA027L17.genome.CDS.1669,group04784
AAA027L17.genome.CDS.1581,group01108
AAA027L17.genome.CDS.1582,group01045
AAA027L17.genome.CDS.1583,group01807
AAA027L17.genome.CDS.1665,group01907
AAA027L17.genome.CDS.1664,group01582
AAA027L17.genome.CDS.1667,group01531
AAA027L17.genome.CDS.1666,group00433
AAA027L17.genome.CDS.1661,group01003
AAA027L17.genome.CDS.1660,group01054
AAA027L17.genome.CDS.1663,group01745
AAA027L17.genome.CDS.1832,group01875
AAA027L17.genome.CDS.2000,group02759
AAA027L17.genome.CDS.2001,group00957
AAA027L17.genome.CDS.2002,group00467
AAA027L17.genome.CDS.2003,group01073
AAA027L17.genome.CDS.2004,group02076
AAA027L17.genome.CDS.2005,group01659
AAA027L17.genome.CDS.2006,group01723
AAA027L17.genome.CDS.2007,group01814
AAA027L17.genome.CDS.2008,group02079
AAA027L17.genome.CDS.1834,group03821
AAA027L17.genome.CDS.1349,group04768
AAA027L17.genome.CDS.1090,group00837
AAA027L17.genome.CDS.1882,group00777
AAA027L17.genome.CDS.1950,group00374
AAA027L17.genome.CDS.1742,group00809
AAA027L17.genome.CDS.1722,group00076
AAA027L17.genome.CDS.1743,group00751
AAA027L17.genome.CDS.1837,group00015
AAA027L17.genome.CDS.1740,group00928
AAA027L17.genome.CDS.1214,group00820
AAA027L17.genome.CDS.1215,group00896
AAA027L17.genome.CDS.1216,group00897
AAA027L17.genome.CDS.1217,group00895
AAA027L17.genome.CDS.1210,group00792
AAA027L17.genome.CDS.1747,group00000
AAA027L17.genome.CDS.1744,group00014
AAA027L17.genome.CDS.1745,group00018
AAA027L17.genome.CDS.1746,group02068
AAA027L17.genome.CDS.1748,group00597
AAA027L17.genome.CDS.1749,group02259
AAA027L17.genome.CDS.1218,group00917
AAA027L17.genome.CDS.1219,group00845
AAA027L17.genome.CDS.1211,group00854
AAA027L17.genome.CDS.1212,group00874
AAA027L17.genome.CDS.1728,group01382
AAA027L17.genome.CDS.1213,group00873
AAA027L17.genome.CDS.1247,group00587
AAA027L17.genome.CDS.1729,group01414
AAA027L17.genome.CDS.1359,group02151
AAA027L17.genome.CDS.1928,group03366
AAA027L17.genome.CDS.1413,group01998
AAA027L17.genome.CDS.1260,group02434
AAA027L17.genome.CDS.1263,group01383
AAA027L17.genome.CDS.1262,group12023
AAA027L17.genome.CDS.1265,group03846
AAA027L17.genome.CDS.1264,group03845
AAA027L17.genome.CDS.1267,group03300
AAA027L17.genome.CDS.1266,group03665
AAA027L17.genome.CDS.1269,group02061
AAA027L17.genome.CDS.639,group02299
AAA027L17.genome.CDS.1108,group02976
AAA027L17.genome.CDS.1062,group00313
AAA027L17.genome.CDS.1061,group00747
AAA027L17.genome.CDS.1060,group12077
AAA027L17.genome.CDS.1067,group00028
AAA027L17.genome.CDS.1066,group03842
AAA027L17.genome.CDS.1065,group12074
AAA027L17.genome.CDS.1064,group12075
AAA027L17.genome.CDS.1100,group02145
AAA027L17.genome.CDS.1101,group01417
AAA027L17.genome.CDS.1069,group01053
AAA027L17.genome.CDS.1068,group01739
AAA027L17.genome.CDS.1104,group02146
AAA027L17.genome.CDS.1105,group01111
AAA027L17.genome.CDS.1106,group02147
AAA027L17.genome.CDS.1107,group01109
AAA027L17.genome.CDS.1900,group12079
AAA027L17.genome.CDS.499,group00232
AAA027L17.genome.CDS.1939,group00119
AAA027L17.genome.CDS.1734,group00079
AAA027L17.genome.CDS.1902,group00332
AAA027L17.genome.CDS.1089,group01992
AAA027L17.genome.CDS.1088,group01425
AAA027L17.genome.CDS.1551,group00221
AAA027L17.genome.CDS.1081,group00324
AAA027L17.genome.CDS.1080,group02135
AAA027L17.genome.CDS.146,group00207
AAA027L17.genome.CDS.1082,group01142
AAA027L17.genome.CDS.1085,group02509
AAA027L17.genome.CDS.1084,group02508
AAA027L17.genome.CDS.1087,group01210
AAA027L17.genome.CDS.1086,group02510
AAA027L17.genome.CDS.1405,group00746
AAA027L17.genome.CDS.1404,group00546
AAA027L17.genome.CDS.1568,group12050
AAA027L17.genome.CDS.1569,group12049
AAA027L17.genome.CDS.1401,group01487
AAA027L17.genome.CDS.1400,group00976
AAA027L17.genome.CDS.1403,group01701
AAA027L17.genome.CDS.1402,group01624
AAA027L17.genome.CDS.1562,group00629
AAA027L17.genome.CDS.1563,group03222
AAA027L17.genome.CDS.1560,group04777
AAA027L17.genome.CDS.1561,group12053
AAA027L17.genome.CDS.1566,group12051
AAA027L17.genome.CDS.1408,group00105
AAA027L17.genome.CDS.1564,group12052
AAA027L17.genome.CDS.1565,group03857
AAA027L17.genome.CDS.229,group02624
AAA027L17.genome.CDS.1810,group01140
AAA027L17.genome.CDS.1292,group01327
AAA027L17.genome.CDS.1368,group01884
AAA027L17.genome.CDS.1369,group01697
AAA027L17.genome.CDS.1364,group00013
AAA027L17.genome.CDS.1365,group00639
AAA027L17.genome.CDS.1366,group02154
AAA027L17.genome.CDS.1367,group01345
AAA027L17.genome.CDS.1360,group01692
AAA027L17.genome.CDS.1361,group01988
AAA027L17.genome.CDS.1362,group02152
AAA027L17.genome.CDS.1363,group02153
AAA027L17.genome.CDS.1966,group03014
AAA027L17.genome.CDS.1967,group02526
AAA027L17.genome.CDS.1964,group02167
AAA027L17.genome.CDS.1965,group00032
AAA027L17.genome.CDS.1962,group00440
AAA027L17.genome.CDS.1963,group00460
AAA027L17.genome.CDS.1960,group01074
AAA027L17.genome.CDS.1961,group02504
AAA027L17.genome.CDS.1433,group00509
AAA027L17.genome.CDS.1524,group04776
AAA027L17.genome.CDS.1968,group02609
AAA027L17.genome.CDS.1969,group00173
AAA027L17.genome.CDS.1881,group01044
AAA027L17.genome.CDS.1880,group12073
AAA027L17.genome.CDS.1883,group01571
AAA027L17.genome.CDS.1778,group02522
AAA027L17.genome.CDS.1885,group01572
AAA027L17.genome.CDS.1884,group01380
AAA027L17.genome.CDS.1887,group03011
AAA027L17.genome.CDS.1886,group00351
AAA027L17.genome.CDS.1889,group03012
AAA027L17.genome.CDS.1888,group01477
AAA027L17.genome.CDS.1523,group02223
AAA027L17.genome.CDS.1319,group00051
AAA027L17.genome.CDS.1318,group00301
AAA027L17.genome.CDS.1246,group01995
AAA027L17.genome.CDS.1739,group00927
AAA027L17.genome.CDS.1520,group00528
AAA027L17.genome.CDS.1311,group00303
AAA027L17.genome.CDS.1310,group01323
AAA027L17.genome.CDS.1521,group00418
AAA027L17.genome.CDS.1315,group01213
AAA027L17.genome.CDS.1314,group01369
AAA027L17.genome.CDS.1317,group00177
AAA027L17.genome.CDS.1316,group00178
AAA027L17.genome.CDS.1138,group01960
AAA027L17.genome.CDS.1634,group03861
AAA027L17.genome.CDS.1818,group00299
AAA027L17.genome.CDS.1819,group00513
AAA027L17.genome.CDS.1708,group00686
AAA027L17.genome.CDS.1709,group01702
AAA027L17.genome.CDS.1812,group01137
AAA027L17.genome.CDS.1707,group01353
AAA027L17.genome.CDS.1704,group02520
AAA027L17.genome.CDS.1811,group01753
AAA027L17.genome.CDS.1702,group01774
AAA027L17.genome.CDS.1703,group01612
AAA027L17.genome.CDS.1814,group02003
AAA027L17.genome.CDS.1815,group01864
AAA027L17.genome.CDS.1528,group02050
AAA027L17.genome.CDS.1862,group00133
AAA027L17.genome.CDS.1529,group03000
AAA027L17.genome.CDS.1860,group01364
AAA027L17.genome.CDS.937,group01267
AAA027L17.genome.CDS.1866,group00583
AAA027L17.genome.CDS.1796,group01328
AAA027L17.genome.CDS.1196,group00946
AAA027L17.genome.CDS.2039,group00285
AAA027L17.genome.CDS.2038,group02326
AAA027L17.genome.CDS.1809,group02062
AAA027L17.genome.CDS.1031,group01878
AAA027L17.genome.CDS.2031,group03015
AAA027L17.genome.CDS.1689,group00941
AAA027L17.genome.CDS.2033,group00026
AAA027L17.genome.CDS.2035,group01830
AAA027L17.genome.CDS.2034,group01079
AAA027L17.genome.CDS.2037,group00074
AAA027L17.genome.CDS.2036,group01892
AAA027L17.genome.CDS.2048,group02128
AAA027L17.genome.CDS.2049,group02530
AAA027L17.genome.CDS.2044,group00216
AAA027L17.genome.CDS.2045,group02528
AAA027L17.genome.CDS.2046,group02529
AAA027L17.genome.CDS.2047,group03367
AAA027L17.genome.CDS.2040,group00281
AAA027L17.genome.CDS.2041,group00214
AAA027L17.genome.CDS.2042,group00280
AAA027L17.genome.CDS.2043,group00409
AAA027L17.genome.CDS.1632,group03003
AAA027L17.genome.CDS.1633,group03004
AAA027L17.genome.CDS.1630,group03254
AAA027L17.genome.CDS.1147,group01657
AAA027L17.genome.CDS.1636,group00915
AAA027L17.genome.CDS.1228,group00594
AAA027L17.genome.CDS.1142,group01779
AAA027L17.genome.CDS.1635,group04783
AAA027L17.genome.CDS.1225,group00688
AAA027L17.genome.CDS.1224,group00611
AAA027L17.genome.CDS.1227,group00595
AAA027L17.genome.CDS.1226,group00616
AAA027L17.genome.CDS.1221,group00825
AAA027L17.genome.CDS.1149,group01563
AAA027L17.genome.CDS.1223,group00715
AAA027L17.genome.CDS.1222,group00764
AAA027L17.genome.CDS.1593,group01741
AAA027L17.genome.CDS.1592,group01934
AAA027L17.genome.CDS.1951,group00384
AAA027L17.genome.CDS.1131,group00169
AAA027L17.genome.CDS.1527,group01542
AAA027L17.genome.CDS.1133,group00025
AAA027L17.genome.CDS.1525,group01568
AAA027L17.genome.CDS.1135,group01181
AAA027L17.genome.CDS.1134,group01778
AAA027L17.genome.CDS.1137,group01170
AAA027L17.genome.CDS.1688,group00142
AAA027L17.genome.CDS.1687,group01024
AAA027L17.genome.CDS.1686,group01273
AAA027L17.genome.CDS.1685,group00907
AAA027L17.genome.CDS.1684,group00271
AAA027L17.genome.CDS.1683,group00936
AAA027L17.genome.CDS.1682,group12064
AAA027L17.genome.CDS.1681,group02321
AAA027L17.genome.CDS.1680,group12065
AAA027L17.genome.CDS.1038,group00900
AAA027L17.genome.CDS.1039,group12031
AAA027L17.genome.CDS.274,group01214
AAA027L17.genome.CDS.1611,group03357
AAA027L17.genome.CDS.1289,group02512
AAA027L17.genome.CDS.1035,group00839
AAA027L17.genome.CDS.1036,group00021
AAA027L17.genome.CDS.1037,group00020
AAA027L17.genome.CDS.1786,group01279
AAA027L17.genome.CDS.1598,group02229
AAA027L17.genome.CDS.2059,group00066
AAA027L17.genome.CDS.1785,group00144
AAA027L17.genome.CDS.1741,group00968
AAA027L17.genome.CDS.1617,group12056
AAA027L17.genome.CDS.1102,group00042
AAA027L17.genome.CDS.1355,group01273
AAA027L17.genome.CDS.1354,group12038
AAA027L17.genome.CDS.1458,group01297
AAA027L17.genome.CDS.1356,group03347
AAA027L17.genome.CDS.1350,group12034
AAA027L17.genome.CDS.1353,group12040
AAA027L17.genome.CDS.1352,group12032
AAA027L17.genome.CDS.1452,group12041
AAA027L17.genome.CDS.1453,group00290
AAA027L17.genome.CDS.1450,group01506
AAA027L17.genome.CDS.1451,group02413
AAA027L17.genome.CDS.1456,group02234
AAA027L17.genome.CDS.1457,group02080
AAA027L17.genome.CDS.1454,group02996
AAA027L17.genome.CDS.1455,group02421
AAA027L17.genome.CDS.1448,group00684
AAA027L17.genome.CDS.1856,group01420
AAA027L17.genome.CDS.1857,group02758
AAA027L17.genome.CDS.1854,group00261
AAA027L17.genome.CDS.1855,group00031
AAA027L17.genome.CDS.1852,group02322
AAA027L17.genome.CDS.1853,group01536
AAA027L17.genome.CDS.1850,group00397
AAA027L17.genome.CDS.1851,group00638
AAA027L17.genome.CDS.1917,group02005
AAA027L17.genome.CDS.1916,group02005
AAA027L17.genome.CDS.1915,group01421
AAA027L17.genome.CDS.1914,group00210
AAA027L17.genome.CDS.1913,group01476
