TBhypo3463.genome.CDS.2345,group13608
TBhypo3463.genome.CDS.2024,group00568
TBhypo3463.genome.CDS.1824,group00911
TBhypo3463.genome.CDS.1825,group01008
TBhypo3463.genome.CDS.1826,group08333
TBhypo3463.genome.CDS.1827,group01862
TBhypo3463.genome.CDS.1820,group00017
TBhypo3463.genome.CDS.1821,group00702
TBhypo3463.genome.CDS.1822,group00018
TBhypo3463.genome.CDS.1823,group00759
TBhypo3463.genome.CDS.1891,group07309
TBhypo3463.genome.CDS.1890,group00005
TBhypo3463.genome.CDS.1893,group00698
TBhypo3463.genome.CDS.1892,group00723
TBhypo3463.genome.CDS.1895,group11516
TBhypo3463.genome.CDS.1894,group04697
TBhypo3463.genome.CDS.1897,group00686
TBhypo3463.genome.CDS.1896,group00658
TBhypo3463.genome.CDS.1950,group01235
TBhypo3463.genome.CDS.1951,group01121
TBhypo3463.genome.CDS.1952,group01230
TBhypo3463.genome.CDS.1953,group13864
TBhypo3463.genome.CDS.1954,group00785
TBhypo3463.genome.CDS.1955,group12056
TBhypo3463.genome.CDS.1956,group00590
TBhypo3463.genome.CDS.1957,group01002
TBhypo3463.genome.CDS.1459,group00618
TBhypo3463.genome.CDS.1458,group00610
TBhypo3463.genome.CDS.1354,group00240
TBhypo3463.genome.CDS.1355,group00225
TBhypo3463.genome.CDS.2205,group02933
TBhypo3463.genome.CDS.1353,group00027
TBhypo3463.genome.CDS.1350,group10652
TBhypo3463.genome.CDS.1351,group00450
TBhypo3463.genome.CDS.2209,group04166
TBhypo3463.genome.CDS.2208,group01059
TBhypo3463.genome.CDS.1453,group00247
TBhypo3463.genome.CDS.1452,group00371
TBhypo3463.genome.CDS.1455,group00794
TBhypo3463.genome.CDS.1454,group01268
TBhypo3463.genome.CDS.1371,group06228
TBhypo3463.genome.CDS.1456,group00496
TBhypo3463.genome.CDS.1382,group01035
TBhypo3463.genome.CDS.2372,group00326
TBhypo3463.genome.CDS.1239,group00979
TBhypo3463.genome.CDS.77,group02783
TBhypo3463.genome.CDS.1235,group00234
TBhypo3463.genome.CDS.1234,group00305
TBhypo3463.genome.CDS.1237,group00135
TBhypo3463.genome.CDS.1236,group00645
TBhypo3463.genome.CDS.1231,group01341
TBhypo3463.genome.CDS.1230,group04347
TBhypo3463.genome.CDS.1233,group00855
TBhypo3463.genome.CDS.1232,group01726
TBhypo3463.genome.CDS.2329,group03260
TBhypo3463.genome.CDS.2377,group00838
TBhypo3463.genome.CDS.2079,group05875
TBhypo3463.genome.CDS.2019,group03769
TBhypo3463.genome.CDS.2258,group00776
TBhypo3463.genome.CDS.2334,group04592
TBhypo3463.genome.CDS.2337,group01238
TBhypo3463.genome.CDS.2336,group03265
TBhypo3463.genome.CDS.2331,group03262
TBhypo3463.genome.CDS.2330,group03261
TBhypo3463.genome.CDS.2333,group03264
TBhypo3463.genome.CDS.2473,group00074
TBhypo3463.genome.CDS.1930,group00731
TBhypo3463.genome.CDS.2417,group01635
TBhypo3463.genome.CDS.2339,group13604
TBhypo3463.genome.CDS.2338,group08980
TBhypo3463.genome.CDS.754,group08240
TBhypo3463.genome.CDS.1948,group00010
TBhypo3463.genome.CDS.1272,group08503
TBhypo3463.genome.CDS.753,group00164
TBhypo3463.genome.CDS.1659,group09639
TBhypo3463.genome.CDS.2476,group00034
TBhypo3463.genome.CDS.1546,group00191
TBhypo3463.genome.CDS.1774,group00735
TBhypo3463.genome.CDS.2326,group01866
TBhypo3463.genome.CDS.1776,group00623
TBhypo3463.genome.CDS.1777,group00799
TBhypo3463.genome.CDS.1770,group00705
TBhypo3463.genome.CDS.1545,group00142
TBhypo3463.genome.CDS.1772,group00704
TBhypo3463.genome.CDS.2327,group03251
TBhypo3463.genome.CDS.1276,group08676
TBhypo3463.genome.CDS.1778,group00736
TBhypo3463.genome.CDS.1779,group00890
TBhypo3463.genome.CDS.1279,group00356
TBhypo3463.genome.CDS.2325,group03775
TBhypo3463.genome.CDS.1679,group00510
TBhypo3463.genome.CDS.1678,group00046
TBhypo3463.genome.CDS.1658,group01183
TBhypo3463.genome.CDS.1278,group00537
TBhypo3463.genome.CDS.1675,group00913
TBhypo3463.genome.CDS.1674,group00676
TBhypo3463.genome.CDS.1677,group00052
TBhypo3463.genome.CDS.1676,group00093
TBhypo3463.genome.CDS.1981,group01000
TBhypo3463.genome.CDS.1673,group08765
TBhypo3463.genome.CDS.1672,group00837
TBhypo3463.genome.CDS.2146,group12774
TBhypo3463.genome.CDS.2028,group08653
TBhypo3463.genome.CDS.2144,group00663
TBhypo3463.genome.CDS.1548,group00425
TBhypo3463.genome.CDS.2142,group00864
TBhypo3463.genome.CDS.2143,group13795
TBhypo3463.genome.CDS.2140,group00216
TBhypo3463.genome.CDS.1349,group00373
TBhypo3463.genome.CDS.2021,group00061
TBhypo3463.genome.CDS.2020,group00264
TBhypo3463.genome.CDS.2023,group12086
TBhypo3463.genome.CDS.2022,group00614
TBhypo3463.genome.CDS.2025,group00073
TBhypo3463.genome.CDS.910,group07583
TBhypo3463.genome.CDS.2027,group00030
TBhypo3463.genome.CDS.2026,group00762
TBhypo3463.genome.CDS.1288,group02254
TBhypo3463.genome.CDS.1289,group00224
TBhypo3463.genome.CDS.1389,group00548
TBhypo3463.genome.CDS.2371,group12705
TBhypo3463.genome.CDS.1280,group00427
TBhypo3463.genome.CDS.1281,group00469
TBhypo3463.genome.CDS.1282,group00733
TBhypo3463.genome.CDS.2170,group13185
TBhypo3463.genome.CDS.1284,group00490
TBhypo3463.genome.CDS.1285,group04573
TBhypo3463.genome.CDS.1286,group00739
TBhypo3463.genome.CDS.1287,group00417
TBhypo3463.genome.CDS.2410,group01405
TBhypo3463.genome.CDS.2411,group01343
TBhypo3463.genome.CDS.2412,group03190
TBhypo3463.genome.CDS.2282,group00308
TBhypo3463.genome.CDS.2414,group03779
TBhypo3463.genome.CDS.2415,group02938
TBhypo3463.genome.CDS.2416,group03785
TBhypo3463.genome.CDS.1630,group01304
TBhypo3463.genome.CDS.2418,group00363
TBhypo3463.genome.CDS.2419,group00545
TBhypo3463.genome.CDS.2458,group05391
TBhypo3463.genome.CDS.1982,group00555
TBhypo3463.genome.CDS.1488,group00220
TBhypo3463.genome.CDS.1489,group01645
TBhypo3463.genome.CDS.1486,group13841
TBhypo3463.genome.CDS.229,group13838
TBhypo3463.genome.CDS.1484,group06660
TBhypo3463.genome.CDS.1485,group01376
TBhypo3463.genome.CDS.1482,group00181
TBhypo3463.genome.CDS.1483,group00536
TBhypo3463.genome.CDS.1480,group04661
TBhypo3463.genome.CDS.1481,group04578
TBhypo3463.genome.CDS.2187,group00852
TBhypo3463.genome.CDS.1199,group00641
TBhypo3463.genome.CDS.90,group01898
TBhypo3463.genome.CDS.1190,group00008
TBhypo3463.genome.CDS.1191,group00008
TBhypo3463.genome.CDS.1500,group00925
TBhypo3463.genome.CDS.2459,group00945
TBhypo3463.genome.CDS.1690,group08121
TBhypo3463.genome.CDS.1388,group00192
TBhypo3463.genome.CDS.1269,group01454
TBhypo3463.genome.CDS.1927,group13861
TBhypo3463.genome.CDS.1392,group00186
TBhypo3463.genome.CDS.1393,group08563
TBhypo3463.genome.CDS.1390,group03232
TBhypo3463.genome.CDS.1391,group00355
TBhypo3463.genome.CDS.1396,group00986
TBhypo3463.genome.CDS.2248,group07896
TBhypo3463.genome.CDS.1394,group06006
TBhypo3463.genome.CDS.1395,group04438
TBhypo3463.genome.CDS.2245,group00101
TBhypo3463.genome.CDS.2244,group00195
TBhypo3463.genome.CDS.1398,group00062
TBhypo3463.genome.CDS.2246,group00918
TBhypo3463.genome.CDS.2241,group00170
TBhypo3463.genome.CDS.2240,group00964
TBhypo3463.genome.CDS.2243,group00295
TBhypo3463.genome.CDS.2242,group02662
TBhypo3463.genome.CDS.1903,group01733
TBhypo3463.genome.CDS.1980,group01054
TBhypo3463.genome.CDS.1901,group01992
TBhypo3463.genome.CDS.1668,group01261
TBhypo3463.genome.CDS.1907,group00222
TBhypo3463.genome.CDS.1906,group01292
TBhypo3463.genome.CDS.1905,group04455
TBhypo3463.genome.CDS.1904,group00869
TBhypo3463.genome.CDS.1909,group00554
TBhypo3463.genome.CDS.1908,group00241
TBhypo3463.genome.CDS.2045,group00113
TBhypo3463.genome.CDS.2444,group13829
TBhypo3463.genome.CDS.1938,group00926
TBhypo3463.genome.CDS.1994,group13668
TBhypo3463.genome.CDS.1995,group01344
TBhypo3463.genome.CDS.1996,group00670
TBhypo3463.genome.CDS.1997,group06642
TBhypo3463.genome.CDS.1990,group00953
TBhypo3463.genome.CDS.1991,group00347
TBhypo3463.genome.CDS.1992,group00053
TBhypo3463.genome.CDS.1993,group00083
TBhypo3463.genome.CDS.2163,group00050
TBhypo3463.genome.CDS.1998,group01056
TBhypo3463.genome.CDS.1999,group02921
TBhypo3463.genome.CDS.2042,group03243
TBhypo3463.genome.CDS.1415,group00596
TBhypo3463.genome.CDS.1414,group00579
TBhypo3463.genome.CDS.1417,group00689
TBhypo3463.genome.CDS.1416,group00734
TBhypo3463.genome.CDS.1411,group02669
TBhypo3463.genome.CDS.1410,group00635
TBhypo3463.genome.CDS.2489,group00517
TBhypo3463.genome.CDS.2488,group09900
TBhypo3463.genome.CDS.1554,group13849
TBhypo3463.genome.CDS.2486,group00667
TBhypo3463.genome.CDS.2485,group00495
TBhypo3463.genome.CDS.2484,group00462
TBhypo3463.genome.CDS.2483,group06649
TBhypo3463.genome.CDS.1551,group00436
TBhypo3463.genome.CDS.1552,group00089
TBhypo3463.genome.CDS.2480,group00511
TBhypo3463.genome.CDS.2499,group03782
TBhypo3463.genome.CDS.2230,group00878
TBhypo3463.genome.CDS.1461,group00580
TBhypo3463.genome.CDS.2399,group00924
TBhypo3463.genome.CDS.531,group12254
TBhypo3463.genome.CDS.2376,group00565
TBhypo3463.genome.CDS.1262,group04655
TBhypo3463.genome.CDS.1717,group00367
TBhypo3463.genome.CDS.473,group00685
TBhypo3463.genome.CDS.1367,group03231
TBhypo3463.genome.CDS.1868,group00331
TBhypo3463.genome.CDS.1869,group00332
TBhypo3463.genome.CDS.1324,group00715
TBhypo3463.genome.CDS.1860,group00665
TBhypo3463.genome.CDS.1861,group01969
TBhypo3463.genome.CDS.1862,group00640
TBhypo3463.genome.CDS.1863,group00290
TBhypo3463.genome.CDS.1864,group00769
TBhypo3463.genome.CDS.1865,group00810
TBhypo3463.genome.CDS.1866,group00881
TBhypo3463.genome.CDS.1867,group00441
TBhypo3463.genome.CDS.1309,group02100
TBhypo3463.genome.CDS.1308,group02442
TBhypo3463.genome.CDS.940,group01404
TBhypo3463.genome.CDS.1301,group03740
TBhypo3463.genome.CDS.2178,group01465
TBhypo3463.genome.CDS.1303,group13716
TBhypo3463.genome.CDS.1302,group01850
TBhypo3463.genome.CDS.1304,group02380
TBhypo3463.genome.CDS.1307,group13943
TBhypo3463.genome.CDS.1306,group13866
TBhypo3463.genome.CDS.2319,group01977
TBhypo3463.genome.CDS.1984,group00348
TBhypo3463.genome.CDS.2093,group00530
TBhypo3463.genome.CDS.27,group00012
TBhypo3463.genome.CDS.1730,group00210
TBhypo3463.genome.CDS.1731,group00784
TBhypo3463.genome.CDS.1732,group05402
TBhypo3463.genome.CDS.1733,group00589
TBhypo3463.genome.CDS.1734,group00391
TBhypo3463.genome.CDS.1735,group07168
TBhypo3463.genome.CDS.1736,group12865
TBhypo3463.genome.CDS.1738,group00701
TBhypo3463.genome.CDS.1739,group00324
TBhypo3463.genome.CDS.1643,group00153
TBhypo3463.genome.CDS.2065,group00009
TBhypo3463.genome.CDS.2064,group05250
TBhypo3463.genome.CDS.2067,group03272
TBhypo3463.genome.CDS.2066,group08749
TBhypo3463.genome.CDS.2348,group00413
TBhypo3463.genome.CDS.2060,group13631
TBhypo3463.genome.CDS.2063,group09064
TBhypo3463.genome.CDS.2062,group02924
TBhypo3463.genome.CDS.2344,group00364
TBhypo3463.genome.CDS.2313,group03919
TBhypo3463.genome.CDS.2346,group00857
TBhypo3463.genome.CDS.2347,group07830
TBhypo3463.genome.CDS.2340,group12383
TBhypo3463.genome.CDS.2341,group01083
TBhypo3463.genome.CDS.2342,group04409
TBhypo3463.genome.CDS.2312,group05439
TBhypo3463.genome.CDS.1244,group01026
TBhypo3463.genome.CDS.2183,group02113
TBhypo3463.genome.CDS.1541,group04115
TBhypo3463.genome.CDS.2181,group00399
TBhypo3463.genome.CDS.1240,group00818
TBhypo3463.genome.CDS.1241,group00956
TBhypo3463.genome.CDS.2184,group00165
TBhypo3463.genome.CDS.1243,group01841
TBhypo3463.genome.CDS.2188,group00889
TBhypo3463.genome.CDS.2189,group05294
TBhypo3463.genome.CDS.1248,group01305
TBhypo3463.genome.CDS.1249,group00432
TBhypo3463.genome.CDS.1604,group08416
TBhypo3463.genome.CDS.1605,group00981
TBhypo3463.genome.CDS.1606,group00236
TBhypo3463.genome.CDS.1600,group01378
TBhypo3463.genome.CDS.1601,group01762
TBhypo3463.genome.CDS.1602,group08226
TBhypo3463.genome.CDS.1603,group00036
TBhypo3463.genome.CDS.1580,group00325
TBhypo3463.genome.CDS.1608,group02108
TBhypo3463.genome.CDS.1609,group00827
TBhypo3463.genome.CDS.1680,group01391
TBhypo3463.genome.CDS.1356,group00437
TBhypo3463.genome.CDS.2249,group00085
TBhypo3463.genome.CDS.2212,group00505
TBhypo3463.genome.CDS.1839,group00365
TBhypo3463.genome.CDS.1397,group00072
TBhypo3463.genome.CDS.2119,group00434
TBhypo3463.genome.CDS.2118,group02926
TBhypo3463.genome.CDS.2223,group08801
TBhypo3463.genome.CDS.1931,group00897
TBhypo3463.genome.CDS.2131,group01032
TBhypo3463.genome.CDS.2111,group00994
TBhypo3463.genome.CDS.2110,group00780
TBhypo3463.genome.CDS.2113,group09135
TBhypo3463.genome.CDS.2112,group00780
TBhypo3463.genome.CDS.2115,group11570
TBhypo3463.genome.CDS.2114,group11925
TBhypo3463.genome.CDS.2117,group01949
TBhypo3463.genome.CDS.2116,group04246
TBhypo3463.genome.CDS.2174,group01682
TBhypo3463.genome.CDS.1366,group00174
TBhypo3463.genome.CDS.1014,group06511
TBhypo3463.genome.CDS.2460,group00946
TBhypo3463.genome.CDS.1661,group00567
TBhypo3463.genome.CDS.2247,group11729
TBhypo3463.genome.CDS.1339,group04327
TBhypo3463.genome.CDS.2520,group06327
TBhypo3463.genome.CDS.2521,group02465
TBhypo3463.genome.CDS.2449,group13688
TBhypo3463.genome.CDS.2448,group00854
TBhypo3463.genome.CDS.2381,group00076
TBhypo3463.genome.CDS.1526,group00752
TBhypo3463.genome.CDS.1504,group00581
TBhypo3463.genome.CDS.1510,group13668
TBhypo3463.genome.CDS.2442,group00527
TBhypo3463.genome.CDS.2441,group00556
TBhypo3463.genome.CDS.2440,group00415
TBhypo3463.genome.CDS.1514,group00050
TBhypo3463.genome.CDS.1515,group03657
TBhypo3463.genome.CDS.2445,group00820
TBhypo3463.genome.CDS.1517,group00302
TBhypo3463.genome.CDS.2130,group01342
TBhypo3463.genome.CDS.2396,group00968
TBhypo3463.genome.CDS.1556,group00173
TBhypo3463.genome.CDS.1352,group02679
TBhypo3463.genome.CDS.1902,group00682
TBhypo3463.genome.CDS.1959,group04405
TBhypo3463.genome.CDS.262,group00508
TBhypo3463.genome.CDS.1693,group00552
TBhypo3463.genome.CDS.1692,group01173
TBhypo3463.genome.CDS.1691,group00051
TBhypo3463.genome.CDS.2462,group01272
TBhypo3463.genome.CDS.1697,group09555
TBhypo3463.genome.CDS.1696,group03657
TBhypo3463.genome.CDS.1695,group00582
TBhypo3463.genome.CDS.1694,group00035
TBhypo3463.genome.CDS.2259,group01038
TBhypo3463.genome.CDS.1699,group00032
TBhypo3463.genome.CDS.1698,group12690
TBhypo3463.genome.CDS.2030,group00532
TBhypo3463.genome.CDS.1652,group00277
TBhypo3463.genome.CDS.1520,group00850
TBhypo3463.genome.CDS.2229,group00973
TBhypo3463.genome.CDS.2138,group00280
TBhypo3463.genome.CDS.1718,group01958
TBhypo3463.genome.CDS.1650,group01030
TBhypo3463.genome.CDS.1942,group03768
TBhypo3463.genome.CDS.1833,group00672
TBhypo3463.genome.CDS.1832,group00421
TBhypo3463.genome.CDS.1831,group00647
TBhypo3463.genome.CDS.1939,group00650
TBhypo3463.genome.CDS.1837,group08235
TBhypo3463.genome.CDS.1836,group01402
TBhypo3463.genome.CDS.1835,group01461
TBhypo3463.genome.CDS.1834,group00680
TBhypo3463.genome.CDS.1932,group01024
TBhypo3463.genome.CDS.1933,group03766
TBhypo3463.genome.CDS.1851,group09627
TBhypo3463.genome.CDS.1838,group00106
TBhypo3463.genome.CDS.1936,group00249
TBhypo3463.genome.CDS.1937,group01462
TBhypo3463.genome.CDS.1934,group00218
TBhypo3463.genome.CDS.1935,group00406
TBhypo3463.genome.CDS.2234,group00294
TBhypo3463.genome.CDS.1715,group00961
TBhypo3463.genome.CDS.1949,group00049
TBhypo3463.genome.CDS.2235,group00456
TBhypo3463.genome.CDS.1947,group01635
TBhypo3463.genome.CDS.1946,group00047
TBhypo3463.genome.CDS.1945,group00173
TBhypo3463.genome.CDS.1944,group03152
TBhypo3463.genome.CDS.1943,group13863
TBhypo3463.genome.CDS.2236,group00571
TBhypo3463.genome.CDS.1941,group01766
TBhypo3463.genome.CDS.1940,group04903
TBhypo3463.genome.CDS.1345,group00168
TBhypo3463.genome.CDS.1344,group00292
TBhypo3463.genome.CDS.1347,group07929
TBhypo3463.genome.CDS.2237,group00148
TBhypo3463.genome.CDS.1341,group00697
TBhypo3463.genome.CDS.2231,group00904
TBhypo3463.genome.CDS.1343,group00124
TBhypo3463.genome.CDS.2464,group00557
TBhypo3463.genome.CDS.1464,group04669
TBhypo3463.genome.CDS.1465,group00697
TBhypo3463.genome.CDS.1466,group07507
TBhypo3463.genome.CDS.1467,group00636
TBhypo3463.genome.CDS.2238,group00630
TBhypo3463.genome.CDS.2239,group00591
TBhypo3463.genome.CDS.1462,group00523
TBhypo3463.genome.CDS.1463,group00454
TBhypo3463.genome.CDS.2232,group04685
TBhypo3463.genome.CDS.1342,group13639
TBhypo3463.genome.CDS.2368,group00606
TBhypo3463.genome.CDS.2214,group00092
TBhypo3463.genome.CDS.2000,group10360
TBhypo3463.genome.CDS.2147,group08132
TBhypo3463.genome.CDS.2006,group13867
TBhypo3463.genome.CDS.2287,group00893
TBhypo3463.genome.CDS.1460,group07649
TBhypo3463.genome.CDS.1511,group01344
TBhypo3463.genome.CDS.2296,group00151
TBhypo3463.genome.CDS.1348,group13639
TBhypo3463.genome.CDS.2308,group01270
TBhypo3463.genome.CDS.2309,group01190
TBhypo3463.genome.CDS.1553,group00717
TBhypo3463.genome.CDS.2300,group00275
TBhypo3463.genome.CDS.2301,group01296
TBhypo3463.genome.CDS.2302,group07304
TBhypo3463.genome.CDS.2303,group08176
TBhypo3463.genome.CDS.2304,group11743
TBhypo3463.genome.CDS.2305,group00853
TBhypo3463.genome.CDS.2306,group00104
TBhypo3463.genome.CDS.2307,group01467
TBhypo3463.genome.CDS.2361,group10443
TBhypo3463.genome.CDS.2475,group00942
TBhypo3463.genome.CDS.2496,group00086
TBhypo3463.genome.CDS.1512,group00386
TBhypo3463.genome.CDS.1399,group00094
TBhypo3463.genome.CDS.1406,group09440
TBhypo3463.genome.CDS.1640,group00112
TBhypo3463.genome.CDS.1641,group00661
TBhypo3463.genome.CDS.1769,group11949
TBhypo3463.genome.CDS.1768,group00970
TBhypo3463.genome.CDS.1644,group00221
TBhypo3463.genome.CDS.1645,group00140
TBhypo3463.genome.CDS.1646,group00026
TBhypo3463.genome.CDS.1647,group00201
TBhypo3463.genome.CDS.1763,group07478
TBhypo3463.genome.CDS.1649,group00024
TBhypo3463.genome.CDS.1761,group02940
TBhypo3463.genome.CDS.1760,group02104
TBhypo3463.genome.CDS.1767,group00983
TBhypo3463.genome.CDS.1766,group02443
TBhypo3463.genome.CDS.1765,group00638
TBhypo3463.genome.CDS.1764,group00340
TBhypo3463.genome.CDS.2155,group01464
TBhypo3463.genome.CDS.2154,group00184
TBhypo3463.genome.CDS.2157,group00206
TBhypo3463.genome.CDS.2156,group00320
TBhypo3463.genome.CDS.2151,group13826
TBhypo3463.genome.CDS.2150,group00795
TBhypo3463.genome.CDS.2153,group00535
TBhypo3463.genome.CDS.2169,group03252
TBhypo3463.genome.CDS.2014,group00887
TBhypo3463.genome.CDS.2015,group01140
TBhypo3463.genome.CDS.2016,group03244
TBhypo3463.genome.CDS.2017,group01176
TBhypo3463.genome.CDS.2010,group00491
TBhypo3463.genome.CDS.2011,group00291
TBhypo3463.genome.CDS.2012,group00080
TBhypo3463.genome.CDS.2013,group12495
TBhypo3463.genome.CDS.1559,group03237
TBhypo3463.genome.CDS.1299,group08213
TBhypo3463.genome.CDS.1298,group11648
TBhypo3463.genome.CDS.1297,group00504
TBhypo3463.genome.CDS.1558,group04032
TBhypo3463.genome.CDS.1295,group13210
TBhypo3463.genome.CDS.1294,group02446
TBhypo3463.genome.CDS.1293,group08095
TBhypo3463.genome.CDS.1292,group00959
TBhypo3463.genome.CDS.1291,group00740
TBhypo3463.genome.CDS.1290,group00985
TBhypo3463.genome.CDS.2407,group03267
TBhypo3463.genome.CDS.2406,group06043
TBhypo3463.genome.CDS.2405,group03266
TBhypo3463.genome.CDS.2404,group01313
TBhypo3463.genome.CDS.2403,group00809
TBhypo3463.genome.CDS.1413,group04619
TBhypo3463.genome.CDS.2401,group01039
TBhypo3463.genome.CDS.2400,group01020
TBhypo3463.genome.CDS.1227,group04654
TBhypo3463.genome.CDS.1412,group04704
TBhypo3463.genome.CDS.2298,group00273
TBhypo3463.genome.CDS.2409,group00013
TBhypo3463.genome.CDS.2408,group00539
TBhypo3463.genome.CDS.2487,group00875
TBhypo3463.genome.CDS.2299,group02658
TBhypo3463.genome.CDS.1499,group00123
TBhypo3463.genome.CDS.1498,group13842
TBhypo3463.genome.CDS.1555,group04420
TBhypo3463.genome.CDS.1495,group00633
TBhypo3463.genome.CDS.1494,group00279
