AAA023J06.genome.CDS.1337,group12865
AAA023J06.genome.CDS.1156,group00799
AAA023J06.genome.CDS.1155,group00283
AAA023J06.genome.CDS.1154,group00432
AAA023J06.genome.CDS.1100,group01039
AAA023J06.genome.CDS.1101,group11238
AAA023J06.genome.CDS.1250,group10830
AAA023J06.genome.CDS.1398,group05303
AAA023J06.genome.CDS.1252,group10829
AAA023J06.genome.CDS.1253,group13210
AAA023J06.genome.CDS.1254,group07708
AAA023J06.genome.CDS.1255,group04794
AAA023J06.genome.CDS.1256,group01870
AAA023J06.genome.CDS.1257,group00021
AAA023J06.genome.CDS.1391,group00624
AAA023J06.genome.CDS.1259,group00020
AAA023J06.genome.CDS.1393,group05853
AAA023J06.genome.CDS.1392,group01646
AAA023J06.genome.CDS.1395,group00007
AAA023J06.genome.CDS.1394,group05850
AAA023J06.genome.CDS.1397,group00436
AAA023J06.genome.CDS.1396,group00316
AAA023J06.genome.CDS.852,group11844
AAA023J06.genome.CDS.853,group00239
AAA023J06.genome.CDS.850,group00091
AAA023J06.genome.CDS.851,group10844
AAA023J06.genome.CDS.856,group12465
AAA023J06.genome.CDS.857,group04473
AAA023J06.genome.CDS.854,group04017
AAA023J06.genome.CDS.855,group02108
AAA023J06.genome.CDS.858,group01862
AAA023J06.genome.CDS.859,group00878
AAA023J06.genome.CDS.748,group00734
AAA023J06.genome.CDS.938,group00548
AAA023J06.genome.CDS.1108,group00501
AAA023J06.genome.CDS.1029,group08655
AAA023J06.genome.CDS.1028,group00133
AAA023J06.genome.CDS.1027,group10360
AAA023J06.genome.CDS.1026,group00882
AAA023J06.genome.CDS.1025,group00185
AAA023J06.genome.CDS.1024,group00606
AAA023J06.genome.CDS.1023,group00461
AAA023J06.genome.CDS.1022,group00492
AAA023J06.genome.CDS.1021,group00406
AAA023J06.genome.CDS.1020,group00322
AAA023J06.genome.CDS.926,group06511
AAA023J06.genome.CDS.927,group10919
AAA023J06.genome.CDS.924,group13716
AAA023J06.genome.CDS.925,group01850
AAA023J06.genome.CDS.922,group01305
AAA023J06.genome.CDS.923,group00043
AAA023J06.genome.CDS.920,group00335
AAA023J06.genome.CDS.921,group08520
AAA023J06.genome.CDS.1109,group11231
AAA023J06.genome.CDS.928,group00336
AAA023J06.genome.CDS.929,group00601
AAA023J06.genome.CDS.1434,group03088
AAA023J06.genome.CDS.1435,group01711
AAA023J06.genome.CDS.1436,group04042
AAA023J06.genome.CDS.1437,group08132
AAA023J06.genome.CDS.1430,group13661
AAA023J06.genome.CDS.1431,group00046
AAA023J06.genome.CDS.1432,group00956
AAA023J06.genome.CDS.1433,group00935
AAA023J06.genome.CDS.1438,group10335
AAA023J06.genome.CDS.1439,group00009
AAA023J06.genome.CDS.1399,group00607
AAA023J06.genome.CDS.1251,group05070
AAA023J06.genome.CDS.1441,group12383
AAA023J06.genome.CDS.1440,group08503
AAA023J06.genome.CDS.1443,group01595
AAA023J06.genome.CDS.1442,group00937
AAA023J06.genome.CDS.1445,group05283
AAA023J06.genome.CDS.1444,group00502
AAA023J06.genome.CDS.1447,group05283
AAA023J06.genome.CDS.1446,group00497
AAA023J06.genome.CDS.1449,group14016
AAA023J06.genome.CDS.1448,group09544
AAA023J06.genome.CDS.1328,group10851
AAA023J06.genome.CDS.1329,group10850
AAA023J06.genome.CDS.1280,group06565
AAA023J06.genome.CDS.1287,group13738
AAA023J06.genome.CDS.1286,group10839
AAA023J06.genome.CDS.1285,group01059
AAA023J06.genome.CDS.1390,group04405
AAA023J06.genome.CDS.1320,group00817
AAA023J06.genome.CDS.1321,group01176
AAA023J06.genome.CDS.1322,group00784
AAA023J06.genome.CDS.1323,group00126
AAA023J06.genome.CDS.1324,group08226
AAA023J06.genome.CDS.1325,group00813
AAA023J06.genome.CDS.1326,group02114
AAA023J06.genome.CDS.1327,group10852
AAA023J06.genome.CDS.962,group01725
AAA023J06.genome.CDS.771,group00215
AAA023J06.genome.CDS.808,group00877
AAA023J06.genome.CDS.1197,group13626
AAA023J06.genome.CDS.1196,group00242
AAA023J06.genome.CDS.1195,group01022
AAA023J06.genome.CDS.1194,group00024
AAA023J06.genome.CDS.1193,group00700
AAA023J06.genome.CDS.1219,group00434
AAA023J06.genome.CDS.1191,group03973
AAA023J06.genome.CDS.1190,group05700
AAA023J06.genome.CDS.1214,group12547
AAA023J06.genome.CDS.1215,group00142
AAA023J06.genome.CDS.1216,group00503
AAA023J06.genome.CDS.1217,group02935
AAA023J06.genome.CDS.1210,group10353
AAA023J06.genome.CDS.1211,group00253
AAA023J06.genome.CDS.1199,group06540
AAA023J06.genome.CDS.1198,group00807
AAA023J06.genome.CDS.742,group02261
AAA023J06.genome.CDS.1306,group00367
AAA023J06.genome.CDS.968,group13629
AAA023J06.genome.CDS.1307,group05078
AAA023J06.genome.CDS.802,group00201
AAA023J06.genome.CDS.1481,group00710
AAA023J06.genome.CDS.110,group02356
AAA023J06.genome.CDS.1318,group10848
AAA023J06.genome.CDS.806,group00220
AAA023J06.genome.CDS.1308,group00443
AAA023J06.genome.CDS.449,group02543
AAA023J06.genome.CDS.1069,group06006
AAA023J06.genome.CDS.1068,group00843
AAA023J06.genome.CDS.527,group10827
AAA023J06.genome.CDS.1063,group01587
AAA023J06.genome.CDS.1062,group12090
AAA023J06.genome.CDS.1061,group01964
AAA023J06.genome.CDS.1060,group00847
AAA023J06.genome.CDS.1067,group12531
AAA023J06.genome.CDS.444,group08257
AAA023J06.genome.CDS.1065,group01112
AAA023J06.genome.CDS.1064,group00941
AAA023J06.genome.CDS.1269,group01346
AAA023J06.genome.CDS.1268,group10834
AAA023J06.genome.CDS.1103,group12156
AAA023J06.genome.CDS.1104,group01769
AAA023J06.genome.CDS.1105,group01262
AAA023J06.genome.CDS.1106,group04829
AAA023J06.genome.CDS.1107,group04914
AAA023J06.genome.CDS.1261,group00786
AAA023J06.genome.CDS.1260,group10828
AAA023J06.genome.CDS.1263,group12642
AAA023J06.genome.CDS.1262,group13210
AAA023J06.genome.CDS.1265,group13795
AAA023J06.genome.CDS.1264,group10837
AAA023J06.genome.CDS.1267,group10835
AAA023J06.genome.CDS.1266,group10836
AAA023J06.genome.CDS.1453,group00862
AAA023J06.genome.CDS.1450,group00313
AAA023J06.genome.CDS.809,group00661
AAA023J06.genome.CDS.963,group00436
AAA023J06.genome.CDS.960,group00649
AAA023J06.genome.CDS.961,group00113
AAA023J06.genome.CDS.966,group01856
AAA023J06.genome.CDS.967,group00687
AAA023J06.genome.CDS.964,group06450
AAA023J06.genome.CDS.965,group00898
AAA023J06.genome.CDS.801,group00797
AAA023J06.genome.CDS.800,group00632
AAA023J06.genome.CDS.803,group00025
AAA023J06.genome.CDS.969,group12999
AAA023J06.genome.CDS.805,group12801
AAA023J06.genome.CDS.804,group00141
AAA023J06.genome.CDS.807,group05289
AAA023J06.genome.CDS.783,group00208
AAA023J06.genome.CDS.1451,group01343
AAA023J06.genome.CDS.1454,group00968
AAA023J06.genome.CDS.1455,group00969
AAA023J06.genome.CDS.1055,group00960
AAA023J06.genome.CDS.772,group00281
AAA023J06.genome.CDS.1364,group00206
AAA023J06.genome.CDS.1365,group04905
AAA023J06.genome.CDS.1366,group01006
AAA023J06.genome.CDS.1367,group00668
AAA023J06.genome.CDS.1360,group00004
AAA023J06.genome.CDS.1361,group00881
AAA023J06.genome.CDS.1362,group00599
AAA023J06.genome.CDS.1363,group03968
AAA023J06.genome.CDS.1405,group00126
AAA023J06.genome.CDS.1404,group00984
AAA023J06.genome.CDS.1407,group12290
AAA023J06.genome.CDS.1406,group02793
AAA023J06.genome.CDS.1401,group00011
AAA023J06.genome.CDS.1369,group00126
AAA023J06.genome.CDS.1403,group02717
AAA023J06.genome.CDS.1402,group00785
AAA023J06.genome.CDS.1427,group02241
AAA023J06.genome.CDS.1359,group00016
AAA023J06.genome.CDS.1291,group10841
AAA023J06.genome.CDS.1311,group01317
AAA023J06.genome.CDS.1313,group02348
AAA023J06.genome.CDS.749,group01096
AAA023J06.genome.CDS.1315,group00270
AAA023J06.genome.CDS.1314,group11946
AAA023J06.genome.CDS.1317,group00754
AAA023J06.genome.CDS.1316,group00071
AAA023J06.genome.CDS.1319,group05328
AAA023J06.genome.CDS.743,group07208
AAA023J06.genome.CDS.740,group02135
AAA023J06.genome.CDS.741,group00677
AAA023J06.genome.CDS.746,group00528
AAA023J06.genome.CDS.747,group00414
AAA023J06.genome.CDS.744,group01033
AAA023J06.genome.CDS.745,group00416
AAA023J06.genome.CDS.1351,group00582
AAA023J06.genome.CDS.1299,group00069
AAA023J06.genome.CDS.988,group00229
AAA023J06.genome.CDS.1497,group00706
AAA023J06.genome.CDS.1494,group00017
AAA023J06.genome.CDS.1495,group00393
AAA023J06.genome.CDS.1492,group00750
AAA023J06.genome.CDS.1493,group00274
AAA023J06.genome.CDS.1490,group00374
AAA023J06.genome.CDS.1491,group00850
AAA023J06.genome.CDS.980,group08679
AAA023J06.genome.CDS.981,group00124
AAA023J06.genome.CDS.982,group01123
AAA023J06.genome.CDS.983,group02627
AAA023J06.genome.CDS.984,group00441
AAA023J06.genome.CDS.985,group00451
AAA023J06.genome.CDS.986,group11640
AAA023J06.genome.CDS.987,group00249
AAA023J06.genome.CDS.1148,group14024
AAA023J06.genome.CDS.1149,group00222
AAA023J06.genome.CDS.1145,group10386
AAA023J06.genome.CDS.1146,group01700
AAA023J06.genome.CDS.1147,group01464
AAA023J06.genome.CDS.1140,group00117
AAA023J06.genome.CDS.1141,group00117
AAA023J06.genome.CDS.1142,group08128
AAA023J06.genome.CDS.1143,group00683
AAA023J06.genome.CDS.1091,group01465
AAA023J06.genome.CDS.1225,group00934
AAA023J06.genome.CDS.1224,group00355
AAA023J06.genome.CDS.1388,group01585
AAA023J06.genome.CDS.1226,group00650
AAA023J06.genome.CDS.1221,group00743
AAA023J06.genome.CDS.1220,group00796
AAA023J06.genome.CDS.1223,group00239
AAA023J06.genome.CDS.1222,group00773
AAA023J06.genome.CDS.1382,group00082
AAA023J06.genome.CDS.1409,group00100
AAA023J06.genome.CDS.1380,group05527
AAA023J06.genome.CDS.1381,group00994
AAA023J06.genome.CDS.1386,group08765
AAA023J06.genome.CDS.1228,group05228
AAA023J06.genome.CDS.1384,group00927
AAA023J06.genome.CDS.1408,group00337
AAA023J06.genome.CDS.845,group01596
AAA023J06.genome.CDS.844,group00139
AAA023J06.genome.CDS.847,group00239
AAA023J06.genome.CDS.846,group13196
AAA023J06.genome.CDS.841,group02251
AAA023J06.genome.CDS.840,group02250
AAA023J06.genome.CDS.843,group00643
AAA023J06.genome.CDS.842,group07796
AAA023J06.genome.CDS.849,group02108
AAA023J06.genome.CDS.848,group04017
AAA023J06.genome.CDS.1119,group01342
AAA023J06.genome.CDS.456,group02543
AAA023J06.genome.CDS.1400,group00898
AAA023J06.genome.CDS.1139,group01421
AAA023J06.genome.CDS.1138,group00862
AAA023J06.genome.CDS.1033,group00133
AAA023J06.genome.CDS.1034,group00832
AAA023J06.genome.CDS.1035,group06029
AAA023J06.genome.CDS.1036,group00135
AAA023J06.genome.CDS.1037,group00328
AAA023J06.genome.CDS.1131,group00919
AAA023J06.genome.CDS.1130,group13769
AAA023J06.genome.CDS.1133,group05084
AAA023J06.genome.CDS.1132,group02747
AAA023J06.genome.CDS.1135,group12823
AAA023J06.genome.CDS.1134,group07973
AAA023J06.genome.CDS.1137,group10879
AAA023J06.genome.CDS.1136,group01377
AAA023J06.genome.CDS.830,group02584
AAA023J06.genome.CDS.831,group01154
AAA023J06.genome.CDS.832,group13604
AAA023J06.genome.CDS.833,group01127
AAA023J06.genome.CDS.834,group03023
AAA023J06.genome.CDS.835,group00387
AAA023J06.genome.CDS.836,group08165
AAA023J06.genome.CDS.837,group01620
AAA023J06.genome.CDS.838,group01760
AAA023J06.genome.CDS.839,group09996
AAA023J06.genome.CDS.1051,group00324
AAA023J06.genome.CDS.939,group00627
AAA023J06.genome.CDS.1309,group09064
AAA023J06.genome.CDS.931,group00906
AAA023J06.genome.CDS.930,group00776
AAA023J06.genome.CDS.933,group00317
AAA023J06.genome.CDS.932,group01319
AAA023J06.genome.CDS.935,group00090
AAA023J06.genome.CDS.934,group00767
AAA023J06.genome.CDS.937,group00192
AAA023J06.genome.CDS.936,group00246
AAA023J06.genome.CDS.584,group00523
AAA028K15.genome.CDS.819,group01178
AAA023J06.genome.CDS.1111,group10868
AAA023J06.genome.CDS.786,group00008
AAA023J06.genome.CDS.787,group00294
AAA023J06.genome.CDS.784,group00510
AAA023J06.genome.CDS.785,group00171
AAA023J06.genome.CDS.782,group00104
AAA023J06.genome.CDS.1457,group00820
AAA023J06.genome.CDS.780,group00035
AAA023J06.genome.CDS.781,group00087
AAA023J06.genome.CDS.1458,group07014
AAA023J06.genome.CDS.1459,group01711
AAA023J06.genome.CDS.788,group00462
AAA023J06.genome.CDS.789,group00494
AAA023J06.genome.CDS.1294,group13878
AAA023J06.genome.CDS.1295,group04997
AAA023J06.genome.CDS.1296,group01010
AAA023J06.genome.CDS.1297,group02255
AAA023J06.genome.CDS.1290,group10838
AAA023J06.genome.CDS.1358,group00985
AAA023J06.genome.CDS.1292,group06610
AAA023J06.genome.CDS.1293,group02331
AAA023J06.genome.CDS.1355,group05445
AAA023J06.genome.CDS.1354,group07309
AAA023J06.genome.CDS.1357,group01014
AAA023J06.genome.CDS.1356,group06540
AAA023J06.genome.CDS.1298,group10840
AAA023J06.genome.CDS.1350,group13125
AAA023J06.genome.CDS.1353,group00816
AAA023J06.genome.CDS.1352,group10853
AAA023J06.genome.CDS.195,group00620
AAA023J06.genome.CDS.1160,group00269
AAA023J06.genome.CDS.1161,group01855
AAA023J06.genome.CDS.1188,group00020
AAA023J06.genome.CDS.1189,group00021
AAA023J06.genome.CDS.1180,group13627
AAA023J06.genome.CDS.1181,group01025
AAA023J06.genome.CDS.1182,group13087
AAA023J06.genome.CDS.1183,group01025
AAA023J06.genome.CDS.1184,group01230
AAA023J06.genome.CDS.1185,group11935
AAA023J06.genome.CDS.1186,group12148
AAA023J06.genome.CDS.1187,group09158
AAA023J06.genome.CDS.715,group02337
AAA023J06.genome.CDS.1241,group07471
AAA023J06.genome.CDS.717,group01982
AAA023J06.genome.CDS.716,group02642
AAA023J06.genome.CDS.719,group10824
AAA023J06.genome.CDS.718,group01275
AAA023J06.genome.CDS.1078,group09120
AAA023J06.genome.CDS.1079,group00539
AAA023J06.genome.CDS.1075,group00123
AAA023J06.genome.CDS.1076,group02829
AAA023J06.genome.CDS.1077,group00097
AAA023J06.genome.CDS.1070,group09005
AAA023J06.genome.CDS.1071,group00986
AAA023J06.genome.CDS.1072,group00072
AAA023J06.genome.CDS.1073,group09120
AAA023J06.genome.CDS.1312,group01975
AAA023J06.genome.CDS.1236,group00465
AAA023J06.genome.CDS.729,group04115
AAA023J06.genome.CDS.1175,group10825
AAA023J06.genome.CDS.1174,group13725
AAA023J06.genome.CDS.1177,group02785
AAA023J06.genome.CDS.1279,group03454
AAA023J06.genome.CDS.1171,group00740
AAA023J06.genome.CDS.1170,group10037
AAA023J06.genome.CDS.1173,group01299
AAA023J06.genome.CDS.1172,group00005
AAA023J06.genome.CDS.1272,group02380
AAA023J06.genome.CDS.1273,group04069
AAA023J06.genome.CDS.1270,group12774
AAA023J06.genome.CDS.1271,group10833
AAA023J06.genome.CDS.1276,group10831
AAA023J06.genome.CDS.1277,group00063
AAA023J06.genome.CDS.1274,group01355
AAA023J06.genome.CDS.1275,group00031
AAA023J06.genome.CDS.819,group01758
AAA023J06.genome.CDS.975,group00194
AAA023J06.genome.CDS.974,group00164
AAA023J06.genome.CDS.977,group06282
AAA023J06.genome.CDS.976,group00078
AAA023J06.genome.CDS.971,group00592
AAA023J06.genome.CDS.879,group03479
AAA023J06.genome.CDS.973,group00163
AAA023J06.genome.CDS.972,group00546
AAA023J06.genome.CDS.874,group01567
AAA023J06.genome.CDS.875,group00940
AAA023J06.genome.CDS.876,group05525
AAA023J06.genome.CDS.877,group01853
AAA023J06.genome.CDS.979,group00512
AAA023J06.genome.CDS.871,group00692
AAA023J06.genome.CDS.872,group01480
AAA023J06.genome.CDS.873,group00022
AAA023J06.genome.CDS.1009,group12985
AAA023J06.genome.CDS.1008,group13085
AAA023J06.genome.CDS.726,group01216
AAA023J06.genome.CDS.1001,group00453
AAA023J06.genome.CDS.1000,group00013
AAA023J06.genome.CDS.1003,group00536
AAA023J06.genome.CDS.727,group00803
AAA023J06.genome.CDS.1005,group00614
AAA023J06.genome.CDS.1004,group01402
AAA023J06.genome.CDS.1007,group00633
AAA023J06.genome.CDS.1006,group10680
AAA023J06.genome.CDS.900,group00570
AAA023J06.genome.CDS.901,group00457
AAA023J06.genome.CDS.902,group00472
AAA023J06.genome.CDS.903,group01035
AAA023J06.genome.CDS.904,group00543
AAA023J06.genome.CDS.905,group00844
AAA023J06.genome.CDS.906,group00977
AAA023J06.genome.CDS.908,group02263
AAA023J06.genome.CDS.909,group00175
AAA023J06.genome.CDS.1047,group00711
AAA023J06.genome.CDS.1418,group00816
AAA023J06.genome.CDS.1419,group00604
AAA023J06.genome.CDS.1416,group00095
AAA023J06.genome.CDS.1417,group04820
AAA023J06.genome.CDS.1414,group00233
AAA023J06.genome.CDS.1415,group00177
AAA023J06.genome.CDS.1412,group10038
AAA023J06.genome.CDS.1413,group00959
AAA023J06.genome.CDS.1410,group00746
AAA023J06.genome.CDS.1411,group08416
AAA023J06.genome.CDS.959,group03657
AAA023J06.genome.CDS.1302,group00623
AAA023J06.genome.CDS.1303,group00846
AAA023J06.genome.CDS.1300,group02493
AAA023J06.genome.CDS.1301,group00602
AAA023J06.genome.CDS.759,group00038
AAA023J06.genome.CDS.758,group02022
AAA023J06.genome.CDS.1304,group14044
AAA023J06.genome.CDS.1305,group00731
AAA023J06.genome.CDS.755,group00733
AAA023J06.genome.CDS.754,group13608
AAA023J06.genome.CDS.757,group12689
AAA023J06.genome.CDS.756,group08653
AAA023J06.genome.CDS.751,group07313
AAA023J06.genome.CDS.750,group00498
AAA023J06.genome.CDS.753,group08398
AAA023J06.genome.CDS.752,group01621
AAA023J06.genome.CDS.1283,group02546
AAA023J06.genome.CDS.1282,group03576
AAA023J06.genome.CDS.999,group00392
AAA023J06.genome.CDS.617,group05703
AAA023J06.genome.CDS.993,group04159
AAA023J06.genome.CDS.992,group00252
AAA023J06.genome.CDS.991,group00286
AAA023J06.genome.CDS.990,group00243
AAA023J06.genome.CDS.997,group00972
AAA023J06.genome.CDS.996,group00130
AAA023J06.genome.CDS.995,group08176
AAA023J06.genome.CDS.994,group00161
AAA023J06.genome.CDS.1284,group02546
AAA023J06.genome.CDS.1346,group01630
AAA023J06.genome.CDS.1289,group01039
AAA023J06.genome.CDS.1496,group01712
AAA023J06.genome.CDS.1288,group01380
AAA023J06.genome.CDS.989,group13732
AAA023J06.genome.CDS.998,group00270
AAA023J06.genome.CDS.728,group03112
AAA023J06.genome.CDS.1237,group00447
AAA023J06.genome.CDS.1234,group03032
AAA023J06.genome.CDS.1235,group00008
AAA023J06.genome.CDS.1232,group02374
AAA023J06.genome.CDS.1233,group13051
AAA023J06.genome.CDS.1230,group00796
AAA023J06.genome.CDS.1231,group00687
AAA023J06.genome.CDS.720,group01809
AAA023J06.genome.CDS.721,group05275
AAA023J06.genome.CDS.722,group04076
AAA023J06.genome.CDS.723,group10820
AAA023J06.genome.CDS.724,group00677
AAA023J06.genome.CDS.725,group10819
AAA023J06.genome.CDS.1238,group00466
AAA023J06.genome.CDS.1239,group00741
AAA023J06.genome.CDS.502,group03988
AAA023J06.genome.CDS.538,group11853
AAA023J06.genome.CDS.1478,group00096
AAA023J06.genome.CDS.1011,group00584
AAA023J06.genome.CDS.1479,group02030
AAA023J06.genome.CDS.1045,group00031
AAA023J06.genome.CDS.1128,group12009
AAA023J06.genome.CDS.1129,group03110
AAA023J06.genome.CDS.1041,group00999
AAA023J06.genome.CDS.1040,group00728
AAA023J06.genome.CDS.1043,group13830
AAA023J06.genome.CDS.1042,group00405
AAA023J06.genome.CDS.1122,group01196
AAA023J06.genome.CDS.1123,group05435
AAA023J06.genome.CDS.1120,group00162
AAA023J06.genome.CDS.1499,group00603
AAA023J06.genome.CDS.1049,group00685
AAA023J06.genome.CDS.1048,group00760
AAA023J06.genome.CDS.1124,group01284
AAA023J06.genome.CDS.1125,group00073
AAA023J06.genome.CDS.823,group00593
AAA023J06.genome.CDS.822,group00030
AAA023J06.genome.CDS.821,group02162
AAA023J06.genome.CDS.820,group04211
AAA023J06.genome.CDS.827,group01602
AAA023J06.genome.CDS.826,group00070
AAA023J06.genome.CDS.825,group08279
AAA023J06.genome.CDS.829,group13619
AAA023J06.genome.CDS.828,group03224
AAA023J06.genome.CDS.948,group02772
AAA023J06.genome.CDS.949,group00567
AAA023J06.genome.CDS.944,group00640
AAA023J06.genome.CDS.945,group06022
AAA023J06.genome.CDS.946,group00127
AAA023J06.genome.CDS.947,group07382
AAA023J06.genome.CDS.940,group00205
AAA023J06.genome.CDS.1379,group00900
AAA023J06.genome.CDS.942,group00475
AAA023J06.genome.CDS.943,group00933
AAA023J06.genome.CDS.1473,group02792
AAA023J06.genome.CDS.461,group08257
AAA023J06.genome.CDS.1046,group05335
AAA023J06.genome.CDS.1467,group00922
AAA023J06.genome.CDS.1466,group00018
AAA023J06.genome.CDS.1465,group00785
AAA023J06.genome.CDS.1464,group12056
AAA023J06.genome.CDS.1463,group05303
AAA023J06.genome.CDS.1461,group07897
AAA023J06.genome.CDS.1460,group07790
AAA023J06.genome.CDS.1469,group01053
AAA023J06.genome.CDS.1468,group00442
AAA023J06.genome.CDS.799,group00002
AAA023J06.genome.CDS.798,group00001
AAA023J06.genome.CDS.1348,group00634
AAA023J06.genome.CDS.1349,group01036
AAA023J06.genome.CDS.791,group00715
AAA023J06.genome.CDS.790,group08323
AAA023J06.genome.CDS.793,group01394
AAA023J06.genome.CDS.1345,group09079
AAA023J06.genome.CDS.795,group00526
AAA023J06.genome.CDS.1343,group04410
AAA023J06.genome.CDS.1340,group12857
