AAA028P02.genome.CDS.1169,group04087
AAA028P02.genome.CDS.1809,group00034
AAA028P02.genome.CDS.1806,group00721
AAA028P02.genome.CDS.1807,group00416
AAA028P02.genome.CDS.1804,group00014
AAA028P02.genome.CDS.1805,group00695
AAA028P02.genome.CDS.1802,group03528
AAA028P02.genome.CDS.1803,group00612
AAA028P02.genome.CDS.1800,group11843
AAA028P02.genome.CDS.1801,group01648
AAA028P02.genome.CDS.1863,group00293
AAA028P02.genome.CDS.1205,group00776
AAA028P02.genome.CDS.1206,group01078
AAA028P02.genome.CDS.1207,group00678
AAA028P02.genome.CDS.1201,group05190
AAA028P02.genome.CDS.1202,group00417
AAA028P02.genome.CDS.1203,group00528
AAA028P02.genome.CDS.1759,group00662
AAA028P02.genome.CDS.1208,group02553
AAA028P02.genome.CDS.1209,group02562
AAA028P02.genome.CDS.1932,group00005
AAA028P02.genome.CDS.1059,group00319
AAA028P02.genome.CDS.1930,group00515
AAA028P02.genome.CDS.1931,group03532
AAA028P02.genome.CDS.1936,group01315
AAA028P02.genome.CDS.1937,group00837
AAA028P02.genome.CDS.1934,group00013
AAA028P02.genome.CDS.1111,group00277
AAA028P02.genome.CDS.1938,group00064
AAA028P02.genome.CDS.1939,group03323
AAA028P02.genome.CDS.1112,group00336
AAA028P02.genome.CDS.1385,group00804
AAA028P02.genome.CDS.1384,group02684
AAA028P02.genome.CDS.1387,group00365
AAA028P02.genome.CDS.1386,group00105
AAA028P02.genome.CDS.1381,group00648
AAA028P02.genome.CDS.1380,group00694
AAA028P02.genome.CDS.1383,group02944
AAA028P02.genome.CDS.1382,group00473
AAA028P02.genome.CDS.1034,group00401
AAA028P02.genome.CDS.1389,group02379
AAA028P02.genome.CDS.1388,group00230
AAA028P02.genome.CDS.228,group00418
AAA028P02.genome.CDS.1271,group00753
AAA028P02.genome.CDS.1270,group03519
AAA028P02.genome.CDS.1273,group00372
AAA028P02.genome.CDS.1272,group00442
AAA028P02.genome.CDS.1275,group00287
AAA028P02.genome.CDS.1274,group00251
AAA028P02.genome.CDS.1277,group00918
AAA028P02.genome.CDS.1276,group00220
AAA028P02.genome.CDS.1279,group00237
AAA028P02.genome.CDS.1278,group00459
AAA028P02.genome.CDS.1473,group00410
AAA028P02.genome.CDS.1472,group02700
AAA028P02.genome.CDS.1471,group11821
AAA028P02.genome.CDS.1470,group11822
AAA028P02.genome.CDS.1477,group00439
AAA028P02.genome.CDS.1476,group00386
AAA028P02.genome.CDS.1475,group00139
AAA028P02.genome.CDS.1474,group00050
AAA028P02.genome.CDS.1370,group00245
AAA028P02.genome.CDS.1371,group01408
AAA028P02.genome.CDS.1479,group00141
AAA028P02.genome.CDS.1373,group00219
AAA028P02.genome.CDS.1374,group00160
AAA028P02.genome.CDS.1375,group00159
AAA028P02.genome.CDS.1376,group00134
AAA028P02.genome.CDS.1377,group02679
AAA028P02.genome.CDS.386,group00334
AAA028P02.genome.CDS.1052,group00065
AAA028P02.genome.CDS.1897,group02948
AAA028P02.genome.CDS.1548,group00549
AAA028P02.genome.CDS.1926,group03224
AAA028P02.genome.CDS.1550,group00001
AAA028P02.genome.CDS.1551,group01841
AAA028P02.genome.CDS.1552,group00637
AAA028P02.genome.CDS.1553,group04429
AAA028P02.genome.CDS.224,group11882
AAA028P02.genome.CDS.1555,group11829
AAA028P02.genome.CDS.1556,group11828
AAA028P02.genome.CDS.1557,group01688
AAA028P02.genome.CDS.1491,group00200
AAA028P02.genome.CDS.1559,group04767
AAA028P02.genome.CDS.1493,group00599
AAA028P02.genome.CDS.1056,group00554
AAA028P02.genome.CDS.1495,group00031
AAA028P02.genome.CDS.1494,group00261
AAA028P02.genome.CDS.1497,group00639
AAA028P02.genome.CDS.1496,group00130
AAA028P02.genome.CDS.1015,group00411
AAA028P02.genome.CDS.1014,group00369
AAA028P02.genome.CDS.1017,group02013
AAA028P02.genome.CDS.1016,group00165
AAA028P02.genome.CDS.1011,group02286
AAA028P02.genome.CDS.1010,group11817
AAA028P02.genome.CDS.1019,group00054
AAA028P02.genome.CDS.1018,group01252
AAA028P02.genome.CDS.1537,group11831
AAA028P02.genome.CDS.867,group03152
AAA028P02.genome.CDS.1679,group00326
AAA028P02.genome.CDS.989,group00907
AAA028P02.genome.CDS.1159,group00801
AAA028P02.genome.CDS.1154,group00422
AAA028P02.genome.CDS.984,group00578
AAA028P02.genome.CDS.1156,group00793
AAA028P02.genome.CDS.1669,group01661
AAA028P02.genome.CDS.981,group03475
AAA028P02.genome.CDS.980,group04103
AAA028P02.genome.CDS.983,group01535
AAA028P02.genome.CDS.1153,group00304
AAA028P02.genome.CDS.427,group00555
AAA028P02.genome.CDS.420,group00503
AAA028P02.genome.CDS.1678,group00404
AAA028P02.genome.CDS.1729,group02126
AAA028P02.genome.CDS.1728,group00079
AAA028P02.genome.CDS.1727,group00029
AAA028P02.genome.CDS.1726,group04097
AAA028P02.genome.CDS.1725,group02641
AAA028P02.genome.CDS.1724,group01902
AAA028P02.genome.CDS.1723,group01189
AAA028P02.genome.CDS.1722,group01437
AAA028P02.genome.CDS.1721,group02940
AAA028P02.genome.CDS.1720,group02464
AAA028P02.genome.CDS.1129,group01669
AAA028P02.genome.CDS.1793,group03899
AAA028P02.genome.CDS.1790,group00152
AAA028P02.genome.CDS.1658,group00100
AAA028P02.genome.CDS.1796,group00036
AAA028P02.genome.CDS.1794,group00361
AAA028P02.genome.CDS.1795,group03445
AAA028P02.genome.CDS.1653,group02480
AAA028P02.genome.CDS.1120,group00573
AAA028P02.genome.CDS.1123,group00469
AAA028P02.genome.CDS.1799,group05199
AAA028P02.genome.CDS.1657,group00099
AAA028P02.genome.CDS.1656,group00700
AAA028P02.genome.CDS.1655,group01146
AAA028P02.genome.CDS.1126,group00011
AAA028P02.genome.CDS.1639,group00607
AAA028P02.genome.CDS.1531,group00074
AAA028P02.genome.CDS.1850,group02377
AAA028P02.genome.CDS.1122,group00427
AAA028P02.genome.CDS.1149,group01529
AAA028P02.genome.CDS.1148,group02450
AAA028P02.genome.CDS.209,group11883
AAA028P02.genome.CDS.1877,group11857
AAA028P02.genome.CDS.1876,group01041
AAA028P02.genome.CDS.1875,group01457
AAA028P02.genome.CDS.1874,group00481
AAA028P02.genome.CDS.1873,group00222
AAA028P02.genome.CDS.1872,group00228
AAA028P02.genome.CDS.1871,group02462
AAA028P02.genome.CDS.1870,group00286
AAA028P02.genome.CDS.1879,group01542
AAA028P02.genome.CDS.1878,group02481
AAA028P02.genome.CDS.1143,group01067
AAA028P02.genome.CDS.1142,group00968
AAA028P02.genome.CDS.1141,group03281
AAA028P02.genome.CDS.1140,group00969
AAA028P02.genome.CDS.996,group01102
AAA028P02.genome.CDS.1146,group01270
AAA028P02.genome.CDS.1334,group01483
AAA028P02.genome.CDS.1335,group01399
AAA028P02.genome.CDS.1336,group01484
AAA028P02.genome.CDS.1337,group04092
AAA028P02.genome.CDS.1239,group00051
AAA028P02.genome.CDS.1145,group01220
AAA028P02.genome.CDS.1332,group01971
AAA028P02.genome.CDS.1118,group02677
AAA028P02.genome.CDS.1235,group00505
AAA028P02.genome.CDS.1234,group00943
AAA028P02.genome.CDS.1237,group00177
AAA028P02.genome.CDS.1144,group00971
AAA028P02.genome.CDS.1231,group00178
AAA028P02.genome.CDS.1339,group01316
AAA028P02.genome.CDS.1233,group04090
AAA028P02.genome.CDS.1232,group00834
AAA028P02.genome.CDS.1198,group02689
AAA028P02.genome.CDS.1199,group01804
AAA028P02.genome.CDS.826,group05201
AAA028P02.genome.CDS.1190,group00367
AAA028P02.genome.CDS.1191,group04089
AAA028P02.genome.CDS.1192,group00960
AAA028P02.genome.CDS.1193,group00174
AAA028P02.genome.CDS.1194,group00775
AAA028P02.genome.CDS.1195,group00846
AAA028P02.genome.CDS.1196,group00069
AAA028P02.genome.CDS.1197,group00339
AAA028P02.genome.CDS.1119,group01203
AAA028P02.genome.CDS.1099,group02676
AAA028P02.genome.CDS.1902,group02276
AAA028P02.genome.CDS.1341,group00839
AAA028P02.genome.CDS.1340,group01133
AAA028P02.genome.CDS.1343,group01817
AAA028P02.genome.CDS.1342,group00021
AAA028P02.genome.CDS.1345,group00397
AAA028P02.genome.CDS.1344,group00020
AAA028P02.genome.CDS.1347,group00829
AAA028P02.genome.CDS.1346,group00023
AAA028P02.genome.CDS.1349,group00043
AAA028P02.genome.CDS.1348,group00428
AAA028P02.genome.CDS.1583,group00854
AAA028P02.genome.CDS.1429,group00284
AAA028P02.genome.CDS.570,group11830
AAA028P02.genome.CDS.1580,group00820
AAA028P02.genome.CDS.1587,group00886
AAA028P02.genome.CDS.1586,group00862
AAA028P02.genome.CDS.1585,group00848
AAA028P02.genome.CDS.1584,group00792
AAA028P02.genome.CDS.1420,group03099
AAA028P02.genome.CDS.1421,group01485
AAA028P02.genome.CDS.1422,group02593
AAA028P02.genome.CDS.1423,group00887
AAA028P02.genome.CDS.1424,group00019
AAA028P02.genome.CDS.1425,group04095
AAA028P02.genome.CDS.1426,group00333
AAA028P02.genome.CDS.1427,group00357
AAA028P02.genome.CDS.1093,group01328
AAA028P02.genome.CDS.666,group11839
AAA028P02.genome.CDS.1372,group00250
AAA028P02.genome.CDS.1189,group00288
AAA028P02.genome.CDS.1350,group00110
AAA028P02.genome.CDS.1600,group00175
AAA028P02.genome.CDS.1568,group11834
AAA028P02.genome.CDS.1602,group00198
AAA028P02.genome.CDS.1298,group01949
AAA028P02.genome.CDS.1604,group00148
AAA028P02.genome.CDS.1605,group00092
AAA028P02.genome.CDS.1606,group00055
AAA028P02.genome.CDS.1607,group00046
AAA028P02.genome.CDS.1608,group00015
AAA028P02.genome.CDS.1560,group03766
AAA028P02.genome.CDS.1563,group00558
AAA028P02.genome.CDS.1562,group00557
AAA028P02.genome.CDS.1565,group00945
AAA028P02.genome.CDS.1564,group00946
AAA028P02.genome.CDS.1567,group00738
AAA028P02.genome.CDS.1566,group00709
AAA028P02.genome.CDS.1697,group00415
AAA028P02.genome.CDS.1696,group00493
AAA028P02.genome.CDS.1167,group05083
AAA028P02.genome.CDS.186,group01407
AAA028P02.genome.CDS.1693,group00423
AAA028P02.genome.CDS.1519,group01314
AAA028P02.genome.CDS.1163,group11886
AAA028P02.genome.CDS.1162,group04085
AAA028P02.genome.CDS.1514,group00097
AAA028P02.genome.CDS.1043,group00116
AAA028P02.genome.CDS.1516,group00122
AAA028P02.genome.CDS.1041,group00184
AAA028P02.genome.CDS.1510,group00398
AAA028P02.genome.CDS.1511,group00248
AAA028P02.genome.CDS.1044,group00163
AAA028P02.genome.CDS.1698,group00666
AAA028P02.genome.CDS.29,group02694
AAA028P02.genome.CDS.25,group00201
AAA028P02.genome.CDS.1157,group00643
AAA028P02.genome.CDS.1182,group05188
AAA028P02.genome.CDS.1291,group00605
AAA028P02.genome.CDS.1859,group00130
AAA028P02.genome.CDS.1290,group00660
AAA028P02.genome.CDS.769,group11846
AAA028P02.genome.CDS.1417,group00276
AAA028P02.genome.CDS.1458,group02636
AAA028P02.genome.CDS.1895,group00153
AAA028P02.genome.CDS.1769,group00910
AAA028P02.genome.CDS.1768,group00524
AAA028P02.genome.CDS.1894,group00713
AAA028P02.genome.CDS.1763,group00049
AAA028P02.genome.CDS.1762,group00010
AAA028P02.genome.CDS.1761,group00541
AAA028P02.genome.CDS.1760,group00540
AAA028P02.genome.CDS.1767,group00112
AAA028P02.genome.CDS.1766,group02594
AAA028P02.genome.CDS.1765,group02376
AAA028P02.genome.CDS.1764,group03104
AAA028P02.genome.CDS.1597,group00734
AAA028P02.genome.CDS.1569,group02267
AAA028P02.genome.CDS.1459,group00063
AAA028P02.genome.CDS.1591,group00992
AAA028P02.genome.CDS.1893,group00045
AAA028P02.genome.CDS.1892,group01438
AAA028P02.genome.CDS.1833,group00405
AAA028P02.genome.CDS.1832,group00499
AAA028P02.genome.CDS.1831,group00547
AAA028P02.genome.CDS.1830,group00484
AAA028P02.genome.CDS.1837,group00976
AAA028P02.genome.CDS.1695,group00585
AAA028P02.genome.CDS.1835,group00224
AAA028P02.genome.CDS.1834,group00266
AAA028P02.genome.CDS.1839,group00183
AAA028P02.genome.CDS.1838,group00880
AAA028P02.genome.CDS.1028,group00078
AAA028P02.genome.CDS.1451,group00273
AAA028P02.genome.CDS.118,group11871
AAA028P02.genome.CDS.1898,group01599
AAA028P02.genome.CDS.54,group03286
AAA028P02.genome.CDS.1694,group11841
AAA028P02.genome.CDS.1907,group00598
AAA028P02.genome.CDS.1906,group00822
AAA028P02.genome.CDS.1905,group03530
AAA028P02.genome.CDS.1904,group02275
AAA028P02.genome.CDS.1903,group02275
AAA028P02.genome.CDS.1098,group04084
AAA028P02.genome.CDS.1901,group01952
AAA028P02.genome.CDS.1900,group03105
AAA028P02.genome.CDS.1095,group03517
AAA028P02.genome.CDS.1094,group11872
AAA028P02.genome.CDS.1097,group03098
AAA028P02.genome.CDS.1096,group00216
AAA028P02.genome.CDS.1091,group00079
AAA028P02.genome.CDS.1090,group00563
AAA028P02.genome.CDS.1909,group01239
AAA028P02.genome.CDS.1908,group11861
AAA028P02.genome.CDS.1396,group02946
AAA028P02.genome.CDS.1397,group03756
AAA028P02.genome.CDS.1394,group01089
AAA028P02.genome.CDS.1392,group00156
AAA028P02.genome.CDS.1393,group00487
AAA028P02.genome.CDS.1390,group00292
AAA028P02.genome.CDS.1391,group00124
AAA028P02.genome.CDS.1398,group01783
AAA028P02.genome.CDS.1399,group00727
AAA028P02.genome.CDS.1262,group00149
AAA028P02.genome.CDS.1263,group03518
AAA028P02.genome.CDS.1261,group03324
AAA028P02.genome.CDS.1266,group05193
AAA028P02.genome.CDS.1267,group11878
AAA028P02.genome.CDS.1264,group00730
AAA028P02.genome.CDS.1265,group00176
AAA028P02.genome.CDS.1749,group03526
AAA028P02.genome.CDS.1268,group00185
AAA028P02.genome.CDS.1269,group11877
AAA028P02.genome.CDS.1627,group00275
AAA028P02.genome.CDS.1464,group00412
AAA028P02.genome.CDS.1465,group00296
AAA028P02.genome.CDS.1466,group00366
AAA028P02.genome.CDS.1467,group00376
AAA028P02.genome.CDS.1460,group00048
AAA028P02.genome.CDS.1308,group00390
AAA028P02.genome.CDS.1462,group00227
AAA028P02.genome.CDS.1463,group00297
AAA028P02.genome.CDS.1305,group01056
AAA028P02.genome.CDS.1309,group00805
AAA028P02.genome.CDS.1306,group01588
AAA028P02.genome.CDS.1468,group00800
AAA028P02.genome.CDS.1300,group03520
AAA028P02.genome.CDS.1303,group00263
AAA028P02.genome.CDS.1461,group01356
AAA028P02.genome.CDS.872,group11852
AAA028P02.genome.CDS.1699,group00771
AAA028P02.genome.CDS.877,group04918
AAA028P02.genome.CDS.1525,group00681
AAA028P02.genome.CDS.1524,group00869
AAA028P02.genome.CDS.1527,group00409
AAA028P02.genome.CDS.1489,group00414
AAA028P02.genome.CDS.1521,group01072
AAA028P02.genome.CDS.1520,group01180
AAA028P02.genome.CDS.1523,group11832
AAA028P02.genome.CDS.1304,group04032
AAA028P02.genome.CDS.1482,group00291
AAA028P02.genome.CDS.1483,group00080
AAA028P02.genome.CDS.1480,group00379
AAA028P02.genome.CDS.1481,group00491
AAA028P02.genome.CDS.1486,group00824
AAA028P02.genome.CDS.1487,group02121
AAA028P02.genome.CDS.1484,group00364
AAA028P02.genome.CDS.1485,group00488
AAA028P02.genome.CDS.1411,group00630
AAA028P02.genome.CDS.1410,group00591
AAA028P02.genome.CDS.1004,group01053
AAA028P02.genome.CDS.1412,group00143
AAA028P02.genome.CDS.1415,group00047
AAA028P02.genome.CDS.1003,group00142
AAA028P02.genome.CDS.1000,group00451
AAA028P02.genome.CDS.1416,group00068
AAA028P02.genome.CDS.1419,group01445
AAA028P02.genome.CDS.1418,group00677
AAA028P02.genome.CDS.1578,group00897
AAA028P02.genome.CDS.1008,group02284
AAA028P02.genome.CDS.1009,group00167
AAA028P02.genome.CDS.1579,group00896
AAA028P02.genome.CDS.975,group11859
AAA028P02.genome.CDS.977,group11820
AAA028P02.genome.CDS.978,group11819
AAA028P02.genome.CDS.979,group02388
AAA028P02.genome.CDS.1302,group00773
AAA028P02.genome.CDS.534,group11826
AAA028P02.genome.CDS.1673,group00307
AAA028P02.genome.CDS.536,group02705
AAA028P02.genome.CDS.287,group00668
AAA028P02.genome.CDS.283,group00569
AAA028P02.genome.CDS.1730,group00229
AAA028P02.genome.CDS.1638,group00218
AAA028P02.genome.CDS.1732,group00350
AAA028P02.genome.CDS.1733,group00267
AAA028P02.genome.CDS.1734,group02951
AAA028P02.genome.CDS.1735,group00903
AAA028P02.genome.CDS.1736,group00154
AAA028P02.genome.CDS.1737,group00303
AAA028P02.genome.CDS.1631,group00012
AAA028P02.genome.CDS.1739,group01500
AAA028P02.genome.CDS.1633,group00471
AAA028P02.genome.CDS.1632,group00453
AAA028P02.genome.CDS.1635,group00674
AAA028P02.genome.CDS.1634,group00731
AAA028P02.genome.CDS.1637,group00407
AAA028P02.genome.CDS.1636,group00249
AAA028P02.genome.CDS.1138,group00928
AAA028P02.genome.CDS.1139,group00809
AAA028P02.genome.CDS.1648,group00436
AAA028P02.genome.CDS.1649,group11838
AAA028P02.genome.CDS.882,group11856
AAA028P02.genome.CDS.1132,group11869
AAA028P02.genome.CDS.1133,group05186
AAA028P02.genome.CDS.1130,group00748
AAA028P02.genome.CDS.1131,group00264
AAA028P02.genome.CDS.1640,group00477
AAA028P02.genome.CDS.1641,group00318
AAA028P02.genome.CDS.1642,group00426
AAA028P02.genome.CDS.1135,group00972
AAA028P02.genome.CDS.77,group00126
AAA028P02.genome.CDS.74,group00338
AAA028P02.genome.CDS.73,group00258
AAA028P02.genome.CDS.1330,group00347
AAA028P02.genome.CDS.1331,group00658
AAA028P02.genome.CDS.1589,group00921
AAA028P02.genome.CDS.713,group11836
AAA028P02.genome.CDS.1236,group00512
AAA028P02.genome.CDS.1170,group00933
AAA028P02.genome.CDS.1338,group04093
AAA028P02.genome.CDS.1171,group01832
AAA028P02.genome.CDS.1488,group00413
AAA028P02.genome.CDS.1230,group00302
AAA028P02.genome.CDS.1526,group00629
AAA028P02.genome.CDS.1868,group00162
AAA028P02.genome.CDS.1942,group05049
AAA028P02.genome.CDS.1941,group01210
AAA028P02.genome.CDS.1940,group00908
AAA028P02.genome.CDS.1947,group11858
AAA028P02.genome.CDS.1071,group00940
AAA028P02.genome.CDS.1945,group11860
AAA028P02.genome.CDS.1944,group03964
AAA028P02.genome.CDS.1860,group00498
AAA028P02.genome.CDS.1861,group00377
AAA028P02.genome.CDS.1862,group00144
AAA028P02.genome.CDS.1948,group04102
AAA028P02.genome.CDS.1864,group00314
AAA028P02.genome.CDS.1865,group11855
AAA028P02.genome.CDS.1866,group00659
AAA028P02.genome.CDS.1867,group00313
AAA028P02.genome.CDS.1515,group00098
AAA028P02.genome.CDS.1529,group00214
AAA028P02.genome.CDS.1528,group00280
AAA028P02.genome.CDS.1228,group00254
AAA028P02.genome.CDS.1229,group00081
AAA028P02.genome.CDS.1226,group00191
AAA028P02.genome.CDS.1227,group00094
AAA028P02.genome.CDS.1224,group00071
AAA028P02.genome.CDS.1225,group00651
AAA028P02.genome.CDS.1222,group02949
AAA028P02.genome.CDS.1223,group11880
AAA028P02.genome.CDS.1220,group00950
AAA028P02.genome.CDS.1221,group00467
AAA028P02.genome.CDS.1006,group00253
AAA028P02.genome.CDS.1469,group00526
AAA028P02.genome.CDS.1007,group00108
AAA028P02.genome.CDS.1413,group02683
AAA028P02.genome.CDS.1731,group00609
AAA028P02.genome.CDS.1301,group01242
AAA028P02.genome.CDS.1002,group01975
AAA028P02.genome.CDS.1414,group00571
AAA028P02.genome.CDS.1352,group00120
AAA028P02.genome.CDS.1353,group00125
AAA028P02.genome.CDS.1299,group01185
AAA028P02.genome.CDS.1351,group00040
AAA028P02.genome.CDS.1356,group00294
AAA028P02.genome.CDS.1357,group00041
AAA028P02.genome.CDS.1354,group02119
AAA028P02.genome.CDS.1355,group00166
AAA028P02.genome.CDS.1293,group00238
AAA028P02.genome.CDS.1292,group00995
AAA028P02.genome.CDS.1358,group00085
AAA028P02.genome.CDS.1359,group00101
AAA028P02.genome.CDS.1297,group01009
AAA028P02.genome.CDS.1296,group00755
AAA028P02.genome.CDS.1295,group02954
AAA028P02.genome.CDS.1294,group02953
AAA028P02.genome.CDS.1594,group00017
AAA028P02.genome.CDS.1595,group00374
AAA028P02.genome.CDS.1596,group03523
AAA028P02.genome.CDS.1896,group00221
AAA028P02.genome.CDS.1891,group00791
AAA028P02.genome.CDS.1890,group04101
AAA028P02.genome.CDS.1592,group02180
AAA028P02.genome.CDS.1593,group00863
AAA028P02.genome.CDS.1455,group00129
AAA028P02.genome.CDS.1454,group00095
AAA028P02.genome.CDS.1457,group00082
AAA028P02.genome.CDS.1456,group00150
AAA028P02.genome.CDS.1598,group00596
AAA028P02.genome.CDS.1450,group00309
AAA028P02.genome.CDS.1453,group00151
AAA028P02.genome.CDS.1452,group00208
AAA028P02.genome.CDS.1933,group02588
AAA028P02.genome.CDS.1675,group02830
AAA028P02.genome.CDS.1674,group03102
AAA028P02.genome.CDS.1677,group00492
AAA028P02.genome.CDS.1676,group00461
AAA028P02.genome.CDS.1671,group00543
AAA028P02.genome.CDS.1670,group00193
AAA028P02.genome.CDS.473,group00157
AAA028P02.genome.CDS.1572,group00715
AAA028P02.genome.CDS.1573,group00764
AAA028P02.genome.CDS.1570,group03176
AAA028P02.genome.CDS.1571,group00611
AAA028P02.genome.CDS.1576,group00845
AAA028P02.genome.CDS.1577,group00917
AAA028P02.genome.CDS.1574,group00825
AAA028P02.genome.CDS.1575,group00821
AAA028P02.genome.CDS.1176,group00849
AAA028P02.genome.CDS.1177,group02919
AAA028P02.genome.CDS.1174,group00975
AAA028P02.genome.CDS.1175,group01075
AAA028P02.genome.CDS.1172,group00626
AAA028P02.genome.CDS.1173,group00000
AAA028P02.genome.CDS.1079,group00650
AAA028P02.genome.CDS.1078,group11847
AAA028P02.genome.CDS.1077,group03874
AAA028P02.genome.CDS.1076,group00777
AAA028P02.genome.CDS.1075,group11848
AAA028P02.genome.CDS.1074,group11849
AAA028P02.genome.CDS.1073,group01559
AAA028P02.genome.CDS.1072,group11850
AAA028P02.genome.CDS.1178,group04088
AAA028P02.genome.CDS.1179,group01663
AAA028P02.genome.CDS.1688,group01139
AAA028P02.genome.CDS.1689,group00929
AAA028P02.genome.CDS.1680,group00445
AAA028P02.genome.CDS.1681,group00268
AAA028P02.genome.CDS.1682,group00393
AAA028P02.genome.CDS.1683,group00430
AAA028P02.genome.CDS.1684,group00519
AAA028P02.genome.CDS.1685,group00584
AAA028P02.genome.CDS.1709,group01956
AAA028P02.genome.CDS.1708,group00073
AAA028P02.genome.CDS.1701,group00787
AAA028P02.genome.CDS.1700,group02600
AAA028P02.genome.CDS.1703,group01176
AAA028P02.genome.CDS.1513,group00072
AAA028P02.genome.CDS.1705,group00510
AAA028P02.genome.CDS.1704,group02917
AAA028P02.genome.CDS.1707,group11842
AAA028P02.genome.CDS.1706,group03134
AAA028P02.genome.CDS.1778,group00133
AAA028P02.genome.CDS.1779,group00827
AAA028P02.genome.CDS.1774,group00878
AAA028P02.genome.CDS.1775,group00904
AAA028P02.genome.CDS.1776,group01121
AAA028P02.genome.CDS.1777,group03527
AAA028P02.genome.CDS.1770,group01870
AAA028P02.genome.CDS.1771,group00114
AAA028P02.genome.CDS.1773,group00973
AAA028P02.genome.CDS.1842,group00256
AAA028P02.genome.CDS.1238,group00301
AAA028P02.genome.CDS.1824,group00880
AAA028P02.genome.CDS.1825,group00976
AAA028P02.genome.CDS.1826,group00568
AAA028P02.genome.CDS.1827,group00754
AAA028P02.genome.CDS.1820,group00243
AAA028P02.genome.CDS.1821,group00030
AAA028P02.genome.CDS.1822,group00606
AAA028P02.genome.CDS.1823,group00183
AAA028P02.genome.CDS.1828,group00831
AAA028P02.genome.CDS.1829,group00323
AAA028P02.genome.CDS.535,group11825
AAA028P02.genome.CDS.1428,group00482
AAA028P02.genome.CDS.1702,group02055
AAA028P02.genome.CDS.1582,group00874
AAA028P02.genome.CDS.1581,group00873
AAA028P02.genome.CDS.1492,group00719
AAA028P02.genome.CDS.1851,group11854
AAA028P02.genome.CDS.1588,group00920
AAA028P02.genome.CDS.1852,group11853
AAA028P02.genome.CDS.1855,group00777
AAA028P02.genome.CDS.1854,group02955
AAA028P02.genome.CDS.1088,group02166
AAA028P02.genome.CDS.1089,group11867
AAA028P02.genome.CDS.1086,group00670
AAA028P02.genome.CDS.1087,group01547
AAA028P02.genome.CDS.1084,group11865
AAA028P02.genome.CDS.1085,group01676
AAA028P02.genome.CDS.1082,group01362
AAA028P02.genome.CDS.1083,group03763
AAA028P02.genome.CDS.1080,group00009
AAA028P02.genome.CDS.1081,group11866
AAA028P02.genome.CDS.1918,group00635
AAA028P02.genome.CDS.1919,group00002
AAA028P02.genome.CDS.1836,group00568
AAA028P02.genome.CDS.1910,group01406
AAA028P02.genome.CDS.1911,group00140
AAA028P02.genome.CDS.1912,group01267
AAA028P02.genome.CDS.1913,group01350
AAA028P02.genome.CDS.1914,group02482
AAA028P02.genome.CDS.1915,group00026
AAA028P02.genome.CDS.1916,group00203
AAA028P02.genome.CDS.1917,group00795
