TBhypo3180.genome.CDS.1428,group01989
TBhypo3180.genome.CDS.2123,group00335
TBhypo3180.genome.CDS.1287,group00341
TBhypo3180.genome.CDS.1029,group03310
TBhypo3180.genome.CDS.2318,group00342
TBhypo3180.genome.CDS.1509,group01274
TBhypo3180.genome.CDS.1508,group00236
TBhypo3180.genome.CDS.1507,group00860
TBhypo3180.genome.CDS.1506,group02720
TBhypo3180.genome.CDS.1505,group00712
TBhypo3180.genome.CDS.1504,group02498
TBhypo3180.genome.CDS.1503,group01600
TBhypo3180.genome.CDS.1502,group03827
TBhypo3180.genome.CDS.1501,group00189
TBhypo3180.genome.CDS.1500,group02974
TBhypo3180.genome.CDS.2078,group02036
TBhypo3180.genome.CDS.1450,group01694
TBhypo3180.genome.CDS.2376,group02492
TBhypo3180.genome.CDS.295,group02499
TBhypo3180.genome.CDS.294,group13225
TBhypo3180.genome.CDS.1542,group01440
TBhypo3180.genome.CDS.1541,group00255
TBhypo3180.genome.CDS.1540,group13226
TBhypo3180.genome.CDS.2270,group02133
TBhypo3180.genome.CDS.2151,group04748
TBhypo3180.genome.CDS.1361,group00173
TBhypo3180.genome.CDS.2380,group00421
TBhypo3180.genome.CDS.1379,group01293
TBhypo3180.genome.CDS.2382,group00803
TBhypo3180.genome.CDS.2228,group01237
TBhypo3180.genome.CDS.2384,group00112
TBhypo3180.genome.CDS.1277,group00552
TBhypo3180.genome.CDS.2386,group03320
TBhypo3180.genome.CDS.2387,group01218
TBhypo3180.genome.CDS.2223,group00416
TBhypo3180.genome.CDS.2389,group01055
TBhypo3180.genome.CDS.2221,group00695
TBhypo3180.genome.CDS.1373,group00629
TBhypo3180.genome.CDS.1374,group00369
TBhypo3180.genome.CDS.1375,group00009
TBhypo3180.genome.CDS.2225,group01225
TBhypo3180.genome.CDS.2224,group02729
TBhypo3180.genome.CDS.1929,group00590
TBhypo3180.genome.CDS.1847,group13239
TBhypo3180.genome.CDS.1844,group00179
TBhypo3180.genome.CDS.1845,group00180
TBhypo3180.genome.CDS.1842,group00487
TBhypo3180.genome.CDS.1784,group00075
TBhypo3180.genome.CDS.1840,group00010
TBhypo3180.genome.CDS.1841,group00049
TBhypo3180.genome.CDS.1921,group13252
TBhypo3180.genome.CDS.1920,group00972
TBhypo3180.genome.CDS.1923,group01248
TBhypo3180.genome.CDS.1922,group01183
TBhypo3180.genome.CDS.1925,group01249
TBhypo3180.genome.CDS.1924,group01184
TBhypo3180.genome.CDS.1927,group00108
TBhypo3180.genome.CDS.1926,group02136
TBhypo3180.genome.CDS.1548,group01372
TBhypo3180.genome.CDS.2251,group01687
TBhypo3180.genome.CDS.2084,group00560
TBhypo3180.genome.CDS.2058,group01691
TBhypo3180.genome.CDS.1473,group02724
TBhypo3180.genome.CDS.1472,group00351
TBhypo3180.genome.CDS.1578,group00902
TBhypo3180.genome.CDS.1579,group03838
TBhypo3180.genome.CDS.1477,group00429
TBhypo3180.genome.CDS.1476,group00176
TBhypo3180.genome.CDS.1475,group01351
TBhypo3180.genome.CDS.1474,group02723
TBhypo3180.genome.CDS.1572,group00012
TBhypo3180.genome.CDS.1573,group01526
TBhypo3180.genome.CDS.1479,group02979
TBhypo3180.genome.CDS.1478,group00260
TBhypo3180.genome.CDS.1576,group01034
TBhypo3180.genome.CDS.1577,group03342
TBhypo3180.genome.CDS.1574,group02988
TBhypo3180.genome.CDS.1575,group02730
TBhypo3180.genome.CDS.1217,group01277
TBhypo3180.genome.CDS.1216,group01250
TBhypo3180.genome.CDS.1215,group01219
TBhypo3180.genome.CDS.1214,group02461
TBhypo3180.genome.CDS.1213,group02488
TBhypo3180.genome.CDS.1212,group00222
TBhypo3180.genome.CDS.1211,group00692
TBhypo3180.genome.CDS.1210,group00133
TBhypo3180.genome.CDS.1321,group00233
TBhypo3180.genome.CDS.1489,group01315
TBhypo3180.genome.CDS.1219,group01970
TBhypo3180.genome.CDS.1218,group01004
TBhypo3180.genome.CDS.228,group03151
TBhypo3180.genome.CDS.1320,group02301
TBhypo3180.genome.CDS.2286,group01381
TBhypo3180.genome.CDS.2231,group00303
TBhypo3180.genome.CDS.1616,group00520
TBhypo3180.genome.CDS.2094,group04029
TBhypo3180.genome.CDS.2095,group01165
TBhypo3180.genome.CDS.2096,group01166
TBhypo3180.genome.CDS.2097,group01773
TBhypo3180.genome.CDS.2090,group03321
TBhypo3180.genome.CDS.2091,group00290
TBhypo3180.genome.CDS.2092,group00440
TBhypo3180.genome.CDS.2093,group00460
TBhypo3180.genome.CDS.2317,group00724
TBhypo3180.genome.CDS.2316,group00282
TBhypo3180.genome.CDS.2315,group00227
TBhypo3180.genome.CDS.2314,group01544
TBhypo3180.genome.CDS.2313,group01356
TBhypo3180.genome.CDS.2312,group00444
TBhypo3180.genome.CDS.2311,group00048
TBhypo3180.genome.CDS.2310,group00063
TBhypo3180.genome.CDS.1409,group05062
TBhypo3180.genome.CDS.2271,group01272
TBhypo3180.genome.CDS.1657,group00573
TBhypo3180.genome.CDS.1656,group02142
TBhypo3180.genome.CDS.1655,group02990
TBhypo3180.genome.CDS.1654,group00500
TBhypo3180.genome.CDS.1653,group00988
TBhypo3180.genome.CDS.1652,group02506
TBhypo3180.genome.CDS.1718,group02725
TBhypo3180.genome.CDS.1719,group02467
TBhypo3180.genome.CDS.1716,group01086
TBhypo3180.genome.CDS.1717,group02726
TBhypo3180.genome.CDS.1714,group01877
TBhypo3180.genome.CDS.1715,group02138
TBhypo3180.genome.CDS.1712,group00123
TBhypo3180.genome.CDS.1713,group00581
TBhypo3180.genome.CDS.1659,group00019
TBhypo3180.genome.CDS.1658,group00696
TBhypo3180.genome.CDS.2003,group00585
TBhypo3180.genome.CDS.2002,group00600
TBhypo3180.genome.CDS.2001,group00493
TBhypo3180.genome.CDS.2000,group00415
TBhypo3180.genome.CDS.2007,group01429
TBhypo3180.genome.CDS.2006,group01477
TBhypo3180.genome.CDS.2005,group01546
TBhypo3180.genome.CDS.2004,group02205
TBhypo3180.genome.CDS.336,group02970
TBhypo3180.genome.CDS.2363,group01309
TBhypo3180.genome.CDS.334,group02620
TBhypo3180.genome.CDS.2008,group01715
TBhypo3180.genome.CDS.2366,group00551
TBhypo3180.genome.CDS.2367,group00617
TBhypo3180.genome.CDS.2364,group01774
TBhypo3180.genome.CDS.2365,group04731
TBhypo3180.genome.CDS.1262,group00178
TBhypo3180.genome.CDS.2169,group03306
TBhypo3180.genome.CDS.1260,group02209
TBhypo3180.genome.CDS.1261,group01267
TBhypo3180.genome.CDS.1266,group00358
TBhypo3180.genome.CDS.1267,group01215
TBhypo3180.genome.CDS.1264,group00286
TBhypo3180.genome.CDS.1265,group00315
TBhypo3180.genome.CDS.2160,group01373
TBhypo3180.genome.CDS.2161,group01606
TBhypo3180.genome.CDS.1268,group00333
TBhypo3180.genome.CDS.2163,group00007
TBhypo3180.genome.CDS.2164,group00240
TBhypo3180.genome.CDS.2165,group00225
TBhypo3180.genome.CDS.2166,group01510
TBhypo3180.genome.CDS.2167,group00052
TBhypo3180.genome.CDS.1623,group00494
TBhypo3180.genome.CDS.1620,group00622
TBhypo3180.genome.CDS.1621,group02325
TBhypo3180.genome.CDS.1627,group00008
TBhypo3180.genome.CDS.1624,group13228
TBhypo3180.genome.CDS.1625,group00462
TBhypo3180.genome.CDS.1628,group00171
TBhypo3180.genome.CDS.1629,group00209
TBhypo3180.genome.CDS.1928,group00487
TBhypo3180.genome.CDS.1742,group03316
TBhypo3180.genome.CDS.1449,group00665
TBhypo3180.genome.CDS.2064,group00521
TBhypo3180.genome.CDS.533,group02737
TBhypo3180.genome.CDS.2055,group01036
TBhypo3180.genome.CDS.2217,group01190
TBhypo3180.genome.CDS.149,group00321
TBhypo3180.genome.CDS.1567,group00533
TBhypo3180.genome.CDS.1807,group13235
TBhypo3180.genome.CDS.1749,group03315
TBhypo3180.genome.CDS.1787,group02500
TBhypo3180.genome.CDS.1786,group00211
TBhypo3180.genome.CDS.1781,group00882
TBhypo3180.genome.CDS.1780,group00013
TBhypo3180.genome.CDS.1783,group13233
TBhypo3180.genome.CDS.1782,group00069
TBhypo3180.genome.CDS.1376,group13263
TBhypo3180.genome.CDS.1789,group00028
TBhypo3180.genome.CDS.1788,group00452
TBhypo3180.genome.CDS.2267,group00067
TBhypo3180.genome.CDS.2266,group00190
TBhypo3180.genome.CDS.2265,group00163
TBhypo3180.genome.CDS.2264,group00341
TBhypo3180.genome.CDS.2263,group00885
TBhypo3180.genome.CDS.2319,group01922
TBhypo3180.genome.CDS.1439,group00028
TBhypo3180.genome.CDS.2260,group00229
TBhypo3180.genome.CDS.1437,group01213
TBhypo3180.genome.CDS.1436,group00435
TBhypo3180.genome.CDS.1435,group00310
TBhypo3180.genome.CDS.1434,group03490
TBhypo3180.genome.CDS.1433,group01431
TBhypo3180.genome.CDS.1432,group00088
TBhypo3180.genome.CDS.2269,group03317
TBhypo3180.genome.CDS.1430,group00237
TBhypo3180.genome.CDS.1965,group01430
TBhypo3180.genome.CDS.1964,group00263
TBhypo3180.genome.CDS.1967,group00869
TBhypo3180.genome.CDS.1966,group00423
TBhypo3180.genome.CDS.1961,group01677
TBhypo3180.genome.CDS.1960,group01247
TBhypo3180.genome.CDS.1962,group01787
TBhypo3180.genome.CDS.1969,group00644
TBhypo3180.genome.CDS.1968,group01314
TBhypo3180.genome.CDS.2098,group02964
TBhypo3180.genome.CDS.1243,group00188
TBhypo3180.genome.CDS.1831,group00995
TBhypo3180.genome.CDS.2099,group00777
TBhypo3180.genome.CDS.1536,group00348
TBhypo3180.genome.CDS.1537,group00137
TBhypo3180.genome.CDS.1534,group00449
TBhypo3180.genome.CDS.1535,group00387
TBhypo3180.genome.CDS.1532,group01279
TBhypo3180.genome.CDS.1533,group00448
TBhypo3180.genome.CDS.1530,group02493
TBhypo3180.genome.CDS.1531,group00963
TBhypo3180.genome.CDS.1583,group01104
TBhypo3180.genome.CDS.1538,group00058
TBhypo3180.genome.CDS.1539,group00194
TBhypo3180.genome.CDS.2388,group00563
TBhypo3180.genome.CDS.1581,group04752
TBhypo3180.genome.CDS.1199,group00306
TBhypo3180.genome.CDS.1669,group00569
TBhypo3180.genome.CDS.1390,group02719
TBhypo3180.genome.CDS.2060,group01692
TBhypo3180.genome.CDS.1819,group04733
TBhypo3180.genome.CDS.1818,group00498
TBhypo3180.genome.CDS.1672,group00450
TBhypo3180.genome.CDS.1369,group02472
TBhypo3180.genome.CDS.2230,group01323
TBhypo3180.genome.CDS.1811,group02095
TBhypo3180.genome.CDS.1810,group03340
TBhypo3180.genome.CDS.1813,group01623
TBhypo3180.genome.CDS.1812,group01591
TBhypo3180.genome.CDS.1815,group00236
TBhypo3180.genome.CDS.1664,group00901
TBhypo3180.genome.CDS.1817,group04734
TBhypo3180.genome.CDS.1816,group00761
TBhypo3180.genome.CDS.1882,group01497
TBhypo3180.genome.CDS.1883,group00024
TBhypo3180.genome.CDS.1880,group01875
TBhypo3180.genome.CDS.1881,group01487
TBhypo3180.genome.CDS.1886,group00319
TBhypo3180.genome.CDS.1887,group02715
TBhypo3180.genome.CDS.1884,group00009
TBhypo3180.genome.CDS.929,group01114
TBhypo3180.genome.CDS.1888,group02680
TBhypo3180.genome.CDS.1889,group13247
TBhypo3180.genome.CDS.2212,group01622
TBhypo3180.genome.CDS.1322,group00000
TBhypo3180.genome.CDS.1448,group00597
TBhypo3180.genome.CDS.2211,group00061
TBhypo3180.genome.CDS.1327,group01371
TBhypo3180.genome.CDS.1326,group00030
TBhypo3180.genome.CDS.1325,group01216
TBhypo3180.genome.CDS.1324,group02722
TBhypo3180.genome.CDS.1442,group01296
TBhypo3180.genome.CDS.1443,group00113
TBhypo3180.genome.CDS.1329,group00022
TBhypo3180.genome.CDS.1328,group01257
TBhypo3180.genome.CDS.1446,group00847
TBhypo3180.genome.CDS.1398,group00837
TBhypo3180.genome.CDS.1444,group02987
TBhypo3180.genome.CDS.1445,group02987
TBhypo3180.genome.CDS.1814,group00302
TBhypo3180.genome.CDS.1399,group00957
TBhypo3180.genome.CDS.1228,group02291
TBhypo3180.genome.CDS.1229,group00454
TBhypo3180.genome.CDS.1226,group00184
TBhypo3180.genome.CDS.1227,group03325
TBhypo3180.genome.CDS.1224,group00203
TBhypo3180.genome.CDS.1225,group00184
TBhypo3180.genome.CDS.1222,group01193
TBhypo3180.genome.CDS.2038,group00386
TBhypo3180.genome.CDS.1220,group01138
TBhypo3180.genome.CDS.1221,group01094
TBhypo3180.genome.CDS.2039,group01003
TBhypo3180.genome.CDS.690,group02606
TBhypo3180.genome.CDS.2326,group00720
TBhypo3180.genome.CDS.2327,group00393
TBhypo3180.genome.CDS.2324,group00504
TBhypo3180.genome.CDS.2325,group00495
TBhypo3180.genome.CDS.2322,group00006
TBhypo3180.genome.CDS.2323,group00325
TBhypo3180.genome.CDS.2320,group00289
TBhypo3180.genome.CDS.2321,group00006
TBhypo3180.genome.CDS.2281,group00682
TBhypo3180.genome.CDS.2280,group00663
TBhypo3180.genome.CDS.2283,group00332
TBhypo3180.genome.CDS.2282,group00762
TBhypo3180.genome.CDS.2285,group00441
TBhypo3180.genome.CDS.2284,group00331
TBhypo3180.genome.CDS.2287,group00254
TBhypo3180.genome.CDS.2329,group00564
TBhypo3180.genome.CDS.2348,group05070
TBhypo3180.genome.CDS.1276,group00680
TBhypo3180.genome.CDS.2049,group00256
TBhypo3180.genome.CDS.2048,group00071
TBhypo3180.genome.CDS.2047,group13257
TBhypo3180.genome.CDS.2046,group13256
TBhypo3180.genome.CDS.2045,group01986
TBhypo3180.genome.CDS.2044,group00438
TBhypo3180.genome.CDS.2042,group04737
TBhypo3180.genome.CDS.2041,group01064
TBhypo3180.genome.CDS.2040,group01054
TBhypo3180.genome.CDS.1741,group02450
TBhypo3180.genome.CDS.1740,group01593
TBhypo3180.genome.CDS.1743,group04723
TBhypo3180.genome.CDS.2031,group00046
TBhypo3180.genome.CDS.1745,group00005
TBhypo3180.genome.CDS.1651,group01605
TBhypo3180.genome.CDS.1747,group00017
TBhypo3180.genome.CDS.1746,group01355
TBhypo3180.genome.CDS.1033,group04755
TBhypo3180.genome.CDS.1748,group01336
TBhypo3180.genome.CDS.1650,group00935
TBhypo3180.genome.CDS.2037,group00091
TBhypo3180.genome.CDS.1587,group00767
TBhypo3180.genome.CDS.1586,group01271
TBhypo3180.genome.CDS.1585,group00819
TBhypo3180.genome.CDS.1584,group01509
TBhypo3180.genome.CDS.1848,group13241
TBhypo3180.genome.CDS.1582,group03343
TBhypo3180.genome.CDS.1668,group00745
TBhypo3180.genome.CDS.1580,group04751
TBhypo3180.genome.CDS.1666,group01067
TBhypo3180.genome.CDS.1667,group00968
TBhypo3180.genome.CDS.118,group13238
TBhypo3180.genome.CDS.1665,group00490
TBhypo3180.genome.CDS.1662,group00427
TBhypo3180.genome.CDS.1663,group04732
TBhypo3180.genome.CDS.1589,group01024
TBhypo3180.genome.CDS.1661,group00512
TBhypo3180.genome.CDS.2133,group01548
TBhypo3180.genome.CDS.2132,group02305
TBhypo3180.genome.CDS.2131,group02304
TBhypo3180.genome.CDS.2130,group00085
TBhypo3180.genome.CDS.2137,group13259
TBhypo3180.genome.CDS.2136,group02306
TBhypo3180.genome.CDS.2135,group01863
TBhypo3180.genome.CDS.2134,group00247
TBhypo3180.genome.CDS.2032,group00055
TBhypo3180.genome.CDS.2033,group00093
TBhypo3180.genome.CDS.2139,group00397
TBhypo3180.genome.CDS.2138,group02727
TBhypo3180.genome.CDS.2036,group00198
TBhypo3180.genome.CDS.2236,group00239
TBhypo3180.genome.CDS.2034,group00092
TBhypo3180.genome.CDS.2035,group00419
TBhypo3180.genome.CDS.1849,group00308
TBhypo3180.genome.CDS.2237,group00099
TBhypo3180.genome.CDS.1710,group00346
TBhypo3180.genome.CDS.1341,group00172
TBhypo3180.genome.CDS.1711,group00345
TBhypo3180.genome.CDS.1340,group00145
TBhypo3180.genome.CDS.2232,group01245
TBhypo3180.genome.CDS.2233,group01369
TBhypo3180.genome.CDS.2368,group00550
TBhypo3180.genome.CDS.1939,group00170
TBhypo3180.genome.CDS.2369,group01244
TBhypo3180.genome.CDS.2182,group01872
TBhypo3180.genome.CDS.280,group13221
TBhypo3180.genome.CDS.528,group13232
TBhypo3180.genome.CDS.1349,group01439
TBhypo3180.genome.CDS.520,group04716
TBhypo3180.genome.CDS.1461,group00002
TBhypo3180.genome.CDS.2362,group01374
TBhypo3180.genome.CDS.2360,group00684
TBhypo3180.genome.CDS.2397,group00389
TBhypo3180.genome.CDS.2396,group00431
TBhypo3180.genome.CDS.2395,group00436
TBhypo3180.genome.CDS.2361,group00186
TBhypo3180.genome.CDS.2393,group00152
TBhypo3180.genome.CDS.2392,group00751
TBhypo3180.genome.CDS.2391,group00497
TBhypo3180.genome.CDS.2390,group00226
TBhypo3180.genome.CDS.2256,group01413
TBhypo3180.genome.CDS.2257,group00278
TBhypo3180.genome.CDS.1365,group00143
TBhypo3180.genome.CDS.2255,group01404
TBhypo3180.genome.CDS.1363,group01988
TBhypo3180.genome.CDS.1362,group00672
TBhypo3180.genome.CDS.2399,group00318
TBhypo3180.genome.CDS.2398,group00426
TBhypo3180.genome.CDS.1855,group01254
TBhypo3180.genome.CDS.1854,group00697
TBhypo3180.genome.CDS.1857,group01317
TBhypo3180.genome.CDS.1856,group01469
TBhypo3180.genome.CDS.1851,group00037
TBhypo3180.genome.CDS.1919,group01809
TBhypo3180.genome.CDS.1853,group13240
TBhypo3180.genome.CDS.1852,group02066
TBhypo3180.genome.CDS.1914,group00809
TBhypo3180.genome.CDS.1915,group00501
TBhypo3180.genome.CDS.1916,group00928
TBhypo3180.genome.CDS.1917,group01020
TBhypo3180.genome.CDS.1859,group01161
TBhypo3180.genome.CDS.1858,group01361
TBhypo3180.genome.CDS.1912,group00489
TBhypo3180.genome.CDS.1913,group00264
TBhypo3180.genome.CDS.2168,group02968
TBhypo3180.genome.CDS.2239,group00939
TBhypo3180.genome.CDS.1207,group00360
TBhypo3180.genome.CDS.1569,group00535
TBhypo3180.genome.CDS.1407,group00029
TBhypo3180.genome.CDS.1404,group00540
TBhypo3180.genome.CDS.1405,group00612
TBhypo3180.genome.CDS.1402,group00142
TBhypo3180.genome.CDS.1403,group00762
TBhypo3180.genome.CDS.1400,group00827
TBhypo3180.genome.CDS.1401,group01099
TBhypo3180.genome.CDS.1561,group01612
TBhypo3180.genome.CDS.1560,group01353
TBhypo3180.genome.CDS.1563,group04749
TBhypo3180.genome.CDS.1562,group00307
TBhypo3180.genome.CDS.1565,group00468
TBhypo3180.genome.CDS.1564,group00553
TBhypo3180.genome.CDS.1408,group01424
TBhypo3180.genome.CDS.1566,group00532
TBhypo3180.genome.CDS.2089,group01074
TBhypo3180.genome.CDS.2088,group01341
TBhypo3180.genome.CDS.2083,group00674
TBhypo3180.genome.CDS.2080,group02975
TBhypo3180.genome.CDS.2087,group01287
TBhypo3180.genome.CDS.2086,group01278
TBhypo3180.genome.CDS.2085,group00032
TBhypo3180.genome.CDS.539,group02807
TBhypo3180.genome.CDS.2299,group00271
TBhypo3180.genome.CDS.2279,group01394
TBhypo3180.genome.CDS.2162,group01696
TBhypo3180.genome.CDS.1269,group00743
TBhypo3180.genome.CDS.2190,group00480
TBhypo3180.genome.CDS.1550,group00079
TBhypo3180.genome.CDS.1438,group01505
TBhypo3180.genome.CDS.1451,group01106
TBhypo3180.genome.CDS.1551,group04720
TBhypo3180.genome.CDS.930,group01586
TBhypo3180.genome.CDS.1319,group01805
TBhypo3180.genome.CDS.1312,group01111
TBhypo3180.genome.CDS.1313,group00586
TBhypo3180.genome.CDS.1310,group02307
TBhypo3180.genome.CDS.1311,group00834
TBhypo3180.genome.CDS.1316,group03489
TBhypo3180.genome.CDS.2290,group13265
TBhypo3180.genome.CDS.1314,group00042
TBhypo3180.genome.CDS.1315,group01417
TBhypo3180.genome.CDS.2114,group01325
TBhypo3180.genome.CDS.2291,group00051
TBhypo3180.genome.CDS.1172,group13269
TBhypo3180.genome.CDS.2297,group00872
