AAA028K15.genome.CDS.737,group01878
AAA028K15.genome.CDS.633,group00241
AAA028K15.genome.CDS.630,group00320
AAA028K15.genome.CDS.631,group01736
AAA028K15.genome.CDS.638,group01680
AAA028K15.genome.CDS.639,group06602
AAA028K15.genome.CDS.827,group01314
AAA028K15.genome.CDS.826,group01044
AAA028K15.genome.CDS.825,group04102
AAA028K15.genome.CDS.824,group01423
AAA028K15.genome.CDS.823,group06620
AAA028K15.genome.CDS.822,group01277
AAA028K15.genome.CDS.821,group00032
AAA028K15.genome.CDS.820,group00043
AAA028K15.genome.CDS.829,group00869
AAA028K15.genome.CDS.828,group01180
AAA028K15.genome.CDS.678,group02786
AAA028K15.genome.CDS.478,group01997
AAA028K15.genome.CDS.479,group00746
AAA028K15.genome.CDS.708,group00078
AAA028K15.genome.CDS.709,group00168
AAA028K15.genome.CDS.702,group00211
AAA028K15.genome.CDS.703,group00182
AAA028K15.genome.CDS.700,group00452
AAA028K15.genome.CDS.701,group01576
AAA028K15.genome.CDS.706,group00195
AAA028K15.genome.CDS.707,group01461
AAA028K15.genome.CDS.704,group00075
AAA028K15.genome.CDS.705,group00164
AAA028K15.genome.CDS.557,group06594
AAA028K15.genome.CDS.556,group00050
AAA028K15.genome.CDS.555,group00139
AAA028K15.genome.CDS.554,group02285
AAA028K15.genome.CDS.553,group00109
AAA028K15.genome.CDS.552,group00097
AAA028K15.genome.CDS.551,group01433
AAA028K15.genome.CDS.419,group06590
AAA028K15.genome.CDS.559,group06600
AAA028K15.genome.CDS.558,group06593
AAA028K15.genome.CDS.688,group00887
AAA028K15.genome.CDS.576,group03614
AAA028K15.genome.CDS.687,group00658
AAA028K15.genome.CDS.686,group00268
AAA028K15.genome.CDS.672,group02514
AAA028K15.genome.CDS.673,group01429
AAA028K15.genome.CDS.670,group01717
AAA028K15.genome.CDS.671,group01318
AAA028K15.genome.CDS.676,group00584
AAA028K15.genome.CDS.677,group01955
AAA028K15.genome.CDS.858,group05014
AAA028K15.genome.CDS.675,group05005
AAA028K15.genome.CDS.856,group00663
AAA028K15.genome.CDS.857,group00682
AAA028K15.genome.CDS.854,group01394
AAA028K15.genome.CDS.679,group00519
AAA028K15.genome.CDS.852,group06624
AAA028K15.genome.CDS.853,group06623
AAA028K15.genome.CDS.850,group06626
AAA028K15.genome.CDS.851,group06625
AAA028K15.genome.CDS.719,group00009
AAA028K15.genome.CDS.718,group01712
AAA028K15.genome.CDS.751,group00602
AAA028K15.genome.CDS.699,group00028
AAA028K15.genome.CDS.753,group00354
AAA028K15.genome.CDS.752,group00743
AAA028K15.genome.CDS.755,group02296
AAA028K15.genome.CDS.754,group02575
AAA028K15.genome.CDS.757,group02340
AAA028K15.genome.CDS.756,group00640
AAA028K15.genome.CDS.690,group00029
AAA028K15.genome.CDS.691,group00652
AAA028K15.genome.CDS.692,group02352
AAA028K15.genome.CDS.693,group02829
AAA028K15.genome.CDS.694,group00638
AAA028K15.genome.CDS.695,group01036
AAA028K15.genome.CDS.696,group02351
AAA028K15.genome.CDS.697,group00070
AAA028K15.genome.CDS.593,group01864
AAA028K15.genome.CDS.592,group02278
AAA028K15.genome.CDS.458,group01506
AAA028K15.genome.CDS.590,group01573
AAA028K15.genome.CDS.597,group01753
AAA028K15.genome.CDS.596,group01137
AAA028K15.genome.CDS.595,group01977
AAA028K15.genome.CDS.594,group02003
AAA028K15.genome.CDS.452,group01045
AAA028K15.genome.CDS.453,group01042
AAA028K15.genome.CDS.450,group02069
AAA028K15.genome.CDS.598,group01140
AAA028K15.genome.CDS.456,group01696
AAA028K15.genome.CDS.457,group01549
AAA028K15.genome.CDS.454,group00007
AAA028K15.genome.CDS.455,group01622
AAA028K15.genome.CDS.866,group00791
AAA028K15.genome.CDS.499,group00834
AAA028K15.genome.CDS.782,group00318
AAA028K15.genome.CDS.528,group01563
AAA028K15.genome.CDS.783,group01138
AAA028K15.genome.CDS.526,group01657
AAA028K15.genome.CDS.527,group01581
AAA028K15.genome.CDS.524,group00416
AAA028K15.genome.CDS.525,group01782
AAA028K15.genome.CDS.522,group01780
AAA028K15.genome.CDS.523,group01781
AAA028K15.genome.CDS.520,group01994
AAA028K15.genome.CDS.521,group01779
AAA028K15.genome.CDS.623,group00647
AAA028K15.genome.CDS.438,group00777
AAA028K15.genome.CDS.622,group00424
AAA028K15.genome.CDS.439,group06622
AAA028K15.genome.CDS.539,group00053
AAA028K15.genome.CDS.538,group00349
AAA028K15.genome.CDS.147,group06601
AAA028K15.genome.CDS.149,group01407
AAA028K15.genome.CDS.650,group01595
AAA028K15.genome.CDS.859,group02023
AAA028K15.genome.CDS.818,group02142
AAA028K15.genome.CDS.819,group00734
AAA028K15.genome.CDS.812,group00831
AAA028K15.genome.CDS.813,group06616
AAA028K15.genome.CDS.810,group02956
AAA028K15.genome.CDS.811,group01272
AAA028K15.genome.CDS.816,group01283
AAA028K15.genome.CDS.817,group00432
AAA028K15.genome.CDS.814,group06615
AAA028K15.genome.CDS.815,group06614
AAA028K15.genome.CDS.855,group01308
AAA028K15.genome.CDS.496,group02147
AAA028K15.genome.CDS.497,group01109
AAA028K15.genome.CDS.494,group02146
AAA028K15.genome.CDS.495,group01111
AAA028K15.genome.CDS.492,group00936
AAA028K15.genome.CDS.493,group00586
AAA028K15.genome.CDS.490,group01519
AAA028K15.genome.CDS.491,group02586
AAA028K15.genome.CDS.715,group00411
AAA028K15.genome.CDS.714,group00165
AAA028K15.genome.CDS.717,group01935
AAA028K15.genome.CDS.716,group00399
AAA028K15.genome.CDS.711,group00944
AAA028K15.genome.CDS.710,group00039
AAA028K15.genome.CDS.498,group00953
AAA028K15.genome.CDS.712,group01404
AAA028K15.genome.CDS.629,group01293
AAA028K15.genome.CDS.628,group00206
AAA028K15.genome.CDS.780,group01417
AAA028K15.genome.CDS.781,group00042
AAA028K15.genome.CDS.786,group06609
AAA028K15.genome.CDS.787,group06608
AAA028K15.genome.CDS.784,group01167
AAA028K15.genome.CDS.785,group00130
AAA028K15.genome.CDS.621,group00183
AAA028K15.genome.CDS.620,group00679
AAA028K15.genome.CDS.788,group06607
AAA028K15.genome.CDS.789,group06610
AAA028K15.genome.CDS.625,group00024
AAA028K15.genome.CDS.624,group01575
AAA028K15.genome.CDS.627,group00217
AAA028K15.genome.CDS.396,group06621
AAA028K15.genome.CDS.768,group01288
AAA028K15.genome.CDS.769,group00531
AAA028K15.genome.CDS.760,group00471
AAA028K15.genome.CDS.761,group00453
AAA028K15.genome.CDS.762,group00392
AAA028K15.genome.CDS.763,group00012
AAA028K15.genome.CDS.764,group01684
AAA028K15.genome.CDS.765,group00310
AAA028K15.genome.CDS.766,group04960
AAA028K15.genome.CDS.767,group03148
AAA028K15.genome.CDS.568,group00623
AAA028K15.genome.CDS.569,group01635
AAA028K15.genome.CDS.562,group06598
AAA028K15.genome.CDS.563,group06597
AAA028K15.genome.CDS.560,group05239
AAA028K15.genome.CDS.561,group06599
AAA028K15.genome.CDS.566,group00035
AAA028K15.genome.CDS.567,group00035
AAA028K15.genome.CDS.564,group06596
AAA028K15.genome.CDS.565,group06595
AAA028K15.genome.CDS.698,group00262
AAA028K15.genome.CDS.750,group02393
AAA028K15.genome.CDS.759,group02346
AAA028K15.genome.CDS.591,group01591
AAA028K15.genome.CDS.459,group00778
AAA028K15.genome.CDS.197,group01734
AAA028K15.genome.CDS.610,group00364
AAA028K15.genome.CDS.611,group00080
AAA028K15.genome.CDS.612,group00291
AAA028K15.genome.CDS.613,group00491
AAA028K15.genome.CDS.614,group00379
AAA028K15.genome.CDS.615,group02507
AAA028K15.genome.CDS.616,group00141
AAA028K15.genome.CDS.617,group00439
AAA028K15.genome.CDS.618,group01800
AAA028K15.genome.CDS.619,group00680
AAA028K15.genome.CDS.599,group02062
AAA028K15.genome.CDS.665,group00344
AAA028K15.genome.CDS.664,group01129
AAA028K15.genome.CDS.667,group00422
AAA028K15.genome.CDS.666,group00304
AAA028K15.genome.CDS.661,group00114
AAA028K15.genome.CDS.660,group00465
AAA028K15.genome.CDS.663,group00446
AAA028K15.genome.CDS.662,group02188
AAA028K15.genome.CDS.849,group06627
AAA028K15.genome.CDS.848,group06628
AAA028K15.genome.CDS.669,group00929
AAA028K15.genome.CDS.668,group00530
AAA028K15.genome.CDS.724,group00005
AAA028K15.genome.CDS.725,group04134
AAA028K15.genome.CDS.726,group03981
AAA028K15.genome.CDS.727,group00805
AAA028K15.genome.CDS.721,group00902
AAA028K15.genome.CDS.722,group02584
AAA028K15.genome.CDS.723,group03992
AAA028K15.genome.CDS.683,group00565
AAA028K15.genome.CDS.682,group00838
AAA028K15.genome.CDS.681,group00393
AAA028K15.genome.CDS.680,group00720
AAA028K15.genome.CDS.728,group02994
AAA028K15.genome.CDS.729,group02738
AAA028K15.genome.CDS.685,group02783
AAA028K15.genome.CDS.684,group00564
AAA028K15.genome.CDS.449,group00400
AAA028K15.genome.CDS.448,group06639
AAA028K15.genome.CDS.445,group00181
AAA028K15.genome.CDS.444,group00208
AAA028K15.genome.CDS.447,group00095
AAA028K15.genome.CDS.446,group00151
AAA028K15.genome.CDS.441,group06637
AAA028K15.genome.CDS.440,group06638
AAA028K15.genome.CDS.443,group00273
AAA028K15.genome.CDS.442,group06636
AAA028K15.genome.CDS.550,group01490
AAA028K15.genome.CDS.531,group00387
AAA028K15.genome.CDS.530,group00449
AAA028K15.genome.CDS.533,group00137
AAA028K15.genome.CDS.532,group00348
AAA028K15.genome.CDS.535,group00194
AAA028K15.genome.CDS.534,group00058
AAA028K15.genome.CDS.537,group00378
AAA028K15.genome.CDS.536,group00300
AAA028K15.genome.CDS.430,group01430
AAA028K15.genome.CDS.431,group00263
AAA028K15.genome.CDS.432,group02363
AAA028K15.genome.CDS.433,group01193
AAA028K15.genome.CDS.434,group02007
AAA028K15.genome.CDS.435,group02800
AAA028K15.genome.CDS.436,group00635
AAA028K15.genome.CDS.437,group01044
AAA028K15.genome.CDS.150,group01503
AAA028K15.genome.CDS.529,group00448
AAA028K15.genome.CDS.809,group01295
AAA028K15.genome.CDS.808,group00302
AAA028K15.genome.CDS.805,group00445
AAA028K15.genome.CDS.804,group00326
AAA028K15.genome.CDS.807,group02132
AAA028K15.genome.CDS.806,group00268
AAA028K15.genome.CDS.801,group00384
AAA028K15.genome.CDS.800,group01770
AAA028K15.genome.CDS.803,group00607
AAA028K15.genome.CDS.802,group01500
AAA028K15.genome.CDS.795,group06611
AAA028K15.genome.CDS.794,group06612
AAA028K15.genome.CDS.797,group01380
AAA028K15.genome.CDS.796,group01572
AAA028K15.genome.CDS.658,group00466
AAA028K15.genome.CDS.659,group00447
AAA028K15.genome.CDS.793,group04135
AAA028K15.genome.CDS.792,group06613
AAA028K15.genome.CDS.654,group01361
AAA028K15.genome.CDS.655,group01664
AAA028K15.genome.CDS.656,group00234
AAA028K15.genome.CDS.657,group00588
AAA028K15.genome.CDS.799,group00374
AAA028K15.genome.CDS.651,group01556
AAA028K15.genome.CDS.652,group01469
AAA028K15.genome.CDS.653,group01317
AAA028K15.genome.CDS.647,group01396
AAA028K15.genome.CDS.862,group01574
AAA028K15.genome.CDS.861,group02015
AAA028K15.genome.CDS.474,group01487
AAA028K15.genome.CDS.475,group01624
AAA028K15.genome.CDS.779,group02145
AAA028K15.genome.CDS.644,group01163
AAA028K15.genome.CDS.470,group01413
AAA028K15.genome.CDS.471,group02454
AAA028K15.genome.CDS.472,group01996
AAA028K15.genome.CDS.473,group00976
AAA028K15.genome.CDS.773,group06606
AAA028K15.genome.CDS.772,group01511
AAA028K15.genome.CDS.771,group01512
AAA028K15.genome.CDS.770,group02190
AAA028K15.genome.CDS.777,group01166
AAA028K15.genome.CDS.776,group01165
AAA028K15.genome.CDS.775,group01766
AAA028K15.genome.CDS.774,group00351
AAA028K15.genome.CDS.579,group00639
AAA028K15.genome.CDS.641,group00228
AAA028K15.genome.CDS.575,group01108
AAA028K15.genome.CDS.574,group01108
AAA028K15.genome.CDS.577,group03614
AAA028K15.genome.CDS.640,group01502
AAA028K15.genome.CDS.571,group00587
AAA028K15.genome.CDS.570,group01995
AAA028K15.genome.CDS.573,group01108
AAA028K15.genome.CDS.572,group02512
AAA028K15.genome.CDS.489,group03058
AAA028K15.genome.CDS.488,group00941
AAA028K15.genome.CDS.608,group00488
AAA028K15.genome.CDS.481,group04981
AAA028K15.genome.CDS.480,group05238
AAA028K15.genome.CDS.483,group02448
AAA028K15.genome.CDS.482,group01885
AAA028K15.genome.CDS.485,group01604
AAA028K15.genome.CDS.484,group03073
AAA028K15.genome.CDS.487,group00779
AAA028K15.genome.CDS.486,group01540
AAA028K15.genome.CDS.508,group00383
AAA028K15.genome.CDS.509,group00725
AAA028K15.genome.CDS.500,group00693
AAA028K15.genome.CDS.501,group01776
AAA028K15.genome.CDS.502,group00283
AAA028K15.genome.CDS.503,group01883
AAA028K15.genome.CDS.504,group00645
AAA028K15.genome.CDS.505,group01634
AAA028K15.genome.CDS.506,group01777
AAA028K15.genome.CDS.507,group00127
AAA028K15.genome.CDS.451,group01321
AAA028K15.genome.CDS.833,group06619
AAA028K15.genome.CDS.461,group03432
AAA028K15.genome.CDS.460,group01937
AAA028K15.genome.CDS.546,group01722
AAA028K15.genome.CDS.603,group00386
AAA028K15.genome.CDS.602,group02045
AAA028K15.genome.CDS.601,group02635
AAA028K15.genome.CDS.600,group01442
AAA028K15.genome.CDS.607,group00413
AAA028K15.genome.CDS.606,group00414
AAA028K15.genome.CDS.605,group00235
AAA028K15.genome.CDS.604,group00200
AAA028K15.genome.CDS.609,group02710
AAA028K15.genome.CDS.741,group00505
AAA028K15.genome.CDS.834,group01183
AAA028K15.genome.CDS.835,group06618
AAA028K15.genome.CDS.836,group06617
AAA028K15.genome.CDS.837,group01277
AAA028K15.genome.CDS.830,group01072
AAA028K15.genome.CDS.831,group00681
AAA028K15.genome.CDS.832,group05241
AAA028K15.genome.CDS.118,group06592
AAA028K15.genome.CDS.838,group00912
AAA028K15.genome.CDS.839,group00047
