Compound	Name	Formula	Mass	KEGG maps	KEGG CID
cpd01622	Trimetaphosphate	O9P3	237	<a href=&#39;javascript:addTab("00240","Pyrimidine metabolism","keggMapTabs","build_map","pathway=00240&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Pyrimidine metabolism</a>	C02466
cpd01623	UDP-galactosamine	C15H24N3O16P2	564	None	C02467
cpd01624	Uroporphyrin III	C40H30N4O16	822	<a href=&#39;javascript:addTab("00860","Porphyrin and chlorophyll metabolism","keggMapTabs","build_map","pathway=00860&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Porphyrin and chlorophyll metabolism</a>	C02469
cpd01625	Xanthurenate,<br>Xanthurenic acid	C10H6NO4	204	<a href=&#39;javascript:addTab("00380","Tryptophan metabolism","keggMapTabs","build_map","pathway=00380&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Tryptophan metabolism</a>	C02470
cpd01626	alpha-D-Lyxoside	C5H9O5R	150	None	C02473
cpd01627	alpha-L-Mannomethylose,<br>alpha-6-Deoxy-L-mannose,<br>alpha-L-Rhamnose	C6H12O5	164	None	C02476
cpd01628	Vitamin E,<br>alpha-Tocopherol	C29H50O2	430	<a href=&#39;javascript:addTab("00100","Biosynthesis of steroids","keggMapTabs","build_map","pathway=00100&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of steroids</a>	C02477
cpd01629	beta-L-Arabinose	C5H10O5	150	None	C02479
cpd01630	cis,cis-2,4-Hexadienedioic acid,<br>cis,cis-Hexadienedioate,<br>cis,cis-Muconate	C6H4O4	140	<a href=&#39;javascript:addTab("00629","Carbazole degradation","keggMapTabs","build_map","pathway=00629&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Carbazole degradation</a><br><br><a href=&#39;javascript:addTab("00362","Benzoate degradation via hydroxylation","keggMapTabs","build_map","pathway=00362&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Benzoate degradation via hydroxylation</a>	C02480
cpd01631	gamma-Tocopherol	C28H48O2	416	<a href=&#39;javascript:addTab("00100","Biosynthesis of steroids","keggMapTabs","build_map","pathway=00100&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of steroids</a>	C02483
cpd01632	(+)-trans-Pulegol	C10H18O	154	None	C02484
cpd01634	(3R)-3-Amino-4-methylvaleric acid,<br>(3R)-3-Amino-4-methylpentanoic acid,<br>L-beta-Leucine,<br>(3R)-beta-2-Amino-4-methylvaleric acid,<br>(3R)-beta-Leucine	C6H13NO2	131	<a href=&#39;javascript:addTab("00280","Valine, leucine and isoleucine degradation","keggMapTabs","build_map","pathway=00280&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Valine, leucine and isoleucine degradation</a>	C02486
cpd01635	(Ac)2-L-lysyl-D-alanine,<br>(Ac)2-L-Lys-D-Ala	C13H22N3O5	300	None	C02487
cpd01636	(R)-2-Ethylmalate	C6H8O5	160	<a href=&#39;javascript:addTab("00620","Pyruvate metabolism","keggMapTabs","build_map","pathway=00620&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Pyruvate metabolism</a>	C02488
cpd01637	1-Methyladenosine	C11H15N5O4	281	None	C02494
cpd01638	2&#39;-Hydroxydaidzein	C15H10O5	270	<a href=&#39;javascript:addTab("00943","Isoflavonoid biosynthesis","keggMapTabs","build_map","pathway=00943&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Isoflavonoid biosynthesis</a>	C02495
cpd01639	2,4-Dinitrophenol	C6H3N2O5	183	None	C02496
cpd01640	2-Butyne-1,4-diol	C4H6O2	86	None	C02497
cpd01641	2-Ethyl-1-hexanol,<br>2-Ethylhexan-1-ol	C8H18O	130	None	C02498
cpd01642	2-Phenylphenol,<br>2-Biphenylol,<br>2-Hydroxybiphenyl	C12H10O	170	None	C02499
cpd01644	2-Hydroxymuconate	C6H4O5	156	<a href=&#39;javascript:addTab("00628","Fluorene degradation","keggMapTabs","build_map","pathway=00628&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Fluorene degradation</a><br><br><a href=&#39;javascript:addTab("00362","Benzoate degradation via hydroxylation","keggMapTabs","build_map","pathway=00362&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Benzoate degradation via hydroxylation</a>	C02501
cpd01645	2-Pyridinol,<br>2-Pyridone,<br>2-Hydroxypyridine	C5H5NO	95	None	C02502
cpd01646	3-Hydroxy-4-methyl-3-carboxypentanoate,<br>2-Hydroxy-2-isopropylbutanedioate,<br>3-Carboxy-3-hydroxyisocaproate,<br>3-Carboxy-3-hydroxy-isocaproate,<br>3-Carboxy-3-hydroxy-4-methylpentanoate,<br>2-Isopropylmalic acid,<br>2-Isopropylmalate,<br>(2S)-2-Isopropylmalate	C7H10O5	174	<a href=&#39;javascript:addTab("00620","Pyruvate metabolism","keggMapTabs","build_map","pathway=00620&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Pyruvate metabolism</a><br><br><a href=&#39;javascript:addTab("00290","Valine, leucine and isoleucine biosynthesis","keggMapTabs","build_map","pathway=00290&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Valine, leucine and isoleucine biosynthesis</a>	C02504
cpd01647	2-Phenylacetamide	C8H9NO	135	<a href=&#39;javascript:addTab("00643","Styrene degradation","keggMapTabs","build_map","pathway=00643&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Styrene degradation</a><br><br><a href=&#39;javascript:addTab("00360","Phenylalanine metabolism","keggMapTabs","build_map","pathway=00360&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Phenylalanine metabolism</a>	C02505
cpd01648	3&#39;,5&#39;-Cyclic dGMP	C10H11N5O6P	328	None	C02507
cpd01649	3&#39;-Ribonucleotide	C5H9O7PR	213	None	C02508
cpd01650	3-(ADP)-glycerate	C13H16N5O13P2	512	None	C02509
cpd01651	L-beta-Cyanoalanine,<br>L-3-Cyanoalanine,<br>3-Cyano-L-alanine	C4H6N2O2	114	<a href=&#39;javascript:addTab("00460","Cyanoamino acid metabolism","keggMapTabs","build_map","pathway=00460&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Cyanoamino acid metabolism</a>	C02512
cpd01652	3-Dehydroecdysone	C27H42O6	462	<a href=&#39;javascript:addTab("00981","Insect hormone biosynthesis","keggMapTabs","build_map","pathway=00981&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Insect hormone biosynthesis</a>	C02513
cpd01653	3-Fumarylpyruvate	C7H4O6	184	<a href=&#39;javascript:addTab("00350","Tyrosine metabolism","keggMapTabs","build_map","pathway=00350&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Tyrosine metabolism</a>	C02514
cpd01654	3-Iodo-L-tyrosine	C9H10NO3I	307	<a href=&#39;javascript:addTab("00350","Tyrosine metabolism","keggMapTabs","build_map","pathway=00350&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Tyrosine metabolism</a>	C02515
cpd01655	3-Nitropropionic acid,<br>3-Nitropropanoate	C3H4NO4	118	None	C05669
cpd01656	3-Oxohexobarbital	C12H14N2O4	250	None	C02517
cpd01657	4-Aminosalicylic acid,<br>4-Aminosalicylate	C7H6NO3	152	None	C02518
cpd01658	4-Anisic acid,<br>4-Methoxybenzoic acid,<br>4-Methoxybenzoate	C8H7O3	151	<a href=&#39;javascript:addTab("00623","2,4-Dichlorobenzoate degradation","keggMapTabs","build_map","pathway=00623&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>2,4-Dichlorobenzoate degradation</a>	C02519
cpd01659	5&#39;-Ribonucleotide	C5H9O7PR	213	None	C02520
cpd01660	Isorhodeose,<br>D-Epifucose,<br>Isorhamnose,<br>D-Glucomethylose,<br>D-Chinovose,<br>D-Quinovose,<br>6-Deoxy-D-glucose	C6H12O5	164	None	C02522
cpd01661	3-Phenylcatechol,<br>2,3-Dihydroxybiphenyl,<br>Biphenyl-2,3-diol	C12H10O2	186	<a href=&#39;javascript:addTab("00621","Biphenyl degradation","keggMapTabs","build_map","pathway=00621&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biphenyl degradation</a>	C02526
cpd01662	Butanoyl phosphate,<br>Butanoylphosphate	C4H8O5P	167	<a href=&#39;javascript:addTab("00650","Butanoate metabolism","keggMapTabs","build_map","pathway=00650&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Butanoate metabolism</a>	C02527
cpd01663	Chenodiol,<br>3alpha,7alpha-Dihydroxy-5beta-cholanic acid,<br>Chenodeoxycholic acid,<br>Chenodeoxycholate	C24H39O4	391	<a href=&#39;javascript:addTab("00120","Bile acid biosynthesis","keggMapTabs","build_map","pathway=00120&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Bile acid biosynthesis</a>	C02528
cpd01664	Cholesterol ester	C28H45O2R	414	<a href=&#39;javascript:addTab("00120","Bile acid biosynthesis","keggMapTabs","build_map","pathway=00120&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Bile acid biosynthesis</a>	C02530
cpd01665	D-O-Phosphoserine	C3H7NO6P	184	None	C02532
cpd01666	(6R)-6-hydroxy-3-oxo-alpha-ionone,<br>Dehydrovomifoliol	C13H18O3	222	None	C02533
cpd01667	Dimethyl selenide	C2H6Se	109	None	C02535
cpd01668	17alpha-Estradiol,<br>Estradiol-17alpha	C18H24O2	272	<a href=&#39;javascript:addTab("00150","Androgen and estrogen metabolism","keggMapTabs","build_map","pathway=00150&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Androgen and estrogen metabolism</a>	C02537
cpd01669	Estrone 3-sulfate	C18H21O5S	349	<a href=&#39;javascript:addTab("00150","Androgen and estrogen metabolism","keggMapTabs","build_map","pathway=00150&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Androgen and estrogen metabolism</a>	C02538
cpd01670	Fenprofen calcium	C30H26O6	482	None	C02539
cpd01671	Dihydroxyacetone sulfate,<br>Glycerone sulfate	C3H5O6S	169	None	C02543
cpd01672	2-(2-Aminoethyl)indole	C10H13N2	161	None	C02548
cpd01673	Kievitone hydrate	C20H22O7	374	None	C02549
cpd01674	Luciferyl sulfate	C26H20N3O5S	486	None	C02555
cpd01675	2-Methylmalonyl-CoA,<br>Methylmalonyl coenzyme A,<br>Methylmalonyl-CoA	C25H36N7O19P3S	863	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C02557
cpd01676	N-Acetylarylamine	C8H9NO	135	None	None
cpd01677	N-Acetylimidazole	C5H6N2O	110	None	C02560
cpd01678	N-Feruloylglycine	C12H12NO5	250	None	C02564
cpd01679	N-Methylimidazolidine-2,4-dione,<br>N-Methylhydantoin	C4H6N2O2	114	<a href=&#39;javascript:addTab("00330","Arginine and proline metabolism","keggMapTabs","build_map","pathway=00330&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Arginine and proline metabolism</a>	C02565
cpd01680	N1-Acetylspermine	C12H31N4O	247	None	C02567
cpd01681	Neryl pyrophosphate,<br>Neryl diphosphate	C10H18O7P2	312	None	C02569
cpd01682	O-Acetyl-L-carnitine,<br>O-Acetylcarnitine	C9H17NO4	203	<a href=&#39;javascript:addTab("00252","Alanine and aspartate metabolism","keggMapTabs","build_map","pathway=00252&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Alanine and aspartate metabolism</a>	C02571
cpd01683	O-Feruloylquinate	C17H19O9	367	None	C02572
cpd01684	O-Phosphoviomycin	C25H45N13O13P	766	None	C02574
cpd01685	PCP,<br>Pentachlorophenol	C6OCl5	263	<a href=&#39;javascript:addTab("00627","1,4-Dichlorobenzene degradation","keggMapTabs","build_map","pathway=00627&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>1,4-Dichlorobenzene degradation</a>	C02575
cpd01686	Perillaldehyde,<br>Perillyl aldehyde	C10H14O	150	<a href=&#39;javascript:addTab("00903","Limonene and pinene degradation","keggMapTabs","build_map","pathway=00903&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Limonene and pinene degradation</a>	C02576
cpd01687	Phenoxyacetyl-CoA	C29H39N7O18P3S	898	None	C02577
cpd01688	Phenylgalactoside	C12H16O6	256	None	C02578
cpd01689	Propionylagmatine,<br>Propanoylagmatine	C8H19N4O	187	None	C02581
cpd01690	Pyrimidodiazepine	C9H11N5O2	221	None	C02587
cpd01691	Retinol palmitate,<br>all-trans-Retinyl palmitate,<br>Vitamin A palmitate,<br>Retinyl palmitate	C36H60O2	524	<a href=&#39;javascript:addTab("00830","Retinol metabolism","keggMapTabs","build_map","pathway=00830&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Retinol metabolism</a>	C02588
cpd01692	Phenolic steroid O-sulfate,<br>Steroid O-sulfate	C18H23O4S	335	None	C02590
cpd01693	beta-D-Fructofuranosyl-6-O-phosphono-alpha-D-glucopyranoside,<br>6-O-Phosphonosucrose,<br>6-Phosphosucrose,<br>sucrose-6-phosphate,<br>Sucrose 6F-phosphate,<br>Sucrose 6-phosphate	C12H22O14P	421	<a href=&#39;javascript:addTab("00500","Starch and sucrose metabolism","keggMapTabs","build_map","pathway=00500&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Starch and sucrose metabolism</a><br><br><a href=&#39;javascript:addTab("02060","Phosphotransferase system (PTS)","keggMapTabs","build_map","pathway=02060&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Phosphotransferase system (PTS)</a>	C16688,C02591
cpd01694	Taurolithocholic acid,<br>Taurolithocholate	C26H44NO5S	482	None	C02592
cpd01695	Tetradecanoyl-CoA (n-C14:0CoA),<br>Myristoyl-CoA,<br>Tetradecanoyl-CoA	C35H59N7O17P3S	974	<a href=&#39;javascript:addTab("00062","Fatty acid elongation in mitochondria","keggMapTabs","build_map","pathway=00062&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Fatty acid elongation in mitochondria</a><br><br><a href=&#39;javascript:addTab("00071","Fatty acid metabolism","keggMapTabs","build_map","pathway=00071&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Fatty acid metabolism</a>	C02593
cpd01696	2-Thienylacetic acid,<br>2-Thiopheneacetic acid,<br>Thien-2-ylacetate	C6H5O2S	141	None	C02595
cpd01697	2-Methylbezeneacetonitrile,<br>o-Methylbenzyl cyanide,<br>o-Tolylacetonitrile,<br>Tolylacetonitrile	C9H9N	131	None	C02596
cpd01698	alpha-L-Arabinose	C5H10O5	150	None	C02604
cpd01699	(E,E)-Piperoyl-CoA	C33H41N7O19P3S	964	None	C02611
cpd01700	(2R)-2-Hydroxy-2-methylbutanedioate,<br>D-alpha-Hydroxypyrotartaric acid,<br>D-Citramalic acid,<br>D-Citramalate,<br>(3R)-alpha-Hydroxypyrotartaric acid,<br>(3R)-Citramalic acid,<br>(3R)-Citramalate,<br>(R)-2-Methylmalic acid,<br>(R)-2-Methylmalate	C5H6O5	146	<a href=&#39;javascript:addTab("00660","C5-Branched dibasic acid metabolism","keggMapTabs","build_map","pathway=00660&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>C5-Branched dibasic acid metabolism</a><br><br><a href=&#39;javascript:addTab("00290","Valine, leucine and isoleucine biosynthesis","keggMapTabs","build_map","pathway=00290&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Valine, leucine and isoleucine biosynthesis</a>	C02612
cpd01701	(S)-2-Hydroxy-2-methylsuccinic acid,<br>(S)-Citramalic acid,<br>(2S)-2-Hydroxy-2-methylbutanedioate,<br>S-alpha-Hydroxypyrotartaric acid,<br>S-Citramalic acid,<br>S-Citramalate,<br>L-alpha-Hydroxypyrotartaric acid,<br>L-Citramalic acid,<br>L-Citramalate,<br>(3S)-alpha-Hydroxypyrotartaric acid,<br>(3S)-Citramalic acid,<br>(3S)-Citramalate,<br>(S)-2-Methylmalic acid,<br>(S)-2-Methylmalate	C5H6O5	146	<a href=&#39;javascript:addTab("00640","Propanoate metabolism","keggMapTabs","build_map","pathway=00640&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Propanoate metabolism</a><br><br><a href=&#39;javascript:addTab("00660","C5-Branched dibasic acid metabolism","keggMapTabs","build_map","pathway=00660&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>C5-Branched dibasic acid metabolism</a>	C02614
cpd01702	(S)-Benzaldehyde cyanohydrin,<br>(S)-Mandelonitrile	C8H7NO	133	None	C02615
cpd01703	1,4-Naphthalenedione,<br>1,4-Naphthoquinone	C10H6O2	158	<a href=&#39;javascript:addTab("00980","Metabolism of xenobiotics by cytochrome P450","keggMapTabs","build_map","pathway=00980&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Metabolism of xenobiotics by cytochrome P450</a>	C02617
cpd01704	(+)-13alpha-Hydroxylupanine,<br>13-Hydroxylupinine,<br>13-Hydroxylupanine	C15H24N2O2	264	None	C02621
cpd01705	2,3-Dimethylmalate	C6H8O5	160	None	None
cpd01706	2,4-Dichlorophenol	C6H4OCl2	162	<a href=&#39;javascript:addTab("00627","1,4-Dichlorobenzene degradation","keggMapTabs","build_map","pathway=00627&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>1,4-Dichlorobenzene degradation</a>	C02625
cpd01707	2-Deoxystreptamine	C6H16N2O3	164	None	C02627
cpd01708	2-Deoxystreptidine	C8H20N6O3	248	None	C02628
cpd01709	2-Hydroxyglutarate	C5H6O5	146	<a href=&#39;javascript:addTab("00650","Butanoate metabolism","keggMapTabs","build_map","pathway=00650&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Butanoate metabolism</a><br><br><a href=&#39;javascript:addTab("00660","C5-Branched dibasic acid metabolism","keggMapTabs","build_map","pathway=00660&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>C5-Branched dibasic acid metabolism</a>	C02630
cpd01710	beta-Isopropylmaleate,<br>2-Isopropylmaleate	C7H8O4	156	<a href=&#39;javascript:addTab("00290","Valine, leucine and isoleucine biosynthesis","keggMapTabs","build_map","pathway=00290&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Valine, leucine and isoleucine biosynthesis</a>	C02631
cpd01711	Isobutyrate,<br>Dimethylacetic acid,<br>Isobutanoate,<br>Isobutyric acid,<br>2-Methylpropanoic acid,<br>2-Methylpropanoate	C4H7O2	87	<a href=&#39;javascript:addTab("00621","Biphenyl degradation","keggMapTabs","build_map","pathway=00621&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biphenyl degradation</a>	C02632
cpd01712	20-Hydroxyecdysone	C27H44O7	480	<a href=&#39;javascript:addTab("00981","Insect hormone biosynthesis","keggMapTabs","build_map","pathway=00981&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Insect hormone biosynthesis</a>	C02633
cpd01713	3-Chloro-D-alanine	C3H6NO2Cl	123	None	C02634
cpd01714	3-Chloro-L-alanine	C3H6NO2Cl	123	None	C02635
cpd01715	3-Carboxy-N,N,N-trimethyl-2-oxo-1-propanaminium,<br>3-Dehydrocarnitine	C7H13NO3	159	None	C02636
cpd01716	3-Dehydroshikimate,<br>3-dehydro-shikimate	C7H7O5	171	<a href=&#39;javascript:addTab("00400","Phenylalanine, tyrosine and tryptophan biosynthesis","keggMapTabs","build_map","pathway=00400&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Phenylalanine, tyrosine and tryptophan biosynthesis</a>	C02637
cpd01717	3-Fluoro-D-alanine	C3H6NO2F	107	None	C02638
cpd01718	3-Methoxytropolone	C8H7O3	151	None	C02639
cpd01719	Isopentylamine,<br>Isoamylamine,<br>3-Methylbutanamine	C5H14N	88	None	C02640
cpd01720	N-Carbamoyl-beta-alanine,<br>beta-Ureidopropionic acid,<br>3-Ureidopropanoate,<br>3-Ureidopropionate	C4H7N2O3	131	<a href=&#39;javascript:addTab("00770","Pantothenate and CoA biosynthesis","keggMapTabs","build_map","pathway=00770&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Pantothenate and CoA biosynthesis</a><br><br><a href=&#39;javascript:addTab("00410","beta-Alanine metabolism","keggMapTabs","build_map","pathway=00410&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>beta-Alanine metabolism</a><br><br><a href=&#39;javascript:addTab("00240","Pyrimidine metabolism","keggMapTabs","build_map","pathway=00240&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Pyrimidine metabolism</a>	C02642
cpd01721	4,5-Leukotriene A4	C20H29O3	317	None	C02645
cpd01722	p-Coumaryl alcohol,<br>4-Hydroxycinnamyl alcohol,<br>4-Coumaryl alcohol	C9H10O2	150	<a href=&#39;javascript:addTab("00940","Phenylpropanoid biosynthesis","keggMapTabs","build_map","pathway=00940&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Phenylpropanoid biosynthesis</a>	C02646
cpd01723	4-Guanidinobutanal	C5H12N3O	130	<a href=&#39;javascript:addTab("00220","Urea cycle and metabolism of amino groups","keggMapTabs","build_map","pathway=00220&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Urea cycle and metabolism of amino groups</a>	C02647
cpd01724	4-Hydroxy-2-butynal	C4H4O2	84	None	C02648
cpd01725	5-Dehydroshikimate	C7H7O5	171	None	C02652
cpd01726	6-Acetyl-D-glucose	C8H14O7	222	None	C02655
cpd01727	Heptanedioic acid,<br>Pimelic acid,<br>Pimelate,<br>6-Carboxyhexanoate	C7H10O4	158	<a href=&#39;javascript:addTab("00780","Biotin metabolism","keggMapTabs","build_map","pathway=00780&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biotin metabolism</a>	C02656
cpd01728	6-Methyl-2-hydroxybenzenecarboxylate,<br>2-Hydroxy-6-methylbenzoic acid,<br>6-Methylsalicylic acid,<br>6-Methylsalicylate	C8H7O3	151	None	C02657
cpd01729	Aldoxime,<br>Acetaldoxime,<br>Acetaldehyde oxime	C2H5NO	59	<a href=&#39;javascript:addTab("00460","Cyanoamino acid metabolism","keggMapTabs","build_map","pathway=00460&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Cyanoamino acid metabolism</a>	C02658
cpd01730	2-Hydroxyisobutyronitrile,<br>Acetone cyanhydrin,<br>2-Methyllactonitrile,<br>2-Hydroxy-2-methylpropanenitrile,<br>alpha-Hydroxyisobutyronitrile,<br>Acetone cyanohydrin	C4H7NO	85	None	C02659
cpd01731	Benzyl thiocyanate	C8H7NS	149	None	C02660
cpd01732	Methylene chlorobromide,<br>Bromochloromethane	CH2ClBr	129	None	C02661
cpd01733	Ferulaldehyde,<br>4-Hydroxy-3-methoxycinnamaldehyde,<br>Coniferaldehyde,<br>Coniferyl aldehyde	C10H10O3	178	<a href=&#39;javascript:addTab("00940","Phenylpropanoid biosynthesis","keggMapTabs","build_map","pathway=00940&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Phenylpropanoid biosynthesis</a>	C02666
cpd01734	D-Galactono-1,5-lactone	C6H10O6	178	None	C02669
cpd01735	D-Glucurone,<br>D-Glucurono-3,6-lactone,<br>Glucofuranurono-6,3-lactone,<br>Glucurone,<br>D-Glucuronolactone	C6H8O6	176	<a href=&#39;javascript:addTab("00053","Ascorbate and aldarate metabolism","keggMapTabs","build_map","pathway=00053&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Ascorbate and aldarate metabolism</a>	C02670
cpd01736	Deacetoxyvindoline,<br>16-Methoxy-2,3-dihydro-3-hydroxy-N-methyltabersonine,<br>Desacetoxyvindoline	C23H30N2O4	398	<a href=&#39;javascript:addTab("00901","Indole and ipecac alkaloid biosynthesis","keggMapTabs","build_map","pathway=00901&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Indole and ipecac alkaloid biosynthesis</a>	C02673
cpd01737	2-Deoxyribonolactone,<br>Deoxyribonolactone	C5H8O4	132	None	C02674
cpd01738	2,3-Dihydrobiochanin A,<br>Dihydrobiochanin A	C16H14O5	286	<a href=&#39;javascript:addTab("00943","Isoflavonoid biosynthesis","keggMapTabs","build_map","pathway=00943&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Isoflavonoid biosynthesis</a>	C02675
cpd01739	Dimethyl telluride	C2H6Te	158	None	C02677
cpd01740	Dodecanedioic acid	C12H20O4	228	None	C02678
cpd01741	Dodecanoate (n-C12:0),<br>dodecanoate (C12:0),<br>ddca,<br>Lauric acid,<br>Dodecylcarboxylate,<br>Dodecanoate,<br>Dodecanoic acid	C12H23O2	199	<a href=&#39;javascript:addTab("00061","Fatty acid biosynthesis","keggMapTabs","build_map","pathway=00061&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Fatty acid biosynthesis</a>	C02679
cpd01742	Ecdysone palmitate	C43H74O7	702	None	C02681
cpd01743	D-Galactosylceramide,<br>Cerebroside,<br>D-Galactosyl-N-acylsphingosine,<br>Galactocerebroside,<br>Galactosylceramide	C25H46NO8R	489	<a href=&#39;javascript:addTab("00600","Sphingolipid metabolism","keggMapTabs","build_map","pathway=00600&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Sphingolipid metabolism</a>	C02686
cpd01744	Glycerol monoester	C4H7O4R	120	None	C02688
cpd01745	Heteropyrithiamine	C11H13N4	201	<a href=&#39;javascript:addTab("00730","Thiamine metabolism","keggMapTabs","build_map","pathway=00730&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Thiamine metabolism</a>	C02691
cpd01746	Hexose-1,5-lactone	C6H10O6	178	None	C02692
cpd01747	Indole-3-acetamide	C10H10N2O	174	<a href=&#39;javascript:addTab("00380","Tryptophan metabolism","keggMapTabs","build_map","pathway=00380&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Tryptophan metabolism</a>	C02693
cpd01748	L-Citrulline ester	C6H12N3O3R	175	None	C02699
