Rhodoluna.genome.CDS.1931,group01871
Rhodoluna.genome.CDS.2482,group00255
Rhodoluna.genome.CDS.2483,group03400
Rhodoluna.genome.CDS.2488,group00615
Rhodoluna.genome.CDS.2489,group06574
Rhodoluna.genome.CDS.2468,group07332
Rhodoluna.genome.CDS.2469,group04098
Rhodoluna.genome.CDS.2462,group02950
Rhodoluna.genome.CDS.2463,group00903
Rhodoluna.genome.CDS.2460,group00353
Rhodoluna.genome.CDS.2461,group00267
Rhodoluna.genome.CDS.2466,group12411
Rhodoluna.genome.CDS.2467,group03296
Rhodoluna.genome.CDS.2464,group10895
Rhodoluna.genome.CDS.2465,group00300
Rhodoluna.genome.CDS.2268,group00023
Rhodoluna.genome.CDS.2269,group00397
Rhodoluna.genome.CDS.2264,group00110
Rhodoluna.genome.CDS.2265,group00043
Rhodoluna.genome.CDS.2266,group11566
Rhodoluna.genome.CDS.2267,group00823
Rhodoluna.genome.CDS.2260,group02119
Rhodoluna.genome.CDS.2261,group00125
Rhodoluna.genome.CDS.2262,group00120
Rhodoluna.genome.CDS.2263,group00040
Rhodoluna.genome.CDS.1007,group00661
Rhodoluna.genome.CDS.1917,group02702
Rhodoluna.genome.CDS.1916,group01057
Rhodoluna.genome.CDS.1915,group04507
Rhodoluna.genome.CDS.1914,group00430
Rhodoluna.genome.CDS.1913,group01665
Rhodoluna.genome.CDS.1912,group06681
Rhodoluna.genome.CDS.1911,group02922
Rhodoluna.genome.CDS.1910,group00096
Rhodoluna.genome.CDS.1919,group13086
Rhodoluna.genome.CDS.1918,group00633
Rhodoluna.genome.CDS.1462,group02785
Rhodoluna.genome.CDS.873,group02667
Rhodoluna.genome.CDS.1779,group00046
Rhodoluna.genome.CDS.1778,group00053
Rhodoluna.genome.CDS.1777,group00092
Rhodoluna.genome.CDS.1776,group00148
Rhodoluna.genome.CDS.1775,group00419
Rhodoluna.genome.CDS.1774,group00198
Rhodoluna.genome.CDS.1773,group00091
Rhodoluna.genome.CDS.1772,group00175
Rhodoluna.genome.CDS.1771,group13099
Rhodoluna.genome.CDS.1770,group01092
Rhodoluna.genome.CDS.2677,group02082
Rhodoluna.genome.CDS.2676,group02424
Rhodoluna.genome.CDS.2675,group00950
Rhodoluna.genome.CDS.2674,group00537
Rhodoluna.genome.CDS.2673,group00739
Rhodoluna.genome.CDS.2672,group02772
Rhodoluna.genome.CDS.2671,group02011
Rhodoluna.genome.CDS.2670,group08977
Rhodoluna.genome.CDS.2679,group07230
Rhodoluna.genome.CDS.2678,group02707
Rhodoluna.genome.CDS.723,group00800
Rhodoluna.genome.CDS.1588,group00207
Rhodoluna.genome.CDS.1589,group00537
Rhodoluna.genome.CDS.1584,group06600
Rhodoluna.genome.CDS.1585,group00355
Rhodoluna.genome.CDS.1586,group00986
Rhodoluna.genome.CDS.1587,group02635
Rhodoluna.genome.CDS.1580,group09231
Rhodoluna.genome.CDS.1581,group09973
Rhodoluna.genome.CDS.1582,group00359
Rhodoluna.genome.CDS.1583,group00315
Rhodoluna.genome.CDS.2079,group00853
Rhodoluna.genome.CDS.2078,group00522
Rhodoluna.genome.CDS.2075,group00657
Rhodoluna.genome.CDS.2074,group00136
Rhodoluna.genome.CDS.2077,group00847
Rhodoluna.genome.CDS.2076,group00002
Rhodoluna.genome.CDS.2071,group10096
Rhodoluna.genome.CDS.2070,group00363
Rhodoluna.genome.CDS.2073,group00381
Rhodoluna.genome.CDS.2072,group00257
Rhodoluna.genome.CDS.2101,group00366
Rhodoluna.genome.CDS.2100,group00412
Rhodoluna.genome.CDS.2102,group00376
Rhodoluna.genome.CDS.2105,group00964
Rhodoluna.genome.CDS.2104,group00526
Rhodoluna.genome.CDS.2107,group00534
Rhodoluna.genome.CDS.2106,group00553
Rhodoluna.genome.CDS.2109,group00184
Rhodoluna.genome.CDS.2456,group00807
Rhodoluna.genome.CDS.2455,group01074
Rhodoluna.genome.CDS.2454,group00123
Rhodoluna.genome.CDS.2453,group00944
Rhodoluna.genome.CDS.2452,group02090
Rhodoluna.genome.CDS.2451,group01040
Rhodoluna.genome.CDS.2450,group03298
Rhodoluna.genome.CDS.2291,group00339
Rhodoluna.genome.CDS.2290,group01138
Rhodoluna.genome.CDS.2293,group02819
Rhodoluna.genome.CDS.2292,group03805
Rhodoluna.genome.CDS.2295,group00876
Rhodoluna.genome.CDS.2294,group03827
Rhodoluna.genome.CDS.2297,group00546
Rhodoluna.genome.CDS.2296,group05283
Rhodoluna.genome.CDS.2299,group01982
Rhodoluna.genome.CDS.2298,group02956
Rhodoluna.genome.CDS.2589,group11549
Rhodoluna.genome.CDS.2588,group00738
Rhodoluna.genome.CDS.2585,group03381
Rhodoluna.genome.CDS.2587,group07148
Rhodoluna.genome.CDS.2586,group06655
Rhodoluna.genome.CDS.2581,group00920
Rhodoluna.genome.CDS.2580,group01137
Rhodoluna.genome.CDS.2583,group00922
Rhodoluna.genome.CDS.2582,group10207
Rhodoluna.genome.CDS.1019,group02690
Rhodoluna.genome.CDS.2459,group00609
Rhodoluna.genome.CDS.2458,group00229
Rhodoluna.genome.CDS.2457,group02127
Rhodoluna.genome.CDS.2108,group00535
Rhodoluna.genome.CDS.1908,group00508
Rhodoluna.genome.CDS.1909,group02946
Rhodoluna.genome.CDS.1900,group01516
Rhodoluna.genome.CDS.1901,group00105
Rhodoluna.genome.CDS.1902,group00365
Rhodoluna.genome.CDS.1903,group00230
Rhodoluna.genome.CDS.1904,group02373
Rhodoluna.genome.CDS.1905,group00292
Rhodoluna.genome.CDS.1906,group00124
Rhodoluna.genome.CDS.1907,group03694
TBepi3475.genome.CDS.1546,group12985
Rhodoluna.genome.CDS.1162,group06656
Rhodoluna.genome.CDS.1760,group04449
Rhodoluna.genome.CDS.1761,group00770
Rhodoluna.genome.CDS.911,group06901
Rhodoluna.genome.CDS.1763,group00113
Rhodoluna.genome.CDS.1764,group06685
Rhodoluna.genome.CDS.1765,group00017
Rhodoluna.genome.CDS.1766,group00374
Rhodoluna.genome.CDS.1767,group00734
Rhodoluna.genome.CDS.1768,group00596
Rhodoluna.genome.CDS.1769,group00579
Rhodoluna.genome.CDS.285,group06696
Rhodoluna.genome.CDS.284,group01487
Rhodoluna.genome.CDS.1375,group13785
Rhodoluna.genome.CDS.1379,group00463
Rhodoluna.genome.CDS.1378,group00517
Rhodoluna.genome.CDS.1571,group00735
Rhodoluna.genome.CDS.1570,group00104
Rhodoluna.genome.CDS.1573,group00623
Rhodoluna.genome.CDS.1572,group00343
Rhodoluna.genome.CDS.1575,group00736
Rhodoluna.genome.CDS.1574,group00799
Rhodoluna.genome.CDS.1577,group01822
Rhodoluna.genome.CDS.1576,group12041
Rhodoluna.genome.CDS.1579,group06358
Rhodoluna.genome.CDS.1578,group00233
Rhodoluna.genome.CDS.2068,group00425
Rhodoluna.genome.CDS.2069,group00394
Rhodoluna.genome.CDS.2066,group00306
Rhodoluna.genome.CDS.2067,group00202
Rhodoluna.genome.CDS.2064,group06029
Rhodoluna.genome.CDS.2065,group00284
Rhodoluna.genome.CDS.2062,group00331
Rhodoluna.genome.CDS.2063,group00351
Rhodoluna.genome.CDS.1485,group06719
Rhodoluna.genome.CDS.2669,group00434
Rhodoluna.genome.CDS.1487,group01396
Rhodoluna.genome.CDS.1486,group01508
Rhodoluna.genome.CDS.1481,group02261
Rhodoluna.genome.CDS.1480,group01991
Rhodoluna.genome.CDS.1483,group06720
Rhodoluna.genome.CDS.1482,group01386
Rhodoluna.genome.CDS.2660,group00064
Rhodoluna.genome.CDS.2661,group01671
Rhodoluna.genome.CDS.2662,group00474
Rhodoluna.genome.CDS.2663,group02088
Rhodoluna.genome.CDS.2664,group06643
Rhodoluna.genome.CDS.1488,group10359
Rhodoluna.genome.CDS.2666,group08712
Rhodoluna.genome.CDS.2667,group05186
Rhodoluna.genome.CDS.2112,group00320
Rhodoluna.genome.CDS.2113,group00206
Rhodoluna.genome.CDS.2442,group00105
Rhodoluna.genome.CDS.2111,group02701
Rhodoluna.genome.CDS.2444,group04207
Rhodoluna.genome.CDS.2445,group02253
Rhodoluna.genome.CDS.2446,group00024
Rhodoluna.genome.CDS.2447,group03816
Rhodoluna.genome.CDS.2448,group03376
Rhodoluna.genome.CDS.2449,group08400
Rhodoluna.genome.CDS.2118,group00387
Rhodoluna.genome.CDS.2119,group02281
Rhodoluna.genome.CDS.2282,group00346
Rhodoluna.genome.CDS.2283,group00345
Rhodoluna.genome.CDS.2280,group00658
Rhodoluna.genome.CDS.2281,group00347
Rhodoluna.genome.CDS.2286,group01084
Rhodoluna.genome.CDS.2284,group02550
Rhodoluna.genome.CDS.2285,group11557
Rhodoluna.genome.CDS.2288,group01050
Rhodoluna.genome.CDS.2289,group13198
Rhodoluna.genome.CDS.1399,group13628
Rhodoluna.genome.CDS.1398,group05970
Rhodoluna.genome.CDS.2598,group00560
Rhodoluna.genome.CDS.2599,group00762
Rhodoluna.genome.CDS.1391,group00681
Rhodoluna.genome.CDS.2597,group03105
Rhodoluna.genome.CDS.2594,group04592
Rhodoluna.genome.CDS.2595,group01840
Rhodoluna.genome.CDS.1395,group07930
Rhodoluna.genome.CDS.1394,group01079
Rhodoluna.genome.CDS.1397,group06726
Rhodoluna.genome.CDS.1396,group02583
Rhodoluna.genome.CDS.2303,group06000
Rhodoluna.genome.CDS.2301,group02697
Rhodoluna.genome.CDS.2300,group00608
Rhodoluna.genome.CDS.2307,group00234
Rhodoluna.genome.CDS.2306,group00135
Rhodoluna.genome.CDS.2305,group02958
Rhodoluna.genome.CDS.2656,group01077
Rhodoluna.genome.CDS.1979,group00146
Rhodoluna.genome.CDS.1978,group00065
Rhodoluna.genome.CDS.1975,group00066
Rhodoluna.genome.CDS.1974,group00147
Rhodoluna.genome.CDS.1977,group08483
Rhodoluna.genome.CDS.1976,group07301
Rhodoluna.genome.CDS.1971,group00067
Rhodoluna.genome.CDS.1970,group00996
Rhodoluna.genome.CDS.1973,group10680
Rhodoluna.genome.CDS.1972,group00111
Rhodoluna.genome.CDS.2308,group00305
Rhodoluna.genome.CDS.1801,group00012
Rhodoluna.genome.CDS.1800,group00395
Rhodoluna.genome.CDS.1803,group00472
Rhodoluna.genome.CDS.1802,group00453
Rhodoluna.genome.CDS.1805,group00249
Rhodoluna.genome.CDS.1804,group00674
Rhodoluna.genome.CDS.1807,group00218
Rhodoluna.genome.CDS.1806,group12706
Rhodoluna.genome.CDS.1809,group00477
Rhodoluna.genome.CDS.1808,group00606
Rhodoluna.genome.CDS.2193,group00421
Rhodoluna.genome.CDS.1715,group06687
Rhodoluna.genome.CDS.1714,group06688
Rhodoluna.genome.CDS.1717,group05283
Rhodoluna.genome.CDS.1716,group00951
Rhodoluna.genome.CDS.1711,group00435
Rhodoluna.genome.CDS.1710,group01307
Rhodoluna.genome.CDS.1713,group02042
Rhodoluna.genome.CDS.1712,group05191
Rhodoluna.genome.CDS.1719,group02949
Rhodoluna.genome.CDS.1718,group07381
Rhodoluna.genome.CDS.1629,group00510
Rhodoluna.genome.CDS.1621,group05702
Rhodoluna.genome.CDS.1620,group00978
Rhodoluna.genome.CDS.1623,group03542
Rhodoluna.genome.CDS.1622,group01780
Rhodoluna.genome.CDS.1625,group01777
Rhodoluna.genome.CDS.1624,group13751
Rhodoluna.genome.CDS.1627,group01173
Rhodoluna.genome.CDS.1626,group07736
Rhodoluna.genome.CDS.1363,group02685
Rhodoluna.genome.CDS.1562,group04227
Rhodoluna.genome.CDS.1563,group00476
Rhodoluna.genome.CDS.1560,group02936
Rhodoluna.genome.CDS.1561,group01462
Rhodoluna.genome.CDS.1566,group00952
Rhodoluna.genome.CDS.1567,group03971
Rhodoluna.genome.CDS.1564,group03576
Rhodoluna.genome.CDS.1565,group06602
Rhodoluna.genome.CDS.1568,group06603
Rhodoluna.genome.CDS.1569,group04070
Rhodoluna.genome.CDS.2053,group00677
Rhodoluna.genome.CDS.2052,group00277
Rhodoluna.genome.CDS.2723,group02947
Rhodoluna.genome.CDS.2050,group00047
Rhodoluna.genome.CDS.2057,group02593
Rhodoluna.genome.CDS.2724,group02676
Rhodoluna.genome.CDS.2055,group03099
Rhodoluna.genome.CDS.2054,group01241
Rhodoluna.genome.CDS.2729,group00280
Rhodoluna.genome.CDS.2728,group00409
Rhodoluna.genome.CDS.2059,group07896
Rhodoluna.genome.CDS.2058,group07896
Rhodoluna.genome.CDS.1496,group06708
Rhodoluna.genome.CDS.1497,group00977
Rhodoluna.genome.CDS.1494,group00452
Rhodoluna.genome.CDS.1495,group02415
Rhodoluna.genome.CDS.1492,group06712
Rhodoluna.genome.CDS.1493,group12203
Rhodoluna.genome.CDS.1490,group12266
Rhodoluna.genome.CDS.1491,group12260
Rhodoluna.genome.CDS.2615,group02541
Rhodoluna.genome.CDS.2614,group04389
Rhodoluna.genome.CDS.2617,group08622
Rhodoluna.genome.CDS.2616,group04389
Rhodoluna.genome.CDS.2611,group13619
Rhodoluna.genome.CDS.2610,group01384
Rhodoluna.genome.CDS.1498,group00927
Rhodoluna.genome.CDS.2612,group06652
Rhodoluna.genome.CDS.2127,group04816
Rhodoluna.genome.CDS.2126,group00364
Rhodoluna.genome.CDS.2125,group00083
Rhodoluna.genome.CDS.2124,group00291
Rhodoluna.genome.CDS.2123,group00491
Rhodoluna.genome.CDS.2122,group03970
Rhodoluna.genome.CDS.2433,group03273
Rhodoluna.genome.CDS.2432,group03275
Rhodoluna.genome.CDS.2439,group00836
Rhodoluna.genome.CDS.2438,group01593
Rhodoluna.genome.CDS.2129,group02121
Rhodoluna.genome.CDS.2128,group07830
Rhodoluna.genome.CDS.2156,group01515
Rhodoluna.genome.CDS.2405,group06058
Rhodoluna.genome.CDS.2154,group03282
Rhodoluna.genome.CDS.1388,group06727
Rhodoluna.genome.CDS.2407,group01312
Rhodoluna.genome.CDS.1382,group12441
Rhodoluna.genome.CDS.2400,group02457
Rhodoluna.genome.CDS.1380,group00521
Rhodoluna.genome.CDS.1381,group03366
Rhodoluna.genome.CDS.1386,group13668
Rhodoluna.genome.CDS.1387,group06729
Rhodoluna.genome.CDS.1384,group00003
Rhodoluna.genome.CDS.2401,group00925
Rhodoluna.genome.CDS.2150,group00568
Rhodoluna.genome.CDS.2549,group00282
Rhodoluna.genome.CDS.2548,group00725
Rhodoluna.genome.CDS.2541,group00495
Rhodoluna.genome.CDS.2540,group00656
Rhodoluna.genome.CDS.2543,group02561
Rhodoluna.genome.CDS.2542,group02285
Rhodoluna.genome.CDS.2545,group12857
Rhodoluna.genome.CDS.2544,group00325
Rhodoluna.genome.CDS.2547,group00342
Rhodoluna.genome.CDS.2546,group00289
Rhodoluna.genome.CDS.1030,group00575
Rhodoluna.genome.CDS.1968,group00163
Rhodoluna.genome.CDS.1969,group01461
Rhodoluna.genome.CDS.1966,group00592
Rhodoluna.genome.CDS.1967,group00545
Rhodoluna.genome.CDS.1964,group01027
Rhodoluna.genome.CDS.1965,group00116
Rhodoluna.genome.CDS.1962,group00806
Rhodoluna.genome.CDS.1963,group03514
Rhodoluna.genome.CDS.1960,group00649
Rhodoluna.genome.CDS.1961,group00646
Rhodoluna.genome.CDS.1812,group00426
Rhodoluna.genome.CDS.1813,group04408
Rhodoluna.genome.CDS.1810,group01211
Rhodoluna.genome.CDS.1811,group10386
Rhodoluna.genome.CDS.1816,group00254
Rhodoluna.genome.CDS.1817,group00081
Rhodoluna.genome.CDS.1814,group03100
Rhodoluna.genome.CDS.1815,group00094
Rhodoluna.genome.CDS.1818,group00191
Rhodoluna.genome.CDS.1819,group10223
Rhodoluna.genome.CDS.2474,group00502
Rhodoluna.genome.CDS.1706,group13631
Rhodoluna.genome.CDS.1707,group06689
Rhodoluna.genome.CDS.1704,group04749
Rhodoluna.genome.CDS.1705,group05626
Rhodoluna.genome.CDS.1702,group00788
Rhodoluna.genome.CDS.1703,group13796
Rhodoluna.genome.CDS.1700,group01666
Rhodoluna.genome.CDS.1701,group00010
Rhodoluna.genome.CDS.1708,group01307
Rhodoluna.genome.CDS.1709,group00720
Rhodoluna.genome.CDS.2272,group04092
Rhodoluna.genome.CDS.1638,group04094
Rhodoluna.genome.CDS.1639,group04080
Rhodoluna.genome.CDS.1632,group00434
Rhodoluna.genome.CDS.1633,group05592
Rhodoluna.genome.CDS.1630,group01268
Rhodoluna.genome.CDS.1631,group01974
Rhodoluna.genome.CDS.1636,group07375
Rhodoluna.genome.CDS.1637,group02179
Rhodoluna.genome.CDS.1634,group00539
Rhodoluna.genome.CDS.1635,group05294
Rhodoluna.genome.CDS.1557,group02704
Rhodoluna.genome.CDS.1556,group00340
Rhodoluna.genome.CDS.1555,group00036
Rhodoluna.genome.CDS.1554,group03577
Rhodoluna.genome.CDS.1553,group00791
Rhodoluna.genome.CDS.1552,group01394
Rhodoluna.genome.CDS.1551,group02377
Rhodoluna.genome.CDS.1550,group12574
Rhodoluna.genome.CDS.1559,group08293
Rhodoluna.genome.CDS.1558,group00441
Rhodoluna.genome.CDS.2110,group01446
Rhodoluna.genome.CDS.2044,group00794
Rhodoluna.genome.CDS.2733,group00802
Rhodoluna.genome.CDS.2046,group00638
Rhodoluna.genome.CDS.2047,group10155
Rhodoluna.genome.CDS.2736,group00087
Rhodoluna.genome.CDS.2041,group00003
Rhodoluna.genome.CDS.2042,group00000
Rhodoluna.genome.CDS.2043,group00496
Rhodoluna.genome.CDS.2738,group00511
Rhodoluna.genome.CDS.2739,group01312
Rhodoluna.genome.CDS.2049,group00571
Rhodoluna.genome.CDS.2608,group00942
Rhodoluna.genome.CDS.2609,group01126
Rhodoluna.genome.CDS.2606,group11393
Rhodoluna.genome.CDS.2607,group11393
Rhodoluna.genome.CDS.2604,group01202
Rhodoluna.genome.CDS.2605,group06653
Rhodoluna.genome.CDS.2602,group07168
Rhodoluna.genome.CDS.2603,group00806
Rhodoluna.genome.CDS.2601,group03284
Rhodoluna.genome.CDS.2426,group00456
Rhodoluna.genome.CDS.2427,group08676
Rhodoluna.genome.CDS.2424,group00027
Rhodoluna.genome.CDS.2425,group10447
Rhodoluna.genome.CDS.2422,group03454
Rhodoluna.genome.CDS.2423,group08213
Rhodoluna.genome.CDS.2420,group00225
Rhodoluna.genome.CDS.2421,group00240
Rhodoluna.genome.CDS.2428,group00373
Rhodoluna.genome.CDS.2429,group06662
Rhodoluna.genome.CDS.2138,group00599
Rhodoluna.genome.CDS.2139,group00261
Rhodoluna.genome.CDS.2130,group00413
Rhodoluna.genome.CDS.2131,group00414
Rhodoluna.genome.CDS.2132,group04034
Rhodoluna.genome.CDS.2133,group00200
Rhodoluna.genome.CDS.2134,group00719
Rhodoluna.genome.CDS.2135,group03906
Rhodoluna.genome.CDS.2136,group03283
Rhodoluna.genome.CDS.2137,group01343
Rhodoluna.genome.CDS.2558,group00594
Rhodoluna.genome.CDS.2559,group00595
Rhodoluna.genome.CDS.2552,group00454
Rhodoluna.genome.CDS.2553,group00523
Rhodoluna.genome.CDS.2550,group07114
Rhodoluna.genome.CDS.2551,group00360
Rhodoluna.genome.CDS.2556,group00618
Rhodoluna.genome.CDS.2557,group00610
Rhodoluna.genome.CDS.2554,group00580
Rhodoluna.genome.CDS.2555,group07649
Rhodoluna.genome.CDS.1953,group03286
Rhodoluna.genome.CDS.1952,group00513
Rhodoluna.genome.CDS.1951,group00168
Rhodoluna.genome.CDS.1950,group00078
Rhodoluna.genome.CDS.1957,group12328
Rhodoluna.genome.CDS.1956,group00401
Rhodoluna.genome.CDS.1955,group05180
Rhodoluna.genome.CDS.1954,group00368
Rhodoluna.genome.CDS.1959,group06327
Rhodoluna.genome.CDS.1958,group00644
Rhodoluna.genome.CDS.1827,group01181
Rhodoluna.genome.CDS.1826,group00717
Rhodoluna.genome.CDS.1825,group00089
Rhodoluna.genome.CDS.1824,group00438
Rhodoluna.genome.CDS.1823,group04409
Rhodoluna.genome.CDS.1822,group06684
Rhodoluna.genome.CDS.1821,group00431
Rhodoluna.genome.CDS.1820,group03101
