Attributes {
	id:kb|g.236059
	source:KBase
	gene_subsystem_hash:HASH(0x5371b978)
	source_id:kb|g.236059
	geneAliasHash:HASH(0x4d6fb008)
	scientific_name:GFM TBepimetabat3256
	domain:Bacteria
	genetic_code:11
	dna_size:1750691
	num_contigs:204
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/76/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236059.CDS.35	CDS		kb|g.236059	;	No annotated function	1	1075	+	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.36	CDS		kb|g.236059	;	No annotated function	1071	1623	+	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.37	CDS		kb|g.236059	;	No annotated function	1619	2600	+	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.38	CDS	Fumarylacetoacetate hydrolase family protein	kb|g.236059	none		2608	3478	+	TBepi.metabat.3256_1008339	Fumarylacetoacetate hydrolase family protein
kb|g.236059.CDS.39	CDS		kb|g.236059	;	No annotated function	3499	4426	+	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.40	CDS		kb|g.236059	;	No annotated function	5015	4496	-	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.41	CDS		kb|g.236059	;	No annotated function	5287	5011	-	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.42	CDS		kb|g.236059	;	No annotated function	5507	5372	-	TBepi.metabat.3256_1008339	
kb|g.236059.CDS.43	CDS		kb|g.236059	;	No annotated function	35	497	+	TBepi.metabat.3256_1010694	
kb|g.236059.CDS.44	CDS	Dihydroxy-acid dehydratase (EC 4.2.1.9)	kb|g.236059	none		576	2268	+	TBepi.metabat.3256_1010694	Dihydroxy-acid dehydratase (EC 4.2.1.9)
kb|g.236059.CDS.45	CDS		kb|g.236059	;	No annotated function	2377	2263	-	TBepi.metabat.3256_1010694	
kb|g.236059.CDS.46	CDS		kb|g.236059	;	No annotated function	2394	4185	+	TBepi.metabat.3256_1010694	
kb|g.236059.CDS.47	CDS		kb|g.236059	;	No annotated function	1513	1252	-	TBepi.metabat.3256_1006054	
kb|g.236059.CDS.48	CDS		kb|g.236059	;	No annotated function	1752	1521	-	TBepi.metabat.3256_1006054	
kb|g.236059.CDS.49	CDS	alkyl sulfatase (EC 3.1.6.-)	kb|g.236059	none		3438	1758	-	TBepi.metabat.3256_1006054	alkyl sulfatase (EC 3.1.6.-)
kb|g.236059.CDS.50	CDS		kb|g.236059	;	No annotated function	3947	3434	-	TBepi.metabat.3256_1006054	
kb|g.236059.CDS.51	CDS		kb|g.236059	;	No annotated function	4850	4007	-	TBepi.metabat.3256_1006054	
kb|g.236059.CDS.52	CDS		kb|g.236059	;	No annotated function	4906	6154	+	TBepi.metabat.3256_1006054	
kb|g.236059.CDS.53	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236059	none		563	1769	+	TBepi.metabat.3256_1011677	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236059.CDS.54	CDS	Dienelactone hydrolase family	kb|g.236059	none		2480	1775	-	TBepi.metabat.3256_1011677	Dienelactone hydrolase family
kb|g.236059.CDS.55	CDS		kb|g.236059	;	No annotated function	3236	2510	-	TBepi.metabat.3256_1011677	
kb|g.236059.CDS.56	CDS	FIG00820885: hypothetical protein	kb|g.236059	none		3903	3294	-	TBepi.metabat.3256_1011677	FIG00820885: hypothetical protein
kb|g.236059.CDS.57	CDS		kb|g.236059	;	No annotated function	4437	3942	-	TBepi.metabat.3256_1011677	
kb|g.236059.CDS.58	CDS	DNA topoisomerase I (EC 5.99.1.2)	kb|g.236059	none		215	857	+	TBepi.metabat.3256_1025658	DNA topoisomerase I (EC 5.99.1.2)
kb|g.236059.CDS.59	CDS	Thymidylate kinase (EC 2.7.4.9)	kb|g.236059	none		858	1464	+	TBepi.metabat.3256_1025658	Thymidylate kinase (EC 2.7.4.9)
kb|g.236059.CDS.60	CDS	DNA polymerase III delta prime subunit (EC 2.7.7.7)	kb|g.236059	none		1460	2534	+	TBepi.metabat.3256_1025658	DNA polymerase III delta prime subunit (EC 2.7.7.7)
kb|g.236059.CDS.61	CDS	UDP-glucose 4-epimerase (EC 5.1.3.2)	kb|g.236059	none		912	15	-	TBepi.metabat.3256_1008481	UDP-glucose 4-epimerase (EC 5.1.3.2)
kb|g.236059.CDS.62	CDS		kb|g.236059	;	No annotated function	2073	933	-	TBepi.metabat.3256_1008481	
kb|g.236059.CDS.63	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236059	none		2898	2082	-	TBepi.metabat.3256_1008481	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236059.CDS.64	CDS		kb|g.236059	;	No annotated function	4518	2967	-	TBepi.metabat.3256_1008481	
kb|g.236059.CDS.65	CDS	Lactyl (2) diphospho-(5')guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase	kb|g.236059	none		4581	5508	+	TBepi.metabat.3256_1008481	Lactyl (2) diphospho-(5')guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase
kb|g.236059.CDS.66	CDS		kb|g.236059	;	No annotated function	319	7	-	TBepi.metabat.3256_1005153	
kb|g.236059.CDS.67	CDS		kb|g.236059	;	No annotated function	414	1206	+	TBepi.metabat.3256_1005153	
kb|g.236059.CDS.68	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236059	none		1381	2149	+	TBepi.metabat.3256_1005153	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236059.CDS.69	CDS	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	kb|g.236059	none		3271	2140	-	TBepi.metabat.3256_1005153	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)
kb|g.236059.CDS.70	CDS	Naphthoate synthase (EC 4.1.3.36)	kb|g.236059	none		3291	4194	+	TBepi.metabat.3256_1005153	Naphthoate synthase (EC 4.1.3.36)
kb|g.236059.CDS.71	CDS	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	kb|g.236059	none		4211	5312	+	TBepi.metabat.3256_1005153	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)
kb|g.236059.CDS.72	CDS		kb|g.236059	;	No annotated function	5323	5629	+	TBepi.metabat.3256_1005153	
kb|g.236059.CDS.73	CDS	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	kb|g.236059	none		6419	5624	-	TBepi.metabat.3256_1005153	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)
kb|g.236059.CDS.74	CDS	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	kb|g.236059	none		6394	8107	+	TBepi.metabat.3256_1005153	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)
kb|g.236059.CDS.75	CDS		kb|g.236059	;	No annotated function	580	433	-	TBepi.metabat.3256_1008664	
kb|g.236059.CDS.76	CDS		kb|g.236059	;	No annotated function	1521	576	-	TBepi.metabat.3256_1008664	
kb|g.236059.CDS.77	CDS		kb|g.236059	;	No annotated function	1964	1517	-	TBepi.metabat.3256_1008664	
kb|g.236059.CDS.78	CDS		kb|g.236059	;	No annotated function	2868	1977	-	TBepi.metabat.3256_1008664	
kb|g.236059.CDS.79	CDS		kb|g.236059	;	No annotated function	4234	2860	-	TBepi.metabat.3256_1008664	
kb|g.236059.CDS.80	CDS		kb|g.236059	;	No annotated function	5640	4320	-	TBepi.metabat.3256_1008664	
kb|g.236059.CDS.81	CDS		kb|g.236059	;	No annotated function	8	1400	+	TBepi.metabat.3256_1006651	
kb|g.236059.CDS.82	CDS		kb|g.236059	;	No annotated function	1396	2158	+	TBepi.metabat.3256_1006651	
kb|g.236059.CDS.83	CDS	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	kb|g.236059	none		2154	2868	+	TBepi.metabat.3256_1006651	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)
kb|g.236059.CDS.84	CDS		kb|g.236059	;	No annotated function	4344	2835	-	TBepi.metabat.3256_1006651	
kb|g.236059.CDS.85	CDS	Enoyl-CoA hydratase (EC 4.2.1.17)	kb|g.236059	none		5228	4406	-	TBepi.metabat.3256_1006651	Enoyl-CoA hydratase (EC 4.2.1.17)
kb|g.236059.CDS.86	CDS		kb|g.236059	;	No annotated function	5534	6041	+	TBepi.metabat.3256_1006651	
kb|g.236059.CDS.87	CDS		kb|g.236059	;	No annotated function	5994	6492	+	TBepi.metabat.3256_1006651	
kb|g.236059.CDS.88	CDS		kb|g.236059	;	No annotated function	6622	6487	-	TBepi.metabat.3256_1006651	
kb|g.236059.CDS.89	CDS		kb|g.236059	;	No annotated function	677	206	-	TBepi.metabat.3256_1008673	
kb|g.236059.CDS.90	CDS	ATP synthase beta chain (EC 3.6.3.14)	kb|g.236059	none		2119	676	-	TBepi.metabat.3256_1008673	ATP synthase beta chain (EC 3.6.3.14)
kb|g.236059.CDS.91	CDS	ATP synthase gamma chain (EC 3.6.3.14)	kb|g.236059	none		3038	2123	-	TBepi.metabat.3256_1008673	ATP synthase gamma chain (EC 3.6.3.14)
kb|g.236059.CDS.92	CDS	ATP synthase alpha chain (EC 3.6.3.14)	kb|g.236059	none		4598	3080	-	TBepi.metabat.3256_1008673	ATP synthase alpha chain (EC 3.6.3.14)
kb|g.236059.CDS.93	CDS		kb|g.236059	;	No annotated function	5518	4597	-	TBepi.metabat.3256_1008673	
kb|g.236059.CDS.94	CDS		kb|g.236059	;	No annotated function	5760	5514	-	TBepi.metabat.3256_1008673	
kb|g.236059.CDS.95	CDS		kb|g.236059	;	No annotated function	9	222	+	TBepi.metabat.3256_1008591	
kb|g.236059.CDS.96	CDS	Putative amidotransferase similar to cobyric acid synthase	kb|g.236059	none		218	923	+	TBepi.metabat.3256_1008591	Putative amidotransferase similar to cobyric acid synthase
kb|g.236059.CDS.97	CDS	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	kb|g.236059	none		1656	918	-	TBepi.metabat.3256_1008591	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
kb|g.236059.CDS.98	CDS		kb|g.236059	;	No annotated function	2326	1684	-	TBepi.metabat.3256_1008591	
kb|g.236059.CDS.99	CDS		kb|g.236059	;	No annotated function	3492	2628	-	TBepi.metabat.3256_1008591	
kb|g.236059.CDS.100	CDS		kb|g.236059	;	No annotated function	3653	3518	-	TBepi.metabat.3256_1008591	
kb|g.236059.CDS.101	CDS		kb|g.236059	;	No annotated function	5234	3698	-	TBepi.metabat.3256_1008591	
kb|g.236059.CDS.102	CDS		kb|g.236059	;	No annotated function	5647	5233	-	TBepi.metabat.3256_1008591	
kb|g.236059.CDS.103	CDS	Cysteine desulfurase (EC 2.8.1.7)	kb|g.236059	none		1184	62	-	TBepi.metabat.3256_1021766	Cysteine desulfurase (EC 2.8.1.7)
kb|g.236059.CDS.104	CDS		kb|g.236059	;	No annotated function	1958	1202	-	TBepi.metabat.3256_1021766	
kb|g.236059.CDS.105	CDS		kb|g.236059	;	No annotated function	54	252	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.106	CDS		kb|g.236059	;	No annotated function	292	1489	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.107	CDS		kb|g.236059	;	No annotated function	1522	2092	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.108	CDS	parathion hydrolase	kb|g.236059	none		3074	2087	-	TBepi.metabat.3256_1000108	parathion hydrolase
kb|g.236059.CDS.109	CDS		kb|g.236059	;	No annotated function	3917	3125	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.110	CDS		kb|g.236059	;	No annotated function	3916	4078	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.111	CDS	Probable low-affinity inorganic phosphate transporter	kb|g.236059	none		4088	5228	+	TBepi.metabat.3256_1000108	Probable low-affinity inorganic phosphate transporter
kb|g.236059.CDS.112	CDS		kb|g.236059	;	No annotated function	5227	5485	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.113	CDS	NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster	kb|g.236059	none		6447	5499	-	TBepi.metabat.3256_1000108	NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster
kb|g.236059.CDS.114	CDS	Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster	kb|g.236059	none		8867	6443	-	TBepi.metabat.3256_1000108	Haloalkane dehalogenase-like protein;AMP-dependent synthetase/ligase in alkane synthesis cluster
kb|g.236059.CDS.115	CDS	3-oxoacyl-[ACP] synthase III in alkane synthesis cluster	kb|g.236059	none		9835	8872	-	TBepi.metabat.3256_1000108	3-oxoacyl-[ACP] synthase III in alkane synthesis cluster
kb|g.236059.CDS.116	CDS		kb|g.236059	;	No annotated function	10590	9954	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.117	CDS	Putative nucleoside-diphosphate-sugar epimerase	kb|g.236059	none		10775	12221	+	TBepi.metabat.3256_1000108	Putative nucleoside-diphosphate-sugar epimerase
kb|g.236059.CDS.118	CDS		kb|g.236059	;	No annotated function	12252	12681	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.119	CDS		kb|g.236059	;	No annotated function	13640	12659	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.120	CDS	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	kb|g.236059	none		15380	13673	-	TBepi.metabat.3256_1000108	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)
kb|g.236059.CDS.121	CDS	Leucyl-tRNA synthetase (EC 6.1.1.4)	kb|g.236059	none		15684	18156	+	TBepi.metabat.3256_1000108	Leucyl-tRNA synthetase (EC 6.1.1.4)
kb|g.236059.CDS.122	CDS		kb|g.236059	;	No annotated function	18156	18720	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.123	CDS		kb|g.236059	;	No annotated function	19600	18712	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.124	CDS		kb|g.236059	;	No annotated function	20698	19630	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.125	CDS	FIG000875: Thioredoxin domain-containing protein EC-YbbN	kb|g.236059	none		20744	21452	+	TBepi.metabat.3256_1000108	FIG000875: Thioredoxin domain-containing protein EC-YbbN
kb|g.236059.CDS.126	CDS		kb|g.236059	;	No annotated function	21454	22297	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.127	CDS		kb|g.236059	;	No annotated function	22286	23306	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.128	CDS		kb|g.236059	;	No annotated function	23365	23599	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.129	CDS	SSU ribosomal protein S20p	kb|g.236059	none		23924	23654	-	TBepi.metabat.3256_1000108	SSU ribosomal protein S20p
kb|g.236059.CDS.130	CDS	Translation elongation factor LepA	kb|g.236059	none		24044	25850	+	TBepi.metabat.3256_1000108	Translation elongation factor LepA
kb|g.236059.CDS.131	CDS	Heat-inducible transcription repressor HrcA	kb|g.236059	none		25909	26983	+	TBepi.metabat.3256_1000108	Heat-inducible transcription repressor HrcA
kb|g.236059.CDS.132	CDS	Chaperone protein DnaJ	kb|g.236059	none		26979	28098	+	TBepi.metabat.3256_1000108	Chaperone protein DnaJ
kb|g.236059.CDS.133	CDS	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	kb|g.236059	none		28094	28817	+	TBepi.metabat.3256_1000108	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
kb|g.236059.CDS.134	CDS		kb|g.236059	;	No annotated function	28859	29210	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.135	CDS	Phosphate starvation-inducible protein PhoH, predicted ATPase	kb|g.236059	none		29206	30211	+	TBepi.metabat.3256_1000108	Phosphate starvation-inducible protein PhoH, predicted ATPase
kb|g.236059.CDS.136	CDS	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	kb|g.236059	none		30207	30732	+	TBepi.metabat.3256_1000108	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly
kb|g.236059.CDS.137	CDS	Magnesium and cobalt efflux protein CorC	kb|g.236059	none		30731	32009	+	TBepi.metabat.3256_1000108	Magnesium and cobalt efflux protein CorC
kb|g.236059.CDS.138	CDS	GTP-binding protein Era	kb|g.236059	none		31995	32916	+	TBepi.metabat.3256_1000108	GTP-binding protein Era
kb|g.236059.CDS.139	CDS	DinG family ATP-dependent helicase YoaA	kb|g.236059	none		34867	32911	-	TBepi.metabat.3256_1000108	DinG family ATP-dependent helicase YoaA
kb|g.236059.CDS.140	CDS	Undecaprenyl diphosphate synthase (EC 2.5.1.31)	kb|g.236059	none		34972	35707	+	TBepi.metabat.3256_1000108	Undecaprenyl diphosphate synthase (EC 2.5.1.31)
kb|g.236059.CDS.141	CDS		kb|g.236059	;	No annotated function	35709	35943	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.142	CDS	DNA recombination and repair protein RecO	kb|g.236059	none		35939	36665	+	TBepi.metabat.3256_1000108	DNA recombination and repair protein RecO
kb|g.236059.CDS.143	CDS	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	kb|g.236059	none		36666	38061	+	TBepi.metabat.3256_1000108	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)
kb|g.236059.CDS.144	CDS		kb|g.236059	;	No annotated function	38312	38120	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.145	CDS	Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	kb|g.236059	none		38349	39468	+	TBepi.metabat.3256_1000108	Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type
kb|g.236059.CDS.146	CDS	Glycyl-tRNA synthetase (EC 6.1.1.14)	kb|g.236059	none		39470	40805	+	TBepi.metabat.3256_1000108	Glycyl-tRNA synthetase (EC 6.1.1.14)
kb|g.236059.CDS.147	CDS		kb|g.236059	;	No annotated function	40956	40794	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.148	CDS	ABC-type multidrug transport system, permease component	kb|g.236059	none		41871	41058	-	TBepi.metabat.3256_1000108	ABC-type multidrug transport system, permease component
kb|g.236059.CDS.149	CDS		kb|g.236059	;	No annotated function	42881	41867	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.150	CDS	DNA primase (EC 2.7.7.-)	kb|g.236059	none		42939	44802	+	TBepi.metabat.3256_1000108	DNA primase (EC 2.7.7.-)
kb|g.236059.CDS.151	CDS	RNA polymerase sigma factor RpoD	kb|g.236059	none		44828	46046	+	TBepi.metabat.3256_1000108	RNA polymerase sigma factor RpoD
kb|g.236059.CDS.152	CDS		kb|g.236059	;	No annotated function	46730	46250	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.153	CDS		kb|g.236059	;	No annotated function	46936	46765	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.154	CDS		kb|g.236059	;	No annotated function	46921	47152	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.155	CDS		kb|g.236059	;	No annotated function	47832	47274	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.156	CDS		kb|g.236059	;	No annotated function	48295	47905	-	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.157	CDS		kb|g.236059	;	No annotated function	48344	49169	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.158	CDS		kb|g.236059	;	No annotated function	49194	50562	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.159	CDS	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	kb|g.236059	none		52381	50590	-	TBepi.metabat.3256_1000108	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)
kb|g.236059.CDS.160	CDS	Thiamine-monophosphate kinase (EC 2.7.4.16)	kb|g.236059	none		52486	53386	+	TBepi.metabat.3256_1000108	Thiamine-monophosphate kinase (EC 2.7.4.16)
kb|g.236059.CDS.161	CDS		kb|g.236059	;	No annotated function	53449	53680	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.162	CDS	Dihydroxyacetone kinase family protein	kb|g.236059	none		53744	55349	+	TBepi.metabat.3256_1000108	Dihydroxyacetone kinase family protein
kb|g.236059.CDS.163	CDS	ATP-dependent DNA helicase RecG (EC 3.6.1.-)	kb|g.236059	none		55345	57553	+	TBepi.metabat.3256_1000108	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
kb|g.236059.CDS.164	CDS		kb|g.236059	;	No annotated function	57654	58104	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.165	CDS	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	kb|g.236059	none		58100	58589	+	TBepi.metabat.3256_1000108	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
kb|g.236059.CDS.166	CDS		kb|g.236059	;	No annotated function	58585	59242	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.167	CDS		kb|g.236059	;	No annotated function	59244	59781	+	TBepi.metabat.3256_1000108	
kb|g.236059.CDS.168	CDS		kb|g.236059	;	No annotated function	618	3	-	TBepi.metabat.3256_1015178	
kb|g.236059.CDS.169	CDS		kb|g.236059	;	No annotated function	664	1945	+	TBepi.metabat.3256_1015178	
kb|g.236059.CDS.170	CDS		kb|g.236059	;	No annotated function	2221	2017	-	TBepi.metabat.3256_1015178	
kb|g.236059.CDS.171	CDS		kb|g.236059	;	No annotated function	3421	2299	-	TBepi.metabat.3256_1015178	
kb|g.236059.CDS.172	CDS	putative cytochrome P450 hydroxylase	kb|g.236059	none		3832	3475	-	TBepi.metabat.3256_1015178	putative cytochrome P450 hydroxylase
kb|g.236059.CDS.173	CDS		kb|g.236059	;	No annotated function	115	574	+	TBepi.metabat.3256_1021394	
