AAA027M14.genome.CDS.1136,group00380
AAA027M14.genome.CDS.1382,group00034
AAA027M14.genome.CDS.1383,group00947
AAA027M14.genome.CDS.1065,group08400
AAA027M14.genome.CDS.1064,group02374
AAA027M14.genome.CDS.1067,group00496
AAA027M14.genome.CDS.1066,group01922
AAA027M14.genome.CDS.1388,group00177
AAA027M14.genome.CDS.1060,group00120
AAA027M14.genome.CDS.1063,group03575
AAA027M14.genome.CDS.1062,group00554
AAA027M14.genome.CDS.1220,group00052
AAA027M14.genome.CDS.1269,group01242
AAA027M14.genome.CDS.1541,group03241
AAA027M14.genome.CDS.1167,group00599
AAA027M14.genome.CDS.1205,group00565
AAA027M14.genome.CDS.1204,group00504
AAA027M14.genome.CDS.1368,group00463
AAA027M14.genome.CDS.1369,group01390
AAA027M14.genome.CDS.1201,group01485
AAA027M14.genome.CDS.1200,group03239
AAA027M14.genome.CDS.1203,group00043
AAA027M14.genome.CDS.1202,group00261
AAA027M14.genome.CDS.1362,group13608
AAA027M14.genome.CDS.1363,group00733
AAA027M14.genome.CDS.1360,group04914
AAA027M14.genome.CDS.1361,group00491
AAA027M14.genome.CDS.1209,group05882
AAA027M14.genome.CDS.1208,group00009
AAA027M14.genome.CDS.1364,group00469
AAA027M14.genome.CDS.1365,group00426
AAA027M14.genome.CDS.1663,group05871
AAA027M14.genome.CDS.1662,group08000
AAA027M14.genome.CDS.1661,group09440
AAA027M14.genome.CDS.1660,group00196
AAA027M14.genome.CDS.1666,group00313
AAA027M14.genome.CDS.1665,group00020
AAA027M14.genome.CDS.983,group00013
AAA027M14.genome.CDS.925,group00548
AAA027M14.genome.CDS.1139,group00507
AAA027M14.genome.CDS.1261,group06029
AAA027M14.genome.CDS.986,group00487
AAA027M14.genome.CDS.750,group06993
AAA027M14.genome.CDS.755,group09064
AAA027M14.genome.CDS.1108,group00892
AAA027M14.genome.CDS.946,group00890
AAA027M14.genome.CDS.1445,group00252
AAA027M14.genome.CDS.985,group00047
AAA027M14.genome.CDS.1406,group00284
AAA027M14.genome.CDS.131,group00449
AAA027M14.genome.CDS.1519,group11606
AAA027M14.genome.CDS.1518,group01059
AAA027M14.genome.CDS.1511,group00835
AAA027M14.genome.CDS.1510,group07007
AAA027M14.genome.CDS.1513,group06573
AAA027M14.genome.CDS.1512,group00741
AAA027M14.genome.CDS.1515,group00731
AAA027M14.genome.CDS.1514,group05899
AAA027M14.genome.CDS.1517,group09251
AAA027M14.genome.CDS.1516,group01006
AAA027M14.genome.CDS.1216,group00956
AAA027M14.genome.CDS.1105,group00253
AAA027M14.genome.CDS.1568,group01389
AAA027M14.genome.CDS.1569,group08077
AAA027M14.genome.CDS.1444,group00366
AAA027M14.genome.CDS.1600,group11602
AAA027M14.genome.CDS.1564,group04113
AAA027M14.genome.CDS.1565,group00695
AAA027M14.genome.CDS.1566,group02372
AAA027M14.genome.CDS.1567,group05859
AAA027M14.genome.CDS.1560,group08416
AAA027M14.genome.CDS.1561,group00000
AAA027M14.genome.CDS.1562,group00173
AAA027M14.genome.CDS.1563,group00908
AAA027M14.genome.CDS.1645,group00784
AAA027M14.genome.CDS.1602,group02588
AAA027M14.genome.CDS.1100,group00254
AAA027M14.genome.CDS.1644,group00210
AAA027M14.genome.CDS.1212,group02686
AAA027M14.genome.CDS.826,group07518
AAA027M14.genome.CDS.1647,group00580
AAA027M14.genome.CDS.1604,group00383
AAA027M14.genome.CDS.1359,group13091
AAA027M14.genome.CDS.965,group00053
AAA027M14.genome.CDS.1317,group00324
AAA027M14.genome.CDS.1659,group00291
AAA027M14.genome.CDS.1316,group00701
AAA027M14.genome.CDS.1357,group00687
AAA027M14.genome.CDS.1315,group00680
AAA027M14.genome.CDS.1608,group00552
AAA027M14.genome.CDS.574,group00382
AAA027M14.genome.CDS.1442,group00413
AAA027M14.genome.CDS.1351,group01578
AAA027M14.genome.CDS.1350,group00418
AAA027M14.genome.CDS.931,group00340
AAA027M14.genome.CDS.1457,group12997
AAA027M14.genome.CDS.930,group08213
AAA027M14.genome.CDS.1326,group07915
AAA027M14.genome.CDS.969,group05119
AAA027M14.genome.CDS.829,group12411
AAA027M14.genome.CDS.828,group01925
AAA027M14.genome.CDS.980,group00614
AAA027M14.genome.CDS.981,group00361
AAA027M14.genome.CDS.1329,group00072
AAA027M14.genome.CDS.987,group00679
AAA027M14.genome.CDS.984,group08158
AAA027M14.genome.CDS.1109,group03812
AAA027M14.genome.CDS.1106,group00588
AAA027M14.genome.CDS.1107,group02894
AAA027M14.genome.CDS.1104,group05272
AAA027M14.genome.CDS.989,group04417
AAA027M14.genome.CDS.825,group01659
AAA027M14.genome.CDS.1103,group10155
AAA027M14.genome.CDS.827,group02836
AAA027M14.genome.CDS.1101,group00080
AAA027M14.genome.CDS.1320,group00711
AAA027M14.genome.CDS.1321,group00768
AAA027M14.genome.CDS.968,group00061
AAA027M14.genome.CDS.1327,group00847
AAA027M14.genome.CDS.1324,group04131
AAA027M14.genome.CDS.1325,group01374
AAA027M14.genome.CDS.1322,group00963
AAA027M14.genome.CDS.1323,group10212
AAA027M14.genome.CDS.1089,group05490
AAA027M14.genome.CDS.1088,group04205
AAA027M14.genome.CDS.1087,group05868
AAA027M14.genome.CDS.1086,group04193
AAA027M14.genome.CDS.1085,group02339
AAA027M14.genome.CDS.1084,group05153
AAA027M14.genome.CDS.1083,group11925
AAA027M14.genome.CDS.1082,group05488
AAA027M14.genome.CDS.966,group00083
AAA027M14.genome.CDS.967,group00265
AAA027M14.genome.CDS.1032,group00700
AAA027M14.genome.CDS.1033,group00017
AAA027M14.genome.CDS.1030,group00924
AAA027M14.genome.CDS.963,group04275
AAA027M14.genome.CDS.1036,group02337
AAA027M14.genome.CDS.1428,group00208
AAA027M14.genome.CDS.1034,group00744
AAA027M14.genome.CDS.1035,group00042
AAA027M14.genome.CDS.915,group00232
AAA027M14.genome.CDS.1424,group05887
AAA027M14.genome.CDS.917,group00167
AAA027M14.genome.CDS.1039,group08983
AAA027M14.genome.CDS.1421,group08176
AAA027M14.genome.CDS.910,group00224
AAA027M14.genome.CDS.1423,group06718
AAA027M14.genome.CDS.1422,group07304
AAA027M14.genome.CDS.1081,group13732
AAA027M14.genome.CDS.654,group05888
AAA027M14.genome.CDS.1080,group07897
AAA027M14.genome.CDS.1555,group00642
AAA027M14.genome.CDS.1554,group05891
AAA027M14.genome.CDS.1557,group05890
AAA027M14.genome.CDS.1556,group12407
AAA027M14.genome.CDS.1551,group05893
AAA027M14.genome.CDS.1550,group12412
AAA027M14.genome.CDS.1553,group04207
AAA027M14.genome.CDS.1552,group07127
AAA027M14.genome.CDS.1252,group00181
AAA027M14.genome.CDS.1253,group04581
AAA027M14.genome.CDS.1250,group00852
AAA027M14.genome.CDS.1251,group02945
AAA027M14.genome.CDS.1559,group02767
AAA027M14.genome.CDS.1558,group08503
AAA027M14.genome.CDS.1254,group00914
AAA027M14.genome.CDS.1037,group12069
AAA027M14.genome.CDS.1638,group12857
AAA027M14.genome.CDS.1639,group12857
AAA027M14.genome.CDS.1460,group00810
AAA027M14.genome.CDS.1630,group00342
AAA027M14.genome.CDS.1631,group00004
AAA027M14.genome.CDS.1632,group00016
AAA027M14.genome.CDS.1633,group00985
AAA027M14.genome.CDS.1634,group01013
AAA027M14.genome.CDS.1635,group01643
AAA027M14.genome.CDS.1636,group04410
AAA027M14.genome.CDS.1637,group00289
AAA027M14.genome.CDS.1425,group00274
AAA027M14.genome.CDS.952,group00317
AAA027M14.genome.CDS.914,group11370
AAA027M14.genome.CDS.1465,group05886
AAA027M14.genome.CDS.1038,group00746
AAA027M14.genome.CDS.954,group06264
AAA027M14.genome.CDS.1426,group02221
AAA027M14.genome.CDS.957,group00387
AAA027M14.genome.CDS.268,group05867
AAA027M14.genome.CDS.911,group05283
AAA027M14.genome.CDS.1420,group00135
AAA027M14.genome.CDS.959,group00137
AAA027M14.genome.CDS.913,group00964
AAA027M14.genome.CDS.958,group00348
AAA027M14.genome.CDS.912,group00327
AAA027M14.genome.CDS.1414,group01264
AAA027M14.genome.CDS.1143,group00992
AAA027M14.genome.CDS.1140,group00506
AAA027M14.genome.CDS.1448,group00524
AAA027M14.genome.CDS.1417,group00107
AAA027M14.genome.CDS.1146,group04115
AAA027M14.genome.CDS.1337,group00942
AAA027M14.genome.CDS.1411,group00362
AAA027M14.genome.CDS.1144,group00119
AAA027M14.genome.CDS.1187,group00346
AAA027M14.genome.CDS.1145,group03798
AAA027M14.genome.CDS.865,group06998
AAA027M14.genome.CDS.864,group00948
AAA027M14.genome.CDS.867,group12974
AAA027M14.genome.CDS.866,group01045
AAA027M14.genome.CDS.861,group00460
AAA027M14.genome.CDS.860,group04798
AAA027M14.genome.CDS.863,group05075
AAA027M14.genome.CDS.862,group00440
AAA027M14.genome.CDS.869,group00732
AAA027M14.genome.CDS.1071,group00816
AAA027M14.genome.CDS.979,group00014
AAA027M14.genome.CDS.1149,group00090
AAA027M14.genome.CDS.1181,group03355
AAA027M14.genome.CDS.616,group00803
AAA027M14.genome.CDS.924,group00570
AAA027M14.genome.CDS.1473,group00395
AAA027M14.genome.CDS.1470,group12593
AAA027M14.genome.CDS.927,group00636
AAA027M14.genome.CDS.1476,group05889
AAA027M14.genome.CDS.921,group00621
AAA027M14.genome.CDS.922,group00236
AAA027M14.genome.CDS.1475,group00786
AAA027M14.genome.CDS.883,group00927
AAA027M14.genome.CDS.882,group01020
AAA027M14.genome.CDS.1478,group05495
AAA027M14.genome.CDS.880,group00501
AAA027M14.genome.CDS.887,group03988
AAA027M14.genome.CDS.929,group00011
AAA027M14.genome.CDS.978,group00474
AAA027M14.genome.CDS.884,group00975
AAA027M14.genome.CDS.1177,group08563
AAA027M14.genome.CDS.1176,group08279
AAA027M14.genome.CDS.1175,group02005
AAA027M14.genome.CDS.1174,group12962
AAA027M14.genome.CDS.1173,group00521
AAA027M14.genome.CDS.1172,group03268
AAA027M14.genome.CDS.1171,group08420
AAA027M14.genome.CDS.1170,group01042
AAA027M14.genome.CDS.1179,group00551
AAA027M14.genome.CDS.1178,group09831
AAA027M14.genome.CDS.1079,group00431
AAA027M14.genome.CDS.1076,group00038
AAA027M14.genome.CDS.1077,group01239
AAA027M14.genome.CDS.1074,group01074
AAA027M14.genome.CDS.1075,group07515
AAA027M14.genome.CDS.1072,group05486
AAA027M14.genome.CDS.1073,group00974
AAA027M14.genome.CDS.1070,group00950
AAA027M14.genome.CDS.1381,group00089
AAA027M14.genome.CDS.1385,group00074
AAA027M14.genome.CDS.1601,group00530
AAA027M14.genome.CDS.1217,group05294
AAA027M14.genome.CDS.1603,group01484
AAA027M14.genome.CDS.1215,group05491
AAA027M14.genome.CDS.1605,group00726
AAA027M14.genome.CDS.1213,group05880
AAA027M14.genome.CDS.1607,group01172
AAA027M14.genome.CDS.1358,group04206
AAA027M14.genome.CDS.1609,group00037
AAA027M14.genome.CDS.1356,group08678
AAA027M14.genome.CDS.1355,group00536
AAA027M14.genome.CDS.1354,group00737
AAA027M14.genome.CDS.1353,group00415
AAA027M14.genome.CDS.1352,group00686
AAA027M14.genome.CDS.1218,group01003
AAA027M14.genome.CDS.1219,group00597
AAA027M14.genome.CDS.1061,group00946
AAA027M14.genome.CDS.1258,group01012
AAA027M14.genome.CDS.1389,group00568
AAA027M14.genome.CDS.1259,group00721
AAA027M14.genome.CDS.1289,group00470
AAA027M14.genome.CDS.1288,group00532
AAA027M14.genome.CDS.1285,group00534
AAA027M14.genome.CDS.1284,group00535
AAA027M14.genome.CDS.1287,group00533
AAA027M14.genome.CDS.1286,group00307
AAA027M14.genome.CDS.1281,group00320
AAA027M14.genome.CDS.1280,group00205
AAA027M14.genome.CDS.1283,group00186
AAA027M14.genome.CDS.1282,group04105
AAA027M14.genome.CDS.1508,group00500
AAA027M14.genome.CDS.1509,group01103
AAA027M14.genome.CDS.1502,group00195
AAA027M14.genome.CDS.1503,group00165
AAA027M14.genome.CDS.1500,group00168
AAA027M14.genome.CDS.1501,group00070
AAA027M14.genome.CDS.1506,group00211
AAA027M14.genome.CDS.1507,group00505
AAA027M14.genome.CDS.1504,group00075
AAA027M14.genome.CDS.1505,group00182
AAA027M14.genome.CDS.1591,group02122
AAA027M14.genome.CDS.1590,group01534
AAA027M14.genome.CDS.1593,group01252
AAA027M14.genome.CDS.1592,group05861
AAA027M14.genome.CDS.1595,group00163
AAA027M14.genome.CDS.1594,group05860
AAA027M14.genome.CDS.1597,group05294
AAA027M14.genome.CDS.1596,group08226
AAA027M14.genome.CDS.1599,group13051
AAA027M14.genome.CDS.1598,group01124
AAA027M14.genome.CDS.1257,group00752
AAA027M14.genome.CDS.926,group00056
AAA027M14.genome.CDS.1050,group00351
AAA027M14.genome.CDS.490,group00563
AAA027M14.genome.CDS.1051,group00303
AAA027M14.genome.CDS.1102,group00997
AAA027M14.genome.CDS.693,group06963
AAA027M14.genome.CDS.1111,group10533
AAA027M14.genome.CDS.1207,group04369
AAA027M14.genome.CDS.1110,group09662
AAA027M14.genome.CDS.1481,group00134
AAA027M14.genome.CDS.1439,group00893
AAA027M14.genome.CDS.919,group10680
AAA027M14.genome.CDS.193,group00581
AAA027M14.genome.CDS.192,group00502
AAA027M14.genome.CDS.964,group00349
AAA027M14.genome.CDS.1339,group12774
AAA027M14.genome.CDS.1256,group07589
AAA027M14.genome.CDS.1069,group01004
AAA027M14.genome.CDS.1125,group09627
AAA027M14.genome.CDS.1366,group02373
AAA027M14.genome.CDS.1367,group00520
AAA027M14.genome.CDS.995,group00751
AAA027M14.genome.CDS.994,group03346
AAA027M14.genome.CDS.1131,group06327
AAA027M14.genome.CDS.996,group00497
AAA027M14.genome.CDS.1137,group03536
AAA027M14.genome.CDS.990,group00215
AAA027M14.genome.CDS.1135,group00272
AAA027M14.genome.CDS.992,group09556
AAA027M14.genome.CDS.854,group05402
AAA027M14.genome.CDS.855,group00761
AAA027M14.genome.CDS.856,group01149
AAA027M14.genome.CDS.1138,group04408
AAA027M14.genome.CDS.850,group00827
AAA027M14.genome.CDS.851,group00916
AAA027M14.genome.CDS.999,group00750
AAA027M14.genome.CDS.853,group00806
AAA027M14.genome.CDS.849,group07583
AAA027M14.genome.CDS.976,group00493
AAA027M14.genome.CDS.848,group04321
AAA027M14.genome.CDS.1606,group00512
AAA027M14.genome.CDS.1090,group00926
AAA027M14.genome.CDS.1091,group01812
AAA027M14.genome.CDS.1092,group00144
AAA027M14.genome.CDS.1093,group00539
AAA027M14.genome.CDS.1094,group00814
AAA027M14.genome.CDS.1095,group10207
AAA027M14.genome.CDS.1096,group01245
AAA027M14.genome.CDS.1097,group00759
AAA027M14.genome.CDS.1483,group00160
AAA027M14.genome.CDS.1482,group12777
AAA027M14.genome.CDS.971,group00207
AAA027M14.genome.CDS.970,group00656
AAA027M14.genome.CDS.1487,group00437
AAA027M14.genome.CDS.1486,group00245
AAA027M14.genome.CDS.975,group00007
AAA027M14.genome.CDS.974,group10386
AAA027M14.genome.CDS.1007,group00541
AAA027M14.genome.CDS.1335,group00384
AAA027M14.genome.CDS.1005,group00049
AAA027M14.genome.CDS.1004,group00110
AAA027M14.genome.CDS.1003,group07708
AAA027M14.genome.CDS.1002,group00655
AAA027M14.genome.CDS.1438,group00446
AAA027M14.genome.CDS.1000,group07485
AAA027M14.genome.CDS.1436,group00101
AAA027M14.genome.CDS.1437,group13582
AAA027M14.genome.CDS.1434,group00084
AAA027M14.genome.CDS.1435,group00063
AAA027M14.genome.CDS.1432,group00127
AAA027M14.genome.CDS.1433,group00155
AAA027M14.genome.CDS.1009,group00662
AAA027M14.genome.CDS.1129,group08086
AAA027M14.genome.CDS.1336,group13628
AAA027M14.genome.CDS.1331,group01809
AAA027M14.genome.CDS.991,group00054
AAA027M14.genome.CDS.1330,group00987
AAA027M14.genome.CDS.1621,group00024
AAA027M14.genome.CDS.1484,group04159
AAA027M14.genome.CDS.1332,group06006
AAA027M14.genome.CDS.1546,group05894
AAA027M14.genome.CDS.1547,group05205
AAA027M14.genome.CDS.1544,group01992
AAA027M14.genome.CDS.1545,group05439
AAA027M14.genome.CDS.1542,group07943
AAA027M14.genome.CDS.1543,group03998
AAA027M14.genome.CDS.1540,group02357
AAA027M14.genome.CDS.1268,group02773
AAA027M14.genome.CDS.1267,group01535
AAA027M14.genome.CDS.1266,group10910
AAA027M14.genome.CDS.1265,group00777
AAA027M14.genome.CDS.1264,group00889
AAA027M14.genome.CDS.1263,group01051
AAA027M14.genome.CDS.1262,group00390
AAA027M14.genome.CDS.1548,group05494
AAA027M14.genome.CDS.1549,group08187
AAA027M14.genome.CDS.1319,group01235
AAA027M14.genome.CDS.1649,group00988
AAA027M14.genome.CDS.1648,group00752
AAA027M14.genome.CDS.1313,group07168
AAA027M14.genome.CDS.1312,group00391
AAA027M14.genome.CDS.1311,group05883
AAA027M14.genome.CDS.1646,group00651
AAA027M14.genome.CDS.1641,group00843
AAA027M14.genome.CDS.1640,group00672
AAA027M14.genome.CDS.1643,group00278
AAA027M14.genome.CDS.1642,group00630
AAA027M14.genome.CDS.1458,group00722
AAA027M14.genome.CDS.251,group11516
AAA027M14.genome.CDS.1459,group00832
AAA027M14.genome.CDS.1430,group00095
AAA027M14.genome.CDS.908,group00984
AAA027M14.genome.CDS.909,group01382
AAA027M14.genome.CDS.928,group12705
AAA027M14.genome.CDS.1431,group10360
AAA027M14.genome.CDS.1029,group01714
AAA027M14.genome.CDS.916,group00562
AAA027M14.genome.CDS.1028,group00931
AAA027M14.genome.CDS.858,group00302
AAA027M14.genome.CDS.900,group08523
AAA027M14.genome.CDS.1453,group00308
AAA027M14.genome.CDS.1454,group00719
AAA027M14.genome.CDS.907,group01123
AAA027M14.genome.CDS.1152,group00148
AAA027M14.genome.CDS.1456,group00765
AAA027M14.genome.CDS.947,group01769
AAA027M14.genome.CDS.859,group00436
AAA027M14.genome.CDS.512,group05497
AAA027M14.genome.CDS.1496,group13639
AAA027M14.genome.CDS.945,group00736
AAA027M14.genome.CDS.881,group09128
AAA027M14.genome.CDS.942,group00343
AAA027M14.genome.CDS.1491,group00523
AAA027M14.genome.CDS.940,group00477
AAA027M14.genome.CDS.941,group00735
AAA027M14.genome.CDS.1403,group00365
AAA027M14.genome.CDS.1153,group00416
AAA027M14.genome.CDS.1195,group08483
AAA027M14.genome.CDS.1194,group08655
AAA027M14.genome.CDS.935,group00973
AAA027M14.genome.CDS.934,group00983
AAA027M14.genome.CDS.933,group00399
AAA027M14.genome.CDS.1190,group02211
AAA027M14.genome.CDS.1441,group00297
AAA027M14.genome.CDS.1440,group00227
AAA027M14.genome.CDS.1155,group00096
AAA027M14.genome.CDS.1199,group00859
AAA027M14.genome.CDS.1198,group00933
AAA027M14.genome.CDS.939,group00704
AAA027M14.genome.CDS.938,group00811
AAA027M14.genome.CDS.937,group00705
AAA027M14.genome.CDS.1370,group06372
AAA027M14.genome.CDS.1446,group00376
AAA027M14.genome.CDS.1249,group07309
AAA027M14.genome.CDS.1156,group00175
AAA027M14.genome.CDS.1197,group01027
AAA027M14.genome.CDS.1043,group00199
AAA027M14.genome.CDS.1042,group00571
AAA027M14.genome.CDS.1041,group00009
AAA027M14.genome.CDS.1040,group00952
AAA027M14.genome.CDS.1047,group01023
AAA027M14.genome.CDS.1046,group02795
AAA027M14.genome.CDS.1045,group00022
AAA027M14.genome.CDS.1044,group00707
AAA027M14.genome.CDS.1160,group00360
AAA027M14.genome.CDS.1443,group00296
AAA027M14.genome.CDS.1049,group11566
AAA027M14.genome.CDS.1163,group01054
AAA027M14.genome.CDS.1164,group07301
AAA027M14.genome.CDS.1165,group01230
AAA027M14.genome.CDS.1166,group00579
AAA027M14.genome.CDS.932,group05919
AAA027M14.genome.CDS.886,group00968
AAA027M14.genome.CDS.889,group12543
AAA027M14.genome.CDS.1191,group12822
AAA027M14.genome.CDS.1193,group13199
AAA027M14.genome.CDS.998,group03242
AAA027M14.genome.CDS.1192,group01053
AAA027M14.genome.CDS.1612,group10223
AAA027M14.genome.CDS.1613,group01083
AAA027M14.genome.CDS.1610,group01733
AAA027M14.genome.CDS.1343,group01492
AAA027M14.genome.CDS.1344,group04166
AAA027M14.genome.CDS.1345,group03954
AAA027M14.genome.CDS.1346,group05884
AAA027M14.genome.CDS.1347,group04032
AAA027M14.genome.CDS.1348,group06547
AAA027M14.genome.CDS.1349,group00776
AAA027M14.genome.CDS.1618,group00221
AAA027M14.genome.CDS.1619,group03110
AAA027M14.genome.CDS.1018,group00032
AAA027M14.genome.CDS.1390,group00281
AAA027M14.genome.CDS.1449,group00966
AAA027M14.genome.CDS.1298,group07142
AAA027M14.genome.CDS.1299,group00377
AAA027M14.genome.CDS.1296,group08442
AAA027M14.genome.CDS.1297,group00458
AAA027M14.genome.CDS.1294,group00902
AAA027M14.genome.CDS.1295,group01355
AAA027M14.genome.CDS.1292,group00241
AAA027M14.genome.CDS.1293,group00321
AAA027M14.genome.CDS.1290,group08653
AAA027M14.genome.CDS.1291,group00030
AAA027M14.genome.CDS.1581,group01695
AAA027M14.genome.CDS.1539,group11853
AAA027M14.genome.CDS.1538,group00452
AAA027M14.genome.CDS.1537,group00844
AAA027M14.genome.CDS.1536,group13629
AAA027M14.genome.CDS.1535,group01420
AAA027M14.genome.CDS.1534,group00943
AAA027M14.genome.CDS.1533,group05895
AAA027M14.genome.CDS.1532,group05896
AAA027M14.genome.CDS.1531,group00452
AAA027M14.genome.CDS.1530,group00844
AAA027M14.genome.CDS.1582,group08915
AAA027M14.genome.CDS.1583,group08909
AAA027M14.genome.CDS.1580,group00979
AAA027M14.genome.CDS.1398,group00663
AAA027M14.genome.CDS.1586,group05862
AAA027M14.genome.CDS.1587,group01252
AAA027M14.genome.CDS.1584,group02143
AAA027M14.genome.CDS.1248,group05876
AAA027M14.genome.CDS.951,group00359
AAA027M14.genome.CDS.1222,group00782
AAA027M14.genome.CDS.1588,group00355
AAA027M14.genome.CDS.1589,group11370
AAA027M14.genome.CDS.1227,group00379
AAA027M14.genome.CDS.1226,group00445
AAA027M14.genome.CDS.1225,group00753
AAA027M14.genome.CDS.1224,group00982
AAA027M14.genome.CDS.1017,group03227
AAA027M14.genome.CDS.950,group12041
AAA027M14.genome.CDS.1429,group00151
AAA027M14.genome.CDS.1528,group05010
AAA027M14.genome.CDS.1529,group13629
AAA027M14.genome.CDS.888,group04306
AAA027M14.genome.CDS.1196,group00282
AAA027M14.genome.CDS.1168,group00734
AAA027M14.genome.CDS.960,group00058
AAA027M14.genome.CDS.953,group00757
AAA027M14.genome.CDS.1169,group00433
AAA027M14.genome.CDS.918,group01380
AAA027M14.genome.CDS.961,group00192
AAA027M14.genome.CDS.1585,group14047
AAA027M14.genome.CDS.1485,group00250
AAA027M14.genome.CDS.1228,group00251
AAA027M14.genome.CDS.1161,group00915
AAA027M14.genome.CDS.1162,group00755
AAA027M14.genome.CDS.962,group00873
AAA027M14.genome.CDS.1270,group12020
AAA027M14.genome.CDS.1048,group00820
AAA027M14.genome.CDS.1271,group06511
AAA027M14.genome.CDS.898,group00796
AAA027M14.genome.CDS.1124,group01573
AAA027M14.genome.CDS.982,group00005
AAA027M14.genome.CDS.1126,group02832
AAA027M14.genome.CDS.1127,group00031
AAA027M14.genome.CDS.1120,group00796
AAA027M14.genome.CDS.1121,group01707
AAA027M14.genome.CDS.1122,group01282
AAA027M14.genome.CDS.1123,group01112
AAA027M14.genome.CDS.847,group11197
AAA027M14.genome.CDS.846,group00073
AAA027M14.genome.CDS.845,group01047
AAA027M14.genome.CDS.844,group12009
AAA027M14.genome.CDS.1128,group00064
AAA027M14.genome.CDS.842,group02409
AAA027M14.genome.CDS.841,group02030
AAA027M14.genome.CDS.840,group00014
AAA027M14.genome.CDS.1371,group00715
AAA027M14.genome.CDS.1498,group06648
AAA027M14.genome.CDS.1499,group00513
AAA027M14.genome.CDS.948,group00230
AAA027M14.genome.CDS.949,group04317
AAA027M14.genome.CDS.1494,group00373
AAA027M14.genome.CDS.1495,group00762
AAA027M14.genome.CDS.944,group00799
AAA027M14.genome.CDS.1497,group00125
AAA027M14.genome.CDS.1490,group00027
AAA027M14.genome.CDS.943,group00620
AAA027M14.genome.CDS.1492,group00457
AAA027M14.genome.CDS.1493,group08676
AAA027M14.genome.CDS.1151,group00092
AAA027M14.genome.CDS.1150,group05873
AAA027M14.genome.CDS.1401,group00001
AAA027M14.genome.CDS.1400,group00003
AAA027M14.genome.CDS.1407,group00306
AAA027M14.genome.CDS.1154,group00198
AAA027M14.genome.CDS.1157,group02596
AAA027M14.genome.CDS.1404,group01001
AAA027M14.genome.CDS.1159,group01127
AAA027M14.genome.CDS.1158,group05283
AAA027M14.genome.CDS.1409,group00421
AAA027M14.genome.CDS.1408,group00202
AAA027M14.genome.CDS.997,group00226
AAA027M14.genome.CDS.1393,group00409
AAA027M14.genome.CDS.1392,group00280
AAA027M14.genome.CDS.1391,group00214
AAA027M14.genome.CDS.1130,group03541
AAA027M14.genome.CDS.1397,group00573
AAA027M14.genome.CDS.1396,group01007
AAA027M14.genome.CDS.1395,group00864
AAA027M14.genome.CDS.1394,group00216
AAA027M14.genome.CDS.1010,group06574
AAA027M14.genome.CDS.1011,group00616
AAA027M14.genome.CDS.1012,group00644
AAA027M14.genome.CDS.1013,group00724
AAA027M14.genome.CDS.1014,group03643
AAA027M14.genome.CDS.1015,group00256
AAA027M14.genome.CDS.1016,group07755
AAA027M14.genome.CDS.1427,group00898
AAA027M14.genome.CDS.1399,group00603
AAA027M14.genome.CDS.993,group00152
AAA027M14.genome.CDS.1134,group00443
AAA027M14.genome.CDS.1379,group00209
AAA027M14.genome.CDS.1378,group00511
AAA027M14.genome.CDS.1272,group13725
AAA027M14.genome.CDS.1273,group00831
AAA027M14.genome.CDS.1274,group00051
