bin_29_2_acIII.genome.CDS.3819,group00707
bin_29_2_acIII.genome.CDS.2201,group06820
bin_29_2_acIII.genome.CDS.3657,group04408
bin_29_2_acIII.genome.CDS.4129,group00253
bin_29_2_acIII.genome.CDS.2849,group05375
bin_29_2_acIII.genome.CDS.2848,group04357
bin_29_2_acIII.genome.CDS.2847,group02151
bin_29_2_acIII.genome.CDS.2846,group07080
bin_29_2_acIII.genome.CDS.2845,group07081
bin_29_2_acIII.genome.CDS.2844,group07082
bin_29_2_acIII.genome.CDS.3656,group07203
bin_29_2_acIII.genome.CDS.2842,group01758
bin_29_2_acIII.genome.CDS.2841,group03487
bin_29_2_acIII.genome.CDS.2840,group00010
bin_29_2_acIII.genome.CDS.4019,group07262
bin_29_2_acIII.genome.CDS.4016,group07265
bin_29_2_acIII.genome.CDS.3651,group01383
bin_29_2_acIII.genome.CDS.4320,group00813
bin_29_2_acIII.genome.CDS.4015,group00091
bin_29_2_acIII.genome.CDS.4013,group00419
bin_29_2_acIII.genome.CDS.3310,group03972
bin_29_2_acIII.genome.CDS.4471,group00777
bin_29_2_acIII.genome.CDS.4472,group00670
bin_29_2_acIII.genome.CDS.4473,group01044
bin_29_2_acIII.genome.CDS.4474,group00791
bin_29_2_acIII.genome.CDS.3315,group00169
bin_29_2_acIII.genome.CDS.4476,group01677
bin_29_2_acIII.genome.CDS.4477,group03898
bin_29_2_acIII.genome.CDS.3650,group01890
bin_29_2_acIII.genome.CDS.4479,group01499
bin_29_2_acIII.genome.CDS.4321,group03714
bin_29_2_acIII.genome.CDS.3004,group00813
bin_29_2_acIII.genome.CDS.3557,group01681
bin_29_2_acIII.genome.CDS.3554,group01277
bin_29_2_acIII.genome.CDS.3007,group05473
bin_29_2_acIII.genome.CDS.3552,group01419
bin_29_2_acIII.genome.CDS.3553,group00352
bin_29_2_acIII.genome.CDS.3002,group03786
bin_29_2_acIII.genome.CDS.3003,group00573
bin_29_2_acIII.genome.CDS.2537,group01601
bin_29_2_acIII.genome.CDS.2536,group01164
bin_29_2_acIII.genome.CDS.2535,group01274
bin_29_2_acIII.genome.CDS.2534,group00236
bin_29_2_acIII.genome.CDS.3008,group00813
bin_29_2_acIII.genome.CDS.2532,group03756
bin_29_2_acIII.genome.CDS.3558,group07126
bin_29_2_acIII.genome.CDS.2530,group06949
bin_29_2_acIII.genome.CDS.3794,group07309
bin_29_2_acIII.genome.CDS.3795,group01219
bin_29_2_acIII.genome.CDS.3796,group01250
bin_29_2_acIII.genome.CDS.3797,group00022
bin_29_2_acIII.genome.CDS.3790,group00001
bin_29_2_acIII.genome.CDS.3791,group00003
bin_29_2_acIII.genome.CDS.3792,group00828
bin_29_2_acIII.genome.CDS.3793,group05596
bin_29_2_acIII.genome.CDS.3515,group04361
bin_29_2_acIII.genome.CDS.3798,group04153
bin_29_2_acIII.genome.CDS.3799,group00130
bin_29_2_acIII.genome.CDS.3958,group00318
bin_29_2_acIII.genome.CDS.4279,group01165
bin_29_2_acIII.genome.CDS.3778,group00064
bin_29_2_acIII.genome.CDS.3779,group00837
bin_29_2_acIII.genome.CDS.4272,group01064
bin_29_2_acIII.genome.CDS.4273,group01054
bin_29_2_acIII.genome.CDS.4270,group01865
bin_29_2_acIII.genome.CDS.3951,group00431
bin_29_2_acIII.genome.CDS.3956,group00808
bin_29_2_acIII.genome.CDS.4277,group00902
bin_29_2_acIII.genome.CDS.4274,group01003
bin_29_2_acIII.genome.CDS.3955,group03741
bin_29_2_acIII.genome.CDS.4123,group02017
bin_29_2_acIII.genome.CDS.4306,group00587
bin_29_2_acIII.genome.CDS.4659,group02400
bin_29_2_acIII.genome.CDS.4305,group00859
bin_29_2_acIII.genome.CDS.4302,group00096
bin_29_2_acIII.genome.CDS.4303,group07216
bin_29_2_acIII.genome.CDS.4300,group00246
bin_29_2_acIII.genome.CDS.4301,group00192
bin_29_2_acIII.genome.CDS.4650,group06906
bin_29_2_acIII.genome.CDS.4651,group06905
bin_29_2_acIII.genome.CDS.4652,group00081
bin_29_2_acIII.genome.CDS.4653,group00459
bin_29_2_acIII.genome.CDS.4654,group00237
bin_29_2_acIII.genome.CDS.4655,group00025
bin_29_2_acIII.genome.CDS.4656,group00308
bin_29_2_acIII.genome.CDS.4309,group00933
bin_29_2_acIII.genome.CDS.4096,group01311
bin_29_2_acIII.genome.CDS.4097,group05589
bin_29_2_acIII.genome.CDS.4094,group03764
bin_29_2_acIII.genome.CDS.4095,group00054
bin_29_2_acIII.genome.CDS.4092,group02446
bin_29_2_acIII.genome.CDS.4093,group01046
bin_29_2_acIII.genome.CDS.4090,group00020
bin_29_2_acIII.genome.CDS.4091,group00021
bin_29_2_acIII.genome.CDS.4098,group02590
bin_29_2_acIII.genome.CDS.4099,group01252
bin_29_2_acIII.genome.CDS.3220,group02835
bin_29_2_acIII.genome.CDS.4788,group01901
bin_29_2_acIII.genome.CDS.4789,group01900
bin_29_2_acIII.genome.CDS.3178,group07010
bin_29_2_acIII.genome.CDS.3179,group01210
bin_29_2_acIII.genome.CDS.3221,group03117
bin_29_2_acIII.genome.CDS.4782,group06935
bin_29_2_acIII.genome.CDS.3175,group07012
bin_29_2_acIII.genome.CDS.3176,group07011
bin_29_2_acIII.genome.CDS.3177,group05607
bin_29_2_acIII.genome.CDS.3170,group03564
bin_29_2_acIII.genome.CDS.3171,group02702
bin_29_2_acIII.genome.CDS.4784,group06933
bin_29_2_acIII.genome.CDS.3173,group07013
bin_29_2_acIII.genome.CDS.3731,group00082
bin_29_2_acIII.genome.CDS.3765,group00482
bin_29_2_acIII.genome.CDS.4504,group06834
bin_29_2_acIII.genome.CDS.4505,group01625
bin_29_2_acIII.genome.CDS.3734,group01162
bin_29_2_acIII.genome.CDS.3735,group03147
bin_29_2_acIII.genome.CDS.4508,group01180
bin_29_2_acIII.genome.CDS.3029,group00626
bin_29_2_acIII.genome.CDS.2607,group01113
bin_29_2_acIII.genome.CDS.2606,group07112
bin_29_2_acIII.genome.CDS.4136,group05643
bin_29_2_acIII.genome.CDS.3426,group03019
bin_29_2_acIII.genome.CDS.3868,group00283
bin_29_2_acIII.genome.CDS.4435,group00024
bin_29_2_acIII.genome.CDS.4389,group04362
bin_29_2_acIII.genome.CDS.3356,group00631
bin_29_2_acIII.genome.CDS.3866,group00036
bin_29_2_acIII.genome.CDS.3425,group01516
bin_29_2_acIII.genome.CDS.3867,group00010
bin_29_2_acIII.genome.CDS.3350,group06970
bin_29_2_acIII.genome.CDS.1845,group07224
bin_29_2_acIII.genome.CDS.4384,group01092
bin_29_2_acIII.genome.CDS.3351,group02070
bin_29_2_acIII.genome.CDS.4385,group03248
bin_29_2_acIII.genome.CDS.3352,group00000
bin_29_2_acIII.genome.CDS.4382,group01201
bin_29_2_acIII.genome.CDS.2691,group00834
bin_29_2_acIII.genome.CDS.4125,group04701
bin_29_2_acIII.genome.CDS.4383,group02922
bin_29_2_acIII.genome.CDS.3860,group00071
bin_29_2_acIII.genome.CDS.4381,group06861
bin_29_2_acIII.genome.CDS.3358,group02867
bin_29_2_acIII.genome.CDS.3359,group00813
bin_29_2_acIII.genome.CDS.2698,group00191
bin_29_2_acIII.genome.CDS.2699,group00094
bin_29_2_acIII.genome.CDS.2811,group00922
bin_29_2_acIII.genome.CDS.4208,group04151
bin_29_2_acIII.genome.CDS.4509,group00777
bin_29_2_acIII.genome.CDS.4368,group00641
bin_29_2_acIII.genome.CDS.4225,group00250
bin_29_2_acIII.genome.CDS.3904,group03812
bin_29_2_acIII.genome.CDS.4227,group00245
bin_29_2_acIII.genome.CDS.4226,group01408
bin_29_2_acIII.genome.CDS.3901,group02112
bin_29_2_acIII.genome.CDS.497,group07056
bin_29_2_acIII.genome.CDS.4592,group00440
bin_29_2_acIII.genome.CDS.3903,group07281
bin_29_2_acIII.genome.CDS.3902,group00005
bin_29_2_acIII.genome.CDS.834,group03585
bin_29_2_acIII.genome.CDS.3907,group07280
bin_29_2_acIII.genome.CDS.2523,group05363
bin_29_2_acIII.genome.CDS.545,group07047
bin_29_2_acIII.genome.CDS.4229,group03629
bin_29_2_acIII.genome.CDS.3908,group02044
bin_29_2_acIII.genome.CDS.2839,group07083
bin_29_2_acIII.genome.CDS.2788,group01095
bin_29_2_acIII.genome.CDS.2784,group00618
bin_29_2_acIII.genome.CDS.2785,group00610
bin_29_2_acIII.genome.CDS.2830,group07086
bin_29_2_acIII.genome.CDS.2787,group00595
bin_29_2_acIII.genome.CDS.2780,group00457
bin_29_2_acIII.genome.CDS.2781,group00523
bin_29_2_acIII.genome.CDS.2834,group02877
bin_29_2_acIII.genome.CDS.2783,group00619
bin_29_2_acIII.genome.CDS.2303,group06887
bin_29_2_acIII.genome.CDS.2304,group06886
bin_29_2_acIII.genome.CDS.2305,group06885
bin_29_2_acIII.genome.CDS.2306,group06884
bin_29_2_acIII.genome.CDS.4202,group01112
bin_29_2_acIII.genome.CDS.160,group00797
bin_29_2_acIII.genome.CDS.4349,group02839
bin_29_2_acIII.genome.CDS.2946,group01503
bin_29_2_acIII.genome.CDS.2499,group06958
bin_29_2_acIII.genome.CDS.2944,group00809
bin_29_2_acIII.genome.CDS.2945,group00928
bin_29_2_acIII.genome.CDS.2942,group05614
bin_29_2_acIII.genome.CDS.2940,group01067
bin_29_2_acIII.genome.CDS.2941,group00968
bin_29_2_acIII.genome.CDS.2490,group03432
bin_29_2_acIII.genome.CDS.2491,group06938
bin_29_2_acIII.genome.CDS.2492,group06937
bin_29_2_acIII.genome.CDS.2493,group06959
bin_29_2_acIII.genome.CDS.2494,group00901
bin_29_2_acIII.genome.CDS.2495,group02092
bin_29_2_acIII.genome.CDS.4369,group01931
bin_29_2_acIII.genome.CDS.2949,group02061
bin_29_2_acIII.genome.CDS.3646,group07207
bin_29_2_acIII.genome.CDS.4615,group00372
bin_29_2_acIII.genome.CDS.2163,group01196
bin_29_2_acIII.genome.CDS.2164,group06826
bin_29_2_acIII.genome.CDS.3644,group00510
bin_29_2_acIII.genome.CDS.3545,group01377
bin_29_2_acIII.genome.CDS.3544,group03912
bin_29_2_acIII.genome.CDS.2548,group06946
bin_29_2_acIII.genome.CDS.2549,group04223
bin_29_2_acIII.genome.CDS.3541,group00434
bin_29_2_acIII.genome.CDS.3540,group01154
bin_29_2_acIII.genome.CDS.3543,group02926
bin_29_2_acIII.genome.CDS.3542,group07127
bin_29_2_acIII.genome.CDS.2542,group01709
bin_29_2_acIII.genome.CDS.4346,group00239
bin_29_2_acIII.genome.CDS.3019,group07040
bin_29_2_acIII.genome.CDS.2541,group03210
bin_29_2_acIII.genome.CDS.2546,group06947
bin_29_2_acIII.genome.CDS.3548,group02178
bin_29_2_acIII.genome.CDS.2544,group03206
bin_29_2_acIII.genome.CDS.2545,group01230
bin_29_2_acIII.genome.CDS.3783,group00571
bin_29_2_acIII.genome.CDS.3782,group00047
bin_29_2_acIII.genome.CDS.3781,group00068
bin_29_2_acIII.genome.CDS.3780,group07310
bin_29_2_acIII.genome.CDS.3787,group00591
bin_29_2_acIII.genome.CDS.3786,group00630
bin_29_2_acIII.genome.CDS.3785,group00143
bin_29_2_acIII.genome.CDS.3784,group02683
bin_29_2_acIII.genome.CDS.3789,group00496
bin_29_2_acIII.genome.CDS.3788,group00794
bin_29_2_acIII.genome.CDS.3643,group07147
bin_29_2_acIII.genome.CDS.4159,group00191
bin_29_2_acIII.genome.CDS.3949,group01466
bin_29_2_acIII.genome.CDS.4268,group00479
bin_29_2_acIII.genome.CDS.3769,group05359
bin_29_2_acIII.genome.CDS.3768,group01592
bin_29_2_acIII.genome.CDS.3941,group02527
bin_29_2_acIII.genome.CDS.4260,group07223
bin_29_2_acIII.genome.CDS.3767,group00498
bin_29_2_acIII.genome.CDS.4262,group00041
bin_29_2_acIII.genome.CDS.3945,group00005
bin_29_2_acIII.genome.CDS.3760,group00394
bin_29_2_acIII.genome.CDS.3947,group03579
bin_29_2_acIII.genome.CDS.4266,group00125
bin_29_2_acIII.genome.CDS.4469,group03294
bin_29_2_acIII.genome.CDS.3308,group06977
bin_29_2_acIII.genome.CDS.3307,group06978
bin_29_2_acIII.genome.CDS.3306,group06979
bin_29_2_acIII.genome.CDS.3305,group03418
bin_29_2_acIII.genome.CDS.4464,group00154
bin_29_2_acIII.genome.CDS.4463,group00903
bin_29_2_acIII.genome.CDS.4462,group02951
bin_29_2_acIII.genome.CDS.4461,group00673
bin_29_2_acIII.genome.CDS.3300,group01089
bin_29_2_acIII.genome.CDS.4315,group07212
bin_29_2_acIII.genome.CDS.4646,group06908
bin_29_2_acIII.genome.CDS.4317,group07210
bin_29_2_acIII.genome.CDS.4316,group07211
bin_29_2_acIII.genome.CDS.4311,group03291
bin_29_2_acIII.genome.CDS.4310,group07215
bin_29_2_acIII.genome.CDS.4313,group07213
bin_29_2_acIII.genome.CDS.4640,group06910
bin_29_2_acIII.genome.CDS.4319,group07209
bin_29_2_acIII.genome.CDS.4318,group02351
bin_29_2_acIII.genome.CDS.4649,group03615
bin_29_2_acIII.genome.CDS.4648,group06907
bin_29_2_acIII.genome.CDS.4085,group04201
bin_29_2_acIII.genome.CDS.4084,group07249
bin_29_2_acIII.genome.CDS.4087,group00579
bin_29_2_acIII.genome.CDS.4086,group00750
bin_29_2_acIII.genome.CDS.4081,group07250
bin_29_2_acIII.genome.CDS.4080,group00339
bin_29_2_acIII.genome.CDS.4083,group00806
bin_29_2_acIII.genome.CDS.4082,group00806
bin_29_2_acIII.genome.CDS.4089,group00734
bin_29_2_acIII.genome.CDS.4088,group00596
bin_29_2_acIII.genome.CDS.4799,group06932
bin_29_2_acIII.genome.CDS.4564,group00133
bin_29_2_acIII.genome.CDS.3169,group03545
bin_29_2_acIII.genome.CDS.3168,group02693
bin_29_2_acIII.genome.CDS.4791,group04232
bin_29_2_acIII.genome.CDS.3162,group01391
bin_29_2_acIII.genome.CDS.4793,group00016
bin_29_2_acIII.genome.CDS.3160,group03530
bin_29_2_acIII.genome.CDS.4795,group00516
bin_29_2_acIII.genome.CDS.4794,group00004
bin_29_2_acIII.genome.CDS.3165,group00971
bin_29_2_acIII.genome.CDS.3164,group05554
bin_29_2_acIII.genome.CDS.3343,group03630
bin_29_2_acIII.genome.CDS.2827,group07088
bin_29_2_acIII.genome.CDS.2826,group03809
bin_29_2_acIII.genome.CDS.3278,group01456
bin_29_2_acIII.genome.CDS.1149,group07124
bin_29_2_acIII.genome.CDS.4312,group07214
bin_29_2_acIII.genome.CDS.4494,group03710
bin_29_2_acIII.genome.CDS.3774,group03099
bin_29_2_acIII.genome.CDS.3347,group05602
bin_29_2_acIII.genome.CDS.4604,group01973
bin_29_2_acIII.genome.CDS.4761,group04356
bin_29_2_acIII.genome.CDS.220,group07107
bin_29_2_acIII.genome.CDS.227,group01207
bin_29_2_acIII.genome.CDS.3897,group00647
bin_29_2_acIII.genome.CDS.4767,group06869
bin_29_2_acIII.genome.CDS.3345,group00247
bin_29_2_acIII.genome.CDS.3918,group00566
bin_29_2_acIII.genome.CDS.2559,group01851
bin_29_2_acIII.genome.CDS.3773,group01485
bin_29_2_acIII.genome.CDS.3344,group00207
bin_29_2_acIII.genome.CDS.2954,group00927
bin_29_2_acIII.genome.CDS.2485,group04408
bin_29_2_acIII.genome.CDS.3919,group07276
bin_29_2_acIII.genome.CDS.2956,group05346
bin_29_2_acIII.genome.CDS.2951,group01566
bin_29_2_acIII.genome.CDS.3770,group02152
bin_29_2_acIII.genome.CDS.2482,group00627
bin_29_2_acIII.genome.CDS.2481,group00084
bin_29_2_acIII.genome.CDS.2480,group00086
bin_29_2_acIII.genome.CDS.1456,group07288
bin_29_2_acIII.genome.CDS.3771,group00019
bin_29_2_acIII.genome.CDS.4221,group02885
bin_29_2_acIII.genome.CDS.3349,group01565
bin_29_2_acIII.genome.CDS.959,group01258
bin_29_2_acIII.genome.CDS.4220,group02641
bin_29_2_acIII.genome.CDS.2829,group07087
bin_29_2_acIII.genome.CDS.2828,group02470
bin_29_2_acIII.genome.CDS.2799,group00897
bin_29_2_acIII.genome.CDS.2798,group00917
bin_29_2_acIII.genome.CDS.2821,group00699
bin_29_2_acIII.genome.CDS.2820,group00557
bin_29_2_acIII.genome.CDS.2823,group03793
bin_29_2_acIII.genome.CDS.2822,group04695
bin_29_2_acIII.genome.CDS.2825,group04883
bin_29_2_acIII.genome.CDS.2824,group02876
bin_29_2_acIII.genome.CDS.2795,group00825
bin_29_2_acIII.genome.CDS.2794,group00764
bin_29_2_acIII.genome.CDS.2618,group03800
bin_29_2_acIII.genome.CDS.3834,group03659
bin_29_2_acIII.genome.CDS.2486,group06943
bin_29_2_acIII.genome.CDS.2957,group00972
bin_29_2_acIII.genome.CDS.2484,group00642
bin_29_2_acIII.genome.CDS.2483,group00205
bin_29_2_acIII.genome.CDS.2950,group04224
bin_29_2_acIII.genome.CDS.2953,group01020
bin_29_2_acIII.genome.CDS.2952,group01028
bin_29_2_acIII.genome.CDS.2959,group01771
bin_29_2_acIII.genome.CDS.2958,group02278
bin_29_2_acIII.genome.CDS.2489,group06939
bin_29_2_acIII.genome.CDS.2488,group06940
bin_29_2_acIII.genome.CDS.3905,group05621
bin_29_2_acIII.genome.CDS.3570,group00827
bin_29_2_acIII.genome.CDS.2558,group01668
bin_29_2_acIII.genome.CDS.3572,group00755
bin_29_2_acIII.genome.CDS.3573,group02954
bin_29_2_acIII.genome.CDS.3574,group00023
bin_29_2_acIII.genome.CDS.3575,group02953
bin_29_2_acIII.genome.CDS.3576,group00238
bin_29_2_acIII.genome.CDS.3577,group00995
bin_29_2_acIII.genome.CDS.3578,group00012
bin_29_2_acIII.genome.CDS.3579,group01339
bin_29_2_acIII.genome.CDS.2553,group02665
bin_29_2_acIII.genome.CDS.2552,group02666
bin_29_2_acIII.genome.CDS.2555,group06945
bin_29_2_acIII.genome.CDS.2554,group02696
bin_29_2_acIII.genome.CDS.2557,group01637
bin_29_2_acIII.genome.CDS.2556,group00806
bin_29_2_acIII.genome.CDS.2551,group01459
bin_29_2_acIII.genome.CDS.2550,group04950
bin_29_2_acIII.genome.CDS.3549,group02546
bin_29_2_acIII.genome.CDS.3206,group02276
bin_29_2_acIII.genome.CDS.3207,group04588
bin_29_2_acIII.genome.CDS.4256,group01885
bin_29_2_acIII.genome.CDS.4525,group00189
bin_29_2_acIII.genome.CDS.3970,group00144
bin_29_2_acIII.genome.CDS.4523,group06831
bin_29_2_acIII.genome.CDS.3200,group00898
bin_29_2_acIII.genome.CDS.3201,group01982
bin_29_2_acIII.genome.CDS.3750,group00522
bin_29_2_acIII.genome.CDS.3751,group00844
bin_29_2_acIII.genome.CDS.3752,group00002
bin_29_2_acIII.genome.CDS.3753,group00657
bin_29_2_acIII.genome.CDS.3754,group07311
bin_29_2_acIII.genome.CDS.4259,group01159
bin_29_2_acIII.genome.CDS.3208,group07002
bin_29_2_acIII.genome.CDS.4529,group00698
bin_29_2_acIII.genome.CDS.3378,group00666
bin_29_2_acIII.genome.CDS.4419,group06852
bin_29_2_acIII.genome.CDS.3372,group05613
bin_29_2_acIII.genome.CDS.4413,group05469
bin_29_2_acIII.genome.CDS.4410,group05599
bin_29_2_acIII.genome.CDS.4411,group05455
bin_29_2_acIII.genome.CDS.3376,group00434
bin_29_2_acIII.genome.CDS.4417,group05350
bin_29_2_acIII.genome.CDS.4414,group00029
bin_29_2_acIII.genome.CDS.3375,group01231
bin_29_2_acIII.genome.CDS.3688,group02462
bin_29_2_acIII.genome.CDS.3689,group00228
bin_29_2_acIII.genome.CDS.3682,group07316
bin_29_2_acIII.genome.CDS.3683,group00659
bin_29_2_acIII.genome.CDS.3680,group00293
bin_29_2_acIII.genome.CDS.3681,group00314
bin_29_2_acIII.genome.CDS.3687,group00286
bin_29_2_acIII.genome.CDS.3684,group00313
bin_29_2_acIII.genome.CDS.3685,group00162
bin_29_2_acIII.genome.CDS.4632,group02437
bin_29_2_acIII.genome.CDS.4633,group02437
bin_29_2_acIII.genome.CDS.4630,group02437
bin_29_2_acIII.genome.CDS.4323,group02469
bin_29_2_acIII.genome.CDS.4324,group00241
bin_29_2_acIII.genome.CDS.4325,group00223
bin_29_2_acIII.genome.CDS.4326,group02580
bin_29_2_acIII.genome.CDS.4635,group06914
bin_29_2_acIII.genome.CDS.4328,group00509
bin_29_2_acIII.genome.CDS.4329,group00570
bin_29_2_acIII.genome.CDS.4638,group05656
bin_29_2_acIII.genome.CDS.4639,group06911
bin_29_2_acIII.genome.CDS.3196,group07005
bin_29_2_acIII.genome.CDS.3197,group04031
bin_29_2_acIII.genome.CDS.3194,group07006
bin_29_2_acIII.genome.CDS.3195,group01957
bin_29_2_acIII.genome.CDS.3192,group03030
bin_29_2_acIII.genome.CDS.3193,group03231
bin_29_2_acIII.genome.CDS.3190,group07007
bin_29_2_acIII.genome.CDS.3191,group01557
bin_29_2_acIII.genome.CDS.3198,group04141
bin_29_2_acIII.genome.CDS.3199,group00064
bin_29_2_acIII.genome.CDS.4176,group00070
bin_29_2_acIII.genome.CDS.3226,group06997
bin_29_2_acIII.genome.CDS.4748,group02950
bin_29_2_acIII.genome.CDS.4749,group01658
bin_29_2_acIII.genome.CDS.4746,group03277
bin_29_2_acIII.genome.CDS.4747,group03788
bin_29_2_acIII.genome.CDS.4744,group00204
bin_29_2_acIII.genome.CDS.4745,group00005
bin_29_2_acIII.genome.CDS.4742,group03157
bin_29_2_acIII.genome.CDS.4743,group03955
bin_29_2_acIII.genome.CDS.4740,group06872
bin_29_2_acIII.genome.CDS.4741,group00102
bin_29_2_acIII.genome.CDS.3227,group01679
bin_29_2_acIII.genome.CDS.3894,group00680
bin_29_2_acIII.genome.CDS.3018,group07041
bin_29_2_acIII.genome.CDS.3998,group00272
bin_29_2_acIII.genome.CDS.3999,group00380
bin_29_2_acIII.genome.CDS.3996,group00993
bin_29_2_acIII.genome.CDS.3997,group00443
bin_29_2_acIII.genome.CDS.3994,group00210
bin_29_2_acIII.genome.CDS.3995,group01512
bin_29_2_acIII.genome.CDS.3992,group05587
bin_29_2_acIII.genome.CDS.3993,group01431
bin_29_2_acIII.genome.CDS.3990,group00919
bin_29_2_acIII.genome.CDS.3991,group01040
bin_29_2_acIII.genome.CDS.3758,group02688
bin_29_2_acIII.genome.CDS.3975,group00471
bin_29_2_acIII.genome.CDS.3976,group00453
bin_29_2_acIII.genome.CDS.3977,group00012
bin_29_2_acIII.genome.CDS.3202,group05636
bin_29_2_acIII.genome.CDS.4251,group03994
bin_29_2_acIII.genome.CDS.1260,group00518
bin_29_2_acIII.genome.CDS.4520,group02838
bin_29_2_acIII.genome.CDS.1598,group07264
bin_29_2_acIII.genome.CDS.1599,group07263
bin_29_2_acIII.genome.CDS.3973,group00674
bin_29_2_acIII.genome.CDS.4157,group02862
bin_29_2_acIII.genome.CDS.3311,group03284
bin_29_2_acIII.genome.CDS.3618,group07171
bin_29_2_acIII.genome.CDS.3978,group00392
bin_29_2_acIII.genome.CDS.3979,group00633
bin_29_2_acIII.genome.CDS.4436,group03810
bin_29_2_acIII.genome.CDS.3756,group00381
bin_29_2_acIII.genome.CDS.4551,group00114
bin_29_2_acIII.genome.CDS.3757,group00257
bin_29_2_acIII.genome.CDS.4553,group01465
bin_29_2_acIII.genome.CDS.3272,group06988
bin_29_2_acIII.genome.CDS.1465,group07283
bin_29_2_acIII.genome.CDS.4418,group06853
bin_29_2_acIII.genome.CDS.3313,group00560
bin_29_2_acIII.genome.CDS.4550,group01870
bin_29_2_acIII.genome.CDS.4557,group00973
bin_29_2_acIII.genome.CDS.4556,group00905
bin_29_2_acIII.genome.CDS.4555,group00071
bin_29_2_acIII.genome.CDS.4554,group06828
bin_29_2_acIII.genome.CDS.4412,group01392
bin_29_2_acIII.genome.CDS.3373,group00038
bin_29_2_acIII.genome.CDS.1662,group01134
bin_29_2_acIII.genome.CDS.3370,group00801
bin_29_2_acIII.genome.CDS.1661,group07251
bin_29_2_acIII.genome.CDS.3371,group00433
bin_29_2_acIII.genome.CDS.4416,group00813
bin_29_2_acIII.genome.CDS.3377,group01204
bin_29_2_acIII.genome.CDS.961,group06964
bin_29_2_acIII.genome.CDS.3374,group00529
bin_29_2_acIII.genome.CDS.4415,group00199
bin_29_2_acIII.genome.CDS.3317,group06975
bin_29_2_acIII.genome.CDS.2814,group00709
bin_29_2_acIII.genome.CDS.2767,group00656
bin_29_2_acIII.genome.CDS.2764,group00004
bin_29_2_acIII.genome.CDS.2817,group07089
bin_29_2_acIII.genome.CDS.2762,group00634
bin_29_2_acIII.genome.CDS.2763,group00516
bin_29_2_acIII.genome.CDS.2760,group02816
bin_29_2_acIII.genome.CDS.2761,group00014
bin_29_2_acIII.genome.CDS.2818,group01949
bin_29_2_acIII.genome.CDS.2819,group00558
bin_29_2_acIII.genome.CDS.2768,group00495
bin_29_2_acIII.genome.CDS.2769,group02280
bin_29_2_acIII.genome.CDS.3318,group06974
bin_29_2_acIII.genome.CDS.2960,group00510
bin_29_2_acIII.genome.CDS.2961,group01846
bin_29_2_acIII.genome.CDS.2962,group00264
