AB141P03.genome.CDS.737,group00250
AB141P03.genome.CDS.866,group00584
AB141P03.genome.CDS.864,group00721
AB141P03.genome.CDS.865,group00519
AB141P03.genome.CDS.970,group00713
AB141P03.genome.CDS.971,group00153
AB141P03.genome.CDS.1026,group00230
AB141P03.genome.CDS.1027,group01827
AB141P03.genome.CDS.870,group00078
AB141P03.genome.CDS.1349,group00380
AB141P03.genome.CDS.1011,group00986
AB141P03.genome.CDS.1220,group00542
AB141P03.genome.CDS.1221,group00570
AB141P03.genome.CDS.1226,group00962
AB141P03.genome.CDS.1224,group00627
AB141P03.genome.CDS.1159,group05272
AB141P03.genome.CDS.1341,group00188
AB141P03.genome.CDS.1340,group00695
AB141P03.genome.CDS.1228,group00161
AB141P03.genome.CDS.1342,group08655
AB141P03.genome.CDS.1345,group05414
AB141P03.genome.CDS.1344,group12000
AB141P03.genome.CDS.1347,group07127
AB141P03.genome.CDS.1346,group05415
AB141P03.genome.CDS.1158,group00046
AB141P03.genome.CDS.1010,group12698
AB141P03.genome.CDS.1013,group00972
AB141P03.genome.CDS.1012,group06511
AB141P03.genome.CDS.1015,group00705
AB141P03.genome.CDS.1014,group04475
AB141P03.genome.CDS.1017,group00704
AB141P03.genome.CDS.1016,group00811
AB141P03.genome.CDS.1150,group00009
AB141P03.genome.CDS.1018,group00475
AB141P03.genome.CDS.1152,group13725
AB141P03.genome.CDS.1153,group00276
AB141P03.genome.CDS.1154,group00963
AB141P03.genome.CDS.1155,group00062
AB141P03.genome.CDS.1157,group00065
AB141P03.genome.CDS.1086,group03534
AB141P03.genome.CDS.1087,group00847
AB141P03.genome.CDS.1084,group00601
AB141P03.genome.CDS.1085,group00771
AB141P03.genome.CDS.1129,group01083
AB141P03.genome.CDS.1128,group00045
AB141P03.genome.CDS.1080,group00335
AB141P03.genome.CDS.1081,group00120
AB141P03.genome.CDS.1125,group00581
AB141P03.genome.CDS.1124,group07755
AB141P03.genome.CDS.1127,group00634
AB141P03.genome.CDS.1126,group01032
AB141P03.genome.CDS.1121,group00644
AB141P03.genome.CDS.1120,group00004
AB141P03.genome.CDS.1123,group00844
AB141P03.genome.CDS.1089,group00869
AB141P03.genome.CDS.317,group05419
AB141P03.genome.CDS.729,group09128
AB141P03.genome.CDS.728,group00954
AB141P03.genome.CDS.724,group05427
AB141P03.genome.CDS.727,group00279
AB141P03.genome.CDS.726,group00523
AB141P03.genome.CDS.721,group00251
AB141P03.genome.CDS.720,group00372
AB141P03.genome.CDS.723,group00223
AB141P03.genome.CDS.1083,group00040
AB141P03.genome.CDS.923,group00255
AB141P03.genome.CDS.922,group00376
AB141P03.genome.CDS.921,group00803
AB141P03.genome.CDS.920,group00526
AB141P03.genome.CDS.927,group00297
AB141P03.genome.CDS.926,group00412
AB141P03.genome.CDS.925,group00296
AB141P03.genome.CDS.924,group00366
AB141P03.genome.CDS.929,group00893
AB141P03.genome.CDS.928,group00227
AB141P03.genome.CDS.1348,group00284
AB141P03.genome.CDS.859,group00321
AB141P03.genome.CDS.858,group00401
AB141P03.genome.CDS.1088,group06192
AB141P03.genome.CDS.853,group00432
AB141P03.genome.CDS.852,group00816
AB141P03.genome.CDS.851,group01006
AB141P03.genome.CDS.850,group01376
AB141P03.genome.CDS.857,group11995
AB141P03.genome.CDS.856,group00478
AB141P03.genome.CDS.855,group02082
AB141P03.genome.CDS.854,group00201
AB141P03.genome.CDS.180,group02017
AB141P03.genome.CDS.106,group02017
AB141P03.genome.CDS.1370,group02824
AB141P03.genome.CDS.1371,group03502
AB141P03.genome.CDS.1372,group12011
AB141P03.genome.CDS.1373,group00025
AB141P03.genome.CDS.1374,group00025
AB141P03.genome.CDS.1375,group00414
AB141P03.genome.CDS.1376,group04034
AB141P03.genome.CDS.1377,group00669
AB141P03.genome.CDS.1378,group00642
AB141P03.genome.CDS.1379,group12013
AB141P03.genome.CDS.1305,group00289
AB141P03.genome.CDS.1304,group12857
AB141P03.genome.CDS.1307,group00337
AB141P03.genome.CDS.1306,group00032
AB141P03.genome.CDS.1301,group00303
AB141P03.genome.CDS.1300,group00835
AB141P03.genome.CDS.1303,group00325
AB141P03.genome.CDS.1302,group11993
AB141P03.genome.CDS.1309,group00829
AB141P03.genome.CDS.1308,group01031
AB141P03.genome.CDS.1284,group00124
AB141P03.genome.CDS.1285,group00147
AB141P03.genome.CDS.1286,group00686
AB141P03.genome.CDS.1287,group00916
AB141P03.genome.CDS.1280,group00545
AB141P03.genome.CDS.1281,group00548
AB141P03.genome.CDS.1282,group00186
AB141P03.genome.CDS.1283,group00013
AB141P03.genome.CDS.1288,group05406
AB141P03.genome.CDS.1114,group00541
AB141P03.genome.CDS.1115,group00540
AB141P03.genome.CDS.1116,group00662
AB141P03.genome.CDS.1117,group06574
AB141P03.genome.CDS.1110,group07708
AB141P03.genome.CDS.1111,group00114
AB141P03.genome.CDS.1112,group00100
AB141P03.genome.CDS.1113,group00010
AB141P03.genome.CDS.1118,group01561
AB141P03.genome.CDS.1119,group00827
AB141P03.genome.CDS.1279,group04408
AB141P03.genome.CDS.1278,group10260
AB141P03.genome.CDS.1271,group00515
AB141P03.genome.CDS.1270,group09900
AB141P03.genome.CDS.1273,group00521
AB141P03.genome.CDS.1272,group00463
AB141P03.genome.CDS.1275,group00000
AB141P03.genome.CDS.1274,group00975
AB141P03.genome.CDS.1277,group00621
AB141P03.genome.CDS.1276,group04186
AB141P03.genome.CDS.1149,group01038
AB141P03.genome.CDS.1028,group00751
AB141P03.genome.CDS.1029,group00359
AB141P03.genome.CDS.978,group00696
AB141P03.genome.CDS.979,group00038
AB141P03.genome.CDS.974,group00142
AB141P03.genome.CDS.975,group00026
AB141P03.genome.CDS.976,group00203
AB141P03.genome.CDS.977,group00795
AB141P03.genome.CDS.1024,group00890
AB141P03.genome.CDS.1025,group01495
AB141P03.genome.CDS.972,group00221
AB141P03.genome.CDS.973,group12642
AB141P03.genome.CDS.12,group03657
AB141P03.genome.CDS.1059,group00651
AB141P03.genome.CDS.1058,group00589
AB141P03.genome.CDS.1055,group04578
AB141P03.genome.CDS.1054,group00710
AB141P03.genome.CDS.1057,group00391
AB141P03.genome.CDS.1056,group07168
AB141P03.genome.CDS.1051,group11549
AB141P03.genome.CDS.1050,group00324
AB141P03.genome.CDS.1053,group00762
AB141P03.genome.CDS.1052,group00682
AB141P03.genome.CDS.1035,group00348
AB141P03.genome.CDS.679,group11987
AB141P03.genome.CDS.678,group11988
AB141P03.genome.CDS.677,group12412
AB141P03.genome.CDS.676,group12649
AB141P03.genome.CDS.675,group12997
AB141P03.genome.CDS.674,group13787
AB141P03.genome.CDS.673,group00302
AB141P03.genome.CDS.672,group12822
AB141P03.genome.CDS.671,group01056
AB141P03.genome.CDS.670,group01733
AB141P03.genome.CDS.776,group02821
AB141P03.genome.CDS.777,group00102
AB141P03.genome.CDS.775,group00629
AB141P03.genome.CDS.772,group01376
AB141P03.genome.CDS.773,group10360
AB141P03.genome.CDS.770,group00816
AB141P03.genome.CDS.771,group01006
AB141P03.genome.CDS.778,group00073
AB141P03.genome.CDS.779,group00979
AB141P03.genome.CDS.722,group00287
AB141P03.genome.CDS.414,group00336
AB141P03.genome.CDS.804,group00434
AB141P03.genome.CDS.805,group00759
AB141P03.genome.CDS.806,group00707
AB141P03.genome.CDS.807,group00964
AB141P03.genome.CDS.800,group00024
AB141P03.genome.CDS.801,group00953
AB141P03.genome.CDS.802,group08563
AB141P03.genome.CDS.803,group00740
AB141P03.genome.CDS.808,group11935
AB141P03.genome.CDS.809,group01237
AB141P03.genome.CDS.899,group08679
AB141P03.genome.CDS.898,group00314
AB141P03.genome.CDS.897,group00655
AB141P03.genome.CDS.896,group00313
AB141P03.genome.CDS.895,group00859
AB141P03.genome.CDS.894,group00160
AB141P03.genome.CDS.893,group00080
AB141P03.genome.CDS.892,group00512
AB141P03.genome.CDS.891,group00286
AB141P03.genome.CDS.890,group00108
AB141P03.genome.CDS.789,group00902
AB141P03.genome.CDS.788,group01196
AB141P03.genome.CDS.275,group00773
AB141P03.genome.CDS.783,group11238
AB141P03.genome.CDS.782,group09996
AB141P03.genome.CDS.781,group03497
AB141P03.genome.CDS.780,group08400
AB141P03.genome.CDS.787,group01820
AB141P03.genome.CDS.786,group00434
AB141P03.genome.CDS.785,group00786
AB141P03.genome.CDS.784,group12411
AB141P03.genome.CDS.524,group00702
AB141P03.genome.CDS.1240,group00633
AB141P03.genome.CDS.1241,group05283
AB141P03.genome.CDS.1242,group11989
AB141P03.genome.CDS.1243,group00879
AB141P03.genome.CDS.1244,group00580
AB141P03.genome.CDS.1245,group00113
AB141P03.genome.CDS.1246,group00576
AB141P03.genome.CDS.1247,group00776
AB141P03.genome.CDS.1248,group01181
AB141P03.genome.CDS.1249,group05233
AB141P03.genome.CDS.1235,group12593
AB141P03.genome.CDS.1234,group00256
AB141P03.genome.CDS.1237,group03123
AB141P03.genome.CDS.1236,group01016
AB141P03.genome.CDS.1231,group11990
AB141P03.genome.CDS.1339,group00700
AB141P03.genome.CDS.1233,group00592
AB141P03.genome.CDS.1232,group01033
AB141P03.genome.CDS.1334,group00492
AB141P03.genome.CDS.1335,group00123
AB141P03.genome.CDS.1336,group06053
AB141P03.genome.CDS.1337,group07007
AB141P03.genome.CDS.1239,group00955
AB141P03.genome.CDS.1331,group05413
AB141P03.genome.CDS.1332,group11997
AB141P03.genome.CDS.1333,group00461
AB141P03.genome.CDS.613,group11991
AB141P03.genome.CDS.918,group00645
AB141P03.genome.CDS.1064,group00672
AB141P03.genome.CDS.1065,group00664
AB141P03.genome.CDS.1066,group00197
AB141P03.genome.CDS.1067,group07518
AB141P03.genome.CDS.1060,group00784
AB141P03.genome.CDS.1061,group00212
AB141P03.genome.CDS.1062,group00278
AB141P03.genome.CDS.1063,group00632
AB141P03.genome.CDS.1143,group00491
AB141P03.genome.CDS.1142,group13608
AB141P03.genome.CDS.1141,group00733
AB141P03.genome.CDS.1140,group08653
AB141P03.genome.CDS.1068,group00330
AB141P03.genome.CDS.1069,group04159
AB141P03.genome.CDS.1145,group00737
AB141P03.genome.CDS.1144,group01897
AB141P03.genome.CDS.1147,group00528
AB141P03.genome.CDS.1099,group00612
AB141P03.genome.CDS.1098,group01042
AB141P03.genome.CDS.57,group00234
AB141P03.genome.CDS.1043,group00082
AB141P03.genome.CDS.1091,group00091
AB141P03.genome.CDS.1090,group00765
AB141P03.genome.CDS.1093,group00995
AB141P03.genome.CDS.1092,group00243
AB141P03.genome.CDS.1095,group12016
AB141P03.genome.CDS.910,group01729
AB141P03.genome.CDS.1097,group00007
AB141P03.genome.CDS.1096,group00495
AB141P03.genome.CDS.1041,group00349
AB141P03.genome.CDS.554,group01386
AB141P03.genome.CDS.916,group00877
AB141P03.genome.CDS.1146,group00417
AB141P03.genome.CDS.985,group00217
AB141P03.genome.CDS.984,group04997
AB141P03.genome.CDS.738,group00852
AB141P03.genome.CDS.986,group07405
AB141P03.genome.CDS.981,group00573
AB141P03.genome.CDS.1044,group00264
AB141P03.genome.CDS.983,group00864
AB141P03.genome.CDS.982,group13131
AB141P03.genome.CDS.732,group00373
AB141P03.genome.CDS.733,group00044
AB141P03.genome.CDS.730,group00129
AB141P03.genome.CDS.915,group00224
AB141P03.genome.CDS.736,group07129
AB141P03.genome.CDS.988,group00214
AB141P03.genome.CDS.734,group00766
AB141P03.genome.CDS.735,group00260
AB141P03.genome.CDS.930,group00444
AB141P03.genome.CDS.931,group00773
AB141P03.genome.CDS.932,group03946
AB141P03.genome.CDS.933,group12777
AB141P03.genome.CDS.934,group00960
AB141P03.genome.CDS.935,group00731
AB141P03.genome.CDS.936,group10214
AB141P03.genome.CDS.937,group00841
AB141P03.genome.CDS.938,group08128
AB141P03.genome.CDS.939,group00623
AB141P03.genome.CDS.748,group00676
AB141P03.genome.CDS.747,group00831
AB141P03.genome.CDS.746,group07589
AB141P03.genome.CDS.745,group00579
AB141P03.genome.CDS.744,group00914
AB141P03.genome.CDS.743,group07378
AB141P03.genome.CDS.742,group00180
AB141P03.genome.CDS.741,group00179
AB141P03.genome.CDS.740,group00531
AB141P03.genome.CDS.849,group10360
AB141P03.genome.CDS.840,group09996
AB141P03.genome.CDS.841,group03497
AB141P03.genome.CDS.842,group08400
AB141P03.genome.CDS.843,group00979
AB141P03.genome.CDS.844,group00073
AB141P03.genome.CDS.845,group00102
AB141P03.genome.CDS.846,group02821
AB141P03.genome.CDS.847,group00629
AB141P03.genome.CDS.989,group00281
AB141P03.genome.CDS.769,group00432
AB141P03.genome.CDS.1071,group00101
AB141P03.genome.CDS.683,group11986
AB141P03.genome.CDS.1070,group00195
AB141P03.genome.CDS.1363,group12007
AB141P03.genome.CDS.1362,group00679
AB141P03.genome.CDS.1361,group12006
AB141P03.genome.CDS.1360,group04677
AB141P03.genome.CDS.1367,group00563
AB141P03.genome.CDS.1366,group08235
AB141P03.genome.CDS.1365,group11925
AB141P03.genome.CDS.1364,group04449
AB141P03.genome.CDS.1369,group00574
AB141P03.genome.CDS.1368,group05417
AB141P03.genome.CDS.1020,group00343
AB141P03.genome.CDS.1079,group00122
AB141P03.genome.CDS.1078,group00757
AB141P03.genome.CDS.763,group00671
AB141P03.genome.CDS.1297,group00379
AB141P03.genome.CDS.1296,group01030
AB141P03.genome.CDS.1295,group00025
AB141P03.genome.CDS.1294,group12977
AB141P03.genome.CDS.1293,group08226
AB141P03.genome.CDS.1292,group05250
AB141P03.genome.CDS.1291,group00613
AB141P03.genome.CDS.1290,group04060
AB141P03.genome.CDS.1021,group00620
AB141P03.genome.CDS.1299,group00357
AB141P03.genome.CDS.1298,group09638
AB141P03.genome.CDS.1107,group01112
AB141P03.genome.CDS.1106,group00226
AB141P03.genome.CDS.1105,group02359
AB141P03.genome.CDS.1104,group00155
AB141P03.genome.CDS.1103,group01252
AB141P03.genome.CDS.1102,group00055
AB141P03.genome.CDS.1101,group00215
AB141P03.genome.CDS.1100,group00002
AB141P03.genome.CDS.1109,group00458
AB141P03.genome.CDS.1108,group00750
AB141P03.genome.CDS.1208,group00650
AB141P03.genome.CDS.1209,group06649
AB141P03.genome.CDS.1204,group00362
AB141P03.genome.CDS.1205,group07301
AB141P03.genome.CDS.1206,group00386
AB141P03.genome.CDS.1207,group07583
AB141P03.genome.CDS.1200,group00307
AB141P03.genome.CDS.1201,group00202
AB141P03.genome.CDS.1202,group00421
AB141P03.genome.CDS.1203,group00394
AB141P03.genome.CDS.164,group00801
AB141P03.genome.CDS.1198,group00924
AB141P03.genome.CDS.1199,group01717
AB141P03.genome.CDS.1194,group00747
AB141P03.genome.CDS.1195,group04115
AB141P03.genome.CDS.1197,group00018
AB141P03.genome.CDS.1190,group00746
AB141P03.genome.CDS.1191,group00467
AB141P03.genome.CDS.1192,group08860
AB141P03.genome.CDS.1193,group00042
AB141P03.genome.CDS.1023,group00736
AB141P03.genome.CDS.949,group00437
AB141P03.genome.CDS.948,group11999
AB141P03.genome.CDS.1039,group00873
AB141P03.genome.CDS.1038,group00193
AB141P03.genome.CDS.1033,group00449
AB141P03.genome.CDS.1032,group13085
AB141P03.genome.CDS.1031,group06264
AB141P03.genome.CDS.1030,group00315
AB141P03.genome.CDS.1037,group00058
AB141P03.genome.CDS.944,group02594
AB141P03.genome.CDS.947,group00460
AB141P03.genome.CDS.946,group00443
AB141P03.genome.CDS.668,group01056
AB141P03.genome.CDS.669,group10575
AB141P03.genome.CDS.1082,group00686
AB141P03.genome.CDS.661,group12010
AB141P03.genome.CDS.703,group02172
AB141P03.genome.CDS.702,group13631
AB141P03.genome.CDS.700,group00043
AB141P03.genome.CDS.707,group00787
AB141P03.genome.CDS.706,group01705
AB141P03.genome.CDS.705,group01480
AB141P03.genome.CDS.704,group00858
AB141P03.genome.CDS.709,group00706
AB141P03.genome.CDS.708,group05294
AB141P03.genome.CDS.1019,group00734
AB141P03.genome.CDS.831,group01080
AB141P03.genome.CDS.830,group03402
AB141P03.genome.CDS.833,group00902
AB141P03.genome.CDS.835,group01820
AB141P03.genome.CDS.834,group01196
AB141P03.genome.CDS.837,group00786
AB141P03.genome.CDS.836,group00434
AB141P03.genome.CDS.839,group11238
AB141P03.genome.CDS.838,group12411
AB141P03.genome.CDS.888,group00554
AB141P03.genome.CDS.889,group00527
AB141P03.genome.CDS.884,group00586
AB141P03.genome.CDS.885,group06057
AB141P03.genome.CDS.886,group00493
AB141P03.genome.CDS.887,group00415
AB141P03.genome.CDS.880,group00466
AB141P03.genome.CDS.881,group00741
AB141P03.genome.CDS.882,group00588
AB141P03.genome.CDS.883,group07471
AB141P03.genome.CDS.798,group01809
AB141P03.genome.CDS.799,group01020
AB141P03.genome.CDS.791,group01080
AB141P03.genome.CDS.792,group03402
AB141P03.genome.CDS.793,group00342
AB141P03.genome.CDS.794,group00346
AB141P03.genome.CDS.795,group00347
AB141P03.genome.CDS.796,group00658
AB141P03.genome.CDS.797,group03556
AB141P03.genome.CDS.247,group00876
AB141P03.genome.CDS.1253,group05408
AB141P03.genome.CDS.1252,group05407
AB141P03.genome.CDS.1251,group00670
AB141P03.genome.CDS.1250,group06006
AB141P03.genome.CDS.1257,group00267
AB141P03.genome.CDS.1256,group00350
AB141P03.genome.CDS.1255,group00603
AB141P03.genome.CDS.1254,group00229
AB141P03.genome.CDS.1259,group00905
AB141P03.genome.CDS.1258,group00673
AB141P03.genome.CDS.1230,group00232
AB141P03.genome.CDS.1329,group12974
AB141P03.genome.CDS.1328,group11996
AB141P03.genome.CDS.1327,group00744
AB141P03.genome.CDS.1326,group01234
AB141P03.genome.CDS.1325,group00365
AB141P03.genome.CDS.1324,group01000
AB141P03.genome.CDS.1323,group00093
AB141P03.genome.CDS.1322,group00353
AB141P03.genome.CDS.1321,group00200
AB141P03.genome.CDS.1320,group00927
AB141P03.genome.CDS.122,group00801
AB141P03.genome.CDS.1151,group09831
AB141P03.genome.CDS.1330,group03766
AB141P03.genome.CDS.1238,group01074
AB141P03.genome.CDS.1077,group00168
AB141P03.genome.CDS.1076,group00294
AB141P03.genome.CDS.1075,group00041
AB141P03.genome.CDS.1074,group00084
AB141P03.genome.CDS.1073,group00012
AB141P03.genome.CDS.1072,group00115
AB141P03.genome.CDS.1178,group00023
AB141P03.genome.CDS.1179,group00198
AB141P03.genome.CDS.1176,group01021
AB141P03.genome.CDS.1177,group04989
AB141P03.genome.CDS.1174,group00001
AB141P03.genome.CDS.1175,group00568
AB141P03.genome.CDS.1172,group00794
AB141P03.genome.CDS.1173,group00497
AB141P03.genome.CDS.1170,group00371
AB141P03.genome.CDS.1171,group00247
AB141P03.genome.CDS.992,group00285
AB141P03.genome.CDS.993,group03124
AB141P03.genome.CDS.990,group10326
AB141P03.genome.CDS.991,group00177
AB141P03.genome.CDS.996,group01013
AB141P03.genome.CDS.997,group00036
AB141P03.genome.CDS.994,group00076
AB141P03.genome.CDS.995,group00807
AB141P03.genome.CDS.629,group10249
AB141P03.genome.CDS.998,group01238
AB141P03.genome.CDS.999,group00103
AB141P03.genome.CDS.908,group00881
AB141P03.genome.CDS.909,group00810
AB141P03.genome.CDS.33,group00261
AB141P03.genome.CDS.905,group00332
AB141P03.genome.CDS.904,group00361
AB141P03.genome.CDS.907,group00441
AB141P03.genome.CDS.906,group00331
AB141P03.genome.CDS.901,group00377
AB141P03.genome.CDS.900,group00145
AB141P03.genome.CDS.903,group00072
AB141P03.genome.CDS.902,group06333
AB141P03.genome.CDS.695,group00850
AB141P03.genome.CDS.694,group00007
AB141P03.genome.CDS.697,group13756
AB141P03.genome.CDS.696,group00796
AB141P03.genome.CDS.691,group00690
AB141P03.genome.CDS.690,group00641
AB141P03.genome.CDS.693,group00948
AB141P03.genome.CDS.692,group00614
AB141P03.genome.CDS.754,group06029
AB141P03.genome.CDS.755,group13668
AB141P03.genome.CDS.756,group08442
AB141P03.genome.CDS.757,group01015
AB141P03.genome.CDS.750,group05875
AB141P03.genome.CDS.751,group09037
AB141P03.genome.CDS.752,group01051
AB141P03.genome.CDS.753,group00395
AB141P03.genome.CDS.941,group00780
AB141P03.genome.CDS.940,group00602
AB141P03.genome.CDS.943,group00069
AB141P03.genome.CDS.942,group01203
AB141P03.genome.CDS.1036,group00137
AAA028G02.genome.CDS.1814,group01178
AB141P03.genome.CDS.1034,group00384
AB141P03.genome.CDS.572,group06547
AB141P03.genome.CDS.1356,group01236
AB141P03.genome.CDS.1357,group06949
AB141P03.genome.CDS.1354,group12003
AB141P03.genome.CDS.1355,group00405
AB141P03.genome.CDS.1352,group12543
AB141P03.genome.CDS.1353,group11641
AB141P03.genome.CDS.1350,group08966
AB141P03.genome.CDS.1351,group10262
AB141P03.genome.CDS.1358,group11924
AB141P03.genome.CDS.1359,group01143
AB141P03.genome.CDS.875,group00446
AB141P03.genome.CDS.874,group00344
AB141P03.genome.CDS.877,group00008
AB141P03.genome.CDS.876,group12985
AB141P03.genome.CDS.871,group01375
AB141P03.genome.CDS.919,group00665
AB141P03.genome.CDS.873,group00611
AB141P03.genome.CDS.872,group07340
AB141P03.genome.CDS.879,group00447
AB141P03.genome.CDS.878,group12069
AB141P03.genome.CDS.1148,group00416
AB141P03.genome.CDS.81,group01664
AB141P03.genome.CDS.1122,group00934
AB141P03.genome.CDS.758,group00754
AB141P03.genome.CDS.759,group01993
AB141P03.genome.CDS.1219,group00056
AB141P03.genome.CDS.1218,group00636
AB141P03.genome.CDS.1217,group00016
AB141P03.genome.CDS.1216,group02401
AB141P03.genome.CDS.1215,group01123
AB141P03.genome.CDS.1214,group00768
AB141P03.genome.CDS.1213,group00134
AB141P03.genome.CDS.1212,group00853
AB141P03.genome.CDS.1211,group00105
AB141P03.genome.CDS.1210,group00106
AB141P03.genome.CDS.1189,group00333
AB141P03.genome.CDS.1188,group00433
AB141P03.genome.CDS.1187,group04116
AB141P03.genome.CDS.1186,group00010
AB141P03.genome.CDS.1185,group09064
AB141P03.genome.CDS.1184,group08977
AB141P03.genome.CDS.1183,group01321
AB141P03.genome.CDS.1182,group11866
AB141P03.genome.CDS.1181,group11516
AB141P03.genome.CDS.1180,group00577
AB141P03.genome.CDS.699,group00508
AB141P03.genome.CDS.698,group00567
AB141P03.genome.CDS.1008,group00340
AB141P03.genome.CDS.1009,group11479
AB141P03.genome.CDS.1006,group00462
AB141P03.genome.CDS.1007,group00016
AB141P03.genome.CDS.1004,group00008
AB141P03.genome.CDS.1005,group00298
AB141P03.genome.CDS.1002,group00697
AB141P03.genome.CDS.1003,group00171
AB141P03.genome.CDS.1000,group00208
AB141P03.genome.CDS.1001,group00510
AB141P03.genome.CDS.1138,group00635
AB141P03.genome.CDS.1139,group00426
AB141P03.genome.CDS.1132,group10212
AB141P03.genome.CDS.1133,group12015
AB141P03.genome.CDS.1130,group00575
AB141P03.genome.CDS.1131,group01129
AB141P03.genome.CDS.1136,group00001
AB141P03.genome.CDS.1137,group00002
AB141P03.genome.CDS.1134,group01638
AB141P03.genome.CDS.1135,group00003
AB141P03.genome.CDS.912,group02263
AB141P03.genome.CDS.652,group08899
AB141P03.genome.CDS.710,group00668
AB141P03.genome.CDS.711,group01003
AB141P03.genome.CDS.712,group00594
AB141P03.genome.CDS.713,group00052
AB141P03.genome.CDS.714,group12056
AB141P03.genome.CDS.715,group00782
AB141P03.genome.CDS.716,group00176
AB141P03.genome.CDS.717,group00982
AB141P03.genome.CDS.718,group00753
AB141P03.genome.CDS.719,group00442
AB141P03.genome.CDS.956,group12383
AB141P03.genome.CDS.957,group04115
AB141P03.genome.CDS.954,group00269
AB141P03.genome.CDS.955,group08213
AB141P03.genome.CDS.952,group08257
AB141P03.genome.CDS.953,group00767
AB141P03.genome.CDS.950,group11259
AB141P03.genome.CDS.951,group00560
AB141P03.genome.CDS.958,group00915
AB141P03.genome.CDS.959,group00959
AB141P03.genome.CDS.731,group00897
AB141P03.genome.CDS.828,group00346
AB141P03.genome.CDS.829,group00342
AB141P03.genome.CDS.826,group00658
AB141P03.genome.CDS.827,group00347
AB141P03.genome.CDS.824,group01809
AB141P03.genome.CDS.825,group03556
AB141P03.genome.CDS.822,group00024
AB141P03.genome.CDS.823,group01020
AB141P03.genome.CDS.820,group08563
AB141P03.genome.CDS.821,group00953
AB141P03.genome.CDS.1094,group00548
