AAA041L13.genome.CDS.4,group05827
AAA041L13.genome.CDS.2536,group05295
AAA041L13.genome.CDS.2537,group13040
AAA041L13.genome.CDS.2538,group06129
AAA041L13.genome.CDS.2539,group06515
AAA041L13.genome.CDS.2826,group05304
AAA041L13.genome.CDS.2049,group00736
AAA041L13.genome.CDS.1579,group00291
AAA041L13.genome.CDS.1578,group00491
AAA041L13.genome.CDS.1575,group00141
AAA041L13.genome.CDS.1574,group00737
AAA041L13.genome.CDS.1577,group00379
AAA041L13.genome.CDS.1576,group01175
AAA041L13.genome.CDS.1571,group00516
AAA041L13.genome.CDS.1570,group00634
AAA041L13.genome.CDS.1573,group00016
AAA041L13.genome.CDS.1572,group00004
AAA041L13.genome.CDS.2778,group08135
AAA041L13.genome.CDS.2779,group06212
AAA041L13.genome.CDS.2046,group00233
AAA041L13.genome.CDS.437,group00803
AAA041L13.genome.CDS.1159,group07335
AAA041L13.genome.CDS.1791,group00415
AAA041L13.genome.CDS.1790,group00493
AAA041L13.genome.CDS.1793,group00527
AAA041L13.genome.CDS.1792,group00556
AAA041L13.genome.CDS.1795,group08763
AAA041L13.genome.CDS.1794,group00107
AAA041L13.genome.CDS.1797,group00162
AAA041L13.genome.CDS.2773,group01253
AAA041L13.genome.CDS.1799,group00313
AAA041L13.genome.CDS.1798,group00859
AAA041L13.genome.CDS.2057,group00633
AAA041L13.genome.CDS.2056,group13830
AAA041L13.genome.CDS.2055,group07209
AAA041L13.genome.CDS.2054,group00475
AAA041L13.genome.CDS.2053,group00735
AAA041L13.genome.CDS.2052,group00343
AAA041L13.genome.CDS.2051,group00620
AAA041L13.genome.CDS.2050,group00799
AAA041L13.genome.CDS.2059,group00611
AAA041L13.genome.CDS.2058,group00344
AAA041L13.genome.CDS.2835,group13148
AAA041L13.genome.CDS.2834,group04459
AAA041L13.genome.CDS.2837,group13146
AAA041L13.genome.CDS.2836,group13147
AAA041L13.genome.CDS.2831,group06573
AAA041L13.genome.CDS.2830,group06153
AAA041L13.genome.CDS.2833,group13639
AAA041L13.genome.CDS.2832,group10919
AAA041L13.genome.CDS.2839,group08454
AAA041L13.genome.CDS.2838,group01630
AAA041L13.genome.CDS.592,group00384
AAA041L13.genome.CDS.2674,group00124
AAA041L13.genome.CDS.2949,group00962
AAA041L13.genome.CDS.2948,group00939
AAA041L13.genome.CDS.2239,group00568
AAA041L13.genome.CDS.2238,group00003
AAA041L13.genome.CDS.2233,group05286
AAA041L13.genome.CDS.2940,group13203
AAA041L13.genome.CDS.2943,group13210
AAA041L13.genome.CDS.2942,group03563
AAA041L13.genome.CDS.2237,group00828
AAA041L13.genome.CDS.2944,group13209
AAA041L13.genome.CDS.2947,group02120
AAA041L13.genome.CDS.2946,group12642
AAA041L13.genome.CDS.2309,group07518
AAA041L13.genome.CDS.2308,group07518
AAA041L13.genome.CDS.2307,group07518
AAA041L13.genome.CDS.2306,group13795
AAA041L13.genome.CDS.2305,group13001
AAA041L13.genome.CDS.2304,group08977
AAA041L13.genome.CDS.2303,group04452
AAA041L13.genome.CDS.2302,group00967
AAA041L13.genome.CDS.2301,group00327
AAA041L13.genome.CDS.2300,group05286
AAA041L13.genome.CDS.1962,group01006
AAA041L13.genome.CDS.1963,group01405
AAA041L13.genome.CDS.1960,group04473
AAA041L13.genome.CDS.1961,group00731
AAA041L13.genome.CDS.1966,group05290
AAA041L13.genome.CDS.1967,group03496
AAA041L13.genome.CDS.1964,group01057
AAA041L13.genome.CDS.1965,group01308
AAA041L13.genome.CDS.1968,group06511
AAA041L13.genome.CDS.1969,group10970
AAA041L13.genome.CDS.1896,group00977
AAA041L13.genome.CDS.1897,group00095
AAA041L13.genome.CDS.1894,group00150
AAA041L13.genome.CDS.1895,group00129
AAA041L13.genome.CDS.1892,group00063
AAA041L13.genome.CDS.1893,group00082
AAA041L13.genome.CDS.1890,group00883
AAA041L13.genome.CDS.1891,group11758
AAA041L13.genome.CDS.1898,group00151
AAA041L13.genome.CDS.1899,group00208
AAA041L13.genome.CDS.2545,group13037
AAA041L13.genome.CDS.2544,group13038
AAA041L13.genome.CDS.2547,group13036
AAA041L13.genome.CDS.2546,group02114
AAA041L13.genome.CDS.2541,group05296
AAA041L13.genome.CDS.2540,group07875
AAA041L13.genome.CDS.2543,group05297
AAA041L13.genome.CDS.2542,group13848
AAA041L13.genome.CDS.2549,group13034
AAA041L13.genome.CDS.2548,group13035
AAA041L13.genome.CDS.2225,group00545
AAA041L13.genome.CDS.2226,group01033
AAA041L13.genome.CDS.2951,group05076
AAA041L13.genome.CDS.2956,group13214
AAA041L13.genome.CDS.2957,group13213
AAA041L13.genome.CDS.2954,group00210
AAA041L13.genome.CDS.2223,group04553
AAA041L13.genome.CDS.2331,group01262
AAA041L13.genome.CDS.1829,group00270
AAA041L13.genome.CDS.2248,group00552
AAA041L13.genome.CDS.1568,group01812
AAA041L13.genome.CDS.1569,group01013
AAA041L13.genome.CDS.1566,group00139
AAA041L13.genome.CDS.1567,group00386
AAA041L13.genome.CDS.1564,group00333
AAA041L13.genome.CDS.1565,group00051
AAA041L13.genome.CDS.1562,group06904
AAA041L13.genome.CDS.1563,group00410
AAA041L13.genome.CDS.1560,group00217
AAA041L13.genome.CDS.1561,group01015
AAA041L13.genome.CDS.1368,group13174
AAA041L13.genome.CDS.1369,group13173
AAA041L13.genome.CDS.101,group11549
AAA041L13.genome.CDS.1417,group13201
AAA041L13.genome.CDS.1414,group05835
AAA041L13.genome.CDS.1419,group13202
AAA041L13.genome.CDS.1782,group00465
AAA041L13.genome.CDS.1783,group00447
AAA041L13.genome.CDS.1780,group01179
AAA041L13.genome.CDS.1781,group00008
AAA041L13.genome.CDS.1786,group00588
AAA041L13.genome.CDS.1787,group07471
AAA041L13.genome.CDS.1784,group00466
AAA041L13.genome.CDS.723,group13869
AAA041L13.genome.CDS.1788,group00585
AAA041L13.genome.CDS.1789,group06501
AAA041L13.genome.CDS.1098,group08749
AAA041L13.genome.CDS.1816,group04510
AAA041L13.genome.CDS.1817,group00764
AAA041L13.genome.CDS.1814,group00697
AAA041L13.genome.CDS.2700,group13098
AAA041L13.genome.CDS.1812,group00810
AAA041L13.genome.CDS.2254,group01011
AAA041L13.genome.CDS.2048,group00890
AAA041L13.genome.CDS.2827,group13143
AAA041L13.genome.CDS.2825,group13142
AAA041L13.genome.CDS.2822,group13640
AAA041L13.genome.CDS.2823,group04455
AAA041L13.genome.CDS.2820,group13134
AAA041L13.genome.CDS.2821,group06141
AAA041L13.genome.CDS.2040,group06264
AAA041L13.genome.CDS.2041,group00754
AAA041L13.genome.CDS.2042,group00315
AAA041L13.genome.CDS.2043,group00359
AAA041L13.genome.CDS.2044,group12041
AAA041L13.genome.CDS.2045,group04311
AAA041L13.genome.CDS.2828,group03560
AAA041L13.genome.CDS.2829,group12820
AAA041L13.genome.CDS.2958,group13959
AAA041L13.genome.CDS.2959,group04313
AAA041L13.genome.CDS.2228,group00256
AAA041L13.genome.CDS.2229,group00478
AAA041L13.genome.CDS.2224,group08213
AAA041L13.genome.CDS.2953,group00278
AAA041L13.genome.CDS.2950,group00768
AAA041L13.genome.CDS.2227,group00592
AAA041L13.genome.CDS.2220,group12961
AAA041L13.genome.CDS.2221,group04555
AAA041L13.genome.CDS.2222,group06022
AAA041L13.genome.CDS.2955,group02904
AAA041L13.genome.CDS.2246,group00582
AAA041L13.genome.CDS.2310,group13000
AAA041L13.genome.CDS.2311,group12999
AAA041L13.genome.CDS.2312,group12998
AAA041L13.genome.CDS.2313,group12997
AAA041L13.genome.CDS.2314,group12996
AAA041L13.genome.CDS.2315,group12995
AAA041L13.genome.CDS.2316,group12994
AAA041L13.genome.CDS.2317,group12993
AAA041L13.genome.CDS.2318,group12992
AAA041L13.genome.CDS.2319,group08158
AAA041L13.genome.CDS.2247,group00035
AAA041L13.genome.CDS.1957,group08758
AAA041L13.genome.CDS.1956,group03558
AAA041L13.genome.CDS.1955,group11566
AAA041L13.genome.CDS.1953,group00766
AAA041L13.genome.CDS.1952,group00044
AAA041L13.genome.CDS.1951,group00375
AAA041L13.genome.CDS.1950,group00897
AAA041L13.genome.CDS.1959,group13204
AAA041L13.genome.CDS.2245,group09469
AAA041L13.genome.CDS.1766,group00389
AAA041L13.genome.CDS.2556,group13049
AAA041L13.genome.CDS.2557,group07790
AAA041L13.genome.CDS.2554,group01158
AAA041L13.genome.CDS.2555,group13050
AAA041L13.genome.CDS.2552,group13031
AAA041L13.genome.CDS.2553,group02904
AAA041L13.genome.CDS.2550,group13033
AAA041L13.genome.CDS.2551,group13032
AAA041L13.genome.CDS.2558,group13047
AAA041L13.genome.CDS.2559,group13046
AAA041L13.genome.CDS.1815,group00722
AAA041L13.genome.CDS.288,group09624
AAA041L13.genome.CDS.1553,group00307
AAA041L13.genome.CDS.1552,group00533
AAA041L13.genome.CDS.1551,group00532
AAA041L13.genome.CDS.1550,group00470
AAA041L13.genome.CDS.1557,group02356
AAA041L13.genome.CDS.1556,group00184
AAA041L13.genome.CDS.1555,group00535
AAA041L13.genome.CDS.1554,group00534
AAA041L13.genome.CDS.1559,group00206
AAA041L13.genome.CDS.1558,group00320
AAA041L13.genome.CDS.1427,group13212
AAA041L13.genome.CDS.1426,group05289
AAA041L13.genome.CDS.1810,group00441
AAA041L13.genome.CDS.2840,group04463
AAA041L13.genome.CDS.2841,group04462
AAA041L13.genome.CDS.2842,group04461
AAA041L13.genome.CDS.2843,group02881
AAA041L13.genome.CDS.2660,group13077
AAA041L13.genome.CDS.2845,group13152
AAA041L13.genome.CDS.1049,group05283
AAA041L13.genome.CDS.1048,group00687
AAA041L13.genome.CDS.2846,group04548
AAA041L13.genome.CDS.2847,group13650
AAA041L13.genome.CDS.513,group13206
AAA041L13.genome.CDS.2039,group11190
AAA041L13.genome.CDS.2038,group00449
AAA041L13.genome.CDS.2035,group00137
AAA041L13.genome.CDS.2034,group00058
AAA041L13.genome.CDS.2036,group00348
AAA041L13.genome.CDS.2031,group07952
AAA041L13.genome.CDS.511,group00260
AAA041L13.genome.CDS.2033,group00194
AAA041L13.genome.CDS.2032,group00873
AAA041L13.genome.CDS.517,group13205
AAA041L13.genome.CDS.2141,group12958
AAA041L13.genome.CDS.2140,group10585
AAA041L13.genome.CDS.2143,group14024
AAA041L13.genome.CDS.2142,group13761
AAA041L13.genome.CDS.2145,group07575
AAA041L13.genome.CDS.2144,group07572
AAA041L13.genome.CDS.2147,group12077
AAA041L13.genome.CDS.2146,group12953
AAA041L13.genome.CDS.2149,group03968
AAA041L13.genome.CDS.2148,group06574
AAA041L13.genome.CDS.2783,group01790
AAA041L13.genome.CDS.2782,group05250
AAA041L13.genome.CDS.2781,group02233
AAA041L13.genome.CDS.2780,group02212
AAA041L13.genome.CDS.2787,group00256
AAA041L13.genome.CDS.2786,group11925
AAA041L13.genome.CDS.2785,group03723
AAA041L13.genome.CDS.2784,group06372
AAA041L13.genome.CDS.2967,group07872
AAA041L13.genome.CDS.2966,group00597
AAA041L13.genome.CDS.2965,group01644
AAA041L13.genome.CDS.2964,group00608
AAA041L13.genome.CDS.2963,group09158
AAA041L13.genome.CDS.2962,group05309
AAA041L13.genome.CDS.2961,group12521
AAA041L13.genome.CDS.2960,group13215
AAA041L13.genome.CDS.2819,group13135
AAA041L13.genome.CDS.2818,group13136
AAA041L13.genome.CDS.2253,group00862
AAA041L13.genome.CDS.2813,group13141
AAA041L13.genome.CDS.2812,group04454
AAA041L13.genome.CDS.2811,group00964
AAA041L13.genome.CDS.2810,group00173
AAA041L13.genome.CDS.2817,group13137
AAA041L13.genome.CDS.2816,group08765
AAA041L13.genome.CDS.2815,group02596
AAA041L13.genome.CDS.2814,group13140
AAA041L13.genome.CDS.2497,group05836
AAA041L13.genome.CDS.2496,group13023
AAA041L13.genome.CDS.2495,group13024
AAA041L13.genome.CDS.2494,group13025
AAA041L13.genome.CDS.2493,group01436
AAA041L13.genome.CDS.2360,group12777
AAA041L13.genome.CDS.2363,group00272
AAA041L13.genome.CDS.2362,group00353
AAA041L13.genome.CDS.1940,group00371
AAA041L13.genome.CDS.1941,group00251
AAA041L13.genome.CDS.1942,group00287
AAA041L13.genome.CDS.1943,group00220
AAA041L13.genome.CDS.2369,group00027
AAA041L13.genome.CDS.1945,group00234
AAA041L13.genome.CDS.2499,group13021
AAA041L13.genome.CDS.2498,group13022
AAA041L13.genome.CDS.2569,group00809
AAA041L13.genome.CDS.2568,group00501
AAA041L13.genome.CDS.2563,group13042
AAA041L13.genome.CDS.2562,group13043
AAA041L13.genome.CDS.2561,group13044
AAA041L13.genome.CDS.2560,group13045
AAA041L13.genome.CDS.2567,group09128
AAA041L13.genome.CDS.2566,group01021
AAA041L13.genome.CDS.2565,group00927
AAA041L13.genome.CDS.2564,group13041
AAA041L13.genome.CDS.24,group00066
AAA041L13.genome.CDS.2769,group01036
AAA041L13.genome.CDS.2768,group01396
AAA041L13.genome.CDS.2761,group00072
AAA041L13.genome.CDS.2760,group00986
AAA041L13.genome.CDS.2763,group00094
AAA041L13.genome.CDS.2762,group00062
AAA041L13.genome.CDS.2765,group01964
AAA041L13.genome.CDS.2764,group01450
AAA041L13.genome.CDS.2767,group06470
AAA041L13.genome.CDS.2766,group01398
AAA041L13.genome.CDS.1904,group01299
AAA041L13.genome.CDS.2610,group13058
AAA041L13.genome.CDS.935,group13004
AAA041L13.genome.CDS.2613,group04032
AAA041L13.genome.CDS.1907,group01735
AAA041L13.genome.CDS.1900,group00273
AAA041L13.genome.CDS.2614,group00480
AAA041L13.genome.CDS.2617,group13066
AAA041L13.genome.CDS.2616,group13067
AAA041L13.genome.CDS.2652,group00714
AAA041L13.genome.CDS.1524,group02335
AAA041L13.genome.CDS.2690,group02350
AAA041L13.genome.CDS.1544,group12780
AAA041L13.genome.CDS.1545,group00901
AAA041L13.genome.CDS.1546,group00321
AAA041L13.genome.CDS.1547,group00242
AAA041L13.genome.CDS.1541,group07142
AAA041L13.genome.CDS.1542,group00458
AAA041L13.genome.CDS.1543,group08442
AAA041L13.genome.CDS.1548,group00030
AAA041L13.genome.CDS.1549,group08653
AAA041L13.genome.CDS.1300,group12009
AAA041L13.genome.CDS.2295,group04405
AAA041L13.genome.CDS.2294,group00748
AAA041L13.genome.CDS.2297,group01389
AAA041L13.genome.CDS.2920,group00438
AAA041L13.genome.CDS.2927,group13626
AAA041L13.genome.CDS.2290,group00161
AAA041L13.genome.CDS.2925,group01392
AAA041L13.genome.CDS.2292,group09090
AAA041L13.genome.CDS.1059,group03973
AAA041L13.genome.CDS.2028,group00083
AAA041L13.genome.CDS.2029,group00053
AAA041L13.genome.CDS.2026,group00061
AAA041L13.genome.CDS.2027,group00265
AAA041L13.genome.CDS.2024,group00656
AAA041L13.genome.CDS.2025,group05119
AAA041L13.genome.CDS.2023,group00207
AAA041L13.genome.CDS.2020,group02250
AAA041L13.genome.CDS.2021,group09996
AAA041L13.genome.CDS.2152,group12087
AAA041L13.genome.CDS.2153,group08457
AAA041L13.genome.CDS.2150,group12137
AAA041L13.genome.CDS.2151,group12948
AAA041L13.genome.CDS.2156,group12944
AAA041L13.genome.CDS.2157,group07127
AAA041L13.genome.CDS.2154,group05291
AAA041L13.genome.CDS.2155,group13992
AAA041L13.genome.CDS.2158,group01487
AAA041L13.genome.CDS.2159,group04578
AAA041L13.genome.CDS.2794,group04458
AAA041L13.genome.CDS.2795,group04281
AAA041L13.genome.CDS.2796,group04457
AAA041L13.genome.CDS.2797,group00133
AAA041L13.genome.CDS.2790,group13126
AAA041L13.genome.CDS.2791,group04459
AAA041L13.genome.CDS.2793,group03723
AAA041L13.genome.CDS.2798,group00831
AAA041L13.genome.CDS.2799,group00480
AAA041L13.genome.CDS.2808,group00295
AAA041L13.genome.CDS.2809,group12420
AAA041L13.genome.CDS.2804,group05303
AAA041L13.genome.CDS.2805,group10883
AAA041L13.genome.CDS.2806,group00102
AAA041L13.genome.CDS.2807,group00196
AAA041L13.genome.CDS.2800,group00135
AAA041L13.genome.CDS.2801,group00328
AAA041L13.genome.CDS.2802,group00487
AAA041L13.genome.CDS.2803,group00547
AAA041L13.genome.CDS.2332,group01467
AAA041L13.genome.CDS.2333,group13003
AAA041L13.genome.CDS.2446,group00969
AAA041L13.genome.CDS.2376,group00185
AAA041L13.genome.CDS.2377,group00076
AAA041L13.genome.CDS.2374,group00994
AAA041L13.genome.CDS.2375,group06324
AAA041L13.genome.CDS.2372,group00726
AAA041L13.genome.CDS.1938,group00753
AAA041L13.genome.CDS.2370,group00240
AAA041L13.genome.CDS.2371,group00225
AAA041L13.genome.CDS.1935,group00785
AAA041L13.genome.CDS.2336,group00524
AAA041L13.genome.CDS.1937,group00981
AAA041L13.genome.CDS.1936,group00176
AAA041L13.genome.CDS.1931,group01000
AAA041L13.genome.CDS.1930,group00668
AAA041L13.genome.CDS.1933,group00052
AAA041L13.genome.CDS.1932,group00590
AAA041L13.genome.CDS.2488,group03560
AAA041L13.genome.CDS.2489,group13026
AAA041L13.genome.CDS.2334,group12863
AAA041L13.genome.CDS.2480,group00014
AAA041L13.genome.CDS.2481,group02332
AAA041L13.genome.CDS.2482,group02330
AAA041L13.genome.CDS.2443,group00991
AAA041L13.genome.CDS.2484,group13030
AAA041L13.genome.CDS.2485,group13029
AAA041L13.genome.CDS.2486,group06282
AAA041L13.genome.CDS.2487,group13027
AAA041L13.genome.CDS.2579,group11641
AAA041L13.genome.CDS.2574,group00780
AAA041L13.genome.CDS.2575,group00602
AAA041L13.genome.CDS.2576,group00623
AAA041L13.genome.CDS.2577,group05298
AAA041L13.genome.CDS.2570,group00267
AAA041L13.genome.CDS.2571,group01056
AAA041L13.genome.CDS.2572,group13052
AAA041L13.genome.CDS.2573,group00069
AAA041L13.genome.CDS.1841,group01231
AAA041L13.genome.CDS.1840,group00474
AAA041L13.genome.CDS.1843,group00744
AAA041L13.genome.CDS.1842,group01235
AAA041L13.genome.CDS.1845,group04449
AAA041L13.genome.CDS.1844,group00843
AAA041L13.genome.CDS.1847,group13751
AAA041L13.genome.CDS.1846,group00692
AAA041L13.genome.CDS.2772,group00892
AAA041L13.genome.CDS.1848,group00576
AAA041L13.genome.CDS.2770,group00776
AAA041L13.genome.CDS.2771,group00728
AAA041L13.genome.CDS.2776,group01080
AAA041L13.genome.CDS.2777,group11819
AAA041L13.genome.CDS.2774,group01053
AAA041L13.genome.CDS.2775,group04465
AAA041L13.genome.CDS.1973,group08563
AAA041L13.genome.CDS.1972,group01515
AAA041L13.genome.CDS.1979,group02420
AAA041L13.genome.CDS.1978,group00031
AAA041L13.genome.CDS.1689,group01008
AAA041L13.genome.CDS.1688,group00911
AAA041L13.genome.CDS.1683,group00686
AAA041L13.genome.CDS.1682,group00982
AAA041L13.genome.CDS.1681,group06053
AAA041L13.genome.CDS.1687,group10917
AAA041L13.genome.CDS.1686,group00071
AAA041L13.genome.CDS.1685,group04329
AAA041L13.genome.CDS.1684,group00683
AAA041L13.genome.CDS.1449,group04479
AAA041L13.genome.CDS.1448,group13604
AAA041L13.genome.CDS.1444,group08165
AAA041L13.genome.CDS.1447,group01127
AAA041L13.genome.CDS.1446,group01083
AAA041L13.genome.CDS.1441,group09996
AAA041L13.genome.CDS.1948,group00922
AAA041L13.genome.CDS.1443,group01620
AAA041L13.genome.CDS.1442,group01760
AAA041L13.genome.CDS.1949,group00128
AAA041L13.genome.CDS.2012,group01969
AAA041L13.genome.CDS.2011,group02100
AAA041L13.genome.CDS.2010,group03447
AAA041L13.genome.CDS.2017,group13630
AAA041L13.genome.CDS.2016,group00058
AAA041L13.genome.CDS.2015,group01596
AAA041L13.genome.CDS.2014,group12809
AAA041L13.genome.CDS.2019,group00081
AAA041L13.genome.CDS.2018,group08086
AAA041L13.genome.CDS.1599,group00339
AAA041L13.genome.CDS.1598,group00953
AAA041L13.genome.CDS.1597,group00009
AAA041L13.genome.CDS.1596,group06333
AAA041L13.genome.CDS.1595,group00990
AAA041L13.genome.CDS.1594,group00405
AAA041L13.genome.CDS.1593,group00031
AAA041L13.genome.CDS.1592,group00261
AAA041L13.genome.CDS.1591,group00599
AAA041L13.genome.CDS.1590,group00719
AAA041L13.genome.CDS.2167,group11058
AAA041L13.genome.CDS.2166,group12410
AAA041L13.genome.CDS.2165,group05742
AAA041L13.genome.CDS.2164,group01355
AAA041L13.genome.CDS.2163,group00829
AAA041L13.genome.CDS.2162,group12940
AAA041L13.genome.CDS.2161,group04556
AAA041L13.genome.CDS.2160,group06157
AAA041L13.genome.CDS.2169,group04350
AAA041L13.genome.CDS.2168,group00742
AAA041L13.genome.CDS.2905,group01380
AAA041L13.genome.CDS.2904,group00847
AAA041L13.genome.CDS.2907,group04456
AAA041L13.genome.CDS.2906,group00388
AAA041L13.genome.CDS.2901,group04464
AAA041L13.genome.CDS.2903,group00148
AAA041L13.genome.CDS.2902,group05306
AAA041L13.genome.CDS.2909,group05826
AAA041L13.genome.CDS.1928,group00029
AAA041L13.genome.CDS.1929,group08329
AAA041L13.genome.CDS.1926,group00817
AAA041L13.genome.CDS.1927,group01176
AAA041L13.genome.CDS.1924,group00858
AAA041L13.genome.CDS.1925,group09064
AAA041L13.genome.CDS.1922,group04327
AAA041L13.genome.CDS.1923,group00266
AAA041L13.genome.CDS.1920,group00306
AAA041L13.genome.CDS.1921,group13207
AAA041L13.genome.CDS.2646,group00711
AAA041L13.genome.CDS.2349,group00001
AAA041L13.genome.CDS.2348,group00002
AAA041L13.genome.CDS.2863,group04728
AAA041L13.genome.CDS.2343,group00140
AAA041L13.genome.CDS.2342,group03110
AAA041L13.genome.CDS.2341,group00221
AAA041L13.genome.CDS.2340,group00153
AAA041L13.genome.CDS.2347,group00632
AAA041L13.genome.CDS.2346,group00794
AAA041L13.genome.CDS.2345,group00203
AAA041L13.genome.CDS.2344,group00026
AAA041L13.genome.CDS.2645,group12865
AAA041L13.genome.CDS.2642,group00589
AAA041L13.genome.CDS.2865,group13159
AAA041L13.genome.CDS.2581,group13054
AAA041L13.genome.CDS.2580,group13509
AAA041L13.genome.CDS.2583,group00755
AAA041L13.genome.CDS.2582,group13053
AAA041L13.genome.CDS.2585,group11006
AAA041L13.genome.CDS.2584,group01012
AAA041L13.genome.CDS.2587,group00788
AAA041L13.genome.CDS.2586,group00979
AAA041L13.genome.CDS.2589,group00475
AAA041L13.genome.CDS.2588,group00735
AAA041L13.genome.CDS.1852,group00889
AAA041L13.genome.CDS.1853,group00024
AAA041L13.genome.CDS.1850,group00536
AAA041L13.genome.CDS.1851,group00308
