AAA027E14.genome.CDS.1398,group00502
AAA027E14.genome.CDS.846,group01487
AAA027E14.genome.CDS.845,group01424
AAA027E14.genome.CDS.844,group12755
AAA027E14.genome.CDS.843,group01186
AAA027E14.genome.CDS.842,group00395
AAA027E14.genome.CDS.841,group00021
AAA027E14.genome.CDS.840,group12756
AAA027E14.genome.CDS.849,group05078
AAA027E14.genome.CDS.848,group01318
AAA027E14.genome.CDS.1188,group02637
AAA027E14.genome.CDS.1189,group02422
AAA027E14.genome.CDS.1186,group00941
AAA027E14.genome.CDS.1187,group00779
AAA027E14.genome.CDS.1184,group01540
AAA027E14.genome.CDS.1185,group02005
AAA027E14.genome.CDS.1182,group00907
AAA027E14.genome.CDS.1183,group01273
AAA027E14.genome.CDS.1180,group00814
AAA027E14.genome.CDS.974,group00151
AAA027E14.genome.CDS.366,group03837
AAA027E14.genome.CDS.367,group02470
AAA027E14.genome.CDS.1357,group00023
AAA027E14.genome.CDS.1356,group02343
AAA027E14.genome.CDS.1355,group02181
AAA027E14.genome.CDS.1353,group12727
AAA027E14.genome.CDS.1352,group12728
AAA027E14.genome.CDS.1351,group12729
AAA027E14.genome.CDS.1350,group12730
AAA027E14.genome.CDS.1359,group01608
AAA027E14.genome.CDS.1358,group01504
AAA027E14.genome.CDS.1342,group12732
AAA027E14.genome.CDS.1218,group00185
AAA027E14.genome.CDS.1219,group00402
AAA027E14.genome.CDS.1216,group01070
AAA027E14.genome.CDS.1217,group00749
AAA027E14.genome.CDS.1214,group01474
AAA027E14.genome.CDS.1215,group01048
AAA027E14.genome.CDS.1212,group01358
AAA027E14.genome.CDS.1213,group01478
AAA027E14.genome.CDS.1210,group01702
AAA027E14.genome.CDS.1211,group00242
AAA027E14.genome.CDS.1068,group00355
AAA027E14.genome.CDS.1436,group05574
AAA027E14.genome.CDS.1437,group02492
AAA027E14.genome.CDS.1434,group02208
AAA027E14.genome.CDS.1435,group00901
AAA027E14.genome.CDS.1432,group00901
AAA027E14.genome.CDS.1433,group02050
AAA027E14.genome.CDS.1430,group01207
AAA027E14.genome.CDS.1431,group02182
AAA027E14.genome.CDS.1438,group00559
AAA027E14.genome.CDS.1439,group01651
AAA027E14.genome.CDS.1502,group00378
AAA027E14.genome.CDS.1503,group00349
AAA027E14.genome.CDS.1500,group05545
AAA027E14.genome.CDS.1501,group00290
AAA027E14.genome.CDS.1506,group00265
AAA027E14.genome.CDS.1507,group12748
AAA027E14.genome.CDS.1504,group00053
AAA027E14.genome.CDS.1505,group00083
AAA027E14.genome.CDS.1508,group12759
AAA027E14.genome.CDS.1509,group12758
AAA027E14.genome.CDS.1139,group00486
AAA027E14.genome.CDS.1138,group02559
AAA027E14.genome.CDS.1029,group01998
AAA027E14.genome.CDS.1133,group02073
AAA027E14.genome.CDS.911,group01113
AAA027E14.genome.CDS.1131,group00220
AAA027E14.genome.CDS.1130,group00440
AAA027E14.genome.CDS.1137,group00442
AAA027E14.genome.CDS.1136,group01691
AAA027E14.genome.CDS.1135,group00372
AAA027E14.genome.CDS.1134,group00251
AAA027E14.genome.CDS.376,group01627
AAA027E14.genome.CDS.661,group00793
AAA027E14.genome.CDS.666,group12743
AAA027E14.genome.CDS.946,group00393
AAA027E14.genome.CDS.947,group00838
AAA027E14.genome.CDS.944,group00519
AAA027E14.genome.CDS.945,group00720
AAA027E14.genome.CDS.1146,group00839
AAA027E14.genome.CDS.1009,group01683
AAA027E14.genome.CDS.1008,group01137
AAA027E14.genome.CDS.1007,group01182
AAA027E14.genome.CDS.919,group01609
AAA027E14.genome.CDS.1005,group01265
AAA027E14.genome.CDS.1004,group12780
AAA027E14.genome.CDS.1003,group01182
AAA027E14.genome.CDS.1002,group01866
AAA027E14.genome.CDS.1001,group00012
AAA027E14.genome.CDS.918,group04220
AAA027E14.genome.CDS.797,group02572
AAA027E14.genome.CDS.1479,group00922
AAA027E14.genome.CDS.799,group02581
AAA027E14.genome.CDS.798,group02571
AAA027E14.genome.CDS.883,group01136
AAA027E14.genome.CDS.881,group01190
AAA027E14.genome.CDS.880,group02029
AAA027E14.genome.CDS.887,group01248
AAA027E14.genome.CDS.886,group01183
AAA027E14.genome.CDS.885,group01006
AAA027E14.genome.CDS.884,group00518
AAA027E14.genome.CDS.1083,group02385
AAA027E14.genome.CDS.889,group01249
AAA027E14.genome.CDS.497,group12739
AAA027E14.genome.CDS.1082,group00479
AAA027E14.genome.CDS.129,group00759
AAA027E14.genome.CDS.1388,group01642
AAA027E14.genome.CDS.531,group12738
AAA027E14.genome.CDS.1389,group01987
AAA027E14.genome.CDS.838,group03673
AAA027E14.genome.CDS.839,group01251
AAA027E14.genome.CDS.836,group04177
AAA027E14.genome.CDS.837,group12757
AAA027E14.genome.CDS.835,group02879
AAA027E14.genome.CDS.832,group00132
AAA027E14.genome.CDS.833,group00774
AAA027E14.genome.CDS.830,group00567
AAA027E14.genome.CDS.831,group00155
AAA027E14.genome.CDS.1313,group00295
AAA027E14.genome.CDS.1312,group00334
AAA027E14.genome.CDS.1310,group00371
AAA027E14.genome.CDS.1317,group00085
AAA027E14.genome.CDS.1316,group00697
AAA027E14.genome.CDS.1315,group00101
AAA027E14.genome.CDS.1314,group00196
AAA027E14.genome.CDS.1319,group00294
AAA027E14.genome.CDS.1318,group00041
AAA027E14.genome.CDS.232,group00058
AAA027E14.genome.CDS.297,group03019
AAA027E14.genome.CDS.1383,group01509
AAA027E14.genome.CDS.1267,group00009
AAA027E14.genome.CDS.1266,group01753
AAA027E14.genome.CDS.1265,group01137
AAA027E14.genome.CDS.1264,group01977
AAA027E14.genome.CDS.1263,group01880
AAA027E14.genome.CDS.1262,group02003
AAA027E14.genome.CDS.1261,group01680
AAA027E14.genome.CDS.1260,group01864
AAA027E14.genome.CDS.1384,group01195
AAA027E14.genome.CDS.1385,group02272
AAA027E14.genome.CDS.1386,group01721
AAA027E14.genome.CDS.1387,group01086
AAA027E14.genome.CDS.1380,group01618
AAA027E14.genome.CDS.1381,group01961
AAA027E14.genome.CDS.1269,group01017
AAA027E14.genome.CDS.1268,group01140
AAA027E14.genome.CDS.1548,group01432
AAA027E14.genome.CDS.1549,group01718
AAA027E14.genome.CDS.1546,group01722
AAA027E14.genome.CDS.1547,group01720
AAA027E14.genome.CDS.1544,group00995
AAA027E14.genome.CDS.1545,group00626
AAA027E14.genome.CDS.1542,group01423
AAA027E14.genome.CDS.1543,group01344
AAA027E14.genome.CDS.1540,group02000
AAA027E14.genome.CDS.1541,group00670
AAA027E14.genome.CDS.960,group01661
AAA027E14.genome.CDS.1020,group12707
AAA027E14.genome.CDS.961,group00366
AAA027E14.genome.CDS.1449,group00534
AAA027E14.genome.CDS.1448,group12746
AAA027E14.genome.CDS.1447,group01766
AAA027E14.genome.CDS.1446,group00351
AAA027E14.genome.CDS.1445,group01572
AAA027E14.genome.CDS.1444,group01380
AAA027E14.genome.CDS.1443,group12741
AAA027E14.genome.CDS.1442,group12742
AAA027E14.genome.CDS.1441,group00174
AAA027E14.genome.CDS.1440,group01550
AAA027E14.genome.CDS.1160,group03412
AAA027E14.genome.CDS.1161,group02658
AAA027E14.genome.CDS.1162,group04897
AAA027E14.genome.CDS.1163,group03926
AAA027E14.genome.CDS.1166,group04896
AAA027E14.genome.CDS.1167,group12717
AAA027E14.genome.CDS.1168,group02844
AAA027E14.genome.CDS.1169,group12716
AAA027E14.genome.CDS.902,group01213
AAA027E14.genome.CDS.1021,group12706
AAA027E14.genome.CDS.1049,group03049
AAA027E14.genome.CDS.901,group00178
AAA027E14.genome.CDS.906,group01245
AAA027E14.genome.CDS.907,group00303
AAA027E14.genome.CDS.904,group00866
AAA027E14.genome.CDS.905,group01214
AAA027E14.genome.CDS.1043,group01154
AAA027E14.genome.CDS.1042,group02370
AAA027E14.genome.CDS.908,group01323
AAA027E14.genome.CDS.1040,group01563
AAA027E14.genome.CDS.1047,group01036
AAA027E14.genome.CDS.1046,group02574
AAA027E14.genome.CDS.1045,group01177
AAA027E14.genome.CDS.1044,group01125
AAA027E14.genome.CDS.1517,group01635
AAA027E14.genome.CDS.696,group01542
AAA027E14.genome.CDS.999,group00453
AAA027E14.genome.CDS.998,group00392
AAA027E14.genome.CDS.995,group00183
AAA027E14.genome.CDS.994,group02046
AAA027E14.genome.CDS.997,group01837
AAA027E14.genome.CDS.996,group03439
AAA027E14.genome.CDS.991,group00389
AAA027E14.genome.CDS.990,group00431
AAA027E14.genome.CDS.993,group00116
AAA027E14.genome.CDS.992,group00426
AAA027E14.genome.CDS.1258,group00731
AAA027E14.genome.CDS.1159,group03173
AAA027E14.genome.CDS.1511,group02079
AAA027E14.genome.CDS.1011,group00005
AAA027E14.genome.CDS.1409,group02312
AAA027E14.genome.CDS.576,group01384
AAA027E14.genome.CDS.1408,group02158
AAA027E14.genome.CDS.1018,group12708
AAA027E14.genome.CDS.1403,group01807
AAA027E14.genome.CDS.878,group00410
AAA027E14.genome.CDS.879,group00353
AAA027E14.genome.CDS.1402,group01660
AAA027E14.genome.CDS.872,group01699
AAA027E14.genome.CDS.873,group00156
AAA027E14.genome.CDS.870,group01479
AAA027E14.genome.CDS.871,group01993
AAA027E14.genome.CDS.876,group01201
AAA027E14.genome.CDS.874,group00124
AAA027E14.genome.CDS.875,group00292
AAA027E14.genome.CDS.1400,group00056
AAA027E14.genome.CDS.270,group01600
AAA027E14.genome.CDS.1407,group02159
AAA027E14.genome.CDS.1154,group01877
AAA027E14.genome.CDS.1157,group01700
AAA027E14.genome.CDS.1156,group03789
AAA027E14.genome.CDS.1223,group02063
AAA027E14.genome.CDS.1349,group02933
AAA027E14.genome.CDS.1221,group00456
AAA027E14.genome.CDS.1220,group00476
AAA027E14.genome.CDS.1227,group01444
AAA027E14.genome.CDS.1226,group00270
AAA027E14.genome.CDS.1225,group00076
AAA027E14.genome.CDS.1224,group00483
AAA027E14.genome.CDS.1340,group12735
AAA027E14.genome.CDS.1341,group12734
AAA027E14.genome.CDS.1229,group02232
AAA027E14.genome.CDS.1343,group00805
AAA027E14.genome.CDS.1344,group00830
AAA027E14.genome.CDS.1346,group02782
AAA027E14.genome.CDS.1347,group01811
AAA027E14.genome.CDS.306,group01513
AAA027E14.genome.CDS.1537,group05374
AAA027E14.genome.CDS.1536,group12768
AAA027E14.genome.CDS.1534,group12769
AAA027E14.genome.CDS.1533,group03385
AAA027E14.genome.CDS.1532,group01074
AAA027E14.genome.CDS.1531,group01287
AAA027E14.genome.CDS.1530,group01278
AAA027E14.genome.CDS.1539,group12766
AAA027E14.genome.CDS.1538,group12767
AAA027E14.genome.CDS.1087,group03936
AAA027E14.genome.CDS.1086,group00019
AAA027E14.genome.CDS.1085,group05583
AAA027E14.genome.CDS.1084,group01014
AAA027E14.genome.CDS.1128,group02167
AAA027E14.genome.CDS.1129,group00460
AAA027E14.genome.CDS.1081,group00863
AAA027E14.genome.CDS.1080,group01230
AAA027E14.genome.CDS.1124,group12714
AAA027E14.genome.CDS.1125,group00742
AAA027E14.genome.CDS.1126,group00173
AAA027E14.genome.CDS.1127,group00032
AAA027E14.genome.CDS.1120,group00201
AAA027E14.genome.CDS.1089,group01590
AAA027E14.genome.CDS.1088,group01368
AAA027E14.genome.CDS.657,group12745
AAA027E14.genome.CDS.1010,group01941
AAA027E14.genome.CDS.1158,group02358
AAA027E14.genome.CDS.1012,group00740
AAA027E14.genome.CDS.1013,group12779
AAA027E14.genome.CDS.1014,group01584
AAA027E14.genome.CDS.1015,group02827
AAA027E14.genome.CDS.1016,group00788
AAA027E14.genome.CDS.1017,group12778
AAA027E14.genome.CDS.1151,group01421
AAA027E14.genome.CDS.1150,group00847
AAA027E14.genome.CDS.1401,group00575
AAA027E14.genome.CDS.1152,group04171
AAA027E14.genome.CDS.1155,group12718
AAA027E14.genome.CDS.1406,group01614
AAA027E14.genome.CDS.1405,group01338
AAA027E14.genome.CDS.1404,group01084
AAA027E14.genome.CDS.959,group00252
AAA027E14.genome.CDS.958,group00376
AAA027E14.genome.CDS.1048,group00487
AAA027E14.genome.CDS.951,group00445
AAA027E14.genome.CDS.950,group00268
AAA027E14.genome.CDS.953,group00404
AAA027E14.genome.CDS.952,group00326
AAA027E14.genome.CDS.955,group00461
AAA027E14.genome.CDS.954,group00492
AAA027E14.genome.CDS.956,group01472
AAA027E14.genome.CDS.1231,group01578
AAA027E14.genome.CDS.1498,group01306
AAA027E14.genome.CDS.81,group01112
AAA027E14.genome.CDS.1041,group01362
AAA027E14.genome.CDS.909,group01631
AAA027E14.genome.CDS.717,group12761
AAA027E14.genome.CDS.910,group01324
AAA027E14.genome.CDS.139,group12776
AAA027E14.genome.CDS.353,group12720
AAA027E14.genome.CDS.821,group01689
AAA027E14.genome.CDS.820,group02348
AAA027E14.genome.CDS.823,group00761
AAA027E14.genome.CDS.822,group00236
AAA027E14.genome.CDS.825,group02183
AAA027E14.genome.CDS.824,group00934
AAA027E14.genome.CDS.827,group00100
AAA027E14.genome.CDS.826,group00099
AAA027E14.genome.CDS.829,group02349
AAA027E14.genome.CDS.828,group00131
AAA027E14.genome.CDS.1304,group05577
AAA027E14.genome.CDS.1305,group02578
AAA027E14.genome.CDS.1306,group00420
AAA027E14.genome.CDS.1307,group00694
AAA027E14.genome.CDS.1300,group01808
AAA027E14.genome.CDS.1301,group00073
AAA027E14.genome.CDS.1302,group00189
AAA027E14.genome.CDS.1303,group00526
AAA027E14.genome.CDS.1561,group00869
AAA027E14.genome.CDS.1308,group01068
AAA027E14.genome.CDS.1309,group01097
AAA027E14.genome.CDS.1253,group00777
AAA027E14.genome.CDS.1071,group01106
AAA027E14.genome.CDS.1250,group02800
AAA027E14.genome.CDS.1285,group01345
AAA027E14.genome.CDS.1284,group12722
AAA027E14.genome.CDS.1287,group01743
AAA027E14.genome.CDS.1286,group00513
AAA027E14.genome.CDS.1281,group00869
AAA027E14.genome.CDS.1280,group00364
AAA027E14.genome.CDS.1283,group02262
AAA027E14.genome.CDS.1282,group12721
AAA027E14.genome.CDS.1289,group02164
AAA027E14.genome.CDS.1288,group01194
AAA027E14.genome.CDS.1228,group01835
AAA027E14.genome.CDS.1371,group02367
AAA027E14.genome.CDS.1370,group02818
AAA027E14.genome.CDS.1373,group02191
AAA027E14.genome.CDS.1372,group00142
AAA027E14.genome.CDS.1375,group01449
AAA027E14.genome.CDS.1374,group01400
AAA027E14.genome.CDS.1377,group12726
AAA027E14.genome.CDS.1379,group01876
AAA027E14.genome.CDS.1378,group01268
AAA027E14.genome.CDS.1278,group00413
AAA027E14.genome.CDS.1572,group00854
AAA027E14.genome.CDS.1571,group00792
AAA027E14.genome.CDS.1570,group00848
AAA027E14.genome.CDS.1577,group00681
AAA027E14.genome.CDS.1576,group05366
AAA027E14.genome.CDS.1575,group00820
AAA027E14.genome.CDS.1574,group00873
AAA027E14.genome.CDS.1270,group00200
AAA027E14.genome.CDS.1271,group00508
AAA027E14.genome.CDS.1579,group12770
AAA027E14.genome.CDS.1273,group00021
AAA027E14.genome.CDS.1274,group00839
AAA027E14.genome.CDS.1275,group04094
AAA027E14.genome.CDS.1276,group00235
AAA027E14.genome.CDS.1277,group00414
AAA027E14.genome.CDS.1599,group12773
AAA027E14.genome.CDS.1451,group02838
AAA027E14.genome.CDS.1452,group05384
AAA027E14.genome.CDS.1453,group02155
AAA027E14.genome.CDS.1454,group02651
AAA027E14.genome.CDS.1455,group00510
AAA027E14.genome.CDS.1456,group00069
AAA027E14.genome.CDS.1457,group00207
AAA027E14.genome.CDS.1591,group01296
AAA027E14.genome.CDS.1590,group00113
AAA027E14.genome.CDS.1593,group02420
AAA027E14.genome.CDS.1592,group00576
AAA027E14.genome.CDS.1595,group03119
AAA027E14.genome.CDS.1594,group01744
AAA027E14.genome.CDS.1597,group12771
AAA027E14.genome.CDS.1596,group12772
AAA027E14.genome.CDS.1115,group01272
AAA027E14.genome.CDS.1114,group01295
AAA027E14.genome.CDS.1117,group02651
AAA027E14.genome.CDS.1116,group00831
AAA027E14.genome.CDS.1111,group01983
AAA027E14.genome.CDS.1110,group02108
AAA027E14.genome.CDS.1113,group00302
AAA027E14.genome.CDS.1112,group02132
AAA027E14.genome.CDS.1119,group03572
AAA027E14.genome.CDS.1118,group02651
AAA027E14.genome.CDS.915,group01731
AAA027E14.genome.CDS.914,group00933
AAA027E14.genome.CDS.917,group02192
AAA027E14.genome.CDS.916,group02339
AAA027E14.genome.CDS.1058,group00572
AAA027E14.genome.CDS.1059,group01394
AAA027E14.genome.CDS.913,group01979
AAA027E14.genome.CDS.912,group00981
AAA027E14.genome.CDS.1054,group00577
AAA027E14.genome.CDS.1490,group01636
AAA027E14.genome.CDS.1056,group01479
AAA027E14.genome.CDS.1057,group00478
AAA027E14.genome.CDS.1050,group03431
AAA027E14.genome.CDS.1051,group02064
AAA027E14.genome.CDS.1052,group02813
AAA027E14.genome.CDS.1053,group00042
AAA027E14.genome.CDS.767,group00862
AAA027E14.genome.CDS.760,group03575
AAA027E14.genome.CDS.1483,group00503
AAA027E14.genome.CDS.1367,group04576
AAA027E14.genome.CDS.612,group00330
AAA027E14.genome.CDS.1028,group01305
AAA027E14.genome.CDS.962,group00296
AAA027E14.genome.CDS.963,group00297
AAA027E14.genome.CDS.964,group00227
AAA027E14.genome.CDS.965,group03832
AAA027E14.genome.CDS.966,group00444
AAA027E14.genome.CDS.967,group00048
AAA027E14.genome.CDS.968,group00063
AAA027E14.genome.CDS.969,group00082
AAA027E14.genome.CDS.1023,group01758
AAA027E14.genome.CDS.1022,group01568
AAA027E14.genome.CDS.1025,group03487
AAA027E14.genome.CDS.1024,group00010
AAA027E14.genome.CDS.1027,group01595
AAA027E14.genome.CDS.1026,group01655
AAA027E14.genome.CDS.869,group01751
AAA027E14.genome.CDS.868,group01943
AAA027E14.genome.CDS.865,group00927
AAA027E14.genome.CDS.1560,group12763
AAA027E14.genome.CDS.867,group01335
AAA027E14.genome.CDS.866,group12749
AAA027E14.genome.CDS.861,group00751
AAA027E14.genome.CDS.860,group00014
AAA027E14.genome.CDS.863,group00968
AAA027E14.genome.CDS.862,group00809
AAA027E14.genome.CDS.267,group12712
AAA027E14.genome.CDS.143,group12775
AAA027E14.genome.CDS.383,group00271
AAA027E14.genome.CDS.943,group00584
AAA027E14.genome.CDS.818,group01288
AAA027E14.genome.CDS.819,group02233
AAA027E14.genome.CDS.940,group12777
AAA027E14.genome.CDS.1006,group00434
AAA027E14.genome.CDS.542,group12733
AAA027E14.genome.CDS.1201,group01612
AAA027E14.genome.CDS.812,group05382
AAA027E14.genome.CDS.813,group02175
AAA027E14.genome.CDS.546,group12731
AAA027E14.genome.CDS.547,group01767
AAA027E14.genome.CDS.816,group01625
AAA027E14.genome.CDS.817,group00119
AAA027E14.genome.CDS.1234,group01271
AAA027E14.genome.CDS.810,group04053
AAA027E14.genome.CDS.1236,group00005
AAA027E14.genome.CDS.1237,group00403
AAA027E14.genome.CDS.1230,group02231
AAA027E14.genome.CDS.1338,group03688
AAA027E14.genome.CDS.1232,group01382
AAA027E14.genome.CDS.1233,group01414
AAA027E14.genome.CDS.1335,group03088
AAA027E14.genome.CDS.1334,group01041
AAA027E14.genome.CDS.1337,group12736
AAA027E14.genome.CDS.1336,group12737
AAA027E14.genome.CDS.1331,group00040
AAA027E14.genome.CDS.1239,group02168
AAA027E14.genome.CDS.1333,group02021
AAA027E14.genome.CDS.1332,group01415
AAA027E14.genome.CDS.1098,group01192
AAA027E14.genome.CDS.1099,group02193
AAA027E14.genome.CDS.1090,group00778
AAA027E14.genome.CDS.1091,group01546
AAA027E14.genome.CDS.1092,group01367
AAA027E14.genome.CDS.1093,group00013
AAA027E14.genome.CDS.1094,group02028
AAA027E14.genome.CDS.1096,group01840
AAA027E14.genome.CDS.1097,group03574
AAA027E14.genome.CDS.948,group00565
AAA027E14.genome.CDS.903,group01369
AAA027E14.genome.CDS.1000,group00471
AAA027E14.genome.CDS.1241,group02292
AAA027E14.genome.CDS.1240,group03871
AAA027E14.genome.CDS.1243,group02918
AAA027E14.genome.CDS.1242,group02341
AAA027E14.genome.CDS.1245,group01426
AAA027E14.genome.CDS.1244,group01525
AAA027E14.genome.CDS.1247,group00384
AAA027E14.genome.CDS.1235,group00133
AAA027E14.genome.CDS.1528,group02261
AAA027E14.genome.CDS.1529,group02008
AAA027E14.genome.CDS.1481,group00920
AAA027E14.genome.CDS.1480,group00921
AAA027E14.genome.CDS.1487,group12747
AAA027E14.genome.CDS.1486,group01492
AAA027E14.genome.CDS.1485,group01491
AAA027E14.genome.CDS.1484,group00768
AAA027E14.genome.CDS.1339,group05707
AAA027E14.genome.CDS.1489,group00343
AAA027E14.genome.CDS.1488,group00671
AAA027E14.genome.CDS.1524,group01971
AAA027E14.genome.CDS.1526,group01677
AAA027E14.genome.CDS.1527,group04135
AAA027E14.genome.CDS.949,group00564
AAA027E14.genome.CDS.1469,group00771
