AAA028E20.genome.CDS.1160,group00126
AAA028E20.genome.CDS.1716,group00041
AAA028E20.genome.CDS.1715,group00168
AAA028E20.genome.CDS.923,group02331
AAA028E20.genome.CDS.1713,group00985
AAA028E20.genome.CDS.1712,group00016
AAA028E20.genome.CDS.1711,group00004
AAA028E20.genome.CDS.1659,group00203
AAA028E20.genome.CDS.1304,group12229
AAA028E20.genome.CDS.1150,group00172
AAA028E20.genome.CDS.1306,group00249
AAA028E20.genome.CDS.1307,group00225
AAA028E20.genome.CDS.1300,group00702
AAA028E20.genome.CDS.1301,group00816
AAA028E20.genome.CDS.1302,group00704
AAA028E20.genome.CDS.1303,group00451
AAA028E20.genome.CDS.1308,group00437
AAA028E20.genome.CDS.1309,group00453
AAA028E20.genome.CDS.1065,group00521
AAA028E20.genome.CDS.764,group02051
AAA028E20.genome.CDS.782,group00822
AAA028E20.genome.CDS.1209,group00366
AAA028E20.genome.CDS.1561,group01346
AAA028E20.genome.CDS.1371,group05294
AAA028E20.genome.CDS.1373,group07649
AAA028E20.genome.CDS.1372,group00957
AAA028E20.genome.CDS.1375,group00610
AAA028E20.genome.CDS.1374,group00618
AAA028E20.genome.CDS.1377,group00599
AAA028E20.genome.CDS.1376,group00522
AAA028E20.genome.CDS.1379,group04577
AAA028E20.genome.CDS.1378,group00595
AAA028E20.genome.CDS.1278,group00021
AAA028E20.genome.CDS.1279,group00020
AAA028E20.genome.CDS.1571,group00644
AAA028E20.genome.CDS.1570,group00134
AAA028E20.genome.CDS.1577,group11698
AAA028E20.genome.CDS.1576,group05233
AAA028E20.genome.CDS.1575,group00587
AAA028E20.genome.CDS.1574,group00852
AAA028E20.genome.CDS.1270,group00803
AAA028E20.genome.CDS.1271,group00034
AAA028E20.genome.CDS.1579,group11696
AAA028E20.genome.CDS.1578,group11697
AAA028E20.genome.CDS.1274,group01006
AAA028E20.genome.CDS.1275,group12283
AAA028E20.genome.CDS.1276,group13099
AAA028E20.genome.CDS.1277,group00395
AAA028E20.genome.CDS.1201,group00665
AAA028E20.genome.CDS.1569,group12962
AAA028E20.genome.CDS.1407,group00923
AAA028E20.genome.CDS.1033,group00506
AAA028E20.genome.CDS.255,group01271
AAA028E20.genome.CDS.1115,group00633
AAA028E20.genome.CDS.1114,group11641
AAA028E20.genome.CDS.1117,group00210
AAA028E20.genome.CDS.1116,group00278
AAA028E20.genome.CDS.1111,group00664
AAA028E20.genome.CDS.1110,group00197
AAA028E20.genome.CDS.1113,group01516
AAA028E20.genome.CDS.1112,group12777
AAA028E20.genome.CDS.1718,group07896
AAA028E20.genome.CDS.1119,group00651
AAA028E20.genome.CDS.1118,group00784
AAA028E20.genome.CDS.1058,group01058
AAA028E20.genome.CDS.1059,group07301
AAA028E20.genome.CDS.1406,group09128
AAA028E20.genome.CDS.1054,group12383
AAA028E20.genome.CDS.1055,group14044
AAA028E20.genome.CDS.1056,group02536
AAA028E20.genome.CDS.1057,group05873
AAA028E20.genome.CDS.1050,group00434
AAA028E20.genome.CDS.1051,group01230
AAA028E20.genome.CDS.1052,group01480
AAA028E20.genome.CDS.1053,group01521
AAA028E20.genome.CDS.1714,group01017
AAA028E20.genome.CDS.1284,group05221
AAA028E20.genome.CDS.1287,group04450
AAA028E20.genome.CDS.1286,group01960
AAA028E20.genome.CDS.1281,group11675
AAA028E20.genome.CDS.1658,group00795
AAA028E20.genome.CDS.1283,group01024
AAA028E20.genome.CDS.516,group11648
AAA028E20.genome.CDS.1339,group11680
AAA028E20.genome.CDS.1710,group00342
AAA028E20.genome.CDS.1289,group00790
AAA028E20.genome.CDS.1288,group04417
AAA028E20.genome.CDS.456,group00616
AAA028E20.genome.CDS.1338,group00649
AAA028E20.genome.CDS.1692,group00707
AAA028E20.genome.CDS.1693,group08416
AAA028E20.genome.CDS.1690,group00073
AAA028E20.genome.CDS.1758,group00504
AAA028E20.genome.CDS.1696,group11660
AAA028E20.genome.CDS.1697,group11925
AAA028E20.genome.CDS.1694,group06530
AAA028E20.genome.CDS.1695,group00014
AAA028E20.genome.CDS.1021,group00810
AAA028E20.genome.CDS.1020,group07309
AAA028E20.genome.CDS.1751,group00261
AAA028E20.genome.CDS.1022,group00604
AAA028E20.genome.CDS.1025,group05742
AAA028E20.genome.CDS.1756,group06648
AAA028E20.genome.CDS.1027,group00443
AAA028E20.genome.CDS.1754,group01396
AAA028E20.genome.CDS.1179,group01792
AAA028E20.genome.CDS.1238,group00133
AAA028E20.genome.CDS.1071,group00551
AAA028E20.genome.CDS.1239,group00386
AAA028E20.genome.CDS.1450,group03226
AAA028E20.genome.CDS.1598,group11699
AAA028E20.genome.CDS.1452,group01092
AAA028E20.genome.CDS.1453,group11682
AAA028E20.genome.CDS.1454,group09811
AAA028E20.genome.CDS.1455,group03393
AAA028E20.genome.CDS.1456,group05665
AAA028E20.genome.CDS.1457,group03475
AAA028E20.genome.CDS.1458,group00441
AAA028E20.genome.CDS.1590,group06998
AAA028E20.genome.CDS.1593,group04798
AAA028E20.genome.CDS.1592,group00027
AAA028E20.genome.CDS.1595,group00935
AAA028E20.genome.CDS.1594,group08976
AAA028E20.genome.CDS.1597,group04409
AAA028E20.genome.CDS.1596,group00000
AAA028E20.genome.CDS.973,group00974
AAA028E20.genome.CDS.972,group00878
AAA028E20.genome.CDS.971,group00904
AAA028E20.genome.CDS.970,group01700
AAA028E20.genome.CDS.977,group01032
AAA028E20.genome.CDS.976,group00592
AAA028E20.genome.CDS.975,group00256
AAA028E20.genome.CDS.974,group00905
AAA028E20.genome.CDS.979,group01270
AAA028E20.genome.CDS.1761,group00313
AAA028E20.genome.CDS.1171,group08121
AAA028E20.genome.CDS.1079,group00344
AAA028E20.genome.CDS.1801,group00565
AAA028E20.genome.CDS.1729,group00193
AAA028E20.genome.CDS.1479,group00194
AAA028E20.genome.CDS.1768,group00694
AAA028E20.genome.CDS.1629,group00281
AAA028E20.genome.CDS.1628,group00214
AAA028E20.genome.CDS.1627,group00280
AAA028E20.genome.CDS.1626,group00409
AAA028E20.genome.CDS.1625,group00217
AAA028E20.genome.CDS.1624,group00864
AAA028E20.genome.CDS.1623,group01008
AAA028E20.genome.CDS.1622,group03371
AAA028E20.genome.CDS.1621,group00662
AAA028E20.genome.CDS.1620,group00605
AAA028E20.genome.CDS.1106,group00330
AAA028E20.genome.CDS.1412,group00946
AAA028E20.genome.CDS.1510,group01382
AAA028E20.genome.CDS.1513,group00321
AAA028E20.genome.CDS.1234,group00105
AAA028E20.genome.CDS.1235,group00108
AAA028E20.genome.CDS.1236,group06649
AAA028E20.genome.CDS.1237,group00650
AAA028E20.genome.CDS.1230,group13639
AAA028E20.genome.CDS.1231,group08176
AAA028E20.genome.CDS.1232,group00138
AAA028E20.genome.CDS.1233,group00853
AAA028E20.genome.CDS.1335,group00179
AAA028E20.genome.CDS.1334,group00180
AAA028E20.genome.CDS.1337,group00857
AAA028E20.genome.CDS.1336,group00531
AAA028E20.genome.CDS.1331,group08909
AAA028E20.genome.CDS.1330,group01180
AAA028E20.genome.CDS.1333,group01620
AAA028E20.genome.CDS.1332,group11516
AAA028E20.genome.CDS.1807,group00931
AAA028E20.genome.CDS.1806,group00642
AAA028E20.genome.CDS.1805,group00308
AAA028E20.genome.CDS.1804,group00124
AAA028E20.genome.CDS.1803,group04347
AAA028E20.genome.CDS.1802,group02883
AAA028E20.genome.CDS.1719,group11729
AAA028E20.genome.CDS.1800,group00773
AAA028E20.genome.CDS.1101,group11670
AAA028E20.genome.CDS.1808,group00993
AAA028E20.genome.CDS.295,group00446
AAA028E20.genome.CDS.1146,group00094
AAA028E20.genome.CDS.1241,group00362
AAA028E20.genome.CDS.1240,group00257
AAA028E20.genome.CDS.1243,group00421
AAA028E20.genome.CDS.1242,group00397
AAA028E20.genome.CDS.1245,group00876
AAA028E20.genome.CDS.1244,group00200
AAA028E20.genome.CDS.1247,group00382
AAA028E20.genome.CDS.1246,group00284
AAA028E20.genome.CDS.555,group04277
AAA028E20.genome.CDS.1248,group01000
AAA028E20.genome.CDS.1069,group00559
AAA028E20.genome.CDS.1483,group00387
AAA028E20.genome.CDS.1529,group00120
AAA028E20.genome.CDS.1481,group00137
AAA028E20.genome.CDS.1480,group00058
AAA028E20.genome.CDS.1487,group00314
AAA028E20.genome.CDS.1486,group06264
AAA028E20.genome.CDS.1485,group13087
AAA028E20.genome.CDS.1520,group11299
AAA028E20.genome.CDS.1521,group00003
AAA028E20.genome.CDS.1522,group00823
AAA028E20.genome.CDS.1488,group00359
AAA028E20.genome.CDS.1524,group00022
AAA028E20.genome.CDS.1525,group00547
AAA028E20.genome.CDS.1526,group00950
AAA028E20.genome.CDS.1527,group00040
AAA028E20.genome.CDS.161,group11178
AAA028E20.genome.CDS.1797,group11706
AAA028E20.genome.CDS.1796,group08676
AAA028E20.genome.CDS.1148,group00123
AAA028E20.genome.CDS.1794,group01318
AAA028E20.genome.CDS.1061,group00579
AAA028E20.genome.CDS.1060,group01236
AAA028E20.genome.CDS.1791,group00336
AAA028E20.genome.CDS.1062,group00596
AAA028E20.genome.CDS.1142,group04438
AAA028E20.genome.CDS.1143,group00986
AAA028E20.genome.CDS.1140,group00840
AAA028E20.genome.CDS.1141,group06006
AAA028E20.genome.CDS.1410,group00377
AAA028E20.genome.CDS.1068,group00392
AAA028E20.genome.CDS.1799,group11704
AAA028E20.genome.CDS.1145,group00062
AAA028E20.genome.CDS.1548,group00735
AAA028E20.genome.CDS.1098,group00794
AAA028E20.genome.CDS.1099,group12328
AAA028E20.genome.CDS.1090,group01036
AAA028E20.genome.CDS.1091,group00576
AAA028E20.genome.CDS.1092,group00588
AAA028E20.genome.CDS.1093,group00568
AAA028E20.genome.CDS.1094,group00001
AAA028E20.genome.CDS.1095,group00486
AAA028E20.genome.CDS.1096,group01083
AAA028E20.genome.CDS.1097,group00496
AAA028E20.genome.CDS.1249,group00365
AAA028E20.genome.CDS.1028,group00272
AAA028E20.genome.CDS.1792,group04070
AAA028E20.genome.CDS.1669,group00988
AAA028E20.genome.CDS.1668,group07755
AAA028E20.genome.CDS.1383,group02248
AAA028E20.genome.CDS.1663,group00221
AAA028E20.genome.CDS.1661,group00142
AAA028E20.genome.CDS.1660,group00024
AAA028E20.genome.CDS.1667,group00112
AAA028E20.genome.CDS.1666,group00661
AAA028E20.genome.CDS.1665,group00924
AAA028E20.genome.CDS.1664,group00153
AAA028E20.genome.CDS.489,group11685
AAA028E20.genome.CDS.938,group04410
AAA028E20.genome.CDS.937,group00144
AAA028E20.genome.CDS.936,group00289
AAA028E20.genome.CDS.935,group00624
AAA028E20.genome.CDS.934,group02058
AAA028E20.genome.CDS.933,group00432
AAA028E20.genome.CDS.932,group02945
AAA028E20.genome.CDS.931,group03394
AAA028E20.genome.CDS.930,group03406
AAA028E20.genome.CDS.1528,group00110
AAA028E20.genome.CDS.1482,group00348
AAA028E20.genome.CDS.1147,group01322
AAA028E20.genome.CDS.1469,group00206
AAA028E20.genome.CDS.1701,group06404
AAA028E20.genome.CDS.1702,group03496
AAA028E20.genome.CDS.1703,group13731
AAA028E20.genome.CDS.1704,group00020
AAA028E20.genome.CDS.1705,group00814
AAA028E20.genome.CDS.1706,group05402
AAA028E20.genome.CDS.1708,group00282
AAA028E20.genome.CDS.1709,group11712
AAA028E20.genome.CDS.1463,group00236
AAA028E20.genome.CDS.1462,group02245
AAA028E20.genome.CDS.1465,group00937
AAA028E20.genome.CDS.1464,group12951
AAA028E20.genome.CDS.1467,group04032
AAA028E20.genome.CDS.1466,group00242
AAA028E20.genome.CDS.988,group08192
AAA028E20.genome.CDS.982,group08257
AAA028E20.genome.CDS.983,group00936
AAA028E20.genome.CDS.980,group04116
AAA028E20.genome.CDS.981,group00970
AAA028E20.genome.CDS.986,group00606
AAA028E20.genome.CDS.987,group02806
AAA028E20.genome.CDS.984,group01552
AAA028E20.genome.CDS.985,group02239
AAA028E20.genome.CDS.1489,group00751
AAA028E20.genome.CDS.1523,group01019
AAA028E20.genome.CDS.1589,group00283
AAA028E20.genome.CDS.1842,group00036
AAA028E20.genome.CDS.1841,group00036
AAA028E20.genome.CDS.1840,group00552
AAA028E20.genome.CDS.1449,group11683
AAA028E20.genome.CDS.1638,group00087
AAA028E20.genome.CDS.1362,group00981
AAA028E20.genome.CDS.1363,group00176
AAA028E20.genome.CDS.1360,group00445
AAA028E20.genome.CDS.1361,group00753
AAA028E20.genome.CDS.1366,group00052
AAA028E20.genome.CDS.562,group00449
AAA028E20.genome.CDS.1364,group00783
AAA028E20.genome.CDS.1365,group12056
AAA028E20.genome.CDS.1368,group01003
AAA028E20.genome.CDS.1369,group00668
AAA028E20.genome.CDS.1564,group08235
AAA028E20.genome.CDS.1565,group01366
AAA028E20.genome.CDS.1566,group00956
AAA028E20.genome.CDS.1567,group01708
AAA028E20.genome.CDS.1560,group00339
AAA028E20.genome.CDS.1208,group00255
AAA028E20.genome.CDS.1562,group01026
AAA028E20.genome.CDS.1563,group00933
AAA028E20.genome.CDS.1205,group00527
AAA028E20.genome.CDS.1204,group00966
AAA028E20.genome.CDS.1207,group00376
AAA028E20.genome.CDS.1568,group00979
AAA028E20.genome.CDS.1200,group00742
AAA028E20.genome.CDS.1203,group00553
AAA028E20.genome.CDS.1573,group00305
AAA028E20.genome.CDS.1572,group04034
AAA028E20.genome.CDS.1190,group13196
AAA028E20.genome.CDS.1262,group00483
AAA028E20.genome.CDS.1511,group00224
AAA028E20.genome.CDS.1107,group00918
AAA028E20.genome.CDS.1104,group00371
AAA028E20.genome.CDS.1105,group00218
AAA028E20.genome.CDS.1515,group07845
AAA028E20.genome.CDS.1103,group00246
AAA028E20.genome.CDS.1100,group00102
AAA028E20.genome.CDS.1516,group00232
AAA028E20.genome.CDS.1519,group01380
AAA028E20.genome.CDS.1518,group00161
AAA028E20.genome.CDS.1108,group00070
AAA028E20.genome.CDS.1109,group01392
AAA028E20.genome.CDS.1039,group04115
AAA028E20.genome.CDS.1272,group00011
AAA028E20.genome.CDS.1273,group00711
AAA028E20.genome.CDS.1198,group00954
AAA028E20.genome.CDS.1195,group02785
AAA028E20.genome.CDS.1194,group03874
AAA028E20.genome.CDS.1197,group01330
AAA028E20.genome.CDS.1191,group11672
AAA028E20.genome.CDS.1647,group00667
AAA028E20.genome.CDS.1193,group00009
AAA028E20.genome.CDS.1192,group11671
AAA028E20.genome.CDS.1296,group00983
AAA028E20.genome.CDS.1297,group01665
AAA028E20.genome.CDS.1294,group11479
AAA028E20.genome.CDS.1295,group06284
AAA028E20.genome.CDS.1292,group02184
AAA028E20.genome.CDS.1293,group00968
AAA028E20.genome.CDS.1290,group12755
AAA028E20.genome.CDS.1291,group00102
AAA028E20.genome.CDS.1746,group00354
AAA028E20.genome.CDS.1298,group00978
AAA028E20.genome.CDS.1038,group13619
AAA028E20.genome.CDS.1031,group04408
AAA028E20.genome.CDS.1748,group00379
AAA028E20.genome.CDS.1749,group01030
AAA028E20.genome.CDS.1744,group00700
AAA028E20.genome.CDS.1745,group00999
AAA028E20.genome.CDS.1030,group02128
AAA028E20.genome.CDS.1747,group00277
AAA028E20.genome.CDS.1036,group00994
AAA028E20.genome.CDS.1741,group00064
AAA028E20.genome.CDS.1034,group05403
AAA028E20.genome.CDS.1743,group13725
AAA028E20.genome.CDS.1742,group00276
AAA028E20.genome.CDS.1035,group01437
AAA028E20.genome.CDS.1223,group00095
AAA028E20.genome.CDS.1649,group09900
AAA028E20.genome.CDS.1648,group00875
AAA028E20.genome.CDS.1425,group00032
AAA028E20.genome.CDS.1424,group00793
AAA028E20.genome.CDS.1588,group07333
AAA028E20.genome.CDS.1426,group00337
AAA028E20.genome.CDS.1421,group00801
AAA028E20.genome.CDS.1420,group09179
AAA028E20.genome.CDS.1423,group00643
AAA028E20.genome.CDS.1422,group00669
AAA028E20.genome.CDS.1582,group08633
AAA028E20.genome.CDS.1583,group04131
AAA028E20.genome.CDS.1580,group06574
AAA028E20.genome.CDS.1581,group00711
AAA028E20.genome.CDS.1429,group13878
AAA028E20.genome.CDS.1428,group01088
AAA028E20.genome.CDS.1584,group06963
AAA028E20.genome.CDS.1585,group03154
AAA028E20.genome.CDS.946,group00750
AAA028E20.genome.CDS.947,group02030
AAA028E20.genome.CDS.944,group00655
AAA028E20.genome.CDS.942,group00114
AAA028E20.genome.CDS.943,group00577
AAA028E20.genome.CDS.940,group00010
AAA028E20.genome.CDS.941,group00049
AAA028E20.genome.CDS.1067,group00374
AAA028E20.genome.CDS.948,group00229
AAA028E20.genome.CDS.949,group00497
AAA028E20.genome.CDS.1066,group01028
AAA028E20.genome.CDS.1793,group00772
AAA028E20.genome.CDS.1342,group00786
AAA028E20.genome.CDS.1419,group11426
AAA028E20.genome.CDS.54,group02908
AAA028E20.genome.CDS.1343,group01010
AAA028E20.genome.CDS.1063,group00734
AAA028E20.genome.CDS.1790,group00040
AAA028E20.genome.CDS.1478,group00300
AAA028E20.genome.CDS.1739,group00068
AAA028E20.genome.CDS.1738,group00047
AAA028E20.genome.CDS.1632,group00285
AAA028E20.genome.CDS.1633,group00894
AAA028E20.genome.CDS.1634,group00074
AAA028E20.genome.CDS.1635,group00802
AAA028E20.genome.CDS.1636,group00947
AAA028E20.genome.CDS.1415,group03764
AAA028E20.genome.CDS.1731,group10917
AAA028E20.genome.CDS.1639,group00103
AAA028E20.genome.CDS.1733,group10155
AAA028E20.genome.CDS.1732,group00484
AAA028E20.genome.CDS.1735,group00456
AAA028E20.genome.CDS.1734,group00570
AAA028E20.genome.CDS.1737,group05272
AAA028E20.genome.CDS.1736,group00471
AAA028E20.genome.CDS.1018,group00609
AAA028E20.genome.CDS.1417,group02010
AAA028E20.genome.CDS.280,group01790
AAA028E20.genome.CDS.286,group00800
AAA028E20.genome.CDS.1144,group00072
AAA028E20.genome.CDS.885,group00436
AAA028E20.genome.CDS.1329,group00911
AAA028E20.genome.CDS.1326,group00513
AAA028E20.genome.CDS.1327,group00836
AAA028E20.genome.CDS.1324,group11677
AAA028E20.genome.CDS.1798,group11282
AAA028E20.genome.CDS.1026,group00212
AAA028E20.genome.CDS.1323,group11678
AAA028E20.genome.CDS.1320,group00626
AAA028E20.genome.CDS.1321,group00205
AAA028E20.genome.CDS.1476,group00349
AAA028E20.genome.CDS.1818,group12069
AAA028E20.genome.CDS.1819,group00440
AAA028E20.genome.CDS.1810,group00809
AAA028E20.genome.CDS.1811,group00652
AAA028E20.genome.CDS.1812,group00760
AAA028E20.genome.CDS.1813,group01149
AAA028E20.genome.CDS.1814,group00560
AAA028E20.genome.CDS.1815,group11259
AAA028E20.genome.CDS.1816,group02097
AAA028E20.genome.CDS.1817,group00433
AAA028E20.genome.CDS.1252,group13604
AAA028E20.genome.CDS.1253,group06029
AAA028E20.genome.CDS.1399,group08128
AAA028E20.genome.CDS.1251,group00621
AAA028E20.genome.CDS.1256,group01021
AAA028E20.genome.CDS.1257,group01057
AAA028E20.genome.CDS.1254,group00357
AAA028E20.genome.CDS.1255,group00829
AAA028E20.genome.CDS.1393,group00915
AAA028E20.genome.CDS.1392,group00844
AAA028E20.genome.CDS.1258,group01534
AAA028E20.genome.CDS.1390,group07830
AAA028E20.genome.CDS.1397,group00826
AAA028E20.genome.CDS.1396,group00896
AAA028E20.genome.CDS.1395,group00897
AAA028E20.genome.CDS.1394,group07447
AAA028E20.genome.CDS.1494,group00736
AAA028E20.genome.CDS.1495,group00799
AAA028E20.genome.CDS.1496,group00620
AAA028E20.genome.CDS.1497,group11853
AAA028E20.genome.CDS.1559,group01138
AAA028E20.genome.CDS.1491,group00231
AAA028E20.genome.CDS.1492,group13856
AAA028E20.genome.CDS.1493,group00890
AAA028E20.genome.CDS.1555,group03500
AAA028E20.genome.CDS.1554,group00311
AAA028E20.genome.CDS.1557,group00953
AAA028E20.genome.CDS.1556,group00676
AAA028E20.genome.CDS.1551,group09064
AAA028E20.genome.CDS.1550,group00859
AAA028E20.genome.CDS.1553,group00787
AAA028E20.genome.CDS.1552,group00817
AAA028E20.genome.CDS.277,group11238
AAA028E20.genome.CDS.1427,group01031
AAA028E20.genome.CDS.405,group01022
AAA028E20.genome.CDS.404,group07589
AAA028E20.genome.CDS.1514,group12997
