acIB-AMD-6.genome.CDS.595,group00562
acIB-AMD-6.genome.CDS.799,group00195
acIB-AMD-6.genome.CDS.798,group00103
acIB-AMD-6.genome.CDS.1098,group00579
acIB-AMD-6.genome.CDS.636,group00711
acIB-AMD-6.genome.CDS.675,group01149
acIB-AMD-6.genome.CDS.382,group08400
acIB-AMD-6.genome.CDS.1031,group09831
acIB-AMD-6.genome.CDS.892,group00053
acIB-AMD-6.genome.CDS.386,group06735
acIB-AMD-6.genome.CDS.387,group00381
acIB-AMD-6.genome.CDS.630,group01902
acIB-AMD-6.genome.CDS.677,group00409
acIB-AMD-6.genome.CDS.673,group01012
acIB-AMD-6.genome.CDS.631,group01992
acIB-AMD-6.genome.CDS.670,group00298
acIB-AMD-6.genome.CDS.671,group03914
acIB-AMD-6.genome.CDS.672,group00069
acIB-AMD-6.genome.CDS.897,group00656
acIB-AMD-6.genome.CDS.890,group00951
acIB-AMD-6.genome.CDS.958,group00356
acIB-AMD-6.genome.CDS.676,group06006
acIB-AMD-6.genome.CDS.893,group00083
acIB-AMD-6.genome.CDS.678,group00613
acIB-AMD-6.genome.CDS.954,group08680
acIB-AMD-6.genome.CDS.773,group00046
acIB-AMD-6.genome.CDS.1035,group00536
acIB-AMD-6.genome.CDS.898,group00207
acIB-AMD-6.genome.CDS.899,group00356
acIB-AMD-6.genome.CDS.777,group04398
acIB-AMD-6.genome.CDS.952,group00604
acIB-AMD-6.genome.CDS.1003,group00711
acIB-AMD-6.genome.CDS.1002,group00762
acIB-AMD-6.genome.CDS.1001,group12709
acIB-AMD-6.genome.CDS.1000,group00701
acIB-AMD-6.genome.CDS.708,group02172
acIB-AMD-6.genome.CDS.1006,group00391
acIB-AMD-6.genome.CDS.1005,group00795
acIB-AMD-6.genome.CDS.259,group00515
acIB-AMD-6.genome.CDS.704,group11743
acIB-AMD-6.genome.CDS.705,group08176
acIB-AMD-6.genome.CDS.674,group00454
acIB-AMD-6.genome.CDS.707,group12411
acIB-AMD-6.genome.CDS.700,group06649
acIB-AMD-6.genome.CDS.701,group00108
acIB-AMD-6.genome.CDS.702,group00105
acIB-AMD-6.genome.CDS.774,group00052
acIB-AMD-6.genome.CDS.779,group00198
acIB-AMD-6.genome.CDS.953,group00697
acIB-AMD-6.genome.CDS.776,group00092
acIB-AMD-6.genome.CDS.891,group00964
acIB-AMD-6.genome.CDS.634,group12709
acIB-AMD-6.genome.CDS.778,group00417
acIB-AMD-6.genome.CDS.1054,group00227
acIB-AMD-6.genome.CDS.1007,group00589
acIB-AMD-6.genome.CDS.709,group00275
acIB-AMD-6.genome.CDS.964,group00016
acIB-AMD-6.genome.CDS.741,group00997
acIB-AMD-6.genome.CDS.170,group00208
acIB-AMD-6.genome.CDS.966,group00037
acIB-AMD-6.genome.CDS.1055,group00438
acIB-AMD-6.genome.CDS.743,group00546
acIB-AMD-6.genome.CDS.960,group00593
acIB-AMD-6.genome.CDS.706,group07304
acIB-AMD-6.genome.CDS.745,group00292
acIB-AMD-6.genome.CDS.771,group01304
acIB-AMD-6.genome.CDS.962,group00216
acIB-AMD-6.genome.CDS.747,group00379
acIB-AMD-6.genome.CDS.703,group00853
acIB-AMD-6.genome.CDS.878,group00086
acIB-AMD-6.genome.CDS.879,group00188
acIB-AMD-6.genome.CDS.872,group00645
acIB-AMD-6.genome.CDS.873,group06333
acIB-AMD-6.genome.CDS.870,group00124
acIB-AMD-6.genome.CDS.871,group00308
acIB-AMD-6.genome.CDS.876,group00087
acIB-AMD-6.genome.CDS.877,group05235
acIB-AMD-6.genome.CDS.874,group00205
acIB-AMD-6.genome.CDS.875,group00626
acIB-AMD-6.genome.CDS.679,group00074
acIB-AMD-6.genome.CDS.586,group00665
acIB-AMD-6.genome.CDS.587,group00540
acIB-AMD-6.genome.CDS.584,group00616
acIB-AMD-6.genome.CDS.585,group00357
acIB-AMD-6.genome.CDS.582,group00004
acIB-AMD-6.genome.CDS.583,group00827
acIB-AMD-6.genome.CDS.580,group00726
acIB-AMD-6.genome.CDS.581,group00252
acIB-AMD-6.genome.CDS.588,group00543
acIB-AMD-6.genome.CDS.589,group00016
acIB-AMD-6.genome.CDS.452,group00876
acIB-AMD-6.genome.CDS.632,group00325
acIB-AMD-6.genome.CDS.965,group00037
acIB-AMD-6.genome.CDS.735,group08483
acIB-AMD-6.genome.CDS.734,group00064
acIB-AMD-6.genome.CDS.737,group00066
acIB-AMD-6.genome.CDS.736,group07424
acIB-AMD-6.genome.CDS.731,group00013
acIB-AMD-6.genome.CDS.730,group00186
acIB-AMD-6.genome.CDS.733,group00146
acIB-AMD-6.genome.CDS.732,group00126
acIB-AMD-6.genome.CDS.739,group00111
acIB-AMD-6.genome.CDS.738,group00140
acIB-AMD-6.genome.CDS.955,group00013
acIB-AMD-6.genome.CDS.1049,group11197
acIB-AMD-6.genome.CDS.1048,group00372
acIB-AMD-6.genome.CDS.1047,group01127
acIB-AMD-6.genome.CDS.1046,group00020
acIB-AMD-6.genome.CDS.1045,group12977
acIB-AMD-6.genome.CDS.1044,group12410
acIB-AMD-6.genome.CDS.1043,group00002
acIB-AMD-6.genome.CDS.1042,group00568
acIB-AMD-6.genome.CDS.1041,group00000
acIB-AMD-6.genome.CDS.1040,group00495
acIB-AMD-6.genome.CDS.902,group12822
acIB-AMD-6.genome.CDS.903,group00333
acIB-AMD-6.genome.CDS.900,group00035
acIB-AMD-6.genome.CDS.901,group06734
acIB-AMD-6.genome.CDS.906,group01014
acIB-AMD-6.genome.CDS.907,group00217
acIB-AMD-6.genome.CDS.904,group00624
acIB-AMD-6.genome.CDS.905,group00927
acIB-AMD-6.genome.CDS.908,group00206
acIB-AMD-6.genome.CDS.909,group00320
acIB-AMD-6.genome.CDS.649,group01395
acIB-AMD-6.genome.CDS.1050,group00451
acIB-AMD-6.genome.CDS.124,group06739
acIB-AMD-6.genome.CDS.1051,group00524
acIB-AMD-6.genome.CDS.641,group05402
acIB-AMD-6.genome.CDS.640,group00589
acIB-AMD-6.genome.CDS.643,group00210
acIB-AMD-6.genome.CDS.642,group00785
acIB-AMD-6.genome.CDS.645,group00633
acIB-AMD-6.genome.CDS.644,group00277
acIB-AMD-6.genome.CDS.647,group11426
acIB-AMD-6.genome.CDS.646,group00672
acIB-AMD-6.genome.CDS.1038,group00247
acIB-AMD-6.genome.CDS.1039,group00794
acIB-AMD-6.genome.CDS.638,group00795
acIB-AMD-6.genome.CDS.639,group00391
acIB-AMD-6.genome.CDS.1032,group00551
acIB-AMD-6.genome.CDS.635,group00762
acIB-AMD-6.genome.CDS.1030,group03546
acIB-AMD-6.genome.CDS.637,group08262
acIB-AMD-6.genome.CDS.1036,group00297
acIB-AMD-6.genome.CDS.1037,group07954
acIB-AMD-6.genome.CDS.1034,group00234
acIB-AMD-6.genome.CDS.633,group00701
acIB-AMD-6.genome.CDS.1056,group00588
acIB-AMD-6.genome.CDS.1057,group00253
acIB-AMD-6.genome.CDS.956,group00705
acIB-AMD-6.genome.CDS.951,group00602
acIB-AMD-6.genome.CDS.836,group00964
acIB-AMD-6.genome.CDS.837,group00951
acIB-AMD-6.genome.CDS.834,group00083
acIB-AMD-6.genome.CDS.835,group00053
acIB-AMD-6.genome.CDS.833,group00264
acIB-AMD-6.genome.CDS.830,group00656
acIB-AMD-6.genome.CDS.831,group00985
acIB-AMD-6.genome.CDS.950,group00348
acIB-AMD-6.genome.CDS.838,group00306
acIB-AMD-6.genome.CDS.839,group00194
acIB-AMD-6.genome.CDS.1089,group00397
acIB-AMD-6.genome.CDS.1088,group00054
acIB-AMD-6.genome.CDS.1083,group00453
acIB-AMD-6.genome.CDS.1082,group00915
acIB-AMD-6.genome.CDS.1081,group00211
acIB-AMD-6.genome.CDS.1080,group00183
acIB-AMD-6.genome.CDS.1087,group00071
acIB-AMD-6.genome.CDS.1086,group00852
acIB-AMD-6.genome.CDS.1085,group00889
acIB-AMD-6.genome.CDS.1084,group00128
acIB-AMD-6.genome.CDS.543,group00974
acIB-AMD-6.genome.CDS.546,group00905
acIB-AMD-6.genome.CDS.547,group01513
acIB-AMD-6.genome.CDS.544,group00267
acIB-AMD-6.genome.CDS.545,group00670
acIB-AMD-6.genome.CDS.990,group00130
acIB-AMD-6.genome.CDS.548,group00303
acIB-AMD-6.genome.CDS.549,group00351
acIB-AMD-6.genome.CDS.784,group06057
acIB-AMD-6.genome.CDS.785,group00336
acIB-AMD-6.genome.CDS.786,group00040
acIB-AMD-6.genome.CDS.787,group00110
acIB-AMD-6.genome.CDS.780,group00096
acIB-AMD-6.genome.CDS.781,group00176
acIB-AMD-6.genome.CDS.783,group07129
acIB-AMD-6.genome.CDS.788,group00120
acIB-AMD-6.genome.CDS.789,group00335
acIB-AMD-6.genome.CDS.882,group01766
acIB-AMD-6.genome.CDS.772,group00171
acIB-AMD-6.genome.CDS.605,group00133
acIB-AMD-6.genome.CDS.604,group00880
acIB-AMD-6.genome.CDS.768,group00643
acIB-AMD-6.genome.CDS.769,group00991
acIB-AMD-6.genome.CDS.601,group00490
acIB-AMD-6.genome.CDS.600,group00302
acIB-AMD-6.genome.CDS.603,group04409
acIB-AMD-6.genome.CDS.949,group00552
acIB-AMD-6.genome.CDS.946,group01024
acIB-AMD-6.genome.CDS.947,group00212
acIB-AMD-6.genome.CDS.944,group00272
acIB-AMD-6.genome.CDS.945,group00442
acIB-AMD-6.genome.CDS.609,group00328
acIB-AMD-6.genome.CDS.943,group00272
acIB-AMD-6.genome.CDS.940,group00068
acIB-AMD-6.genome.CDS.765,group00502
acIB-AMD-6.genome.CDS.1076,group00151
acIB-AMD-6.genome.CDS.883,group01901
acIB-AMD-6.genome.CDS.1074,group01004
acIB-AMD-6.genome.CDS.1075,group00095
acIB-AMD-6.genome.CDS.1072,group05289
acIB-AMD-6.genome.CDS.1073,group00129
acIB-AMD-6.genome.CDS.1070,group00063
acIB-AMD-6.genome.CDS.1071,group00082
acIB-AMD-6.genome.CDS.957,group02173
acIB-AMD-6.genome.CDS.1078,group00270
acIB-AMD-6.genome.CDS.1079,group00076
acIB-AMD-6.genome.CDS.142,group00123
acIB-AMD-6.genome.CDS.281,group00934
acIB-AMD-6.genome.CDS.668,group11641
acIB-AMD-6.genome.CDS.626,group03946
acIB-AMD-6.genome.CDS.920,group00569
acIB-AMD-6.genome.CDS.921,group00505
acIB-AMD-6.genome.CDS.770,group00119
acIB-AMD-6.genome.CDS.665,group00040
acIB-AMD-6.genome.CDS.117,group00399
acIB-AMD-6.genome.CDS.664,group00110
acIB-AMD-6.genome.CDS.1102,group06728
acIB-AMD-6.genome.CDS.663,group00120
acIB-AMD-6.genome.CDS.1100,group00238
acIB-AMD-6.genome.CDS.1101,group00181
acIB-AMD-6.genome.CDS.925,group01284
acIB-AMD-6.genome.CDS.926,group00751
acIB-AMD-6.genome.CDS.660,group00757
acIB-AMD-6.genome.CDS.775,group00093
acIB-AMD-6.genome.CDS.973,group07708
acIB-AMD-6.genome.CDS.972,group00114
acIB-AMD-6.genome.CDS.614,group00405
acIB-AMD-6.genome.CDS.713,group00151
acIB-AMD-6.genome.CDS.615,group00153
acIB-AMD-6.genome.CDS.849,group10214
acIB-AMD-6.genome.CDS.848,group08132
acIB-AMD-6.genome.CDS.847,group00475
acIB-AMD-6.genome.CDS.846,group00671
acIB-AMD-6.genome.CDS.845,group12777
acIB-AMD-6.genome.CDS.844,group00310
acIB-AMD-6.genome.CDS.843,group00693
TBhypo3765.genome.CDS.1482,group01469
acIB-AMD-6.genome.CDS.613,group00605
acIB-AMD-6.genome.CDS.710,group03017
acIB-AMD-6.genome.CDS.975,group07485
acIB-AMD-6.genome.CDS.717,group05289
acIB-AMD-6.genome.CDS.758,group01014
acIB-AMD-6.genome.CDS.716,group00129
acIB-AMD-6.genome.CDS.1012,group00764
acIB-AMD-6.genome.CDS.1013,group12997
acIB-AMD-6.genome.CDS.979,group00223
acIB-AMD-6.genome.CDS.754,group00051
acIB-AMD-6.genome.CDS.618,group00719
acIB-AMD-6.genome.CDS.750,group12056
acIB-AMD-6.genome.CDS.889,group00306
acIB-AMD-6.genome.CDS.726,group00090
acIB-AMD-6.genome.CDS.727,group00245
acIB-AMD-6.genome.CDS.724,group00869
acIB-AMD-6.genome.CDS.725,group00767
acIB-AMD-6.genome.CDS.722,group00846
acIB-AMD-6.genome.CDS.723,group00690
acIB-AMD-6.genome.CDS.720,group11758
acIB-AMD-6.genome.CDS.721,group06527
acIB-AMD-6.genome.CDS.728,group00192
acIB-AMD-6.genome.CDS.729,group11935
acIB-AMD-6.genome.CDS.1103,group00856
acIB-AMD-6.genome.CDS.611,group00547
acIB-AMD-6.genome.CDS.936,group00457
acIB-AMD-6.genome.CDS.935,group10262
acIB-AMD-6.genome.CDS.934,group10155
acIB-AMD-6.genome.CDS.933,group00485
acIB-AMD-6.genome.CDS.932,group11479
acIB-AMD-6.genome.CDS.931,group00594
acIB-AMD-6.genome.CDS.930,group00173
acIB-AMD-6.genome.CDS.610,group00481
acIB-AMD-6.genome.CDS.939,group00047
acIB-AMD-6.genome.CDS.938,group05272
acIB-AMD-6.genome.CDS.154,group10508
acIB-AMD-6.genome.CDS.658,group00294
acIB-AMD-6.genome.CDS.153,group00902
acIB-AMD-6.genome.CDS.652,group00195
acIB-AMD-6.genome.CDS.653,group00103
acIB-AMD-6.genome.CDS.650,group00337
acIB-AMD-6.genome.CDS.651,group07826
acIB-AMD-6.genome.CDS.656,group00085
acIB-AMD-6.genome.CDS.657,group00041
acIB-AMD-6.genome.CDS.654,group00116
acIB-AMD-6.genome.CDS.655,group00012
acIB-AMD-6.genome.CDS.1029,group00436
acIB-AMD-6.genome.CDS.1028,group00858
acIB-AMD-6.genome.CDS.1021,group06738
acIB-AMD-6.genome.CDS.1020,group00332
acIB-AMD-6.genome.CDS.1023,group01048
acIB-AMD-6.genome.CDS.1022,group01848
acIB-AMD-6.genome.CDS.1025,group01202
acIB-AMD-6.genome.CDS.1024,group01020
acIB-AMD-6.genome.CDS.236,group01056
acIB-AMD-6.genome.CDS.1026,group00339
acIB-AMD-6.genome.CDS.809,group00515
acIB-AMD-6.genome.CDS.803,group00197
acIB-AMD-6.genome.CDS.802,group01395
acIB-AMD-6.genome.CDS.801,group00337
acIB-AMD-6.genome.CDS.800,group07826
acIB-AMD-6.genome.CDS.807,group00773
acIB-AMD-6.genome.CDS.806,group00672
acIB-AMD-6.genome.CDS.805,group11426
acIB-AMD-6.genome.CDS.923,group00287
acIB-AMD-6.genome.CDS.976,group00754
acIB-AMD-6.genome.CDS.695,group00322
acIB-AMD-6.genome.CDS.988,group01321
acIB-AMD-6.genome.CDS.826,group00832
acIB-AMD-6.genome.CDS.291,group00136
acIB-AMD-6.genome.CDS.577,group01344
acIB-AMD-6.genome.CDS.576,group00057
acIB-AMD-6.genome.CDS.575,group06547
acIB-AMD-6.genome.CDS.574,group00635
acIB-AMD-6.genome.CDS.573,group00044
acIB-AMD-6.genome.CDS.572,group00825
acIB-AMD-6.genome.CDS.571,group00574
acIB-AMD-6.genome.CDS.570,group00418
acIB-AMD-6.genome.CDS.986,group00566
acIB-AMD-6.genome.CDS.579,group00726
acIB-AMD-6.genome.CDS.578,group00844
acIB-AMD-6.genome.CDS.842,group00715
acIB-AMD-6.genome.CDS.616,group00260
acIB-AMD-6.genome.CDS.617,group08279
acIB-AMD-6.genome.CDS.971,group00049
acIB-AMD-6.genome.CDS.970,group00049
acIB-AMD-6.genome.CDS.612,group04866
acIB-AMD-6.genome.CDS.204,group00141
acIB-AMD-6.genome.CDS.759,group00217
acIB-AMD-6.genome.CDS.974,group00655
acIB-AMD-6.genome.CDS.757,group00927
acIB-AMD-6.genome.CDS.756,group00624
acIB-AMD-6.genome.CDS.755,group00333
acIB-AMD-6.genome.CDS.978,group10502
acIB-AMD-6.genome.CDS.753,group00139
acIB-AMD-6.genome.CDS.752,group09553
acIB-AMD-6.genome.CDS.751,group12412
acIB-AMD-6.genome.CDS.619,group00200
acIB-AMD-6.genome.CDS.1065,group00094
acIB-AMD-6.genome.CDS.1064,group00257
acIB-AMD-6.genome.CDS.1067,group01137
acIB-AMD-6.genome.CDS.1066,group01366
acIB-AMD-6.genome.CDS.1061,group00142
acIB-AMD-6.genome.CDS.1060,group12547
acIB-AMD-6.genome.CDS.1063,group00081
acIB-AMD-6.genome.CDS.1062,group00191
acIB-AMD-6.genome.CDS.1033,group04454
acIB-AMD-6.genome.CDS.1069,group00201
acIB-AMD-6.genome.CDS.1068,group11758
acIB-AMD-6.genome.CDS.689,group11549
acIB-AMD-6.genome.CDS.688,group00244
acIB-AMD-6.genome.CDS.685,group00172
acIB-AMD-6.genome.CDS.684,group00115
acIB-AMD-6.genome.CDS.687,group08765
acIB-AMD-6.genome.CDS.686,group00145
acIB-AMD-6.genome.CDS.681,group00097
acIB-AMD-6.genome.CDS.680,group00062
acIB-AMD-6.genome.CDS.682,group00098
acIB-AMD-6.genome.CDS.299,group06730
acIB-AMD-6.genome.CDS.840,group00058
acIB-AMD-6.genome.CDS.1016,group01854
acIB-AMD-6.genome.CDS.1004,group08262
acIB-AMD-6.genome.CDS.850,group00576
acIB-AMD-6.genome.CDS.998,group06372
acIB-AMD-6.genome.CDS.852,group00580
acIB-AMD-6.genome.CDS.853,group00878
acIB-AMD-6.genome.CDS.854,group00161
acIB-AMD-6.genome.CDS.855,group00997
acIB-AMD-6.genome.CDS.856,group00067
acIB-AMD-6.genome.CDS.857,group00111
acIB-AMD-6.genome.CDS.858,group00140
acIB-AMD-6.genome.CDS.859,group00066
acIB-AMD-6.genome.CDS.993,group00567
acIB-AMD-6.genome.CDS.992,group00783
acIB-AMD-6.genome.CDS.995,group06737
acIB-AMD-6.genome.CDS.994,group00155
acIB-AMD-6.genome.CDS.997,group00716
acIB-AMD-6.genome.CDS.996,group00768
acIB-AMD-6.genome.CDS.607,group00489
acIB-AMD-6.genome.CDS.606,group00831
acIB-AMD-6.genome.CDS.538,group00914
acIB-AMD-6.genome.CDS.1009,group00877
acIB-AMD-6.genome.CDS.602,group00460
acIB-AMD-6.genome.CDS.762,group00381
acIB-AMD-6.genome.CDS.1027,group00462
acIB-AMD-6.genome.CDS.763,group07405
acIB-AMD-6.genome.CDS.760,group00206
acIB-AMD-6.genome.CDS.761,group00320
acIB-AMD-6.genome.CDS.766,group00506
acIB-AMD-6.genome.CDS.767,group00269
acIB-AMD-6.genome.CDS.764,group00383
acIB-AMD-6.genome.CDS.1077,group00208
acIB-AMD-6.genome.CDS.393,group02211
acIB-AMD-6.genome.CDS.928,group00266
acIB-AMD-6.genome.CDS.929,group06736
acIB-AMD-6.genome.CDS.881,group00835
acIB-AMD-6.genome.CDS.880,group00193
acIB-AMD-6.genome.CDS.887,group08213
acIB-AMD-6.genome.CDS.886,group08240
acIB-AMD-6.genome.CDS.885,group08503
acIB-AMD-6.genome.CDS.884,group00741
acIB-AMD-6.genome.CDS.667,group00771
acIB-AMD-6.genome.CDS.666,group06057
acIB-AMD-6.genome.CDS.922,group00043
acIB-AMD-6.genome.CDS.888,group00194
acIB-AMD-6.genome.CDS.924,group02594
acIB-AMD-6.genome.CDS.662,group00335
acIB-AMD-6.genome.CDS.661,group00125
acIB-AMD-6.genome.CDS.927,group07301
acIB-AMD-6.genome.CDS.719,group00063
acIB-AMD-6.genome.CDS.718,group00082
acIB-AMD-6.genome.CDS.1018,group00440
acIB-AMD-6.genome.CDS.1019,group00331
acIB-AMD-6.genome.CDS.1014,group00722
acIB-AMD-6.genome.CDS.1015,group00832
acIB-AMD-6.genome.CDS.711,group00270
acIB-AMD-6.genome.CDS.1017,group00881
acIB-AMD-6.genome.CDS.1010,group00222
acIB-AMD-6.genome.CDS.1011,group00290
acIB-AMD-6.genome.CDS.715,group01004
acIB-AMD-6.genome.CDS.714,group00095
acIB-AMD-6.genome.CDS.818,group00374
acIB-AMD-6.genome.CDS.819,group00498
acIB-AMD-6.genome.CDS.814,group00659
acIB-AMD-6.genome.CDS.815,group00314
acIB-AMD-6.genome.CDS.816,group10963
acIB-AMD-6.genome.CDS.817,group00144
acIB-AMD-6.genome.CDS.810,group02252
acIB-AMD-6.genome.CDS.811,group00162
acIB-AMD-6.genome.CDS.812,group00859
acIB-AMD-6.genome.CDS.813,group00315
acIB-AMD-6.genome.CDS.977,group13628
acIB-AMD-6.genome.CDS.869,group07583
acIB-AMD-6.genome.CDS.868,group06731
acIB-AMD-6.genome.CDS.861,group08483
acIB-AMD-6.genome.CDS.860,group07424
acIB-AMD-6.genome.CDS.863,group00146
acIB-AMD-6.genome.CDS.862,group00064
acIB-AMD-6.genome.CDS.865,group00013
acIB-AMD-6.genome.CDS.864,group00126
acIB-AMD-6.genome.CDS.867,group11935
acIB-AMD-6.genome.CDS.866,group00186
