AAA027L06.genome.CDS.1551,group00717
AAA027L06.genome.CDS.2119,group00044
AAA027L06.genome.CDS.2291,group12822
AAA027L06.genome.CDS.2290,group02906
AAA027L06.genome.CDS.2297,group00135
AAA027L06.genome.CDS.2296,group12962
AAA027L06.genome.CDS.2295,group00979
AAA027L06.genome.CDS.1442,group05108
AAA027L06.genome.CDS.2110,group00804
AAA027L06.genome.CDS.2111,group12593
AAA027L06.genome.CDS.2112,group07309
AAA027L06.genome.CDS.2298,group00234
AAA027L06.genome.CDS.2114,group00951
AAA027L06.genome.CDS.2280,group00116
AAA027L06.genome.CDS.2116,group00679
AAA027L06.genome.CDS.2117,group01766
AAA027L06.genome.CDS.2274,group07525
AAA027L06.genome.CDS.2240,group04729
AAA027L06.genome.CDS.2429,group08176
AAA027L06.genome.CDS.2370,group08213
AAA027L06.genome.CDS.2371,group03898
AAA027L06.genome.CDS.1474,group00493
AAA027L06.genome.CDS.2373,group00416
AAA027L06.genome.CDS.2374,group00721
AAA027L06.genome.CDS.2375,group00695
AAA027L06.genome.CDS.1470,group00107
AAA027L06.genome.CDS.2377,group01809
AAA027L06.genome.CDS.1577,group00354
AAA027L06.genome.CDS.2379,group00805
AAA027L06.genome.CDS.1575,group04112
AAA027L06.genome.CDS.2272,group01846
AAA027L06.genome.CDS.1573,group00275
AAA027L06.genome.CDS.1572,group00392
AAA027L06.genome.CDS.1478,group07471
AAA027L06.genome.CDS.1570,group00453
AAA027L06.genome.CDS.1640,group00017
AAA027L06.genome.CDS.2419,group02900
AAA027L06.genome.CDS.2208,group01469
AAA027L06.genome.CDS.2209,group07521
AAA027L06.genome.CDS.2094,group00214
AAA027L06.genome.CDS.2204,group00552
AAA027L06.genome.CDS.2205,group00036
AAA027L06.genome.CDS.2206,group00582
AAA027L06.genome.CDS.1729,group00825
AAA027L06.genome.CDS.2200,group00020
AAA027L06.genome.CDS.2097,group00174
AAA027L06.genome.CDS.2202,group00822
AAA027L06.genome.CDS.2203,group01172
AAA027L06.genome.CDS.1894,group04116
AAA027L06.genome.CDS.1979,group03955
AAA027L06.genome.CDS.1978,group01288
AAA027L06.genome.CDS.288,group12642
AAA027L06.genome.CDS.1727,group00844
AAA027L06.genome.CDS.1973,group02278
AAA027L06.genome.CDS.1972,group11866
AAA027L06.genome.CDS.1971,group07014
AAA027L06.genome.CDS.1970,group01714
AAA027L06.genome.CDS.1977,group01271
AAA027L06.genome.CDS.1976,group08563
AAA027L06.genome.CDS.1975,group13668
AAA027L06.genome.CDS.1974,group06565
AAA027L06.genome.CDS.1375,group00620
AAA027L06.genome.CDS.1374,group00343
AAA027L06.genome.CDS.1377,group00799
AAA027L06.genome.CDS.1376,group00799
AAA027L06.genome.CDS.1371,group00704
AAA027L06.genome.CDS.1370,group00811
AAA027L06.genome.CDS.1373,group00735
AAA027L06.genome.CDS.1372,group00475
AAA027L06.genome.CDS.1890,group13878
AAA027L06.genome.CDS.1765,group00966
AAA027L06.genome.CDS.1379,group00890
AAA027L06.genome.CDS.1378,group00736
AAA027L06.genome.CDS.1723,group00896
AAA027L06.genome.CDS.2411,group00382
AAA027L06.genome.CDS.1988,group00173
AAA027L06.genome.CDS.1892,group02806
AAA027L06.genome.CDS.1394,group00194
AAA027L06.genome.CDS.2410,group01000
AAA027L06.genome.CDS.1274,group05197
AAA027L06.genome.CDS.1276,group01080
AAA027L06.genome.CDS.1277,group01496
AAA027L06.genome.CDS.1270,group00788
AAA027L06.genome.CDS.1271,group00434
AAA027L06.genome.CDS.1272,group01820
AAA027L06.genome.CDS.1273,group13096
AAA027L06.genome.CDS.1388,group00449
AAA027L06.genome.CDS.1389,group00387
AAA027L06.genome.CDS.2292,group04052
AAA027L06.genome.CDS.1380,group01762
AAA027L06.genome.CDS.1381,group00233
AAA027L06.genome.CDS.1382,group01827
AAA027L06.genome.CDS.1383,group00751
AAA027L06.genome.CDS.1384,group00359
AAA027L06.genome.CDS.1385,group00315
AAA027L06.genome.CDS.1386,group06264
AAA027L06.genome.CDS.1387,group00448
AAA027L06.genome.CDS.2372,group13099
AAA027L06.genome.CDS.2417,group00362
AAA027L06.genome.CDS.1704,group07712
AAA027L06.genome.CDS.1538,group00414
AAA027L06.genome.CDS.1209,group00581
AAA027L06.genome.CDS.1208,group07755
AAA027L06.genome.CDS.1807,group00714
AAA027L06.genome.CDS.1201,group06574
AAA027L06.genome.CDS.1203,group00823
AAA027L06.genome.CDS.1202,group00615
AAA027L06.genome.CDS.1205,group00644
AAA027L06.genome.CDS.1204,group00005
AAA027L06.genome.CDS.1207,group00698
AAA027L06.genome.CDS.1206,group00724
AAA027L06.genome.CDS.1624,group00732
AAA027L06.genome.CDS.1345,group00964
AAA027L06.genome.CDS.2277,group04358
AAA027L06.genome.CDS.2276,group07527
AAA027L06.genome.CDS.2299,group00878
AAA027L06.genome.CDS.1842,group00110
AAA027L06.genome.CDS.2420,group00257
AAA027L06.genome.CDS.2113,group00810
AAA027L06.genome.CDS.2348,group09742
AAA027L06.genome.CDS.2016,group10038
AAA027L06.genome.CDS.541,group04338
AAA027L06.genome.CDS.1911,group05204
AAA027L06.genome.CDS.2279,group00834
AAA027L06.genome.CDS.1910,group05202
AAA027L06.genome.CDS.1913,group07509
AAA027L06.genome.CDS.1912,group05666
AAA027L06.genome.CDS.1402,group05665
AAA027L06.genome.CDS.1409,group00211
AAA027L06.genome.CDS.1298,group00832
AAA027L06.genome.CDS.1639,group12383
AAA027L06.genome.CDS.1447,group11516
AAA027L06.genome.CDS.2427,group00850
AAA027L06.genome.CDS.1473,group00415
AAA027L06.genome.CDS.1914,group06547
AAA027L06.genome.CDS.1757,group00007
AAA027L06.genome.CDS.2087,group00100
AAA027L06.genome.CDS.1755,group00325
AAA027L06.genome.CDS.1754,group12857
AAA027L06.genome.CDS.1753,group01137
AAA027L06.genome.CDS.1752,group01643
AAA027L06.genome.CDS.2080,group03919
AAA027L06.genome.CDS.1750,group00985
AAA027L06.genome.CDS.1444,group00255
AAA027L06.genome.CDS.2343,group00322
AAA027L06.genome.CDS.2088,group02822
AAA027L06.genome.CDS.1758,group04330
AAA027L06.genome.CDS.2068,group11159
AAA027L06.genome.CDS.2342,group00279
AAA027L06.genome.CDS.1299,group00813
AAA027L06.genome.CDS.2142,group01304
AAA027L06.genome.CDS.2376,group00406
AAA027L06.genome.CDS.2345,group02686
AAA027L06.genome.CDS.1989,group00759
AAA027L06.genome.CDS.2141,group00119
AAA027L06.genome.CDS.2344,group00237
AAA027L06.genome.CDS.1858,group00146
AAA027L06.genome.CDS.1859,group00065
AAA027L06.genome.CDS.2156,group00579
AAA027L06.genome.CDS.2157,group00596
AAA027L06.genome.CDS.2150,group00198
AAA027L06.genome.CDS.2347,group00215
AAA027L06.genome.CDS.2152,group00175
AAA027L06.genome.CDS.2153,group01058
AAA027L06.genome.CDS.1850,group00765
AAA027L06.genome.CDS.2014,group01600
AAA027L06.genome.CDS.1852,group00246
AAA027L06.genome.CDS.1853,group00192
AAA027L06.genome.CDS.2011,group00557
AAA027L06.genome.CDS.1855,group00186
AAA027L06.genome.CDS.2013,group01600
AAA027L06.genome.CDS.1857,group00126
AAA027L06.genome.CDS.1897,group11159
AAA027L06.genome.CDS.1650,group00713
AAA027L06.genome.CDS.1353,group00624
AAA027L06.genome.CDS.1539,group00413
AAA027L06.genome.CDS.1533,group00719
AAA027L06.genome.CDS.2235,group01257
AAA027L06.genome.CDS.2234,group01086
AAA027L06.genome.CDS.75,group12283
AAA027L06.genome.CDS.2236,group01331
AAA027L06.genome.CDS.2231,group01235
AAA027L06.genome.CDS.2230,group00744
AAA027L06.genome.CDS.2233,group00474
AAA027L06.genome.CDS.2232,group01236
AAA027L06.genome.CDS.2151,group00091
AAA027L06.genome.CDS.2338,group00891
AAA027L06.genome.CDS.2239,group08132
AAA027L06.genome.CDS.2238,group01330
AAA027L06.genome.CDS.1925,group00141
AAA027L06.genome.CDS.2121,group00013
AAA027L06.genome.CDS.1476,group08655
AAA027L06.genome.CDS.2123,group00694
AAA027L06.genome.CDS.2063,group00371
AAA027L06.genome.CDS.2125,group00603
AAA027L06.genome.CDS.2124,group00604
AAA027L06.genome.CDS.2127,group01042
AAA027L06.genome.CDS.1477,group00585
AAA027L06.genome.CDS.2129,group00212
AAA027L06.genome.CDS.2128,group01083
AAA027L06.genome.CDS.1614,group00069
AAA027L06.genome.CDS.1615,group01203
AAA027L06.genome.CDS.1612,group00264
AAA027L06.genome.CDS.1613,group02594
AAA027L06.genome.CDS.1610,group00969
AAA027L06.genome.CDS.1611,group00502
AAA027L06.genome.CDS.1928,group00386
AAA027L06.genome.CDS.2446,group00893
AAA027L06.genome.CDS.1475,group06057
AAA027L06.genome.CDS.1588,group00240
AAA027L06.genome.CDS.2335,group00766
AAA027L06.genome.CDS.1586,group00437
AAA027L06.genome.CDS.1587,group00225
AAA027L06.genome.CDS.935,group00689
AAA027L06.genome.CDS.1585,group00245
AAA027L06.genome.CDS.1582,group00250
AAA027L06.genome.CDS.1531,group04032
AAA027L06.genome.CDS.1580,group00160
AAA027L06.genome.CDS.1581,group04156
AAA027L06.genome.CDS.2346,group00057
AAA027L06.genome.CDS.2337,group00375
AAA027L06.genome.CDS.1579,group12777
AAA027L06.genome.CDS.1351,group00968
AAA027L06.genome.CDS.1578,group00134
AAA027L06.genome.CDS.2331,group00856
AAA027L06.genome.CDS.2349,group07227
AAA027L06.genome.CDS.2271,group00933
AAA027L06.genome.CDS.2422,group00136
AAA027L06.genome.CDS.2423,group00657
AAA027L06.genome.CDS.2424,group06649
AAA027L06.genome.CDS.2425,group00106
AAA027L06.genome.CDS.2426,group00104
AAA027L06.genome.CDS.1408,group00183
AAA027L06.genome.CDS.2341,group00954
AAA027L06.genome.CDS.1406,group00164
AAA027L06.genome.CDS.1405,group00195
AAA027L06.genome.CDS.2333,group07129
AAA027L06.genome.CDS.1403,group00168
AAA027L06.genome.CDS.2273,group00956
AAA027L06.genome.CDS.1401,group04149
AAA027L06.genome.CDS.1400,group00265
AAA027L06.genome.CDS.1920,group00364
AAA027L06.genome.CDS.1921,group00080
AAA027L06.genome.CDS.1922,group00291
AAA027L06.genome.CDS.1574,group00971
AAA027L06.genome.CDS.1924,group00379
AAA027L06.genome.CDS.2339,group00128
AAA027L06.genome.CDS.2448,group00297
AAA027L06.genome.CDS.1927,group04191
AAA027L06.genome.CDS.2334,group00260
AAA027L06.genome.CDS.1532,group00599
AAA027L06.genome.CDS.2336,group00044
AAA027L06.genome.CDS.1530,group00261
AAA027L06.genome.CDS.1537,group04034
AAA027L06.genome.CDS.1536,group03761
AAA027L06.genome.CDS.1535,group04034
AAA027L06.genome.CDS.1534,group00200
AAA027L06.genome.CDS.432,group02143
AAA027L06.genome.CDS.1877,group03123
AAA027L06.genome.CDS.1361,group00011
AAA027L06.genome.CDS.1479,group00588
AAA027L06.genome.CDS.1616,group00783
AAA027L06.genome.CDS.1245,group00229
AAA027L06.genome.CDS.1244,group00608
AAA027L06.genome.CDS.1247,group00123
AAA027L06.genome.CDS.1329,group00490
AAA027L06.genome.CDS.1241,group00670
AAA027L06.genome.CDS.1240,group00905
AAA027L06.genome.CDS.1243,group00350
AAA027L06.genome.CDS.1242,group00266
AAA027L06.genome.CDS.1322,group00001
AAA027L06.genome.CDS.1323,group00002
AAA027L06.genome.CDS.1320,group10581
AAA027L06.genome.CDS.1321,group00003
AAA027L06.genome.CDS.1326,group08653
AAA027L06.genome.CDS.1248,group00944
AAA027L06.genome.CDS.1324,group00635
AAA027L06.genome.CDS.1325,group00427
AAA027L06.genome.CDS.2158,group00734
AAA027L06.genome.CDS.2039,group07954
AAA027L06.genome.CDS.1506,group04070
AAA027L06.genome.CDS.2038,group01030
AAA027L06.genome.CDS.2241,group07523
AAA027L06.genome.CDS.1832,group11729
AAA027L06.genome.CDS.2242,group13497
AAA027L06.genome.CDS.2102,group00947
AAA027L06.genome.CDS.2076,group00879
AAA027L06.genome.CDS.2244,group07732
AAA027L06.genome.CDS.2146,group00093
AAA027L06.genome.CDS.1716,group12045
AAA027L06.genome.CDS.1731,group00715
AAA027L06.genome.CDS.1355,group01367
AAA027L06.genome.CDS.1503,group12705
AAA027L06.genome.CDS.2270,group01025
AAA027L06.genome.CDS.2207,group03657
AAA027L06.genome.CDS.2243,group05321
AAA027L06.genome.CDS.2246,group00038
AAA027L06.genome.CDS.2057,group00485
AAA027L06.genome.CDS.2247,group01573
AAA027L06.genome.CDS.1328,group00489
AAA027L06.genome.CDS.2201,group00508
AAA027L06.genome.CDS.2018,group00946
AAA027L06.genome.CDS.2269,group01341
AAA027L06.genome.CDS.1571,group00012
AAA027L06.genome.CDS.1899,group09064
AAA027L06.genome.CDS.1981,group13629
AAA027L06.genome.CDS.1621,group08124
AAA027L06.genome.CDS.2304,group00776
AAA027L06.genome.CDS.1700,group01733
AAA027L06.genome.CDS.1814,group00711
AAA027L06.genome.CDS.1815,group04578
AAA027L06.genome.CDS.1816,group07168
AAA027L06.genome.CDS.1817,group00391
AAA027L06.genome.CDS.1810,group00324
AAA027L06.genome.CDS.1811,group00701
AAA027L06.genome.CDS.1812,group00685
AAA027L06.genome.CDS.1813,group00762
AAA027L06.genome.CDS.1471,group00527
AAA027L06.genome.CDS.1818,group00589
AAA027L06.genome.CDS.1819,group00651
AAA027L06.genome.CDS.2090,group00438
AAA027L06.genome.CDS.1456,group04422
AAA027L06.genome.CDS.1249,group01043
AAA027L06.genome.CDS.1327,group00733
AAA027L06.genome.CDS.1667,group00690
AAA027L06.genome.CDS.1666,group00368
AAA027L06.genome.CDS.1665,group00401
AAA027L06.genome.CDS.1664,group00645
AAA027L06.genome.CDS.1663,group11479
AAA027L06.genome.CDS.1789,group12931
AAA027L06.genome.CDS.1661,group00116
AAA027L06.genome.CDS.1660,group10919
AAA027L06.genome.CDS.1784,group00939
AAA027L06.genome.CDS.1785,group00612
AAA027L06.genome.CDS.1786,group00002
AAA027L06.genome.CDS.1787,group00215
AAA027L06.genome.CDS.1780,group09627
AAA027L06.genome.CDS.1781,group00029
AAA027L06.genome.CDS.1669,group00365
AAA027L06.genome.CDS.1783,group11238
AAA027L06.genome.CDS.2042,group07147
AAA027L06.genome.CDS.1860,group08483
AAA027L06.genome.CDS.1863,group00147
AAA027L06.genome.CDS.1710,group00693
AAA027L06.genome.CDS.1865,group12547
AAA027L06.genome.CDS.1864,group00111
AAA027L06.genome.CDS.1715,group00597
AAA027L06.genome.CDS.1714,group12069
AAA027L06.genome.CDS.1869,group01019
AAA027L06.genome.CDS.1868,group12410
AAA027L06.genome.CDS.2048,group00064
AAA027L06.genome.CDS.1718,group05212
AAA027L06.genome.CDS.1643,group01389
AAA027L06.genome.CDS.2284,group00163
AAA027L06.genome.CDS.2285,group00505
AAA027L06.genome.CDS.2286,group04059
AAA027L06.genome.CDS.2287,group12857
AAA027L06.genome.CDS.2169,group01495
AAA027L06.genome.CDS.2281,group07860
AAA027L06.genome.CDS.2282,group00940
AAA027L06.genome.CDS.2283,group08503
AAA027L06.genome.CDS.2165,group06533
AAA027L06.genome.CDS.2164,group00393
AAA027L06.genome.CDS.2167,group00551
AAA027L06.genome.CDS.2166,group01561
AAA027L06.genome.CDS.2288,group02030
AAA027L06.genome.CDS.2289,group00541
AAA027L06.genome.CDS.2163,group00374
AAA027L06.genome.CDS.2195,group00539
AAA027L06.genome.CDS.2447,group00227
AAA027L06.genome.CDS.2159,group10214
AAA027L06.genome.CDS.1647,group00524
AAA027L06.genome.CDS.1646,group00988
AAA027L06.genome.CDS.1749,group00016
AAA027L06.genome.CDS.377,group00027
AAA027L06.genome.CDS.1600,group07732
AAA027L06.genome.CDS.1560,group00655
AAA027L06.genome.CDS.1649,group00660
AAA027L06.genome.CDS.2307,group00671
AAA027L06.genome.CDS.1563,group00218
AAA027L06.genome.CDS.2301,group00113
AAA027L06.genome.CDS.1565,group00249
AAA027L06.genome.CDS.1566,group00674
AAA027L06.genome.CDS.1567,group02027
AAA027L06.genome.CDS.2262,group00646
AAA027L06.genome.CDS.1569,group00471
AAA027L06.genome.CDS.2260,group08262
AAA027L06.genome.CDS.2261,group00940
AAA027L06.genome.CDS.2309,group00310
AAA027L06.genome.CDS.2267,group00220
AAA027L06.genome.CDS.2264,group00384
AAA027L06.genome.CDS.2265,group00251
AAA027L06.genome.CDS.1895,group00936
AAA027L06.genome.CDS.2168,group00710
AAA027L06.genome.CDS.809,group00574
AAA027L06.genome.CDS.1733,group08077
AAA027L06.genome.CDS.2332,group00649
AAA027L06.genome.CDS.2043,group12543
