AAA044N04.genome.CDS.2453,group01019
AAA044N04.genome.CDS.2375,group00165
AAA044N04.genome.CDS.2374,group00915
AAA044N04.genome.CDS.2373,group13696
AAA044N04.genome.CDS.2372,group03946
AAA044N04.genome.CDS.2371,group06006
AAA044N04.genome.CDS.2178,group00339
AAA044N04.genome.CDS.1969,group01604
AAA044N04.genome.CDS.1312,group00289
AAA044N04.genome.CDS.2379,group03685
AAA044N04.genome.CDS.2378,group00852
AAA044N04.genome.CDS.1624,group11729
AAA044N04.genome.CDS.1708,group05849
AAA044N04.genome.CDS.507,group00332
AAA044N04.genome.CDS.1739,group00381
AAA044N04.genome.CDS.2279,group00058
AAA044N04.genome.CDS.2276,group00384
AAA044N04.genome.CDS.2277,group00348
AAA044N04.genome.CDS.2274,group13087
AAA044N04.genome.CDS.2275,group00449
AAA044N04.genome.CDS.2272,group00754
AAA044N04.genome.CDS.2273,group06264
AAA044N04.genome.CDS.2270,group00359
AAA044N04.genome.CDS.2271,group00315
AAA044N04.genome.CDS.2171,group00924
AAA044N04.genome.CDS.2031,group01039
AAA044N04.genome.CDS.2016,group07148
AAA044N04.genome.CDS.2017,group00383
AAA044N04.genome.CDS.2403,group01083
AAA044N04.genome.CDS.2015,group01011
AAA044N04.genome.CDS.2405,group13604
AAA044N04.genome.CDS.2032,group00641
AAA044N04.genome.CDS.2159,group02239
AAA044N04.genome.CDS.2406,group14024
AAA044N04.genome.CDS.2409,group02588
AAA044N04.genome.CDS.2156,group00032
AAA044N04.genome.CDS.2155,group07030
AAA044N04.genome.CDS.2154,group07755
AAA044N04.genome.CDS.2153,group00255
AAA044N04.genome.CDS.2152,group00698
AAA044N04.genome.CDS.2151,group00723
AAA044N04.genome.CDS.2019,group00512
AAA044N04.genome.CDS.437,group01020
AAA044N04.genome.CDS.2475,group02584
AAA044N04.genome.CDS.2476,group04116
AAA044N04.genome.CDS.2172,group00018
AAA044N04.genome.CDS.2470,group01040
AAA044N04.genome.CDS.2471,group11238
AAA044N04.genome.CDS.2472,group08977
AAA044N04.genome.CDS.2332,group00097
AAA044N04.genome.CDS.2575,group12974
AAA044N04.genome.CDS.2574,group07818
AAA044N04.genome.CDS.2369,group04347
AAA044N04.genome.CDS.2571,group00822
AAA044N04.genome.CDS.2570,group07994
AAA044N04.genome.CDS.2573,group00862
AAA044N04.genome.CDS.1401,group00507
AAA044N04.genome.CDS.2089,group00676
AAA044N04.genome.CDS.2088,group08765
AAA044N04.genome.CDS.2085,group01022
AAA044N04.genome.CDS.2084,group00914
AAA044N04.genome.CDS.2087,group00837
AAA044N04.genome.CDS.2086,group07589
AAA044N04.genome.CDS.2081,group00179
AAA044N04.genome.CDS.2080,group00531
AAA044N04.genome.CDS.2083,group00238
AAA044N04.genome.CDS.2082,group00180
AAA044N04.genome.CDS.2234,group00563
AAA044N04.genome.CDS.2498,group00854
AAA044N04.genome.CDS.2499,group07830
AAA044N04.genome.CDS.1989,group09564
AAA044N04.genome.CDS.1988,group03973
AAA044N04.genome.CDS.1779,group00640
AAA044N04.genome.CDS.1386,group00091
AAA044N04.genome.CDS.1985,group02767
AAA044N04.genome.CDS.2493,group00291
AAA044N04.genome.CDS.2490,group04450
AAA044N04.genome.CDS.2491,group00379
AAA044N04.genome.CDS.1981,group03498
AAA044N04.genome.CDS.1980,group04275
AAA044N04.genome.CDS.2494,group00080
AAA044N04.genome.CDS.1982,group01024
AAA044N04.genome.CDS.1384,group04327
AAA044N04.genome.CDS.2140,group00541
AAA044N04.genome.CDS.729,group03503
AAA044N04.genome.CDS.641,group01675
AAA044N04.genome.CDS.2141,group00540
AAA044N04.genome.CDS.2578,group00714
AAA044N04.genome.CDS.2459,group01014
AAA044N04.genome.CDS.2142,group00662
AAA044N04.genome.CDS.1329,group00855
AAA044N04.genome.CDS.2456,group05283
AAA044N04.genome.CDS.1925,group00214
AAA044N04.genome.CDS.2411,group08262
AAA044N04.genome.CDS.2457,group00952
AAA044N04.genome.CDS.2144,group00615
AAA044N04.genome.CDS.2042,group00569
AAA044N04.genome.CDS.2106,group03500
AAA044N04.genome.CDS.2417,group00013
AAA044N04.genome.CDS.2455,group00546
AAA044N04.genome.CDS.2414,group12997
AAA044N04.genome.CDS.1182,group08569
AAA044N04.genome.CDS.2452,group12410
AAA044N04.genome.CDS.2415,group01343
AAA044N04.genome.CDS.1400,group00506
AAA044N04.genome.CDS.2101,group01015
AAA044N04.genome.CDS.2579,group07696
AAA044N04.genome.CDS.2543,group00030
AAA044N04.genome.CDS.1984,group05017
AAA044N04.genome.CDS.1388,group00419
AAA044N04.genome.CDS.1673,group01235
AAA044N04.genome.CDS.1672,group00744
AAA044N04.genome.CDS.1914,group00103
AAA044N04.genome.CDS.1915,group00087
AAA044N04.genome.CDS.1912,group00511
AAA044N04.genome.CDS.1676,group01081
AAA044N04.genome.CDS.1910,group00008
AAA044N04.genome.CDS.1674,group01236
AAA044N04.genome.CDS.1856,group00830
AAA044N04.genome.CDS.1679,group13582
AAA044N04.genome.CDS.1854,group06035
AAA044N04.genome.CDS.1853,group00000
AAA044N04.genome.CDS.1852,group05076
AAA044N04.genome.CDS.1918,group00802
AAA044N04.genome.CDS.1919,group00074
AAA044N04.genome.CDS.1527,group00365
AAA044N04.genome.CDS.1858,group07301
AAA044N04.genome.CDS.1978,group01092
AAA044N04.genome.CDS.1750,group04422
AAA044N04.genome.CDS.1698,group01482
AAA044N04.genome.CDS.1752,group08240
AAA044N04.genome.CDS.1753,group00273
AAA044N04.genome.CDS.1754,group00208
AAA044N04.genome.CDS.1755,group00151
AAA044N04.genome.CDS.1756,group00098
AAA044N04.genome.CDS.1757,group00977
AAA044N04.genome.CDS.1758,group00129
AAA044N04.genome.CDS.1690,group00742
AAA044N04.genome.CDS.1693,group00483
AAA044N04.genome.CDS.1692,group00076
AAA044N04.genome.CDS.1695,group00555
AAA044N04.genome.CDS.1694,group00018
AAA044N04.genome.CDS.1697,group07518
AAA044N04.genome.CDS.1696,group01480
AAA044N04.genome.CDS.1592,group00782
AAA044N04.genome.CDS.1328,group00878
AAA044N04.genome.CDS.1459,group00005
AAA044N04.genome.CDS.1458,group00740
AAA044N04.genome.CDS.1596,group00127
AAA044N04.genome.CDS.1597,group00879
AAA044N04.genome.CDS.1594,group00155
AAA044N04.genome.CDS.1595,group01262
AAA044N04.genome.CDS.1321,group00956
AAA044N04.genome.CDS.1320,group01846
AAA044N04.genome.CDS.1451,group11925
AAA044N04.genome.CDS.1599,group00931
AAA044N04.genome.CDS.1325,group00135
AAA044N04.genome.CDS.1324,group12962
AAA044N04.genome.CDS.1455,group01331
AAA044N04.genome.CDS.1326,group00646
AAA044N04.genome.CDS.2290,group00206
AAA044N04.genome.CDS.1358,group01237
AAA044N04.genome.CDS.1903,group00517
AAA044N04.genome.CDS.1603,group00548
AAA044N04.genome.CDS.1354,group00689
AAA044N04.genome.CDS.1355,group00734
AAA044N04.genome.CDS.1356,group00596
AAA044N04.genome.CDS.1649,group00047
AAA044N04.genome.CDS.1350,group00393
AAA044N04.genome.CDS.1351,group00374
AAA044N04.genome.CDS.1352,group01028
AAA044N04.genome.CDS.1353,group00521
AAA044N04.genome.CDS.2333,group00539
AAA044N04.genome.CDS.1646,group00456
AAA044N04.genome.CDS.2331,group02335
AAA044N04.genome.CDS.2521,group00606
AAA044N04.genome.CDS.2337,group01358
AAA044N04.genome.CDS.2336,group00038
AAA044N04.genome.CDS.2335,group02591
AAA044N04.genome.CDS.2334,group01281
AAA044N04.genome.CDS.2294,group00236
AAA044N04.genome.CDS.2339,group11516
AAA044N04.genome.CDS.2338,group01321
AAA044N04.genome.CDS.1860,group01626
AAA044N04.genome.CDS.2295,group02245
AAA044N04.genome.CDS.1861,group00917
AAA044N04.genome.CDS.2296,group01991
AAA044N04.genome.CDS.1529,group01895
AAA044N04.genome.CDS.1528,group00230
AAA044N04.genome.CDS.2202,group00969
AAA044N04.genome.CDS.1642,group00630
AAA044N04.genome.CDS.1525,group00682
AAA044N04.genome.CDS.1524,group00663
AAA044N04.genome.CDS.1523,group04475
AAA044N04.genome.CDS.1522,group06998
AAA044N04.genome.CDS.1521,group01461
AAA044N04.genome.CDS.1867,group00012
AAA044N04.genome.CDS.2522,group00461
AAA044N04.genome.CDS.2523,group00492
AAA044N04.genome.CDS.2520,group00184
AAA044N04.genome.CDS.2293,group00762
AAA044N04.genome.CDS.2526,group00445
AAA044N04.genome.CDS.2527,group00069
AAA044N04.genome.CDS.2524,group12705
AAA044N04.genome.CDS.2297,group02087
AAA044N04.genome.CDS.2298,group00687
AAA044N04.genome.CDS.2299,group11197
AAA044N04.genome.CDS.2528,group00783
AAA044N04.genome.CDS.1641,group00591
AAA044N04.genome.CDS.1923,group12977
AAA044N04.genome.CDS.2207,group01016
AAA044N04.genome.CDS.2206,group01208
AAA044N04.genome.CDS.2205,group00991
AAA044N04.genome.CDS.2204,group03988
AAA044N04.genome.CDS.2203,group00968
AAA044N04.genome.CDS.1550,group02674
AAA044N04.genome.CDS.2201,group00972
AAA044N04.genome.CDS.2158,group00581
AAA044N04.genome.CDS.1551,group00027
AAA044N04.genome.CDS.1924,group00281
AAA044N04.genome.CDS.2208,group01679
AAA044N04.genome.CDS.1983,group02135
AAA044N04.genome.CDS.1683,group08124
AAA044N04.genome.CDS.1784,group04510
AAA044N04.genome.CDS.2009,group00138
AAA044N04.genome.CDS.192,group05077
AAA044N04.genome.CDS.1971,group01138
AAA044N04.genome.CDS.2137,group00114
AAA044N04.genome.CDS.2509,group00990
AAA044N04.genome.CDS.1776,group00966
AAA044N04.genome.CDS.1411,group00603
AAA044N04.genome.CDS.2069,group00279
AAA044N04.genome.CDS.2068,group00322
AAA044N04.genome.CDS.2067,group00237
AAA044N04.genome.CDS.2066,group13051
AAA044N04.genome.CDS.2065,group00220
AAA044N04.genome.CDS.1410,group01106
AAA044N04.genome.CDS.2063,group00251
AAA044N04.genome.CDS.2062,group00372
AAA044N04.genome.CDS.2061,group00442
AAA044N04.genome.CDS.2060,group00753
AAA044N04.genome.CDS.2119,group01025
AAA044N04.genome.CDS.2118,group04454
AAA044N04.genome.CDS.2449,group00001
AAA044N04.genome.CDS.2448,group00487
AAA044N04.genome.CDS.2385,group00075
AAA044N04.genome.CDS.1972,group04115
AAA044N04.genome.CDS.2445,group00794
AAA044N04.genome.CDS.2444,group01268
AAA044N04.genome.CDS.2447,group01082
AAA044N04.genome.CDS.2110,group07686
AAA044N04.genome.CDS.2117,group08741
AAA044N04.genome.CDS.2116,group03085
AAA044N04.genome.CDS.2115,group00801
AAA044N04.genome.CDS.2114,group06192
AAA044N04.genome.CDS.2091,group11221
AAA044N04.genome.CDS.1689,group00997
AAA044N04.genome.CDS.2382,group00916
AAA044N04.genome.CDS.1839,group00564
AAA044N04.genome.CDS.1838,group01048
AAA044N04.genome.CDS.1323,group00979
AAA044N04.genome.CDS.1463,group08128
AAA044N04.genome.CDS.2532,group00775
AAA044N04.genome.CDS.1460,group01299
AAA044N04.genome.CDS.1748,group07304
AAA044N04.genome.CDS.1819,group00008
AAA044N04.genome.CDS.1818,group00465
AAA044N04.genome.CDS.1746,group11743
AAA044N04.genome.CDS.1813,group07471
AAA044N04.genome.CDS.1812,group00585
AAA044N04.genome.CDS.1811,group06057
AAA044N04.genome.CDS.1810,group00493
AAA044N04.genome.CDS.1817,group00447
AAA044N04.genome.CDS.1816,group00466
AAA044N04.genome.CDS.1815,group00741
AAA044N04.genome.CDS.1814,group00588
AAA044N04.genome.CDS.348,group00626
AAA044N04.genome.CDS.1385,group00175
AAA044N04.genome.CDS.1365,group05283
AAA044N04.genome.CDS.1934,group00660
AAA044N04.genome.CDS.1495,group00684
AAA044N04.genome.CDS.1366,group01064
AAA044N04.genome.CDS.1493,group00319
AAA044N04.genome.CDS.1360,group01058
AAA044N04.genome.CDS.1491,group04455
AAA044N04.genome.CDS.1490,group00223
AAA044N04.genome.CDS.1714,group00481
AAA044N04.genome.CDS.1715,group00805
AAA044N04.genome.CDS.1716,group00353
AAA044N04.genome.CDS.1717,group01514
AAA044N04.genome.CDS.1369,group01059
AAA044N04.genome.CDS.1711,group00695
AAA044N04.genome.CDS.1499,group02212
AAA044N04.genome.CDS.1713,group01809
AAA044N04.genome.CDS.1628,group00295
AAA044N04.genome.CDS.1782,group00222
AAA044N04.genome.CDS.1781,group00877
AAA044N04.genome.CDS.1937,group00038
AAA044N04.genome.CDS.1787,group00832
AAA044N04.genome.CDS.1786,group00697
AAA044N04.genome.CDS.1785,group00722
AAA044N04.genome.CDS.1968,group07691
AAA044N04.genome.CDS.1620,group00166
AAA044N04.genome.CDS.1966,group03496
AAA044N04.genome.CDS.1789,group00881
AAA044N04.genome.CDS.1623,group07896
AAA044N04.genome.CDS.1963,group01760
AAA044N04.genome.CDS.1962,group01427
AAA044N04.genome.CDS.1961,group04065
AAA044N04.genome.CDS.1960,group00678
AAA044N04.genome.CDS.1398,group00780
AAA044N04.genome.CDS.1399,group00269
AAA044N04.genome.CDS.1936,group01575
AAA044N04.genome.CDS.1390,group00092
AAA044N04.genome.CDS.1391,group00093
AAA044N04.genome.CDS.1392,group00055
AAA044N04.genome.CDS.1393,group00046
AAA044N04.genome.CDS.2529,group00602
AAA044N04.genome.CDS.1322,group01855
AAA044N04.genome.CDS.1396,group00119
AAA044N04.genome.CDS.1397,group00994
AAA044N04.genome.CDS.1769,group00296
AAA044N04.genome.CDS.1768,group00412
AAA044N04.genome.CDS.1402,group00388
AAA044N04.genome.CDS.1403,group03454
AAA044N04.genome.CDS.1404,group00380
AAA044N04.genome.CDS.1405,group00272
AAA044N04.genome.CDS.1406,group00443
AAA044N04.genome.CDS.1407,group00957
AAA044N04.genome.CDS.1761,group00062
AAA044N04.genome.CDS.1409,group05742
AAA044N04.genome.CDS.1763,group00883
AAA044N04.genome.CDS.1762,group11758
AAA044N04.genome.CDS.1765,group00893
AAA044N04.genome.CDS.1764,group00444
AAA044N04.genome.CDS.1767,group00297
AAA044N04.genome.CDS.1766,group00227
AAA044N04.genome.CDS.2395,group01552
AAA044N04.genome.CDS.2394,group00643
AAA044N04.genome.CDS.1569,group02022
AAA044N04.genome.CDS.1568,group00885
AAA044N04.genome.CDS.2391,group00258
AAA044N04.genome.CDS.2393,group07697
AAA044N04.genome.CDS.2392,group00333
AAA044N04.genome.CDS.1563,group00275
AAA044N04.genome.CDS.1562,group00354
AAA044N04.genome.CDS.1561,group00134
AAA044N04.genome.CDS.1560,group12777
AAA044N04.genome.CDS.1567,group00471
AAA044N04.genome.CDS.1566,group00453
AAA044N04.genome.CDS.1565,group00012
AAA044N04.genome.CDS.1564,group00392
AAA044N04.genome.CDS.1659,group00277
AAA044N04.genome.CDS.2014,group00505
AAA044N04.genome.CDS.1728,group00545
AAA044N04.genome.CDS.2305,group01758
AAA044N04.genome.CDS.1731,group00382
AAA044N04.genome.CDS.2318,group09992
AAA044N04.genome.CDS.2368,group00167
AAA044N04.genome.CDS.2242,group00056
AAA044N04.genome.CDS.2241,group00542
AAA044N04.genome.CDS.2240,group00231
AAA044N04.genome.CDS.2247,group01001
AAA044N04.genome.CDS.2246,group04473
AAA044N04.genome.CDS.2245,group11574
AAA044N04.genome.CDS.2244,group00011
AAA044N04.genome.CDS.2360,group01017
AAA044N04.genome.CDS.2361,group12328
AAA044N04.genome.CDS.2362,group00253
AAA044N04.genome.CDS.2248,group01861
AAA044N04.genome.CDS.2364,group02894
AAA044N04.genome.CDS.2365,group09638
AAA044N04.genome.CDS.2366,group00108
AAA044N04.genome.CDS.2367,group12616
AAA044N04.genome.CDS.1677,group08132
AAA044N04.genome.CDS.1658,group00355
AAA044N04.genome.CDS.2278,group00137
AAA044N04.genome.CDS.2070,group00922
AAA044N04.genome.CDS.2474,group02927
AAA044N04.genome.CDS.2007,group00731
AAA044N04.genome.CDS.2412,group08279
AAA044N04.genome.CDS.2413,group02356
AAA044N04.genome.CDS.2410,group01602
AAA044N04.genome.CDS.2143,group06574
AAA044N04.genome.CDS.2416,group00186
AAA044N04.genome.CDS.2145,group00515
AAA044N04.genome.CDS.2146,group01796
AAA044N04.genome.CDS.2147,group01230
AAA044N04.genome.CDS.2148,group00822
AAA044N04.genome.CDS.2149,group00005
AAA044N04.genome.CDS.2418,group00126
AAA044N04.genome.CDS.2419,group00146
AAA044N04.genome.CDS.1486,group01198
AAA044N04.genome.CDS.1287,group00715
AAA044N04.genome.CDS.1935,group00605
AAA044N04.genome.CDS.950,group01380
AAA044N04.genome.CDS.2569,group00337
AAA044N04.genome.CDS.2566,group00939
AAA044N04.genome.CDS.2567,group00962
AAA044N04.genome.CDS.2564,group00669
AAA044N04.genome.CDS.2565,group07007
AAA044N04.genome.CDS.2562,group13787
AAA044N04.genome.CDS.2563,group00000
AAA044N04.genome.CDS.2560,group07704
AAA044N04.genome.CDS.2561,group05403
AAA044N04.genome.CDS.2098,group00788
AAA044N04.genome.CDS.2099,group03955
AAA044N04.genome.CDS.2096,group00390
AAA044N04.genome.CDS.2097,group00486
AAA044N04.genome.CDS.2094,group00263
AAA044N04.genome.CDS.2095,group01053
AAA044N04.genome.CDS.2092,group13619
AAA044N04.genome.CDS.2021,group00552
AAA044N04.genome.CDS.2090,group00913
AAA044N04.genome.CDS.1395,group09135
AAA044N04.genome.CDS.715,group04914
AAA044N04.genome.CDS.1998,group03499
AAA044N04.genome.CDS.1999,group10249
AAA044N04.genome.CDS.1996,group06511
AAA044N04.genome.CDS.1997,group01925
AAA044N04.genome.CDS.1994,group09627
AAA044N04.genome.CDS.1995,group10361
AAA044N04.genome.CDS.1992,group01518
AAA044N04.genome.CDS.1993,group07711
AAA044N04.genome.CDS.1990,group00681
AAA044N04.genome.CDS.1991,group00629
AAA044N04.genome.CDS.2497,group13608
AAA044N04.genome.CDS.2450,group00568
AAA044N04.genome.CDS.1871,group00014
AAA044N04.genome.CDS.1666,group02670
AAA044N04.genome.CDS.2407,group03198
AAA044N04.genome.CDS.2583,group01031
AAA044N04.genome.CDS.2029,group07142
AAA044N04.genome.CDS.2028,group00302
AAA044N04.genome.CDS.2370,group01195
AAA044N04.genome.CDS.2477,group06573
AAA044N04.genome.CDS.2023,group00582
AAA044N04.genome.CDS.2022,group00035
AAA044N04.genome.CDS.714,group12285
AAA044N04.genome.CDS.2020,group01172
AAA044N04.genome.CDS.1859,group04034
AAA044N04.genome.CDS.2026,group13943
AAA044N04.genome.CDS.2025,group01465
AAA044N04.genome.CDS.2024,group03657
AAA044N04.genome.CDS.1497,group00117
AAA044N04.genome.CDS.1654,group00276
AAA044N04.genome.CDS.1909,group00298
AAA044N04.genome.CDS.1733,group00307
AAA044N04.genome.CDS.1190,group03448
AAA044N04.genome.CDS.2309,group08523
AAA044N04.genome.CDS.1453,group01384
AAA044N04.genome.CDS.2495,group00364
AAA044N04.genome.CDS.1611,group00771
AAA044N04.genome.CDS.1610,group00902
AAA044N04.genome.CDS.1613,group00336
AAA044N04.genome.CDS.1612,group00601
AAA044N04.genome.CDS.1615,group00110
AAA044N04.genome.CDS.1614,group00040
AAA044N04.genome.CDS.1617,group00335
AAA044N04.genome.CDS.1616,group00120
AAA044N04.genome.CDS.1619,group00757
AAA044N04.genome.CDS.1618,group00122
AAA044N04.genome.CDS.1917,group00947
AAA044N04.genome.CDS.2304,group01733
AAA044N04.genome.CDS.2446,group00496
AAA044N04.genome.CDS.1664,group00308
AAA044N04.genome.CDS.1841,group00809
AAA044N04.genome.CDS.1842,group00652
AAA044N04.genome.CDS.1843,group00767
AAA044N04.genome.CDS.1844,group08257
AAA044N04.genome.CDS.1845,group00560
AAA044N04.genome.CDS.1662,group00025
AAA044N04.genome.CDS.1663,group08442
AAA044N04.genome.CDS.1848,group01601
AAA044N04.genome.CDS.1849,group00935
AAA044N04.genome.CDS.1668,group13751
AAA044N04.genome.CDS.1669,group00692
AAA044N04.genome.CDS.1102,group00066
AAA044N04.genome.CDS.2113,group02068
AAA044N04.genome.CDS.1929,group06372
AAA044N04.genome.CDS.1299,group00580
AAA044N04.genome.CDS.1298,group07649
AAA044N04.genome.CDS.1661,group01030
AAA044N04.genome.CDS.1295,group00522
AAA044N04.genome.CDS.1294,group00594
AAA044N04.genome.CDS.1297,group00618
AAA044N04.genome.CDS.1296,group00610
AAA044N04.genome.CDS.1291,group00616
AAA044N04.genome.CDS.1290,group00328
AAA044N04.genome.CDS.1293,group00595
AAA044N04.genome.CDS.2404,group01124
AAA044N04.genome.CDS.1725,group06029
AAA044N04.genome.CDS.1724,group00356
AAA044N04.genome.CDS.1688,group00650
AAA044N04.genome.CDS.1726,group01178
AAA044N04.genome.CDS.1721,group01054
AAA044N04.genome.CDS.1720,group00467
AAA044N04.genome.CDS.1723,group12411
AAA044N04.genome.CDS.1682,group00884
AAA044N04.genome.CDS.2441,group10533
AAA044N04.genome.CDS.1680,group11853
AAA044N04.genome.CDS.1681,group00793
AAA044N04.genome.CDS.1686,group00270
AAA044N04.genome.CDS.1687,group00726
AAA044N04.genome.CDS.1684,group00789
AAA044N04.genome.CDS.2440,group00330
AAA044N04.genome.CDS.2157,group00502
AAA044N04.genome.CDS.1338,group01080
AAA044N04.genome.CDS.1339,group06732
AAA044N04.genome.CDS.1448,group01422
AAA044N04.genome.CDS.2443,group00247
AAA044N04.genome.CDS.2408,group01304
AAA044N04.genome.CDS.1444,group13830
AAA044N04.genome.CDS.1445,group01467
AAA044N04.genome.CDS.1446,group00290
AAA044N04.genome.CDS.1447,group04060
AAA044N04.genome.CDS.1440,group03086
AAA044N04.genome.CDS.1337,group06327
AAA044N04.genome.CDS.1442,group10262
AAA044N04.genome.CDS.1443,group01967
AAA044N04.genome.CDS.1394,group04115
AAA044N04.genome.CDS.1468,group00191
AAA044N04.genome.CDS.2324,group01253
AAA044N04.genome.CDS.2325,group00537
AAA044N04.genome.CDS.2326,group00951
AAA044N04.genome.CDS.2327,group01437
AAA044N04.genome.CDS.2320,group01622
AAA044N04.genome.CDS.2321,group00201
AAA044N04.genome.CDS.2322,group09904
AAA044N04.genome.CDS.2323,group01005
AAA044N04.genome.CDS.2150,group00644
AAA044N04.genome.CDS.2328,group00816
AAA044N04.genome.CDS.1439,group12822
AAA044N04.genome.CDS.1438,group03085
AAA044N04.genome.CDS.1532,group00645
AAA044N04.genome.CDS.1533,group00115
AAA044N04.genome.CDS.1534,group02086
AAA044N04.genome.CDS.1535,group00592
AAA044N04.genome.CDS.1536,group00544
AAA044N04.genome.CDS.1537,group00163
AAA044N04.genome.CDS.1538,group00164
AAA044N04.genome.CDS.1430,group00020
AAA044N04.genome.CDS.1433,group02623
AAA044N04.genome.CDS.1432,group02165
AAA044N04.genome.CDS.1435,group04306
AAA044N04.genome.CDS.1434,group03084
AAA044N04.genome.CDS.1437,group07679
AAA044N04.genome.CDS.1436,group02772
AAA044N04.genome.CDS.2517,group00133
AAA044N04.genome.CDS.2516,group00831
AAA044N04.genome.CDS.2515,group00480
AAA044N04.genome.CDS.1973,group04582
AAA044N04.genome.CDS.2079,group00856
AAA044N04.genome.CDS.2512,group00484
AAA044N04.genome.CDS.2511,group00547
AAA044N04.genome.CDS.2442,group00371
AAA044N04.genome.CDS.2577,group00941
AAA044N04.genome.CDS.1974,group04038
AAA044N04.genome.CDS.2533,group00732
AAA044N04.genome.CDS.2519,group00880
AAA044N04.genome.CDS.1791,group00331
AAA044N04.genome.CDS.2351,group12294
AAA044N04.genome.CDS.2126,group01338
AAA044N04.genome.CDS.2353,group11729
AAA044N04.genome.CDS.2352,group09128
AAA044N04.genome.CDS.2355,group00759
AAA044N04.genome.CDS.2354,group07896
AAA044N04.genome.CDS.2357,group00142
AAA044N04.genome.CDS.2127,group00152
AAA044N04.genome.CDS.2359,group00539
AAA044N04.genome.CDS.2358,group12547
AAA044N04.genome.CDS.1793,group00360
AAA044N04.genome.CDS.1431,group02868
AAA044N04.genome.CDS.2193,group00670
AAA044N04.genome.CDS.2192,group00905
AAA044N04.genome.CDS.2191,group10893
AAA044N04.genome.CDS.2190,group00303
AAA044N04.genome.CDS.2197,group00123
AAA044N04.genome.CDS.2196,group00608
AAA044N04.genome.CDS.2195,group00350
AAA044N04.genome.CDS.1979,group01487
AAA044N04.genome.CDS.2210,group03874
AAA044N04.genome.CDS.2211,group00009
AAA044N04.genome.CDS.2199,group00229
AAA044N04.genome.CDS.2213,group01071
AAA044N04.genome.CDS.2214,group06644
AAA044N04.genome.CDS.1657,group00999
AAA044N04.genome.CDS.2216,group00034
AAA044N04.genome.CDS.2217,group01795
AAA044N04.genome.CDS.1893,group00026
AAA044N04.genome.CDS.1892,group00140
AAA044N04.genome.CDS.1891,group12642
AAA044N04.genome.CDS.1890,group00221
AAA044N04.genome.CDS.1897,group00002
AAA044N04.genome.CDS.1896,group00635
AAA044N04.genome.CDS.1895,group00795
AAA044N04.genome.CDS.1894,group00203
AAA044N04.genome.CDS.1875,group00073
AAA044N04.genome.CDS.1899,group00003
AAA044N04.genome.CDS.2536,group00440
AAA044N04.genome.CDS.1547,group00373
AAA044N04.genome.CDS.1799,group00314
AAA044N04.genome.CDS.2179,group00953
