acMicro-1.genome.CDS.1003,group03127
acMicro-1.genome.CDS.1323,group01154
acMicro-1.genome.CDS.1089,group00246
acMicro-1.genome.CDS.1156,group01050
acMicro-1.genome.CDS.1326,group00587
acMicro-1.genome.CDS.1324,group06769
acMicro-1.genome.CDS.1325,group08348
acMicro-1.genome.CDS.1083,group03280
acMicro-1.genome.CDS.1082,group09962
acMicro-1.genome.CDS.1328,group00690
acMicro-1.genome.CDS.1080,group00043
acMicro-1.genome.CDS.1087,group00765
acMicro-1.genome.CDS.1086,group00319
acMicro-1.genome.CDS.1084,group08397
acMicro-1.genome.CDS.1689,group03809
acMicro-1.genome.CDS.1688,group02866
acMicro-1.genome.CDS.1653,group00145
acMicro-1.genome.CDS.1685,group02696
acMicro-1.genome.CDS.1684,group02695
acMicro-1.genome.CDS.1687,group02666
acMicro-1.genome.CDS.1686,group02273
acMicro-1.genome.CDS.1681,group03299
acMicro-1.genome.CDS.1680,group00440
acMicro-1.genome.CDS.1682,group02287
acMicro-1.genome.CDS.1399,group02689
acMicro-1.genome.CDS.1397,group00351
acMicro-1.genome.CDS.1159,group00830
acMicro-1.genome.CDS.1395,group00284
acMicro-1.genome.CDS.1394,group00876
acMicro-1.genome.CDS.1393,group00202
acMicro-1.genome.CDS.1392,group00425
acMicro-1.genome.CDS.1391,group00397
acMicro-1.genome.CDS.1158,group01340
acMicro-1.genome.CDS.964,group00256
acMicro-1.genome.CDS.965,group02441
acMicro-1.genome.CDS.966,group00252
acMicro-1.genome.CDS.967,group00025
acMicro-1.genome.CDS.960,group00493
acMicro-1.genome.CDS.961,group00415
acMicro-1.genome.CDS.962,group00528
acMicro-1.genome.CDS.963,group02483
acMicro-1.genome.CDS.898,group00629
acMicro-1.genome.CDS.1655,group00000
acMicro-1.genome.CDS.968,group13724
acMicro-1.genome.CDS.969,group00574
acMicro-1.genome.CDS.899,group00875
acMicro-1.genome.CDS.1191,group05250
acMicro-1.genome.CDS.1190,group05948
acMicro-1.genome.CDS.1193,group00804
acMicro-1.genome.CDS.1192,group02684
acMicro-1.genome.CDS.1195,group01954
acMicro-1.genome.CDS.1194,group00105
acMicro-1.genome.CDS.1197,group00231
acMicro-1.genome.CDS.1196,group00365
acMicro-1.genome.CDS.1199,group00292
acMicro-1.genome.CDS.1198,group13345
acMicro-1.genome.CDS.1539,group01076
acMicro-1.genome.CDS.897,group00516
acMicro-1.genome.CDS.1239,group01991
acMicro-1.genome.CDS.1616,group08373
acMicro-1.genome.CDS.1617,group02955
acMicro-1.genome.CDS.1614,group00093
acMicro-1.genome.CDS.1615,group02478
acMicro-1.genome.CDS.1612,group05944
acMicro-1.genome.CDS.1613,group00640
acMicro-1.genome.CDS.1610,group00883
acMicro-1.genome.CDS.1611,group00183
acMicro-1.genome.CDS.1547,group00771
acMicro-1.genome.CDS.1313,group00164
acMicro-1.genome.CDS.1619,group01501
acMicro-1.genome.CDS.686,group00755
acMicro-1.genome.CDS.548,group03668
acMicro-1.genome.CDS.469,group04344
acMicro-1.genome.CDS.1477,group03288
acMicro-1.genome.CDS.1668,group01872
TBhypo680.genome.CDS.2032,group01172
acMicro-1.genome.CDS.660,group01611
acMicro-1.genome.CDS.143,group01261
acMicro-1.genome.CDS.870,group00098
acMicro-1.genome.CDS.1108,group08406
acMicro-1.genome.CDS.1109,group00024
acMicro-1.genome.CDS.1319,group00368
acMicro-1.genome.CDS.1102,group12069
acMicro-1.genome.CDS.1103,group00811
acMicro-1.genome.CDS.1100,group00693
acMicro-1.genome.CDS.1101,group00283
acMicro-1.genome.CDS.1106,group00707
acMicro-1.genome.CDS.1104,group02678
acMicro-1.genome.CDS.1105,group00961
acMicro-1.genome.CDS.1270,group00836
acMicro-1.genome.CDS.1368,group00138
acMicro-1.genome.CDS.1369,group00138
acMicro-1.genome.CDS.1367,group00012
acMicro-1.genome.CDS.1364,group00737
acMicro-1.genome.CDS.1365,group08998
acMicro-1.genome.CDS.1362,group00950
acMicro-1.genome.CDS.1363,group00141
acMicro-1.genome.CDS.1360,group00703
acMicro-1.genome.CDS.1361,group00491
acMicro-1.genome.CDS.1533,group00267
acMicro-1.genome.CDS.1532,group00671
acMicro-1.genome.CDS.1531,group02950
acMicro-1.genome.CDS.1537,group02126
acMicro-1.genome.CDS.1536,group00229
acMicro-1.genome.CDS.1535,group00609
acMicro-1.genome.CDS.1534,group02601
acMicro-1.genome.CDS.894,group03366
acMicro-1.genome.CDS.895,group00521
acMicro-1.genome.CDS.896,group00463
acMicro-1.genome.CDS.1538,group00806
acMicro-1.genome.CDS.890,group03819
acMicro-1.genome.CDS.891,group13668
acMicro-1.genome.CDS.893,group00003
acMicro-1.genome.CDS.1148,group00739
acMicro-1.genome.CDS.1047,group00101
acMicro-1.genome.CDS.1046,group00196
acMicro-1.genome.CDS.1045,group00295
acMicro-1.genome.CDS.1043,group00170
acMicro-1.genome.CDS.1041,group03276
acMicro-1.genome.CDS.1040,group00371
acMicro-1.genome.CDS.1049,group00041
acMicro-1.genome.CDS.1048,group00085
acMicro-1.genome.CDS.1407,group04706
acMicro-1.genome.CDS.1406,group00885
acMicro-1.genome.CDS.1405,group00960
acMicro-1.genome.CDS.1404,group00174
acMicro-1.genome.CDS.1403,group09818
acMicro-1.genome.CDS.1402,group00840
acMicro-1.genome.CDS.1401,group00069
acMicro-1.genome.CDS.1400,group00339
acMicro-1.genome.CDS.1262,group00506
acMicro-1.genome.CDS.432,group00606
acMicro-1.genome.CDS.1409,group00738
acMicro-1.genome.CDS.1408,group11549
acMicro-1.genome.CDS.1212,group00074
acMicro-1.genome.CDS.1213,group00281
acMicro-1.genome.CDS.1210,group00039
acMicro-1.genome.CDS.927,group00217
acMicro-1.genome.CDS.1216,group00409
acMicro-1.genome.CDS.1217,group00216
acMicro-1.genome.CDS.1214,group00215
acMicro-1.genome.CDS.1215,group00287
acMicro-1.genome.CDS.1218,group12774
acMicro-1.genome.CDS.1219,group03792
acMicro-1.genome.CDS.809,group01307
acMicro-1.genome.CDS.1719,group10686
acMicro-1.genome.CDS.1718,group02698
acMicro-1.genome.CDS.1713,group00879
acMicro-1.genome.CDS.1712,group00234
acMicro-1.genome.CDS.1711,group00135
acMicro-1.genome.CDS.1710,group02958
acMicro-1.genome.CDS.1717,group07179
acMicro-1.genome.CDS.1716,group10262
acMicro-1.genome.CDS.1715,group03815
acMicro-1.genome.CDS.1714,group00024
acMicro-1.genome.CDS.1242,group00456
acMicro-1.genome.CDS.1622,group04707
acMicro-1.genome.CDS.1457,group08226
acMicro-1.genome.CDS.1490,group00497
acMicro-1.genome.CDS.1491,group03290
acMicro-1.genome.CDS.939,group00554
acMicro-1.genome.CDS.1493,group00579
acMicro-1.genome.CDS.1494,group09135
acMicro-1.genome.CDS.1495,group00226
acMicro-1.genome.CDS.1496,group08235
acMicro-1.genome.CDS.1497,group03291
acMicro-1.genome.CDS.1498,group00582
acMicro-1.genome.CDS.932,group00240
acMicro-1.genome.CDS.931,group00225
acMicro-1.genome.CDS.930,group00057
acMicro-1.genome.CDS.937,group02702
acMicro-1.genome.CDS.936,group00759
acMicro-1.genome.CDS.935,group07375
acMicro-1.genome.CDS.934,group00857
acMicro-1.genome.CDS.1381,group04700
acMicro-1.genome.CDS.1621,group00624
acMicro-1.genome.CDS.1387,group00381
acMicro-1.genome.CDS.1146,group00082
acMicro-1.genome.CDS.1147,group00364
acMicro-1.genome.CDS.1144,group08763
acMicro-1.genome.CDS.1145,group00291
acMicro-1.genome.CDS.1142,group12610
acMicro-1.genome.CDS.1669,group00254
acMicro-1.genome.CDS.1141,group08322
acMicro-1.genome.CDS.1667,group00108
acMicro-1.genome.CDS.1666,group00167
acMicro-1.genome.CDS.1665,group00977
acMicro-1.genome.CDS.1664,group01074
acMicro-1.genome.CDS.1663,group00849
acMicro-1.genome.CDS.1662,group12157
acMicro-1.genome.CDS.1661,group02956
acMicro-1.genome.CDS.1149,group13947
acMicro-1.genome.CDS.984,group00706
acMicro-1.genome.CDS.1002,group00615
acMicro-1.genome.CDS.1001,group00335
acMicro-1.genome.CDS.1000,group14024
acMicro-1.genome.CDS.1449,group12709
acMicro-1.genome.CDS.1006,group03784
acMicro-1.genome.CDS.1005,group00596
acMicro-1.genome.CDS.1004,group00091
acMicro-1.genome.CDS.1009,group08395
acMicro-1.genome.CDS.1008,group00573
acMicro-1.genome.CDS.1542,group02285
acMicro-1.genome.CDS.208,group00972
acMicro-1.genome.CDS.1249,group02470
acMicro-1.genome.CDS.1572,group00322
acMicro-1.genome.CDS.977,group00055
acMicro-1.genome.CDS.1594,group00519
acMicro-1.genome.CDS.975,group00070
acMicro-1.genome.CDS.974,group00324
acMicro-1.genome.CDS.1377,group05561
acMicro-1.genome.CDS.1591,group00238
acMicro-1.genome.CDS.1279,group03794
acMicro-1.genome.CDS.1590,group00995
acMicro-1.genome.CDS.365,group01953
acMicro-1.genome.CDS.971,group00395
acMicro-1.genome.CDS.1258,group04115
acMicro-1.genome.CDS.1259,group00119
acMicro-1.genome.CDS.1256,group00432
acMicro-1.genome.CDS.1257,group00046
acMicro-1.genome.CDS.1254,group10330
acMicro-1.genome.CDS.1592,group02953
acMicro-1.genome.CDS.1252,group00232
acMicro-1.genome.CDS.1253,group02614
acMicro-1.genome.CDS.276,group00406
acMicro-1.genome.CDS.1251,group10919
acMicro-1.genome.CDS.1443,group00847
acMicro-1.genome.CDS.1569,group00237
acMicro-1.genome.CDS.1441,group00894
acMicro-1.genome.CDS.1440,group00896
acMicro-1.genome.CDS.1447,group00714
acMicro-1.genome.CDS.1446,group00764
acMicro-1.genome.CDS.1445,group00825
acMicro-1.genome.CDS.1444,group00821
acMicro-1.genome.CDS.1560,group01314
acMicro-1.genome.CDS.1561,group08371
acMicro-1.genome.CDS.1562,group02916
acMicro-1.genome.CDS.1448,group00611
acMicro-1.genome.CDS.1564,group12723
acMicro-1.genome.CDS.1565,group09015
acMicro-1.genome.CDS.1566,group08368
acMicro-1.genome.CDS.1567,group01269
acMicro-1.genome.CDS.993,group08387
acMicro-1.genome.CDS.872,group10861
acMicro-1.genome.CDS.873,group00431
acMicro-1.genome.CDS.1317,group00513
acMicro-1.genome.CDS.1316,group00168
acMicro-1.genome.CDS.1315,group08262
acMicro-1.genome.CDS.1314,group00194
acMicro-1.genome.CDS.1098,group00793
acMicro-1.genome.CDS.1099,group02120
acMicro-1.genome.CDS.1311,group08187
acMicro-1.genome.CDS.1310,group00881
acMicro-1.genome.CDS.1094,group00726
acMicro-1.genome.CDS.1095,group00270
acMicro-1.genome.CDS.1096,group00780
acMicro-1.genome.CDS.1097,group00884
acMicro-1.genome.CDS.1090,group00191
acMicro-1.genome.CDS.1091,group04318
acMicro-1.genome.CDS.1092,group11729
acMicro-1.genome.CDS.1093,group08407
acMicro-1.genome.CDS.1629,group00655
acMicro-1.genome.CDS.1476,group08356
acMicro-1.genome.CDS.1628,group00314
acMicro-1.genome.CDS.1698,group08377
acMicro-1.genome.CDS.1699,group06327
acMicro-1.genome.CDS.1696,group00753
acMicro-1.genome.CDS.1697,group01532
acMicro-1.genome.CDS.1694,group01950
acMicro-1.genome.CDS.1692,group00902
acMicro-1.genome.CDS.1693,group06327
acMicro-1.genome.CDS.1690,group01659
acMicro-1.genome.CDS.1691,group08379
acMicro-1.genome.CDS.1380,group05931
acMicro-1.genome.CDS.1649,group04409
acMicro-1.genome.CDS.1382,group02437
acMicro-1.genome.CDS.1383,group01443
acMicro-1.genome.CDS.1384,group12056
acMicro-1.genome.CDS.1385,group07309
acMicro-1.genome.CDS.1386,group00136
acMicro-1.genome.CDS.1648,group00438
acMicro-1.genome.CDS.1388,group00257
acMicro-1.genome.CDS.1389,group10096
acMicro-1.genome.CDS.994,group01534
acMicro-1.genome.CDS.1595,group00677
acMicro-1.genome.CDS.976,group02819
acMicro-1.genome.CDS.1597,group03579
acMicro-1.genome.CDS.1596,group09276
acMicro-1.genome.CDS.973,group02705
acMicro-1.genome.CDS.972,group03305
acMicro-1.genome.CDS.878,group01777
acMicro-1.genome.CDS.879,group00672
acMicro-1.genome.CDS.876,group01974
acMicro-1.genome.CDS.877,group00647
acMicro-1.genome.CDS.874,group03812
acMicro-1.genome.CDS.875,group12687
acMicro-1.genome.CDS.1599,group00261
acMicro-1.genome.CDS.1598,group00045
acMicro-1.genome.CDS.979,group08394
acMicro-1.genome.CDS.978,group00165
acMicro-1.genome.CDS.1182,group00361
acMicro-1.genome.CDS.1183,group11391
acMicro-1.genome.CDS.1180,group13751
acMicro-1.genome.CDS.1181,group08976
acMicro-1.genome.CDS.1186,group00746
acMicro-1.genome.CDS.1187,group00264
acMicro-1.genome.CDS.1184,group00490
acMicro-1.genome.CDS.1185,group00435
acMicro-1.genome.CDS.1623,group00133
acMicro-1.genome.CDS.1371,group00505
acMicro-1.genome.CDS.1188,group00264
acMicro-1.genome.CDS.1189,group06565
acMicro-1.genome.CDS.1627,group01962
acMicro-1.genome.CDS.1626,group03296
acMicro-1.genome.CDS.1625,group00377
acMicro-1.genome.CDS.1624,group00498
acMicro-1.genome.CDS.1641,group03804
acMicro-1.genome.CDS.1129,group00723
acMicro-1.genome.CDS.1345,group03287
acMicro-1.genome.CDS.128,group08393
acMicro-1.genome.CDS.1029,group09755
acMicro-1.genome.CDS.1341,group00776
acMicro-1.genome.CDS.1322,group00877
acMicro-1.genome.CDS.1489,group00751
acMicro-1.genome.CDS.1320,group04348
acMicro-1.genome.CDS.1025,group02675
acMicro-1.genome.CDS.1088,group00212
acMicro-1.genome.CDS.1139,group01770
acMicro-1.genome.CDS.1138,group11426
acMicro-1.genome.CDS.1137,group00102
acMicro-1.genome.CDS.1136,group01189
acMicro-1.genome.CDS.1135,group01189
acMicro-1.genome.CDS.1134,group08324
acMicro-1.genome.CDS.1133,group00073
acMicro-1.genome.CDS.1132,group00483
acMicro-1.genome.CDS.1130,group12082
acMicro-1.genome.CDS.1058,group00658
acMicro-1.genome.CDS.1059,group00891
acMicro-1.genome.CDS.1351,group00009
acMicro-1.genome.CDS.1350,group02471
acMicro-1.genome.CDS.1357,group00049
acMicro-1.genome.CDS.1356,group11291
acMicro-1.genome.CDS.1355,group00465
acMicro-1.genome.CDS.1354,group00182
acMicro-1.genome.CDS.1050,group02466
acMicro-1.genome.CDS.1051,group09869
acMicro-1.genome.CDS.1359,group00744
acMicro-1.genome.CDS.1053,group01259
acMicro-1.genome.CDS.1054,group04587
acMicro-1.genome.CDS.1055,group08401
acMicro-1.genome.CDS.1056,group03277
acMicro-1.genome.CDS.1057,group00788
acMicro-1.genome.CDS.1524,group03294
acMicro-1.genome.CDS.1525,group13199
acMicro-1.genome.CDS.1526,group01320
acMicro-1.genome.CDS.1527,group02978
acMicro-1.genome.CDS.1520,group00581
acMicro-1.genome.CDS.1521,group08257
acMicro-1.genome.CDS.1522,group03293
acMicro-1.genome.CDS.888,group00632
acMicro-1.genome.CDS.887,group00795
acMicro-1.genome.CDS.886,group01084
acMicro-1.genome.CDS.885,group03813
acMicro-1.genome.CDS.884,group00203
acMicro-1.genome.CDS.883,group00026
acMicro-1.genome.CDS.882,group02481
acMicro-1.genome.CDS.881,group00242
acMicro-1.genome.CDS.880,group00689
acMicro-1.genome.CDS.1329,group00923
acMicro-1.genome.CDS.1486,group03289
acMicro-1.genome.CDS.1551,group00994
acMicro-1.genome.CDS.1550,group09924
acMicro-1.genome.CDS.1553,group00816
acMicro-1.genome.CDS.1552,group00432
acMicro-1.genome.CDS.1554,group04365
acMicro-1.genome.CDS.989,group04449
acMicro-1.genome.CDS.1729,group00177
acMicro-1.genome.CDS.1559,group03919
acMicro-1.genome.CDS.341,group06512
acMicro-1.genome.CDS.1233,group02680
acMicro-1.genome.CDS.1418,group08354
acMicro-1.genome.CDS.1419,group06511
acMicro-1.genome.CDS.1017,group02115
acMicro-1.genome.CDS.1728,group08121
acMicro-1.genome.CDS.1410,group00053
acMicro-1.genome.CDS.1411,group00175
acMicro-1.genome.CDS.1412,group00275
acMicro-1.genome.CDS.1414,group08352
acMicro-1.genome.CDS.1415,group00992
acMicro-1.genome.CDS.1416,group08351
acMicro-1.genome.CDS.1417,group00193
acMicro-1.genome.CDS.1021,group12593
acMicro-1.genome.CDS.1234,group00586
acMicro-1.genome.CDS.1227,group07168
acMicro-1.genome.CDS.1226,group00736
acMicro-1.genome.CDS.1225,group12041
acMicro-1.genome.CDS.1224,group02464
acMicro-1.genome.CDS.1223,group00988
acMicro-1.genome.CDS.1222,group02947
acMicro-1.genome.CDS.1220,group02676
acMicro-1.genome.CDS.1229,group00343
acMicro-1.genome.CDS.1077,group02119
acMicro-1.genome.CDS.1708,group01840
acMicro-1.genome.CDS.1709,group04710
acMicro-1.genome.CDS.1704,group00925
acMicro-1.genome.CDS.1705,group00608
acMicro-1.genome.CDS.1706,group02697
acMicro-1.genome.CDS.1707,group00575
acMicro-1.genome.CDS.1700,group06327
acMicro-1.genome.CDS.1701,group03301
acMicro-1.genome.CDS.1702,group00546
acMicro-1.genome.CDS.1703,group02957
acMicro-1.genome.CDS.1558,group12728
acMicro-1.genome.CDS.470,group04345
acMicro-1.genome.CDS.908,group11758
acMicro-1.genome.CDS.909,group04888
acMicro-1.genome.CDS.906,group00510
acMicro-1.genome.CDS.907,group03787
acMicro-1.genome.CDS.904,group00171
acMicro-1.genome.CDS.905,group01311
acMicro-1.genome.CDS.902,group06649
acMicro-1.genome.CDS.903,group00008
acMicro-1.genome.CDS.900,group00494
acMicro-1.genome.CDS.901,group00460
acMicro-1.genome.CDS.1179,group01465
acMicro-1.genome.CDS.1178,group01089
acMicro-1.genome.CDS.1173,group00731
acMicro-1.genome.CDS.1172,group08653
acMicro-1.genome.CDS.1171,group00427
acMicro-1.genome.CDS.1170,group00003
acMicro-1.genome.CDS.1177,group00027
acMicro-1.genome.CDS.1176,group03454
acMicro-1.genome.CDS.1175,group00017
acMicro-1.genome.CDS.1174,group00489
acMicro-1.genome.CDS.1228,group00623
acMicro-1.genome.CDS.1436,group00855
acMicro-1.genome.CDS.1312,group00075
acMicro-1.genome.CDS.1269,group00993
acMicro-1.genome.CDS.1358,group02949
acMicro-1.genome.CDS.1492,group02476
acMicro-1.genome.CDS.1670,group02694
acMicro-1.genome.CDS.1671,group00909
acMicro-1.genome.CDS.1672,group03807
acMicro-1.genome.CDS.1673,group12547
acMicro-1.genome.CDS.1674,group00142
acMicro-1.genome.CDS.1675,group03808
acMicro-1.genome.CDS.1676,group01591
acMicro-1.genome.CDS.1677,group00201
acMicro-1.genome.CDS.1678,group08380
acMicro-1.genome.CDS.1679,group06668
acMicro-1.genome.CDS.1579,group00830
