BIN_15.genome.CDS.1749,group11490
BIN_15.genome.CDS.2521,group00537
BIN_15.genome.CDS.2522,group05376
BIN_15.genome.CDS.2523,group08389
BIN_15.genome.CDS.2524,group07018
BIN_15.genome.CDS.2525,group00735
BIN_15.genome.CDS.2527,group11223
BIN_15.genome.CDS.3031,group00199
BIN_15.genome.CDS.2529,group00179
BIN_15.genome.CDS.3033,group02355
BIN_15.genome.CDS.3032,group01595
BIN_15.genome.CDS.3035,group01785
BIN_15.genome.CDS.3034,group01632
BIN_15.genome.CDS.3037,group00023
BIN_15.genome.CDS.3036,group01786
BIN_15.genome.CDS.2454,group00384
BIN_15.genome.CDS.2327,group12857
BIN_15.genome.CDS.2456,group11206
BIN_15.genome.CDS.2457,group01598
BIN_15.genome.CDS.2450,group09179
BIN_15.genome.CDS.2451,group02325
BIN_15.genome.CDS.2452,group00374
BIN_15.genome.CDS.2453,group00692
BIN_15.genome.CDS.3105,group01676
BIN_15.genome.CDS.3104,group02300
BIN_15.genome.CDS.3107,group12495
BIN_15.genome.CDS.3106,group03559
BIN_15.genome.CDS.2458,group01426
BIN_15.genome.CDS.2459,group08679
BIN_15.genome.CDS.2328,group00630
BIN_15.genome.CDS.2329,group11175
BIN_15.genome.CDS.3325,group07261
BIN_15.genome.CDS.3324,group01963
BIN_15.genome.CDS.3326,group11397
BIN_15.genome.CDS.3321,group07593
BIN_15.genome.CDS.3320,group01576
BIN_15.genome.CDS.3323,group00182
BIN_15.genome.CDS.951,group07830
BIN_15.genome.CDS.229,group00772
BIN_15.genome.CDS.3329,group00141
BIN_15.genome.CDS.3328,group00141
BIN_15.genome.CDS.315,group00034
BIN_15.genome.CDS.316,group00034
BIN_15.genome.CDS.2983,group04128
BIN_15.genome.CDS.2980,group06617
BIN_15.genome.CDS.2981,group09015
BIN_15.genome.CDS.2986,group01863
BIN_15.genome.CDS.2984,group12136
BIN_15.genome.CDS.2985,group01884
BIN_15.genome.CDS.2988,group00373
BIN_15.genome.CDS.2989,group00419
BIN_15.genome.CDS.551,group00330
BIN_15.genome.CDS.557,group00612
BIN_15.genome.CDS.554,group11170
BIN_15.genome.CDS.1189,group11320
BIN_15.genome.CDS.1188,group00417
BIN_15.genome.CDS.59,group01617
BIN_15.genome.CDS.2850,group00585
BIN_15.genome.CDS.2851,group00519
BIN_15.genome.CDS.1619,group11018
BIN_15.genome.CDS.2853,group00661
BIN_15.genome.CDS.2854,group00147
BIN_15.genome.CDS.2855,group01877
BIN_15.genome.CDS.2856,group02199
BIN_15.genome.CDS.2857,group03767
BIN_15.genome.CDS.2859,group07424
BIN_15.genome.CDS.1347,group09757
BIN_15.genome.CDS.1616,group08330
BIN_15.genome.CDS.1983,group00460
BIN_15.genome.CDS.1982,group00443
BIN_15.genome.CDS.1981,group01074
BIN_15.genome.CDS.1980,group05356
BIN_15.genome.CDS.1987,group00742
BIN_15.genome.CDS.1986,group00172
BIN_15.genome.CDS.1985,group00032
BIN_15.genome.CDS.1984,group08235
BIN_15.genome.CDS.1989,group00201
BIN_15.genome.CDS.1988,group05272
BIN_15.genome.CDS.3167,group01890
BIN_15.genome.CDS.1506,group09148
BIN_15.genome.CDS.1508,group11401
BIN_15.genome.CDS.1168,group00292
BIN_15.genome.CDS.1763,group02042
BIN_15.genome.CDS.1762,group11513
BIN_15.genome.CDS.1761,group00695
BIN_15.genome.CDS.1760,group13739
BIN_15.genome.CDS.1767,group11177
BIN_15.genome.CDS.1766,group13608
BIN_15.genome.CDS.1765,group00037
BIN_15.genome.CDS.1764,group11776
BIN_15.genome.CDS.1769,group07119
BIN_15.genome.CDS.1768,group02768
BIN_15.genome.CDS.2199,group00205
BIN_15.genome.CDS.2191,group00031
BIN_15.genome.CDS.2190,group02781
BIN_15.genome.CDS.2193,group01536
BIN_15.genome.CDS.2192,group00261
BIN_15.genome.CDS.2195,group00515
BIN_15.genome.CDS.2194,group00515
BIN_15.genome.CDS.2197,group00084
BIN_15.genome.CDS.2196,group11526
BIN_15.genome.CDS.2069,group01803
BIN_15.genome.CDS.2068,group08481
BIN_15.genome.CDS.3184,group01592
BIN_15.genome.CDS.2065,group00696
BIN_15.genome.CDS.2064,group12440
BIN_15.genome.CDS.2067,group01584
BIN_15.genome.CDS.2066,group00573
BIN_15.genome.CDS.2061,group00427
BIN_15.genome.CDS.2060,group11501
BIN_15.genome.CDS.2063,group00512
BIN_15.genome.CDS.2062,group01794
BIN_15.genome.CDS.2669,group01382
BIN_15.genome.CDS.2516,group02133
BIN_15.genome.CDS.2662,group00186
BIN_15.genome.CDS.2661,group00989
BIN_15.genome.CDS.2660,group01608
BIN_15.genome.CDS.2667,group01045
BIN_15.genome.CDS.2666,group04784
BIN_15.genome.CDS.2665,group11263
BIN_15.genome.CDS.2664,group01843
BIN_15.genome.CDS.2685,group01574
BIN_15.genome.CDS.2684,group02774
BIN_15.genome.CDS.2687,group11267
BIN_15.genome.CDS.2686,group02010
BIN_15.genome.CDS.2681,group13185
BIN_15.genome.CDS.2680,group03517
BIN_15.genome.CDS.2683,group01494
BIN_15.genome.CDS.2682,group00793
BIN_15.genome.CDS.2689,group11266
BIN_15.genome.CDS.2688,group00161
BIN_15.genome.CDS.2209,group01493
BIN_15.genome.CDS.2208,group01718
BIN_15.genome.CDS.2201,group00073
BIN_15.genome.CDS.835,group11718
BIN_15.genome.CDS.2203,group11528
BIN_15.genome.CDS.2202,group11527
BIN_15.genome.CDS.2205,group01722
BIN_15.genome.CDS.2204,group00626
BIN_15.genome.CDS.3027,group01721
BIN_15.genome.CDS.2539,group09663
BIN_15.genome.CDS.2538,group13086
BIN_15.genome.CDS.2537,group11227
BIN_15.genome.CDS.2536,group00392
BIN_15.genome.CDS.2535,group11224
BIN_15.genome.CDS.2534,group11225
BIN_15.genome.CDS.2533,group11226
BIN_15.genome.CDS.2532,group13701
BIN_15.genome.CDS.2531,group12901
BIN_15.genome.CDS.2530,group00180
BIN_15.genome.CDS.2335,group11172
BIN_15.genome.CDS.2442,group00020
BIN_15.genome.CDS.2441,group11205
BIN_15.genome.CDS.2336,group04992
BIN_15.genome.CDS.2331,group00310
BIN_15.genome.CDS.2330,group00597
BIN_15.genome.CDS.2333,group11173
BIN_15.genome.CDS.2444,group06945
BIN_15.genome.CDS.3130,group00501
BIN_15.genome.CDS.3131,group00490
BIN_15.genome.CDS.3132,group02111
BIN_15.genome.CDS.3133,group06431
BIN_15.genome.CDS.2339,group00050
BIN_15.genome.CDS.3135,group00405
BIN_15.genome.CDS.3136,group11351
BIN_15.genome.CDS.3137,group11352
BIN_15.genome.CDS.3488,group00089
BIN_15.genome.CDS.3489,group00436
BIN_15.genome.CDS.2587,group00725
BIN_15.genome.CDS.3480,group00198
BIN_15.genome.CDS.3481,group11448
BIN_15.genome.CDS.3482,group01185
BIN_15.genome.CDS.3483,group03577
BIN_15.genome.CDS.3485,group12251
BIN_15.genome.CDS.3486,group00981
BIN_15.genome.CDS.3487,group06534
BIN_15.genome.CDS.145,group00388
BIN_15.genome.CDS.144,group07590
BIN_15.genome.CDS.140,group11405
BIN_15.genome.CDS.2583,group01323
BIN_15.genome.CDS.3310,group11388
BIN_15.genome.CDS.3311,group00551
BIN_15.genome.CDS.3312,group00832
BIN_15.genome.CDS.3313,group00832
BIN_15.genome.CDS.3315,group02326
BIN_15.genome.CDS.3316,group04590
BIN_15.genome.CDS.3317,group00786
BIN_15.genome.CDS.3318,group08418
BIN_15.genome.CDS.3319,group02460
BIN_15.genome.CDS.785,group11232
BIN_15.genome.CDS.968,group10961
BIN_15.genome.CDS.2921,group01976
BIN_15.genome.CDS.3556,group00260
BIN_15.genome.CDS.3005,group01813
BIN_15.genome.CDS.3555,group07129
BIN_15.genome.CDS.3552,group05250
BIN_15.genome.CDS.3001,group00105
BIN_15.genome.CDS.3002,group00251
BIN_15.genome.CDS.2517,group00954
BIN_15.genome.CDS.3008,group00672
BIN_15.genome.CDS.3009,group00672
BIN_15.genome.CDS.3558,group01864
BIN_15.genome.CDS.3559,group12977
BIN_15.genome.CDS.498,group11545
BIN_15.genome.CDS.491,group11539
BIN_15.genome.CDS.490,group11536
BIN_15.genome.CDS.364,group03113
BIN_15.genome.CDS.367,group11516
BIN_15.genome.CDS.494,group11540
BIN_15.genome.CDS.563,group00610
BIN_15.genome.CDS.2991,group08518
BIN_15.genome.CDS.2990,group00419
BIN_15.genome.CDS.2993,group00417
BIN_15.genome.CDS.2995,group04799
BIN_15.genome.CDS.2994,group00305
BIN_15.genome.CDS.2997,group03993
BIN_15.genome.CDS.2996,group02318
BIN_15.genome.CDS.2999,group01260
BIN_15.genome.CDS.2998,group06916
BIN_15.genome.CDS.764,group11228
BIN_15.genome.CDS.767,group02796
BIN_15.genome.CDS.2849,group01297
BIN_15.genome.CDS.2848,group07304
BIN_15.genome.CDS.2847,group00766
BIN_15.genome.CDS.2846,group01734
BIN_15.genome.CDS.2845,group11286
BIN_15.genome.CDS.2844,group10418
BIN_15.genome.CDS.2843,group00104
BIN_15.genome.CDS.2842,group00108
BIN_15.genome.CDS.2841,group00136
BIN_15.genome.CDS.2840,group00386
BIN_15.genome.CDS.1086,group00194
BIN_15.genome.CDS.942,group11276
BIN_15.genome.CDS.1978,group00007
BIN_15.genome.CDS.1979,group00130
BIN_15.genome.CDS.1976,group00324
BIN_15.genome.CDS.1977,group01043
BIN_15.genome.CDS.1975,group07978
BIN_15.genome.CDS.1972,group11478
BIN_15.genome.CDS.1973,group00772
BIN_15.genome.CDS.1970,group00779
BIN_15.genome.CDS.1971,group00779
BIN_15.genome.CDS.1576,group00010
BIN_15.genome.CDS.3435,group12370
BIN_15.genome.CDS.1888,group00642
BIN_15.genome.CDS.1889,group11819
BIN_15.genome.CDS.3434,group00524
BIN_15.genome.CDS.1882,group02523
BIN_15.genome.CDS.1883,group00130
BIN_15.genome.CDS.1880,group00152
BIN_15.genome.CDS.1881,group02250
BIN_15.genome.CDS.1886,group00780
BIN_15.genome.CDS.1887,group11097
BIN_15.genome.CDS.1884,group00388
BIN_15.genome.CDS.3340,group11402
BIN_15.genome.CDS.3347,group04582
BIN_15.genome.CDS.1372,group08961
BIN_15.genome.CDS.935,group01394
BIN_15.genome.CDS.3345,group00224
BIN_15.genome.CDS.1408,group00327
BIN_15.genome.CDS.1409,group07529
BIN_15.genome.CDS.1158,group05768
BIN_15.genome.CDS.1404,group07461
BIN_15.genome.CDS.3344,group01860
BIN_15.genome.CDS.1400,group00366
BIN_15.genome.CDS.2518,group00507
BIN_15.genome.CDS.1798,group00087
BIN_15.genome.CDS.1799,group00925
BIN_15.genome.CDS.1796,group00209
BIN_15.genome.CDS.3356,group11411
BIN_15.genome.CDS.1794,group00008
BIN_15.genome.CDS.1795,group00171
BIN_15.genome.CDS.1792,group00462
BIN_15.genome.CDS.1793,group00298
BIN_15.genome.CDS.1790,group04666
BIN_15.genome.CDS.1791,group02672
BIN_15.genome.CDS.2058,group00401
BIN_15.genome.CDS.2059,group02024
BIN_15.genome.CDS.2050,group01424
BIN_15.genome.CDS.2051,group02848
BIN_15.genome.CDS.2052,group11499
BIN_15.genome.CDS.2053,group03375
BIN_15.genome.CDS.2054,group03579
BIN_15.genome.CDS.2055,group11500
BIN_15.genome.CDS.3056,group05875
BIN_15.genome.CDS.2234,group00466
BIN_15.genome.CDS.2235,group00447
BIN_15.genome.CDS.2236,group00465
BIN_15.genome.CDS.2237,group00114
BIN_15.genome.CDS.2230,group04981
BIN_15.genome.CDS.2231,group08342
BIN_15.genome.CDS.2232,group01335
BIN_15.genome.CDS.2233,group00102
BIN_15.genome.CDS.2238,group11537
BIN_15.genome.CDS.2239,group06533
BIN_15.genome.CDS.3497,group00951
BIN_15.genome.CDS.3496,group00873
BIN_15.genome.CDS.3495,group00194
BIN_15.genome.CDS.3494,group00058
BIN_15.genome.CDS.3493,group12233
BIN_15.genome.CDS.3492,group11449
BIN_15.genome.CDS.3491,group01771
BIN_15.genome.CDS.3490,group01002
BIN_15.genome.CDS.301,group08158
BIN_15.genome.CDS.3499,group01128
BIN_15.genome.CDS.3498,group00344
BIN_15.genome.CDS.2548,group10873
BIN_15.genome.CDS.2549,group12777
BIN_15.genome.CDS.2542,group10285
BIN_15.genome.CDS.2543,group05180
BIN_15.genome.CDS.2540,group01219
BIN_15.genome.CDS.2541,group08621
BIN_15.genome.CDS.2546,group00479
BIN_15.genome.CDS.2547,group11229
BIN_15.genome.CDS.2544,group03548
BIN_15.genome.CDS.2545,group04060
BIN_15.genome.CDS.2300,group01842
BIN_15.genome.CDS.2301,group00367
BIN_15.genome.CDS.2302,group01882
BIN_15.genome.CDS.2303,group11097
BIN_15.genome.CDS.2304,group02292
BIN_15.genome.CDS.2305,group01607
BIN_15.genome.CDS.2306,group01868
BIN_15.genome.CDS.2307,group00743
BIN_15.genome.CDS.2308,group00978
BIN_15.genome.CDS.3127,group00027
BIN_15.genome.CDS.3126,group05384
BIN_15.genome.CDS.3124,group00587
BIN_15.genome.CDS.3123,group00587
BIN_15.genome.CDS.3120,group05383
BIN_15.genome.CDS.3129,group11346
BIN_15.genome.CDS.3128,group05385
BIN_15.genome.CDS.154,group00454
BIN_15.genome.CDS.978,group01988
BIN_15.genome.CDS.979,group01988
BIN_15.genome.CDS.3309,group13795
BIN_15.genome.CDS.3308,group01046
BIN_15.genome.CDS.3307,group02611
BIN_15.genome.CDS.3306,group05283
BIN_15.genome.CDS.3305,group00613
BIN_15.genome.CDS.3304,group11716
BIN_15.genome.CDS.3302,group00434
BIN_15.genome.CDS.3301,group11386
BIN_15.genome.CDS.3300,group11387
BIN_15.genome.CDS.3545,group00809
BIN_15.genome.CDS.3544,group09412
BIN_15.genome.CDS.3011,group00424
BIN_15.genome.CDS.3546,group00430
BIN_15.genome.CDS.3541,group03354
BIN_15.genome.CDS.3016,group00217
BIN_15.genome.CDS.3015,group00029
BIN_15.genome.CDS.3542,group00557
BIN_15.genome.CDS.3019,group00463
BIN_15.genome.CDS.3018,group00064
BIN_15.genome.CDS.3549,group02383
BIN_15.genome.CDS.3548,group09168
BIN_15.genome.CDS.1677,group00302
BIN_15.genome.CDS.1671,group03571
BIN_15.genome.CDS.480,group10215
BIN_15.genome.CDS.578,group08911
BIN_15.genome.CDS.7,group11281
BIN_15.genome.CDS.774,group07896
BIN_15.genome.CDS.779,group01408
BIN_15.genome.CDS.1360,group00489
BIN_15.genome.CDS.72,group10043
BIN_15.genome.CDS.850,group10205
BIN_15.genome.CDS.2838,group02297
BIN_15.genome.CDS.2839,group00257
BIN_15.genome.CDS.2832,group00029
BIN_15.genome.CDS.2833,group00425
BIN_15.genome.CDS.2830,group00876
BIN_15.genome.CDS.2831,group00202
BIN_15.genome.CDS.2836,group01899
BIN_15.genome.CDS.2837,group08732
BIN_15.genome.CDS.2834,group00394
BIN_15.genome.CDS.2835,group00362
BIN_15.genome.CDS.2712,group00365
BIN_15.genome.CDS.2711,group00081
BIN_15.genome.CDS.2246,group00188
BIN_15.genome.CDS.1969,group11479
BIN_15.genome.CDS.1968,group01444
BIN_15.genome.CDS.1965,group13787
BIN_15.genome.CDS.1964,group08444
BIN_15.genome.CDS.1967,group11476
BIN_15.genome.CDS.1966,group06264
BIN_15.genome.CDS.1961,group00197
BIN_15.genome.CDS.1960,group02347
BIN_15.genome.CDS.1963,group11059
BIN_15.genome.CDS.2716,group00119
BIN_15.genome.CDS.2714,group02072
BIN_15.genome.CDS.2946,group00566
BIN_15.genome.CDS.2947,group00392
BIN_15.genome.CDS.2944,group00511
BIN_15.genome.CDS.2945,group00037
BIN_15.genome.CDS.2942,group03091
BIN_15.genome.CDS.2943,group06405
BIN_15.genome.CDS.2940,group10696
BIN_15.genome.CDS.2491,group00092
BIN_15.genome.CDS.1568,group01977
BIN_15.genome.CDS.2360,group00057
BIN_15.genome.CDS.2948,group00456
BIN_15.genome.CDS.2949,group03062
BIN_15.genome.CDS.1899,group00308
BIN_15.genome.CDS.1898,group00071
BIN_15.genome.CDS.2361,group00057
BIN_15.genome.CDS.1891,group01570
BIN_15.genome.CDS.1890,group01651
BIN_15.genome.CDS.1893,group11460
BIN_15.genome.CDS.1892,group13876
BIN_15.genome.CDS.1894,group06133
BIN_15.genome.CDS.1897,group00247
BIN_15.genome.CDS.1896,group01930
BIN_15.genome.CDS.2496,group00904
BIN_15.genome.CDS.2497,group00879
BIN_15.genome.CDS.1147,group02340
BIN_15.genome.CDS.1416,group02847
BIN_15.genome.CDS.1789,group01617
BIN_15.genome.CDS.1785,group03483
BIN_15.genome.CDS.1784,group00172
BIN_15.genome.CDS.1787,group12432
BIN_15.genome.CDS.1786,group02568
BIN_15.genome.CDS.1781,group00359
BIN_15.genome.CDS.1780,group07535
BIN_15.genome.CDS.1783,group10155
BIN_15.genome.CDS.1782,group00315
TBhypo3815.genome.CDS.3921,group01460
BIN_15.genome.CDS.2047,group00590
BIN_15.genome.CDS.1406,group00493
BIN_15.genome.CDS.2045,group01826
BIN_15.genome.CDS.2044,group00256
BIN_15.genome.CDS.2043,group00361
BIN_15.genome.CDS.2042,group06571
BIN_15.genome.CDS.2041,group00667
BIN_15.genome.CDS.2040,group06570
BIN_15.genome.CDS.2049,group00543
BIN_15.genome.CDS.2048,group02802
BIN_15.genome.CDS.2509,group00100
BIN_15.genome.CDS.2223,group11530
BIN_15.genome.CDS.2222,group01322
BIN_15.genome.CDS.2221,group11811
BIN_15.genome.CDS.2227,group03574
BIN_15.genome.CDS.2226,group02566
BIN_15.genome.CDS.2225,group02193
BIN_15.genome.CDS.2224,group01263
BIN_15.genome.CDS.2229,group11535
BIN_15.genome.CDS.2228,group11533
BIN_15.genome.CDS.1797,group00103
BIN_15.genome.CDS.2551,group08332
BIN_15.genome.CDS.2550,group00160
BIN_15.genome.CDS.2552,group00250
BIN_15.genome.CDS.2555,group00245
BIN_15.genome.CDS.2554,group01804
BIN_15.genome.CDS.2557,group02205
BIN_15.genome.CDS.2556,group13364
BIN_15.genome.CDS.3369,group11414
BIN_15.genome.CDS.2319,group00523
BIN_15.genome.CDS.2318,group00581
BIN_15.genome.CDS.2317,group07649
BIN_15.genome.CDS.2316,group00618
BIN_15.genome.CDS.2315,group00610
BIN_15.genome.CDS.2314,group00522
BIN_15.genome.CDS.2313,group00599
BIN_15.genome.CDS.2312,group00595
BIN_15.genome.CDS.2311,group09106
BIN_15.genome.CDS.2310,group02014
BIN_15.genome.CDS.3152,group02693
BIN_15.genome.CDS.3153,group11356
BIN_15.genome.CDS.3150,group00431
BIN_15.genome.CDS.3151,group02043
BIN_15.genome.CDS.3156,group08910
BIN_15.genome.CDS.3157,group09844
BIN_15.genome.CDS.3154,group13250
BIN_15.genome.CDS.3155,group01486
BIN_15.genome.CDS.3158,group12139
BIN_15.genome.CDS.3159,group02011
BIN_15.genome.CDS.162,group03277
BIN_15.genome.CDS.3378,group08048
BIN_15.genome.CDS.3379,group00559
BIN_15.genome.CDS.3372,group09229
BIN_15.genome.CDS.3373,group04359
BIN_15.genome.CDS.903,group00673
BIN_15.genome.CDS.902,group11265
BIN_15.genome.CDS.3376,group08730
BIN_15.genome.CDS.3377,group00013
BIN_15.genome.CDS.3374,group00047
BIN_15.genome.CDS.3375,group01641
BIN_15.genome.CDS.3570,group01749
BIN_15.genome.CDS.3571,group01749
BIN_15.genome.CDS.3572,group02230
BIN_15.genome.CDS.3573,group02154
BIN_15.genome.CDS.3574,group10877
BIN_15.genome.CDS.3575,group00441
BIN_15.genome.CDS.3576,group01015
BIN_15.genome.CDS.347,group11507
BIN_15.genome.CDS.3207,group00135
BIN_15.genome.CDS.3204,group13695
BIN_15.genome.CDS.3205,group00399
BIN_15.genome.CDS.3202,group11366
BIN_15.genome.CDS.3203,group00168
BIN_15.genome.CDS.3200,group05742
BIN_15.genome.CDS.3201,group00018
BIN_15.genome.CDS.3208,group00486
BIN_15.genome.CDS.3209,group11367
BIN_15.genome.CDS.2562,group00249
BIN_15.genome.CDS.3563,group00548
BIN_15.genome.CDS.587,group00139
