AAA027J17.genome.CDS.1638,group00580
AAA027J17.genome.CDS.1403,group00750
AAA027J17.genome.CDS.1402,group00787
AAA027J17.genome.CDS.1401,group00817
AAA027J17.genome.CDS.1400,group08909
AAA027J17.genome.CDS.1782,group00177
AAA027J17.genome.CDS.1668,group00738
AAA027J17.genome.CDS.1036,group00670
AAA027J17.genome.CDS.1037,group00267
AAA027J17.genome.CDS.1034,group02883
AAA027J17.genome.CDS.1035,group00903
AAA027J17.genome.CDS.1032,group00351
AAA027J17.genome.CDS.1033,group00303
AAA027J17.genome.CDS.1030,group12410
AAA027J17.genome.CDS.1031,group11566
AAA027J17.genome.CDS.1038,group00350
AAA027J17.genome.CDS.1039,group00608
AAA027J17.genome.CDS.1292,group00217
AAA027J17.genome.CDS.1428,group00375
AAA027J17.genome.CDS.1290,group04123
AAA027J17.genome.CDS.1732,group01031
AAA027J17.genome.CDS.1291,group01014
AAA027J17.genome.CDS.1297,group00876
AAA027J17.genome.CDS.1339,group01384
AAA027J17.genome.CDS.1469,group00775
AAA027J17.genome.CDS.1231,group01086
AAA027J17.genome.CDS.915,group02597
AAA027J17.genome.CDS.1245,group00711
AAA027J17.genome.CDS.1244,group00762
AAA027J17.genome.CDS.1247,group07168
AAA027J17.genome.CDS.1246,group01895
AAA027J17.genome.CDS.1241,group00324
AAA027J17.genome.CDS.1240,group00563
AAA027J17.genome.CDS.1243,group00685
AAA027J17.genome.CDS.1242,group00701
AAA027J17.genome.CDS.1322,group01573
AAA027J17.genome.CDS.1323,group03454
AAA027J17.genome.CDS.1320,group01855
AAA027J17.genome.CDS.1321,group01513
AAA027J17.genome.CDS.1326,group00256
AAA027J17.genome.CDS.1327,group00591
AAA027J17.genome.CDS.1324,group01112
AAA027J17.genome.CDS.1325,group01337
AAA027J17.genome.CDS.1468,group00846
AAA027J17.genome.CDS.1350,group13196
AAA027J17.genome.CDS.1425,group00925
AAA027J17.genome.CDS.25,group00703
AAA027J17.genome.CDS.1424,group00954
AAA027J17.genome.CDS.1713,group07419
AAA027J17.genome.CDS.1860,group12129
AAA027J17.genome.CDS.1711,group00356
AAA027J17.genome.CDS.1862,group00418
AAA027J17.genome.CDS.1717,group00663
AAA027J17.genome.CDS.1864,group00009
AAA027J17.genome.CDS.1715,group02054
AAA027J17.genome.CDS.1714,group00559
AAA027J17.genome.CDS.1869,group00748
AAA027J17.genome.CDS.1868,group00955
AAA027J17.genome.CDS.1719,group00105
AAA027J17.genome.CDS.1598,group04408
AAA027J17.genome.CDS.1814,group00636
AAA027J17.genome.CDS.2032,group00047
AAA027J17.genome.CDS.2031,group00067
AAA027J17.genome.CDS.2030,group07217
AAA027J17.genome.CDS.1810,group00100
AAA027J17.genome.CDS.1811,group00570
AAA027J17.genome.CDS.2035,group12147
AAA027J17.genome.CDS.2034,group00355
AAA027J17.genome.CDS.2039,group04034
AAA027J17.genome.CDS.2038,group05108
AAA027J17.genome.CDS.1818,group00638
AAA027J17.genome.CDS.1819,group07994
AAA027J17.genome.CDS.1336,group02926
AAA027J17.genome.CDS.1480,group00302
AAA027J17.genome.CDS.1667,group00992
AAA027J17.genome.CDS.1666,group00922
AAA027J17.genome.CDS.1665,group09128
AAA027J17.genome.CDS.1664,group00920
AAA027J17.genome.CDS.1663,group13582
AAA027J17.genome.CDS.1789,group03536
AAA027J17.genome.CDS.1661,group07818
AAA027J17.genome.CDS.1660,group12974
AAA027J17.genome.CDS.1784,group00725
AAA027J17.genome.CDS.1785,group07826
AAA027J17.genome.CDS.1786,group00383
AAA027J17.genome.CDS.1787,group07148
AAA027J17.genome.CDS.1780,group00051
AAA027J17.genome.CDS.1412,group00176
AAA027J17.genome.CDS.1669,group11549
AAA027J17.genome.CDS.1783,group00512
AAA027J17.genome.CDS.1008,group01032
AAA027J17.genome.CDS.1148,group00657
AAA027J17.genome.CDS.1149,group06649
AAA027J17.genome.CDS.1146,group00136
AAA027J17.genome.CDS.1147,group00136
AAA027J17.genome.CDS.1144,group00257
AAA027J17.genome.CDS.1145,group00381
AAA027J17.genome.CDS.1142,group00394
AAA027J17.genome.CDS.1143,group00362
AAA027J17.genome.CDS.1140,group00202
AAA027J17.genome.CDS.1141,group01829
AAA027J17.genome.CDS.1300,group00321
AAA027J17.genome.CDS.1068,group00344
AAA027J17.genome.CDS.1612,group12777
AAA027J17.genome.CDS.1003,group00644
AAA027J17.genome.CDS.1446,group00927
AAA027J17.genome.CDS.1550,group00002
AAA027J17.genome.CDS.1553,group04040
AAA027J17.genome.CDS.2043,group00776
AAA027J17.genome.CDS.1560,group00491
AAA027J17.genome.CDS.1561,group00461
AAA027J17.genome.CDS.1562,group00298
AAA027J17.genome.CDS.1552,group00003
AAA027J17.genome.CDS.1564,group00170
AAA027J17.genome.CDS.1565,group00697
AAA027J17.genome.CDS.1566,group00511
AAA027J17.genome.CDS.1567,group00209
AAA027J17.genome.CDS.1568,group00103
AAA027J17.genome.CDS.1569,group00087
AAA027J17.genome.CDS.1910,group00838
AAA027J17.genome.CDS.1554,group00520
AAA027J17.genome.CDS.1918,group00671
AAA027J17.genome.CDS.1448,group07890
AAA027J17.genome.CDS.1557,group09900
AAA027J17.genome.CDS.1060,group00788
AAA027J17.genome.CDS.1911,group00253
AAA027J17.genome.CDS.1442,group05919
AAA027J17.genome.CDS.1913,group00539
AAA027J17.genome.CDS.1440,group00247
AAA027J17.genome.CDS.1447,group12142
AAA027J17.genome.CDS.1914,group12547
AAA027J17.genome.CDS.1445,group12143
AAA027J17.genome.CDS.1916,group00728
AAA027J17.genome.CDS.1544,group00810
AAA027J17.genome.CDS.1188,group00731
AAA027J17.genome.CDS.1968,group00948
AAA027J17.genome.CDS.1969,group00163
AAA027J17.genome.CDS.1964,group01006
AAA027J17.genome.CDS.1966,group08262
AAA027J17.genome.CDS.1967,group00614
AAA027J17.genome.CDS.1960,group05289
AAA027J17.genome.CDS.1961,group00129
AAA027J17.genome.CDS.1962,group10360
AAA027J17.genome.CDS.1963,group00741
AAA027J17.genome.CDS.2041,group01036
AAA027J17.genome.CDS.1281,group04450
AAA027J17.genome.CDS.1280,group00379
AAA027J17.genome.CDS.1283,group00736
AAA027J17.genome.CDS.1282,group00141
AAA027J17.genome.CDS.1285,group00387
AAA027J17.genome.CDS.1284,group12412
AAA027J17.genome.CDS.1287,group00050
AAA027J17.genome.CDS.1286,group00139
AAA027J17.genome.CDS.1289,group00410
AAA027J17.genome.CDS.1288,group00331
AAA027J17.genome.CDS.1894,group00291
AAA027J17.genome.CDS.1563,group00008
AAA027J17.genome.CDS.1727,group00080
AAA027J17.genome.CDS.2046,group12543
AAA027J17.genome.CDS.1159,group02651
AAA027J17.genome.CDS.1896,group00757
AAA027J17.genome.CDS.1050,group00816
AAA027J17.genome.CDS.1198,group00416
AAA027J17.genome.CDS.1890,group07845
AAA027J17.genome.CDS.1410,group12056
AAA027J17.genome.CDS.1723,group00368
AAA027J17.genome.CDS.1366,group02374
AAA027J17.genome.CDS.1367,group08124
AAA027J17.genome.CDS.1364,group03759
AAA027J17.genome.CDS.1365,group08192
AAA027J17.genome.CDS.1362,group01673
AAA027J17.genome.CDS.1363,group02795
AAA027J17.genome.CDS.1049,group04422
AAA027J17.genome.CDS.1048,group00201
AAA027J17.genome.CDS.1047,group01626
AAA027J17.genome.CDS.1046,group00478
AAA027J17.genome.CDS.1045,group01712
AAA027J17.genome.CDS.1044,group01043
AAA027J17.genome.CDS.1043,group00944
AAA027J17.genome.CDS.1042,group00123
AAA027J17.genome.CDS.1368,group00138
AAA027J17.genome.CDS.1040,group07127
AAA027J17.genome.CDS.1058,group00073
AAA027J17.genome.CDS.1059,group03955
AAA027J17.genome.CDS.2042,group05208
AAA027J17.genome.CDS.1421,group00237
AAA027J17.genome.CDS.1805,group01262
AAA027J17.genome.CDS.1846,group00238
AAA027J17.genome.CDS.1874,group03057
AAA027J17.genome.CDS.2009,group00286
AAA027J17.genome.CDS.1873,group00327
AAA027J17.genome.CDS.1845,group04070
AAA027J17.genome.CDS.1218,group00742
AAA027J17.genome.CDS.1219,group00997
AAA027J17.genome.CDS.2004,group10919
AAA027J17.genome.CDS.1212,group07862
AAA027J17.genome.CDS.1213,group00555
AAA027J17.genome.CDS.1210,group00456
AAA027J17.genome.CDS.1211,group03534
AAA027J17.genome.CDS.1216,group00076
AAA027J17.genome.CDS.1217,group00185
AAA027J17.genome.CDS.1214,group00018
AAA027J17.genome.CDS.1842,group00847
AAA027J17.genome.CDS.2005,group12138
AAA027J17.genome.CDS.2044,group08235
AAA027J17.genome.CDS.1840,group00316
AAA027J17.genome.CDS.1748,group00137
AAA027J17.genome.CDS.1749,group00393
AAA027J17.genome.CDS.1621,group00240
AAA027J17.genome.CDS.1620,group00225
AAA027J17.genome.CDS.1627,group01123
AAA027J17.genome.CDS.950,group04166
AAA027J17.genome.CDS.1625,group00441
AAA027J17.genome.CDS.1624,group00450
AAA027J17.genome.CDS.1740,group00053
AAA027J17.genome.CDS.1741,group00349
AAA027J17.genome.CDS.1742,group04275
AAA027J17.genome.CDS.1628,group00124
AAA027J17.genome.CDS.1744,group00194
AAA027J17.genome.CDS.1745,group00058
AAA027J17.genome.CDS.1746,group00137
AAA027J17.genome.CDS.1747,group00348
AAA027J17.genome.CDS.1912,group01017
AAA027J17.genome.CDS.1829,group08483
AAA027J17.genome.CDS.1828,group00258
AAA027J17.genome.CDS.1825,group00811
AAA027J17.genome.CDS.1915,group10155
AAA027J17.genome.CDS.1827,group00066
AAA027J17.genome.CDS.1826,group00704
AAA027J17.genome.CDS.1821,group06511
AAA027J17.genome.CDS.1820,group00983
AAA027J17.genome.CDS.1823,group13830
AAA027J17.genome.CDS.1822,group00978
AAA027J17.genome.CDS.1443,group09440
AAA027J17.genome.CDS.1499,group00734
AAA027J17.genome.CDS.1917,group00890
AAA027J17.genome.CDS.1330,group00626
AAA027J17.genome.CDS.1444,group08680
AAA027J17.genome.CDS.1422,group10443
AAA027J17.genome.CDS.1137,group00382
AAA027J17.genome.CDS.1136,group01000
AAA027J17.genome.CDS.1135,group00364
AAA027J17.genome.CDS.1134,group00547
AAA027J17.genome.CDS.1133,group00620
AAA027J17.genome.CDS.1132,group12881
AAA027J17.genome.CDS.1131,group01252
AAA027J17.genome.CDS.1130,group00693
AAA027J17.genome.CDS.1558,group00875
AAA027J17.genome.CDS.1139,group00306
AAA027J17.genome.CDS.1138,group00289
AAA027J17.genome.CDS.1955,group00314
AAA027J17.genome.CDS.1954,group10963
AAA027J17.genome.CDS.1485,group12434
AAA027J17.genome.CDS.1956,group00654
AAA027J17.genome.CDS.1951,group00063
AAA027J17.genome.CDS.1529,group01083
AAA027J17.genome.CDS.1481,group01382
AAA027J17.genome.CDS.1952,group00832
AAA027J17.genome.CDS.1524,group00380
AAA027J17.genome.CDS.1525,group00272
AAA027J17.genome.CDS.1526,group00443
AAA027J17.genome.CDS.1527,group00957
AAA027J17.genome.CDS.1959,group00082
AAA027J17.genome.CDS.1958,group00859
AAA027J17.genome.CDS.1489,group01024
AAA027J17.genome.CDS.1523,group07405
AAA027J17.genome.CDS.1788,group01010
AAA027J17.genome.CDS.1539,group12949
AAA027J17.genome.CDS.1835,group00548
AAA027J17.genome.CDS.1923,group00752
AAA027J17.genome.CDS.449,group05209
AAA027J17.genome.CDS.1559,group00667
AAA027J17.genome.CDS.1411,group00785
AAA027J17.genome.CDS.1009,group00634
AAA027J17.genome.CDS.1413,group00982
AAA027J17.genome.CDS.1414,group00753
AAA027J17.genome.CDS.1415,group13087
AAA027J17.genome.CDS.1416,group00371
AAA027J17.genome.CDS.1417,group00252
AAA027J17.genome.CDS.1551,group00001
AAA027J17.genome.CDS.1419,group00220
AAA027J17.genome.CDS.1001,group00823
AAA027J17.genome.CDS.1000,group00616
AAA027J17.genome.CDS.1555,group00463
AAA027J17.genome.CDS.1799,group00084
AAA027J17.genome.CDS.1005,group00698
AAA027J17.genome.CDS.1556,group00515
AAA027J17.genome.CDS.1533,group00604
AAA027J17.genome.CDS.1798,group00086
AAA027J17.genome.CDS.1532,group00603
AAA027J17.genome.CDS.1427,group00891
AAA027J17.genome.CDS.1418,group00287
AAA027J17.genome.CDS.1886,group00683
AAA027J17.genome.CDS.1388,group00569
AAA027J17.genome.CDS.1019,group00017
AAA027J17.genome.CDS.1792,group06327
AAA027J17.genome.CDS.1534,group00694
AAA027J17.genome.CDS.1658,group08128
AAA027J17.genome.CDS.1790,group00505
AAA027J17.genome.CDS.1308,group01005
AAA027J17.genome.CDS.1866,group00014
AAA027J17.genome.CDS.1271,group00942
AAA027J17.genome.CDS.1794,group01762
AAA027J17.genome.CDS.1346,group05204
AAA027J17.genome.CDS.1256,group00664
AAA027J17.genome.CDS.1257,group00197
AAA027J17.genome.CDS.1254,group10910
AAA027J17.genome.CDS.1255,group00672
AAA027J17.genome.CDS.1252,group00210
AAA027J17.genome.CDS.1253,group00278
AAA027J17.genome.CDS.1250,group00651
AAA027J17.genome.CDS.1318,group04112
AAA027J17.genome.CDS.1317,group05665
AAA027J17.genome.CDS.1316,group01421
AAA027J17.genome.CDS.1315,group00062
AAA027J17.genome.CDS.1314,group00094
AAA027J17.genome.CDS.1313,group00098
AAA027J17.genome.CDS.1258,group01390
AAA027J17.genome.CDS.1259,group00330
AAA027J17.genome.CDS.1781,group08121
AAA027J17.genome.CDS.1311,group00114
AAA027J17.genome.CDS.1872,group00226
AAA027J17.genome.CDS.2050,group00677
AAA027J17.genome.CDS.1706,group08416
AAA027J17.genome.CDS.1871,group00984
AAA027J17.genome.CDS.1876,group08976
AAA027J17.genome.CDS.1701,group08086
AAA027J17.genome.CDS.1702,group01854
AAA027J17.genome.CDS.1703,group01902
AAA027J17.genome.CDS.1114,group13627
AAA027J17.genome.CDS.1879,group03027
AAA027J17.genome.CDS.1708,group13210
AAA027J17.genome.CDS.1709,group00000
AAA027J17.genome.CDS.2024,group00553
AAA027J17.genome.CDS.2025,group00353
AAA027J17.genome.CDS.2027,group12145
AAA027J17.genome.CDS.2020,group00319
AAA027J17.genome.CDS.2021,group01733
AAA027J17.genome.CDS.2022,group00222
AAA027J17.genome.CDS.2023,group00877
AAA027J17.genome.CDS.1098,group00849
