AAA278O22.genome.CDS.1833,group00711
AAA278O22.genome.CDS.2067,group01355
AAA278O22.genome.CDS.2066,group00887
AAA278O22.genome.CDS.2065,group09831
AAA278O22.genome.CDS.2064,group01081
AAA278O22.genome.CDS.2188,group06006
AAA278O22.genome.CDS.2189,group04438
AAA278O22.genome.CDS.2061,group00273
AAA278O22.genome.CDS.2060,group00208
AAA278O22.genome.CDS.2184,group01112
AAA278O22.genome.CDS.1930,group00796
AAA278O22.genome.CDS.2186,group07485
AAA278O22.genome.CDS.2187,group00841
AAA278O22.genome.CDS.2180,group00847
AAA278O22.genome.CDS.2181,group01586
AAA278O22.genome.CDS.2069,group00884
AAA278O22.genome.CDS.2068,group00790
AAA278O22.genome.CDS.2113,group01901
AAA278O22.genome.CDS.2112,group06327
AAA278O22.genome.CDS.2111,group08503
AAA278O22.genome.CDS.2117,group02194
AAA278O22.genome.CDS.2116,group08680
AAA278O22.genome.CDS.2115,group01514
AAA278O22.genome.CDS.2114,group01760
AAA278O22.genome.CDS.968,group00382
AAA278O22.genome.CDS.2119,group00657
AAA278O22.genome.CDS.1933,group04346
AAA278O22.genome.CDS.1645,group02600
AAA278O22.genome.CDS.1873,group00282
AAA278O22.genome.CDS.686,group00071
AAA278O22.genome.CDS.199,group01396
AAA278O22.genome.CDS.334,group00125
AAA278O22.genome.CDS.1783,group02428
AAA278O22.genome.CDS.336,group00166
AAA278O22.genome.CDS.1304,group00432
AAA278O22.genome.CDS.1303,group00734
AAA278O22.genome.CDS.1302,group00596
AAA278O22.genome.CDS.1738,group00823
AAA278O22.genome.CDS.1300,group01234
AAA278O22.genome.CDS.1736,group00568
AAA278O22.genome.CDS.1737,group00003
AAA278O22.genome.CDS.1734,group00001
AAA278O22.genome.CDS.1735,group01322
AAA278O22.genome.CDS.1732,group00052
AAA278O22.genome.CDS.1837,group00303
AAA278O22.genome.CDS.1309,group01028
AAA278O22.genome.CDS.1874,group00457
AAA278O22.genome.CDS.1429,group00960
AAA278O22.genome.CDS.1938,group09996
AAA278O22.genome.CDS.1281,group00055
AAA278O22.genome.CDS.1830,group00559
AAA278O22.genome.CDS.1941,group01665
AAA278O22.genome.CDS.1940,group01480
AAA278O22.genome.CDS.1943,group00788
AAA278O22.genome.CDS.1942,group00010
AAA278O22.genome.CDS.1945,group00656
AAA278O22.genome.CDS.1944,group00207
AAA278O22.genome.CDS.1947,group00061
AAA278O22.genome.CDS.1946,group05119
AAA278O22.genome.CDS.1949,group00083
AAA278O22.genome.CDS.1948,group00265
AAA278O22.genome.CDS.1495,group00120
AAA278O22.genome.CDS.1832,group01628
AAA278O22.genome.CDS.1493,group00040
AAA278O22.genome.CDS.1492,group00336
AAA278O22.genome.CDS.1491,group00601
AAA278O22.genome.CDS.1490,group00772
AAA278O22.genome.CDS.1422,group08977
AAA278O22.genome.CDS.1423,group00467
AAA278O22.genome.CDS.1936,group01861
AAA278O22.genome.CDS.1421,group03479
AAA278O22.genome.CDS.1839,group08560
AAA278O22.genome.CDS.1838,group07147
AAA278O22.genome.CDS.1424,group00440
AAA278O22.genome.CDS.1397,group12673
AAA278O22.genome.CDS.1835,group08980
AAA278O22.genome.CDS.1399,group02401
AAA278O22.genome.CDS.1428,group00791
AAA278O22.genome.CDS.1836,group12822
AAA278O22.genome.CDS.1831,group11946
AAA278O22.genome.CDS.1786,group01462
AAA278O22.genome.CDS.1785,group01552
AAA278O22.genome.CDS.1784,group12919
AAA278O22.genome.CDS.972,group00620
AAA278O22.genome.CDS.1549,group00240
AAA278O22.genome.CDS.1548,group00225
AAA278O22.genome.CDS.1545,group13020
AAA278O22.genome.CDS.1544,group00245
AAA278O22.genome.CDS.1547,group00437
AAA278O22.genome.CDS.1546,group01620
AAA278O22.genome.CDS.1541,group00160
AAA278O22.genome.CDS.1540,group12777
AAA278O22.genome.CDS.1609,group01239
AAA278O22.genome.CDS.1542,group08330
AAA278O22.genome.CDS.1772,group00000
AAA278O22.genome.CDS.740,group07818
AAA278O22.genome.CDS.1805,group00111
AAA278O22.genome.CDS.1294,group12383
AAA278O22.genome.CDS.1950,group00053
AAA278O22.genome.CDS.1770,group00936
AAA278O22.genome.CDS.1909,group05397
AAA278O22.genome.CDS.1807,group05108
AAA278O22.genome.CDS.1194,group01264
AAA278O22.genome.CDS.1776,group01035
AAA278O22.genome.CDS.1777,group00536
AAA278O22.genome.CDS.1646,group12696
AAA278O22.genome.CDS.1647,group12695
AAA278O22.genome.CDS.2249,group00103
AAA278O22.genome.CDS.2248,group00209
AAA278O22.genome.CDS.1642,group12920
AAA278O22.genome.CDS.2018,group00377
AAA278O22.genome.CDS.1169,group04455
AAA278O22.genome.CDS.1168,group00223
AAA278O22.genome.CDS.1167,group00241
AAA278O22.genome.CDS.2242,group00494
AAA278O22.genome.CDS.1165,group02357
AAA278O22.genome.CDS.1803,group00066
AAA278O22.genome.CDS.2247,group00511
AAA278O22.genome.CDS.1782,group00295
AAA278O22.genome.CDS.2245,group00008
AAA278O22.genome.CDS.2244,group00298
AAA278O22.genome.CDS.2051,group00885
AAA278O22.genome.CDS.1394,group12676
AAA278O22.genome.CDS.1543,group00250
AAA278O22.genome.CDS.1778,group04914
AAA278O22.genome.CDS.2183,group00941
AAA278O22.genome.CDS.2057,group10360
AAA278O22.genome.CDS.2346,group00050
AAA278O22.genome.CDS.1779,group13196
AAA278O22.genome.CDS.1518,group00717
AAA278O22.genome.CDS.1956,group00137
AAA278O22.genome.CDS.2012,group00162
AAA278O22.genome.CDS.1979,group00565
AAA278O22.genome.CDS.1295,group14044
AAA278O22.genome.CDS.1809,group00116
AAA278O22.genome.CDS.1321,group00346
AAA278O22.genome.CDS.2058,group00095
AAA278O22.genome.CDS.1937,group01591
AAA278O22.genome.CDS.2190,group00986
AAA278O22.genome.CDS.1957,group00348
AAA278O22.genome.CDS.1640,group01575
AAA278O22.genome.CDS.2196,group00114
AAA278O22.genome.CDS.1365,group01389
AAA278O22.genome.CDS.1320,group00347
AAA278O22.genome.CDS.1479,group00327
AAA278O22.genome.CDS.1478,group05283
AAA278O22.genome.CDS.1268,group00272
AAA278O22.genome.CDS.1342,group00728
AAA278O22.genome.CDS.1341,group00770
AAA278O22.genome.CDS.1340,group01036
AAA278O22.genome.CDS.1347,group00181
AAA278O22.genome.CDS.1346,group01396
AAA278O22.genome.CDS.1345,group00677
AAA278O22.genome.CDS.1344,group01257
AAA278O22.genome.CDS.1260,group00603
AAA278O22.genome.CDS.1349,group02596
AAA278O22.genome.CDS.1263,group05742
AAA278O22.genome.CDS.1264,group00212
AAA278O22.genome.CDS.1265,group08095
AAA278O22.genome.CDS.1266,group04156
AAA278O22.genome.CDS.1267,group00443
AAA278O22.genome.CDS.1842,group00051
AAA278O22.genome.CDS.874,group00876
AAA278O22.genome.CDS.2310,group00215
AAA278O22.genome.CDS.1157,group00307
AAA278O22.genome.CDS.1955,group00058
AAA278O22.genome.CDS.1639,group00686
AAA278O22.genome.CDS.1775,group00541
AAA278O22.genome.CDS.1733,group13210
AAA278O22.genome.CDS.1578,group01196
AAA278O22.genome.CDS.1898,group08128
AAA278O22.genome.CDS.1174,group08124
AAA278O22.genome.CDS.1579,group01261
AAA278O22.genome.CDS.881,group00376
AAA278O22.genome.CDS.1198,group01299
AAA278O22.genome.CDS.1199,group01470
AAA278O22.genome.CDS.1196,group05665
AAA278O22.genome.CDS.1197,group00674
AAA278O22.genome.CDS.1395,group12675
AAA278O22.genome.CDS.1195,group10223
AAA278O22.genome.CDS.1192,group05402
AAA278O22.genome.CDS.1193,group01341
AAA278O22.genome.CDS.1190,group04454
AAA278O22.genome.CDS.1191,group01796
AAA278O22.genome.CDS.1862,group12857
AAA278O22.genome.CDS.1863,group00289
AAA278O22.genome.CDS.1860,group00325
AAA278O22.genome.CDS.1861,group12857
AAA278O22.genome.CDS.1866,group01012
AAA278O22.genome.CDS.1867,group00985
AAA278O22.genome.CDS.1864,group04410
AAA278O22.genome.CDS.1865,group02306
AAA278O22.genome.CDS.1219,group02467
AAA278O22.genome.CDS.98,group01809
AAA278O22.genome.CDS.1869,group00004
AAA278O22.genome.CDS.1596,group07896
AAA278O22.genome.CDS.1351,group07755
AAA278O22.genome.CDS.2023,group00332
AAA278O22.genome.CDS.1332,group00238
AAA278O22.genome.CDS.1745,group00472
AAA278O22.genome.CDS.1296,group00913
AAA278O22.genome.CDS.1743,group01077
AAA278O22.genome.CDS.2026,group00880
AAA278O22.genome.CDS.2025,group00441
AAA278O22.genome.CDS.1740,group00022
AAA278O22.genome.CDS.2140,group11743
AAA278O22.genome.CDS.2141,group08176
AAA278O22.genome.CDS.2029,group03258
AAA278O22.genome.CDS.2143,group02747
AAA278O22.genome.CDS.1299,group07301
AAA278O22.genome.CDS.1298,group01058
AAA278O22.genome.CDS.2146,group02407
AAA278O22.genome.CDS.1748,group00005
AAA278O22.genome.CDS.342,group00308
AAA278O22.genome.CDS.1715,group00569
AAA278O22.genome.CDS.1468,group01795
AAA278O22.genome.CDS.1469,group00510
AAA278O22.genome.CDS.1466,group01347
AAA278O22.genome.CDS.1336,group12642
AAA278O22.genome.CDS.1464,group00023
AAA278O22.genome.CDS.1465,group09614
AAA278O22.genome.CDS.1462,group08132
AAA278O22.genome.CDS.1460,group05440
AAA278O22.genome.CDS.1337,group02239
AAA278O22.genome.CDS.1996,group00008
AAA278O22.genome.CDS.1997,group00465
AAA278O22.genome.CDS.1994,group00446
AAA278O22.genome.CDS.1995,group13604
AAA278O22.genome.CDS.1992,group08976
AAA278O22.genome.CDS.1993,group00344
AAA278O22.genome.CDS.1990,group00530
AAA278O22.genome.CDS.1991,group07127
AAA278O22.genome.CDS.1787,group03228
AAA278O22.genome.CDS.1211,group03919
AAA278O22.genome.CDS.346,group00567
AAA278O22.genome.CDS.1431,group00775
AAA278O22.genome.CDS.1644,group00199
AAA278O22.genome.CDS.1998,group00447
AAA278O22.genome.CDS.1999,group00466
AAA278O22.genome.CDS.2359,group01334
AAA278O22.genome.CDS.2211,group08653
AAA278O22.genome.CDS.2212,group12283
AAA278O22.genome.CDS.2213,group03534
AAA278O22.genome.CDS.2214,group10249
AAA278O22.genome.CDS.2215,group01011
AAA278O22.genome.CDS.2216,group11566
AAA278O22.genome.CDS.2217,group00263
AAA278O22.genome.CDS.2351,group00794
AAA278O22.genome.CDS.2219,group00047
AAA278O22.genome.CDS.2353,group00193
AAA278O22.genome.CDS.2352,group00497
AAA278O22.genome.CDS.2355,group00571
AAA278O22.genome.CDS.1338,group00113
AAA278O22.genome.CDS.2357,group00057
AAA278O22.genome.CDS.2356,group10155
AAA278O22.genome.CDS.1512,group02829
AAA278O22.genome.CDS.1513,group00700
AAA278O22.genome.CDS.2285,group00333
AAA278O22.genome.CDS.1511,group00101
AAA278O22.genome.CDS.2283,group02465
AAA278O22.genome.CDS.2329,group00864
AAA278O22.genome.CDS.2199,group01005
AAA278O22.genome.CDS.1515,group13725
AAA278O22.genome.CDS.2324,group00670
AAA278O22.genome.CDS.2325,group02358
AAA278O22.genome.CDS.1427,group01045
AAA278O22.genome.CDS.1519,group00089
AAA278O22.genome.CDS.2320,group01644
AAA278O22.genome.CDS.1900,group12974
AAA278O22.genome.CDS.1903,group13582
AAA278O22.genome.CDS.1902,group06917
AAA278O22.genome.CDS.1682,group00731
AAA278O22.genome.CDS.2243,group00462
AAA278O22.genome.CDS.1680,group01404
AAA278O22.genome.CDS.1681,group01006
