acMicro-4.genome.CDS.1877,group00109
acMicro-4.genome.CDS.1956,group01313
acMicro-4.genome.CDS.1922,group00011
acMicro-4.genome.CDS.1950,group00222
acMicro-4.genome.CDS.1951,group00009
acMicro-4.genome.CDS.1952,group00703
acMicro-4.genome.CDS.605,group00694
acMicro-4.genome.CDS.1815,group01242
acMicro-4.genome.CDS.2195,group02194
acMicro-4.genome.CDS.1817,group02896
acMicro-4.genome.CDS.1816,group03520
acMicro-4.genome.CDS.1958,group06464
acMicro-4.genome.CDS.1810,group00390
acMicro-4.genome.CDS.1813,group00263
acMicro-4.genome.CDS.1812,group01056
acMicro-4.genome.CDS.1459,group00737
acMicro-4.genome.CDS.1707,group00407
acMicro-4.genome.CDS.1738,group05608
acMicro-4.genome.CDS.1927,group00490
acMicro-4.genome.CDS.2200,group05621
acMicro-4.genome.CDS.1300,group01122
acMicro-4.genome.CDS.1926,group01240
acMicro-4.genome.CDS.1213,group02379
acMicro-4.genome.CDS.1212,group00108
acMicro-4.genome.CDS.1211,group00833
acMicro-4.genome.CDS.1210,group00253
acMicro-4.genome.CDS.1217,group00399
acMicro-4.genome.CDS.1216,group00902
acMicro-4.genome.CDS.1215,group02286
acMicro-4.genome.CDS.1214,group00167
acMicro-4.genome.CDS.1219,group00411
acMicro-4.genome.CDS.1218,group00369
